	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	0.204	-0.449	0.189*	-0.104	-0.157**	-0.0906	-0.0696	-0.0186	-0.113**	-0.161***	0.0320	0.0536	-0.137***	-0.0417	0.125	-1.367*	-0.0589	-0.339*	-0.101	-0.0896	-0.0628	0.0293	-0.248**	-0.360***	0.132	0.131	-0.184*	-0.0515	-0.424***	-0.486***	-0.0242	-0.00897	-0.113	-0.126**	-0.0263	-0.0165	0.0275	0.0237	0.0710*	0.0606*	-0.0586	-0.0215	-0.219*	-0.395***	-0.104	-0.0952	-0.0589	-0.0279	-0.0107	0.0187	-0.0427*	-0.0355	-0.0396	-0.0124	0.0162	0.0289
	(0.551)	(0.314)	(0.108)	(0.120)	(0.0747)	(0.0659)	(0.0494)	(0.0455)	(0.0466)	(0.0383)	(0.0433)	(0.0378)	(0.0395)	(0.0348)	(0.824)	(0.712)	(0.132)	(0.191)	(0.125)	(0.106)	(0.115)	(0.101)	(0.104)	(0.0877)	(0.0896)	(0.0829)	(0.106)	(0.0888)	(0.160)	(0.128)	(0.0665)	(0.0638)	(0.0755)	(0.0577)	(0.0428)	(0.0346)	(0.0462)	(0.0369)	(0.0425)	(0.0351)	(0.0519)	(0.0420)	(0.117)	(0.0973)	(0.0809)	(0.0872)	(0.0470)	(0.0419)	(0.0361)	(0.0306)	(0.0250)	(0.0228)	(0.0242)	(0.0209)	(0.0217)	(0.0185)
malec	-0.0828***	-0.0917***	-0.0796***	-0.0986***	-0.0404***	-0.0647***	0.000729	-0.0262***	0.0311***	0.00783	0.0624***	0.0488***	-0.0137	-0.0245**	-0.184***	-0.211***	-0.173***	-0.224***	-0.0691***	-0.131***	0.0405*	-0.0289	0.158***	0.0969***	0.196***	0.159***	-0.146***	-0.176***	-0.0124**	-0.0140**	-0.00587	-0.0105**	0.00814	0.00116	0.0229***	0.0153**	0.0210***	0.0128	0.0506***	0.0478***	0.0734***	0.0679***	-0.0128**	-0.0201***	-0.0101**	-0.0210***	-0.000130	-0.0144***	0.0145***	-0.00110	0.0191***	0.00678	0.0329***	0.0241***	0.0260***	0.0199***
	(0.00887)	(0.00910)	(0.00721)	(0.00743)	(0.00743)	(0.00779)	(0.00858)	(0.00896)	(0.00953)	(0.00999)	(0.0110)	(0.0115)	(0.0120)	(0.0124)	(0.0183)	(0.0191)	(0.0160)	(0.0167)	(0.0182)	(0.0192)	(0.0217)	(0.0227)	(0.0246)	(0.0258)	(0.0297)	(0.0309)	(0.0332)	(0.0340)	(0.00591)	(0.00597)	(0.00505)	(0.00509)	(0.00556)	(0.00562)	(0.00666)	(0.00674)	(0.00808)	(0.00814)	(0.00985)	(0.00994)	(0.0134)	(0.0134)	(0.00506)	(0.00526)	(0.00412)	(0.00426)	(0.00447)	(0.00470)	(0.00517)	(0.00542)	(0.00561)	(0.00586)	(0.00633)	(0.00657)	(0.00672)	(0.00687)
agemay	-0.0501***	-0.0152	0.00485	0.0330***	0.0377***	0.0619***	0.0271***	0.0459***	0.0570***	0.0684***	0.0277*	0.0366**	-0.00710	0.00363	-0.349***	-0.251***	-0.290***	-0.209***	-0.159***	-0.0886***	-0.133***	-0.0871***	-0.0111	0.0185	-0.0161	0.00410	-0.0184	0.0118	0.0198**	0.0306***	0.000179	0.0107	0.0336***	0.0386***	0.0224*	0.0258**	0.0731***	0.0858***	0.0919***	0.0957***	0.144***	0.141***	-0.00559	0.0149	0.00970	0.0242***	0.0429***	0.0560***	-0.0127*	-0.00187	0.0117	0.0223***	-0.0165*	-0.00884	-0.00702	-0.00383
	(0.00970)	(0.00974)	(0.00783)	(0.00799)	(0.00765)	(0.00789)	(0.00946)	(0.00971)	(0.0112)	(0.0116)	(0.0150)	(0.0157)	(0.0201)	(0.0205)	(0.0202)	(0.0202)	(0.0158)	(0.0161)	(0.0174)	(0.0181)	(0.0225)	(0.0232)	(0.0271)	(0.0281)	(0.0360)	(0.0375)	(0.0509)	(0.0519)	(0.00972)	(0.00967)	(0.00842)	(0.00847)	(0.00990)	(0.00994)	(0.0124)	(0.0124)	(0.0155)	(0.0156)	(0.0211)	(0.0216)	(0.0306)	(0.0308)	(0.00985)	(0.0100)	(0.00723)	(0.00739)	(0.00710)	(0.00733)	(0.00746)	(0.00768)	(0.00801)	(0.00818)	(0.00901)	(0.00919)	(0.0114)	(0.0114)
magesq	0.000797***	0.000327**	6.69e-05	-0.000287***	-0.000211**	-0.000514***	-7.65e-06	-0.000241*	-0.000307**	-0.000468***	7.83e-05	-5.71e-05	0.000495**	0.000287	0.00512***	0.00381***	0.00430***	0.00331***	0.00283***	0.00197***	0.00267***	0.00210***	0.00124***	0.000841**	0.00138***	0.00107**	0.00175***	0.00111*	-0.000487***	-0.000636***	-0.000450***	-0.000579***	-0.000977***	-0.00104***	-0.000855***	-0.000896***	-0.00136***	-0.00155***	-0.00148***	-0.00155***	-0.00200***	-0.00200***	0.000138	-0.000112	-1.15e-05	-0.000193**	-0.000411***	-0.000587***	0.000312***	0.000170*	8.78e-06	-0.000133	0.000366***	0.000263**	0.000241*	0.000162
	(0.000128)	(0.000130)	(0.000102)	(0.000105)	(0.000103)	(0.000107)	(0.000125)	(0.000129)	(0.000146)	(0.000151)	(0.000189)	(0.000198)	(0.000250)	(0.000255)	(0.000288)	(0.000291)	(0.000226)	(0.000233)	(0.000250)	(0.000262)	(0.000314)	(0.000325)	(0.000367)	(0.000382)	(0.000471)	(0.000492)	(0.000642)	(0.000655)	(0.000135)	(0.000135)	(0.000114)	(0.000115)	(0.000132)	(0.000132)	(0.000160)	(0.000161)	(0.000195)	(0.000197)	(0.000260)	(0.000265)	(0.000369)	(0.000372)	(0.000119)	(0.000121)	(8.87e-05)	(9.07e-05)	(8.83e-05)	(9.16e-05)	(9.39e-05)	(9.71e-05)	(0.000101)	(0.000103)	(0.000112)	(0.000115)	(0.000140)	(0.000141)
agefirstbirth	0.000877	0.0129***	0.00193	0.0152***	-0.00701***	0.00199	-0.00567***	0.000408	-0.0140***	-0.0121***	-0.0109***	-0.00959***	-0.00593**	-0.00431	0.0190***	0.0508***	0.0220***	0.0543***	0.00363	0.0252***	-0.00366	0.00924**	-0.0319***	-0.0291***	-0.0236***	-0.0218***	-0.0482***	-0.0468***	6.40e-05	0.00413***	-0.00115	0.00318***	-0.00362***	-0.000370	-0.00169	0.00109	-0.00681***	-0.00647***	-0.00744***	-0.00723***	-0.0103***	-0.00943***	0.00301**	0.00839***	0.000485	0.00588***	-0.00103	0.00303***	-0.00232**	-0.000309	-0.00459***	-0.00427***	-0.00218*	-0.00168	-0.00530***	-0.00564***
	(0.00222)	(0.00225)	(0.00172)	(0.00170)	(0.00164)	(0.00169)	(0.00177)	(0.00186)	(0.00192)	(0.00200)	(0.00223)	(0.00230)	(0.00271)	(0.00277)	(0.00427)	(0.00449)	(0.00339)	(0.00344)	(0.00376)	(0.00388)	(0.00442)	(0.00459)	(0.00489)	(0.00509)	(0.00576)	(0.00595)	(0.00720)	(0.00733)	(0.00143)	(0.00142)	(0.00106)	(0.00105)	(0.00112)	(0.00110)	(0.00140)	(0.00139)	(0.00156)	(0.00156)	(0.00203)	(0.00201)	(0.00273)	(0.00271)	(0.00136)	(0.00142)	(0.000942)	(0.000955)	(0.000961)	(0.000990)	(0.00106)	(0.00110)	(0.00114)	(0.00117)	(0.00125)	(0.00128)	(0.00142)	(0.00142)
height	0.00436***		0.00473***		0.00602***		0.00487***		0.00407***		0.00380***		0.00263**		0.0102***		0.0133***		0.0147***		0.0139***		0.00826***		0.00964***		0.00951***		0.00140***		0.00124***		0.00158***		0.00235***		0.00110		0.00201**		0.00363***		0.00172***		0.00293***		0.00185***		0.00163***		0.00117**		0.000853		0.000874	
	(0.000761)		(0.000613)		(0.000620)		(0.000728)		(0.000811)		(0.000942)		(0.00113)		(0.00159)		(0.00141)		(0.00154)		(0.00186)		(0.00213)		(0.00257)		(0.00329)		(0.000487)		(0.000430)		(0.000462)		(0.000570)		(0.000696)		(0.000822)		(0.00120)		(0.000431)		(0.000353)		(0.000381)		(0.000434)		(0.000472)		(0.000533)		(0.000583)	
bmi	0.00729***		0.00910***		0.0132***		0.0165***		0.0156***		0.0152***		0.0192***		0.0271***		0.0321***		0.0425***		0.0492***		0.0510***		0.0463***		0.0484***		-0.000520		-0.000181		0.00164**		0.00303***		0.00315***		0.00167		0.00188		0.00403***		0.00369***		0.00538***		0.00678***		0.00646***		0.00530***		0.00724***	
	(0.00102)		(0.000847)		(0.000840)		(0.00102)		(0.00116)		(0.00134)		(0.00157)		(0.00223)		(0.00187)		(0.00215)		(0.00261)		(0.00308)		(0.00361)		(0.00452)		(0.000713)		(0.000588)		(0.000645)		(0.000791)		(0.000922)		(0.00115)		(0.00159)		(0.000559)		(0.000436)		(0.000474)		(0.000561)		(0.000647)		(0.000752)		(0.000832)	
educf_1_4	0.165***		0.162***		0.265***		0.260***		0.291***		0.341***		0.293***		0.578***		0.483***		0.759***		0.704***		0.769***		0.859***		0.782***		0.0322**		0.0423***		0.0632***		0.0927***		0.119***		0.168***		0.0959***		0.104***		0.0831***		0.113***		0.0998***		0.110***		0.114***		0.0729***	
	(0.0207)		(0.0130)		(0.0122)		(0.0134)		(0.0138)		(0.0161)		(0.0196)		(0.0518)		(0.0327)		(0.0300)		(0.0330)		(0.0362)		(0.0415)		(0.0524)		(0.0134)		(0.00981)		(0.00973)		(0.0111)		(0.0134)		(0.0153)		(0.0222)		(0.0141)		(0.00871)		(0.00772)		(0.00816)		(0.00853)		(0.00943)		(0.0107)	
educf_5_6	0.327***		0.323***		0.429***		0.440***		0.525***		0.527***		0.501***		0.964***		0.875***		1.137***		1.138***		1.361***		1.360***		1.316***		0.0731***		0.0883***		0.123***		0.124***		0.170***		0.173***		0.180***		0.153***		0.148***		0.189***		0.188***		0.200***		0.203***		0.169***	
	(0.0183)		(0.0118)		(0.0115)		(0.0140)		(0.0161)		(0.0193)		(0.0251)		(0.0441)		(0.0287)		(0.0289)		(0.0347)		(0.0398)		(0.0501)		(0.0636)		(0.0120)		(0.00885)		(0.00918)		(0.0113)		(0.0142)		(0.0169)		(0.0254)		(0.0117)		(0.00746)		(0.00698)		(0.00826)		(0.00950)		(0.0113)		(0.0130)	
educf_7_10	0.416***		0.439***		0.583***		0.627***		0.659***		0.697***		0.602***		1.219***		1.226***		1.543***		1.577***		1.658***		1.687***		1.525***		0.0967***		0.118***		0.151***		0.179***		0.205***		0.223***		0.250***		0.201***		0.197***		0.250***		0.261***		0.263***		0.264***		0.208***	
	(0.0158)		(0.0105)		(0.0116)		(0.0137)		(0.0170)		(0.0216)		(0.0256)		(0.0387)		(0.0255)		(0.0276)		(0.0342)		(0.0420)		(0.0496)		(0.0696)		(0.00984)		(0.00718)		(0.00838)		(0.0104)		(0.0134)		(0.0166)		(0.0271)		(0.0100)		(0.00631)		(0.00652)		(0.00782)		(0.00928)		(0.0114)		(0.0147)	
educf_11plus	0.503***		0.588***		0.658***		0.727***		0.839***		0.830***		0.806***		1.398***		1.472***		1.649***		1.717***		2.027***		1.888***		1.827***		0.165***		0.191***		0.217***		0.255***		0.278***		0.285***		0.348***		0.223***		0.218***		0.258***		0.283***		0.288***		0.296***		0.248***	
	(0.0160)		(0.0119)		(0.0129)		(0.0176)		(0.0236)		(0.0317)		(0.0389)		(0.0381)		(0.0268)		(0.0303)		(0.0417)		(0.0601)		(0.0794)		(0.121)		(0.0106)		(0.00824)		(0.00949)		(0.0125)		(0.0173)		(0.0272)		(0.0430)		(0.0101)		(0.00676)		(0.00705)		(0.00884)		(0.0118)		(0.0153)		(0.0180)	
poor1	-0.169***		-0.205***		-0.254***		-0.243***		-0.256***		-0.314***		-0.264***		-0.386***		-0.457***		-0.557***		-0.661***		-0.657***		-0.786***		-0.827***		-0.0782***		-0.0679***		-0.107***		-0.0928***		-0.112***		-0.114***		-0.134***		-0.132***		-0.123***		-0.139***		-0.147***		-0.131***		-0.126***		-0.134***	
	(0.0230)		(0.0146)		(0.0132)		(0.0146)		(0.0153)		(0.0175)		(0.0215)		(0.0522)		(0.0335)		(0.0324)		(0.0367)		(0.0395)		(0.0472)		(0.0565)		(0.0113)		(0.00792)		(0.00756)		(0.00828)		(0.00929)		(0.0108)		(0.0167)		(0.0170)		(0.0102)		(0.00905)		(0.00938)		(0.00920)		(0.0105)		(0.0111)	
Constant	-0.670**	-0.191	-1.484***	-1.464***	-2.850***	-2.295***	-3.190***	-2.016***	-4.565***	-3.398***	-3.341***	-3.638***	-2.720***	-1.511***	1.603***	2.788***	1.297	1.616*	-1.726**	-0.312	-3.697***	-0.245	-5.763***	-3.172***	-4.614***	-3.769***	-3.121***	0.573	1.294***	1.353***	2.393***	2.438***	1.398***	1.635***	1.490***	1.950***	0.438	0.621*	-0.413	0.0599	-2.779***	-1.761***	-0.573***	-0.523**	-0.783***	-0.663***	-0.949***	-0.885***	-0.832***	-0.439***	-1.311***	-1.015***	-0.676***	-0.393**	-0.801***	-0.318
	(0.321)	(0.298)	(0.547)	(0.541)	(0.426)	(0.410)	(0.285)	(0.300)	(0.379)	(0.312)	(0.369)	(0.322)	(0.498)	(0.487)	(0.540)	(0.477)	(0.938)	(0.918)	(0.793)	(0.737)	(0.865)	(0.920)	(0.663)	(0.609)	(0.877)	(0.693)	(1.185)	(1.120)	(0.241)	(0.231)	(0.248)	(0.242)	(0.217)	(0.206)	(0.275)	(0.262)	(0.332)	(0.320)	(0.452)	(0.443)	(0.664)	(0.641)	(0.211)	(0.203)	(0.154)	(0.148)	(0.152)	(0.145)	(0.169)	(0.162)	(0.172)	(0.165)	(0.221)	(0.196)	(0.253)	(0.245)
																																																								
Observations	50,857	50,877	87,024	87,061	87,924	88,051	70,025	70,209	56,070	56,321	40,704	41,015	456,778	457,095	50,873	50,893	87,041	87,078	87,968	88,095	70,060	70,244	56,087	56,338	40,710	41,021	456,784	457,101	36,908	36,921	59,191	59,214	55,490	55,579	42,196	42,335	32,583	32,732	22,914	23,106	443,883	444,058	24,155	24,162	45,835	45,849	47,374	47,438	38,661	38,766	32,153	32,290	24,236	24,411	274,508	274,698
R-squared	0.132	0.082	0.121	0.058	0.125	0.042	0.118	0.040	0.133	0.053	0.135	0.056	0.874	0.863	0.834	0.818	0.778	0.758	0.711	0.682	0.648	0.616	0.612	0.577	0.584	0.550	0.961	0.958	0.625	0.617	0.559	0.549	0.492	0.476	0.436	0.420	0.381	0.363	0.346	0.327	0.994	0.994	0.284	0.229	0.266	0.214	0.295	0.231	0.318	0.258	0.343	0.293	0.360	0.317	0.618	0.594
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
