	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	-0.119***	-0.0585	-0.0370	0.00160	-0.0470*	-0.0239	-0.0544**	0.00891	-0.0554**	0.00147	-0.0622**	-0.0228	-0.0520	-0.00131	-0.153*	-0.0485	0.00640	0.0542	-0.0255	0.000720	-0.173***	-0.00401	-0.115*	0.0235	-0.234***	-0.0830	-0.100	-0.0216	-0.0962***	-0.126***	-0.0405*	-0.0729***	-0.0102	-0.0163	-0.0155	-0.0335*	-0.0106	-0.0181	-0.0203	-0.0376	-0.0317	-0.0400	0.0241	0.0178	0.0202	0.0177	0.00562	-0.0297**	-0.0241	-0.0261*	0.00212	-0.0141	-0.00336	-0.00655	-0.00520	-0.0151
	(0.0445)	(0.0391)	(0.0259)	(0.0238)	(0.0248)	(0.0220)	(0.0249)	(0.0219)	(0.0282)	(0.0248)	(0.0283)	(0.0250)	(0.0394)	(0.0322)	(0.0833)	(0.0715)	(0.0553)	(0.0495)	(0.0583)	(0.0523)	(0.0622)	(0.0529)	(0.0681)	(0.0596)	(0.0756)	(0.0666)	(0.0956)	(0.0804)	(0.0316)	(0.0304)	(0.0233)	(0.0227)	(0.0158)	(0.0157)	(0.0194)	(0.0184)	(0.0224)	(0.0215)	(0.0246)	(0.0232)	(0.0348)	(0.0314)	(0.0265)	(0.0225)	(0.0162)	(0.0148)	(0.0154)	(0.0133)	(0.0166)	(0.0135)	(0.0173)	(0.0141)	(0.0174)	(0.0147)	(0.0208)	(0.0163)
malec	-0.0829***	-0.0922***	-0.0801***	-0.0984***	-0.0406***	-0.0644***	-0.000800	-0.0264***	0.0319***	0.00770	0.0648***	0.0502***	-0.0136	-0.0214*	-0.186***	-0.211***	-0.175***	-0.225***	-0.0705***	-0.130***	0.0365*	-0.0337	0.159***	0.0972***	0.198***	0.162***	-0.140***	-0.169***	-0.0118**	-0.0128**	-0.00575	-0.0111**	0.00761	0.000921	0.0223***	0.0145**	0.0195**	0.00949	0.0519***	0.0466***	0.0697***	0.0637***	-0.0130**	-0.0199***	-0.0105***	-0.0212***	-0.000549	-0.0144***	0.0129**	-0.00288	0.0211***	0.00832	0.0340***	0.0234***	0.0285***	0.0219***
	(0.00881)	(0.00902)	(0.00714)	(0.00733)	(0.00735)	(0.00767)	(0.00849)	(0.00878)	(0.00944)	(0.00985)	(0.0109)	(0.0113)	(0.0121)	(0.0124)	(0.0182)	(0.0189)	(0.0158)	(0.0164)	(0.0180)	(0.0189)	(0.0215)	(0.0222)	(0.0243)	(0.0253)	(0.0294)	(0.0305)	(0.0330)	(0.0335)	(0.00589)	(0.00595)	(0.00503)	(0.00507)	(0.00548)	(0.00553)	(0.00659)	(0.00665)	(0.00798)	(0.00803)	(0.00972)	(0.00981)	(0.0133)	(0.0133)	(0.00504)	(0.00521)	(0.00409)	(0.00421)	(0.00443)	(0.00462)	(0.00512)	(0.00532)	(0.00556)	(0.00576)	(0.00627)	(0.00647)	(0.00672)	(0.00681)
agemay	-0.0497***	-0.0129	0.00363	0.0336***	0.0381***	0.0642***	0.0235**	0.0461***	0.0590***	0.0752***	0.0432***	0.0548***	0.00159	0.0261	-0.347***	-0.245***	-0.290***	-0.205***	-0.159***	-0.0841***	-0.141***	-0.0849***	-0.00685	0.0326	-0.00365	0.0244	-0.00430	0.0537	0.0190**	0.0298***	0.000647	0.0110	0.0322***	0.0378***	0.0206*	0.0228*	0.0702***	0.0809***	0.0988***	0.103***	0.138***	0.145***	-0.00600	0.0155	0.00934	0.0242***	0.0429***	0.0552***	-0.0137*	-0.000511	0.0109	0.0223***	-0.0126	-0.00451	-0.00430	0.00489
	(0.00967)	(0.00968)	(0.00777)	(0.00788)	(0.00758)	(0.00776)	(0.00935)	(0.00947)	(0.0112)	(0.0115)	(0.0146)	(0.0150)	(0.0201)	(0.0204)	(0.0201)	(0.0199)	(0.0156)	(0.0159)	(0.0173)	(0.0178)	(0.0221)	(0.0224)	(0.0269)	(0.0276)	(0.0357)	(0.0367)	(0.0506)	(0.0516)	(0.00966)	(0.00961)	(0.00837)	(0.00842)	(0.00979)	(0.00981)	(0.0123)	(0.0123)	(0.0154)	(0.0156)	(0.0207)	(0.0210)	(0.0308)	(0.0309)	(0.00980)	(0.00996)	(0.00719)	(0.00730)	(0.00705)	(0.00723)	(0.00743)	(0.00756)	(0.00796)	(0.00808)	(0.00899)	(0.00911)	(0.0114)	(0.0112)
magesq	0.000794***	0.000300**	8.09e-05	-0.000303***	-0.000221**	-0.000557***	4.27e-05	-0.000257**	-0.000343**	-0.000565***	-0.000107	-0.000282	0.000380	-1.26e-05	0.00510***	0.00374***	0.00430***	0.00322***	0.00281***	0.00186***	0.00278***	0.00202***	0.00116***	0.000603	0.00124***	0.000818*	0.00157**	0.000564	-0.000474***	-0.000615***	-0.000457***	-0.000580***	-0.000962***	-0.00103***	-0.000838***	-0.000858***	-0.00133***	-0.00148***	-0.00157***	-0.00163***	-0.00192***	-0.00207***	0.000145	-0.000117	-8.49e-06	-0.000197**	-0.000413***	-0.000576***	0.000326***	0.000147	1.71e-05	-0.000135	0.000320***	0.000218*	0.000207	6.21e-05
	(0.000128)	(0.000129)	(0.000102)	(0.000103)	(0.000102)	(0.000105)	(0.000123)	(0.000125)	(0.000145)	(0.000150)	(0.000184)	(0.000190)	(0.000250)	(0.000254)	(0.000286)	(0.000286)	(0.000224)	(0.000228)	(0.000248)	(0.000257)	(0.000309)	(0.000315)	(0.000363)	(0.000374)	(0.000466)	(0.000482)	(0.000638)	(0.000652)	(0.000134)	(0.000134)	(0.000114)	(0.000114)	(0.000130)	(0.000130)	(0.000159)	(0.000160)	(0.000195)	(0.000196)	(0.000255)	(0.000259)	(0.000371)	(0.000373)	(0.000119)	(0.000121)	(8.81e-05)	(8.96e-05)	(8.77e-05)	(9.03e-05)	(9.35e-05)	(9.53e-05)	(0.000100)	(0.000102)	(0.000112)	(0.000114)	(0.000140)	(0.000138)
agefirstbirth	0.000629	0.0122***	0.00220	0.0156***	-0.00680***	0.00186	-0.00559***	0.000247	-0.0141***	-0.0127***	-0.0111***	-0.0105***	-0.00498*	-0.00502*	0.0183***	0.0493***	0.0222***	0.0543***	0.00394	0.0243***	-0.00312	0.00944**	-0.0319***	-0.0296***	-0.0235***	-0.0240***	-0.0457***	-0.0490***	1.20e-05	0.00401***	-0.00130	0.00317***	-0.00348***	-0.000183	-0.00148	0.00123	-0.00695***	-0.00661***	-0.00750***	-0.00753***	-0.00860***	-0.00806***	0.00274**	0.00805***	0.000606	0.00616***	-0.000768	0.00318***	-0.00223**	-0.000222	-0.00467***	-0.00465***	-0.00226*	-0.00214*	-0.00464***	-0.00564***
	(0.00221)	(0.00224)	(0.00170)	(0.00167)	(0.00162)	(0.00166)	(0.00175)	(0.00182)	(0.00191)	(0.00198)	(0.00222)	(0.00227)	(0.00272)	(0.00276)	(0.00427)	(0.00447)	(0.00335)	(0.00338)	(0.00372)	(0.00382)	(0.00438)	(0.00450)	(0.00485)	(0.00499)	(0.00574)	(0.00589)	(0.00719)	(0.00728)	(0.00142)	(0.00142)	(0.00106)	(0.00104)	(0.00111)	(0.00109)	(0.00138)	(0.00138)	(0.00154)	(0.00154)	(0.00202)	(0.00200)	(0.00273)	(0.00272)	(0.00136)	(0.00141)	(0.000934)	(0.000943)	(0.000951)	(0.000973)	(0.00105)	(0.00108)	(0.00113)	(0.00116)	(0.00124)	(0.00126)	(0.00142)	(0.00141)
height	0.00437***		0.00481***		0.00606***		0.00482***		0.00410***		0.00372***		0.00284**		0.0102***		0.0135***		0.0146***		0.0138***		0.00806***		0.01000***		0.00985***		0.00130***		0.00121***		0.00155***		0.00225***		0.00108		0.00201**		0.00302**		0.00169***		0.00292***		0.00188***		0.00164***		0.00126***		0.000984*		0.00107*	
	(0.000758)		(0.000608)		(0.000614)		(0.000720)		(0.000801)		(0.000927)		(0.00112)		(0.00158)		(0.00139)		(0.00153)		(0.00184)		(0.00210)		(0.00253)		(0.00327)		(0.000487)		(0.000429)		(0.000456)		(0.000565)		(0.000685)		(0.000808)		(0.00119)		(0.000429)		(0.000350)		(0.000378)		(0.000431)		(0.000468)		(0.000525)		(0.000582)	
bmi	0.00729***		0.00925***		0.0129***		0.0158***		0.0153***		0.0155***		0.0191***		0.0270***		0.0322***		0.0420***		0.0468***		0.0501***		0.0472***		0.0488***		-0.000451		-0.000285		0.00171***		0.00273***		0.00271***		0.00201*		0.00225		0.00401***		0.00371***		0.00524***		0.00640***		0.00649***		0.00570***		0.00720***	
	(0.00101)		(0.000839)		(0.000830)		(0.00100)		(0.00115)		(0.00131)		(0.00156)		(0.00221)		(0.00186)		(0.00212)		(0.00257)		(0.00303)		(0.00353)		(0.00445)		(0.000709)		(0.000587)		(0.000635)		(0.000782)		(0.000905)		(0.00113)		(0.00157)		(0.000555)		(0.000434)		(0.000469)		(0.000553)		(0.000639)		(0.000737)		(0.000822)	
educf_1_4	0.167***		0.160***		0.264***		0.260***		0.285***		0.334***		0.293***		0.578***		0.476***		0.751***		0.705***		0.755***		0.851***		0.771***		0.0315**		0.0384***		0.0672***		0.0919***		0.115***		0.162***		0.0925***		0.105***		0.0802***		0.110***		0.102***		0.105***		0.114***		0.0713***	
	(0.0206)		(0.0129)		(0.0121)		(0.0132)		(0.0137)		(0.0158)		(0.0200)		(0.0514)		(0.0325)		(0.0298)		(0.0326)		(0.0359)		(0.0412)		(0.0522)		(0.0133)		(0.00981)		(0.00956)		(0.0109)		(0.0133)		(0.0151)		(0.0221)		(0.0140)		(0.00867)		(0.00766)		(0.00807)		(0.00847)		(0.00938)		(0.0108)	
educf_5_6	0.330***		0.324***		0.426***		0.442***		0.521***		0.526***		0.498***		0.964***		0.876***		1.129***		1.141***		1.348***		1.364***		1.305***		0.0743***		0.0887***		0.125***		0.126***		0.169***		0.169***		0.167***		0.154***		0.148***		0.188***		0.190***		0.195***		0.204***		0.168***	
	(0.0182)		(0.0117)		(0.0114)		(0.0138)		(0.0159)		(0.0189)		(0.0248)		(0.0438)		(0.0284)		(0.0287)		(0.0342)		(0.0392)		(0.0493)		(0.0632)		(0.0119)		(0.00879)		(0.00906)		(0.0112)		(0.0139)		(0.0167)		(0.0255)		(0.0116)		(0.00740)		(0.00691)		(0.00819)		(0.00941)		(0.0110)		(0.0130)	
educf_7_10	0.417***		0.436***		0.580***		0.626***		0.655***		0.693***		0.608***		1.217***		1.219***		1.534***		1.578***		1.650***		1.685***		1.531***		0.0970***		0.119***		0.151***		0.175***		0.206***		0.223***		0.244***		0.202***		0.196***		0.248***		0.263***		0.263***		0.266***		0.212***	
	(0.0157)		(0.0104)		(0.0115)		(0.0136)		(0.0167)		(0.0211)		(0.0256)		(0.0384)		(0.0253)		(0.0274)		(0.0338)		(0.0413)		(0.0489)		(0.0693)		(0.00976)		(0.00714)		(0.00828)		(0.0103)		(0.0132)		(0.0164)		(0.0269)		(0.00999)		(0.00627)		(0.00646)		(0.00774)		(0.00916)		(0.0113)		(0.0147)	
educf_11plus	0.505***		0.584***		0.651***		0.725***		0.833***		0.812***		0.814***		1.396***		1.459***		1.630***		1.710***		2.012***		1.864***		1.821***		0.164***		0.191***		0.216***		0.252***		0.279***		0.284***		0.330***		0.224***		0.216***		0.254***		0.284***		0.287***		0.291***		0.249***	
	(0.0159)		(0.0118)		(0.0127)		(0.0173)		(0.0231)		(0.0308)		(0.0387)		(0.0378)		(0.0265)		(0.0300)		(0.0409)		(0.0590)		(0.0768)		(0.120)		(0.0105)		(0.00817)		(0.00932)		(0.0123)		(0.0169)		(0.0268)		(0.0427)		(0.0100)		(0.00671)		(0.00700)		(0.00870)		(0.0116)		(0.0148)		(0.0178)	
poor1	-0.168***		-0.207***		-0.262***		-0.242***		-0.262***		-0.322***		-0.263***		-0.385***		-0.459***		-0.568***		-0.655***		-0.663***		-0.799***		-0.824***		-0.0758***		-0.0697***		-0.107***		-0.0935***		-0.114***		-0.117***		-0.141***		-0.131***		-0.125***		-0.141***		-0.144***		-0.131***		-0.133***		-0.135***	
	(0.0228)		(0.0145)		(0.0130)		(0.0144)		(0.0152)		(0.0172)		(0.0213)		(0.0517)		(0.0333)		(0.0320)		(0.0362)		(0.0390)		(0.0465)		(0.0558)		(0.0113)		(0.00796)		(0.00747)		(0.00816)		(0.00920)		(0.0106)		(0.0164)		(0.0169)		(0.0102)		(0.00895)		(0.00924)		(0.00910)		(0.0103)		(0.0110)	
Constant	-0.679**	-0.382	-1.494***	-1.437***	-2.849***	-1.364***	-3.107***	-3.849***	-4.565***	-2.350***	-3.649***	-2.208***	-2.880***	-1.706***	1.571***	1.868	1.246	1.276***	-1.690**	1.845***	-3.535***	-6.285***	-5.736***	-1.040	-5.054***	-1.786	-3.430***	0.273	1.318***	1.348***	2.504***	2.499***	1.510***	1.727***	1.570***	2.021***	0.563*	0.750**	-0.533	-0.0536	-2.574***	-1.854***	-0.563***	-0.831**	-0.776***	-0.740***	-0.956***	-1.183***	-0.811***	-1.071***	-1.314***	-0.803***	-0.800***	-0.646***	-0.904***	-0.360
	(0.320)	(0.418)	(0.545)	(0.135)	(0.424)	(0.141)	(0.283)	(0.181)	(0.372)	(0.449)	(0.359)	(0.466)	(0.496)	(0.464)	(0.538)	(1.599)	(0.936)	(0.252)	(0.783)	(0.282)	(0.862)	(0.437)	(0.644)	(1.187)	(0.866)	(1.247)	(1.173)	(1.089)	(0.240)	(0.230)	(0.244)	(0.230)	(0.217)	(0.205)	(0.273)	(0.261)	(0.330)	(0.319)	(0.442)	(0.432)	(0.668)	(0.645)	(0.209)	(0.346)	(0.153)	(0.145)	(0.151)	(0.142)	(0.168)	(0.147)	(0.171)	(0.294)	(0.220)	(0.196)	(0.251)	(0.259)
																																																								
Observations	51,450	51,836	88,281	89,198	89,427	90,673	71,424	72,685	57,211	58,495	41,633	42,651	457,252	458,164	51,465	51,851	88,298	89,215	89,471	90,717	71,459	72,720	57,228	58,512	41,639	42,657	457,258	458,170	37,359	37,455	60,067	60,326	56,533	56,820	43,013	43,301	33,186	33,427	23,344	23,632	444,063	444,262	24,421	24,588	46,467	46,919	48,237	48,938	39,474	40,190	32,869	33,658	24,840	25,498	274,829	275,419
R-squared	0.132	0.083	0.120	0.057	0.125	0.041	0.118	0.040	0.132	0.053	0.138	0.059	0.870	0.855	0.834	0.818	0.779	0.758	0.712	0.681	0.647	0.617	0.611	0.577	0.582	0.549	0.960	0.956	0.622	0.614	0.557	0.547	0.493	0.480	0.436	0.423	0.383	0.366	0.353	0.335	0.994	0.994	0.283	0.227	0.265	0.214	0.294	0.231	0.314	0.256	0.339	0.289	0.355	0.309	0.621	0.600
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
