	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance
																								
fert	-0.0574***	-0.0248	0.00926	0.0101	-0.110***	-0.114***	-0.0160*	-0.0210**	-0.0908***	-0.0743***	-0.0182*	-0.0229**	-0.101***	-0.0695***	-0.00624	-0.00625	-0.0886***	-0.0480**	0.0117	0.0159	-0.0520**	0.00286	0.0181	0.0289**
	(0.0213)	(0.0205)	(0.00894)	(0.00887)	(0.0186)	(0.0185)	(0.00906)	(0.00905)	(0.0190)	(0.0188)	(0.0103)	(0.00984)	(0.0200)	(0.0187)	(0.0108)	(0.00991)	(0.0223)	(0.0205)	(0.0114)	(0.0107)	(0.0224)	(0.0214)	(0.0129)	(0.0126)
malec	-0.0673***	-0.0783***	-0.00691***	-0.00936***	-0.0643***	-0.0782***	0.00128	-0.00256	-0.0352***	-0.0536***	0.00838***	0.00382	-0.00741	-0.0258***	0.0199***	0.0154***	0.0183***	-0.000933	0.0280***	0.0229***	0.0416***	0.0303***	0.0438***	0.0394***
	(0.00619)	(0.00635)	(0.00262)	(0.00266)	(0.00488)	(0.00506)	(0.00229)	(0.00233)	(0.00484)	(0.00504)	(0.00257)	(0.00262)	(0.00512)	(0.00530)	(0.00289)	(0.00291)	(0.00543)	(0.00563)	(0.00318)	(0.00319)	(0.00600)	(0.00614)	(0.00361)	(0.00363)
agemay	0.0126**	0.0590***	0.0231***	0.0337***	0.0400***	0.0803***	0.0416***	0.0522***	0.0495***	0.0958***	0.0391***	0.0511***	0.0287***	0.0718***	0.0389***	0.0507***	0.0542***	0.0956***	0.0561***	0.0690***	0.0258***	0.0581***	0.0504***	0.0602***
	(0.00611)	(0.00618)	(0.00337)	(0.00338)	(0.00464)	(0.00475)	(0.00294)	(0.00299)	(0.00467)	(0.00482)	(0.00330)	(0.00334)	(0.00533)	(0.00549)	(0.00395)	(0.00399)	(0.00625)	(0.00642)	(0.00475)	(0.00478)	(0.00792)	(0.00810)	(0.00618)	(0.00620)
magesq	8.54e-05	-0.000502***	-0.000189***	-0.000323***	-0.000296***	-0.000760***	-0.000434***	-0.000550***	-0.000316***	-0.000835***	-0.000374***	-0.000501***	3.52e-05	-0.000433***	-0.000339***	-0.000460***	-0.000288***	-0.000727***	-0.000501***	-0.000648***	6.49e-05	-0.000275***	-0.000411***	-0.000524***
	(8.33e-05)	(8.48e-05)	(4.66e-05)	(4.67e-05)	(6.33e-05)	(6.54e-05)	(4.04e-05)	(4.11e-05)	(6.44e-05)	(6.68e-05)	(4.47e-05)	(4.52e-05)	(7.20e-05)	(7.45e-05)	(5.24e-05)	(5.29e-05)	(8.24e-05)	(8.48e-05)	(6.10e-05)	(6.13e-05)	(0.000101)	(0.000103)	(7.71e-05)	(7.74e-05)
