	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool
																																																																																																					
T_After	-0.136*	-0.0643	-0.0273	-0.0328	-0.0636*	-0.0444	-0.0460	0.00371	-0.121***	-0.0889***	-0.0291	-0.00643	-0.103**	-0.0628*	-0.163	-0.101	0.0287	0.00524	-0.0263	-0.0499	-0.123	0.0449	-0.268***	-0.195***	-0.0598	0.00140	-0.298***	-0.223**	-0.133***	-0.188***	-0.0420	-0.0625**	-0.0284	-0.0240	-0.0302	-0.0256	-0.00431	-0.0182	0.0319	0.00574	-0.0248	-0.00393	0.0111	0.000489	0.0167	0.00929	0.0106	-0.0239	-0.00932	0.00721	-0.0441**	-0.0529***	0.0137	0.00435	0.00264	0.00294	-0.0917*	-0.0670	-0.0268	0.0254	-0.0542	-0.0133	-0.0679**	0.0147	-0.0134	0.0138	-0.0331	0.0170	-0.0629	0.0357	-0.132	-0.0750	-0.0217	0.0763	-0.0420	0.0497	-0.191**	-0.000911	-0.0161	0.0494	-0.172**	-0.0132	0.0406	0.181**	-0.0711**	-0.0941***	-0.0369	-0.0686**	-0.0171	-0.0248	-0.00610	-0.0327	0.00600	0.0113	-8.22e-05	-0.00278	-0.0557	-0.0502	0.0270	0.0231	0.0150
	(0.0782)	(0.0619)	(0.0353)	(0.0317)	(0.0333)	(0.0302)	(0.0319)	(0.0277)	(0.0369)	(0.0309)	(0.0346)	(0.0293)	(0.0438)	(0.0356)	(0.146)	(0.117)	(0.0691)	(0.0628)	(0.0764)	(0.0699)	(0.0805)	(0.0663)	(0.0856)	(0.0722)	(0.0896)	(0.0762)	(0.103)	(0.0869)	(0.0514)	(0.0467)	(0.0312)	(0.0285)	(0.0258)	(0.0247)	(0.0242)	(0.0226)	(0.0296)	(0.0276)	(0.0307)	(0.0278)	(0.0400)	(0.0358)	(0.0433)	(0.0343)	(0.0222)	(0.0206)	(0.0199)	(0.0185)	(0.0227)	(0.0180)	(0.0210)	(0.0172)	(0.0214)	(0.0179)	(0.0225)	(0.0182)	(0.0469)	(0.0444)	(0.0361)	(0.0329)	(0.0334)	(0.0279)	(0.0313)	(0.0272)	(0.0309)	(0.0276)	(0.0323)	(0.0288)	(0.0384)	(0.0324)	(0.0856)	(0.0819)	(0.0810)	(0.0701)	(0.0751)	(0.0636)	(0.0763)	(0.0653)	(0.0764)	(0.0677)	(0.0790)	(0.0718)	(0.101)	(0.0843)	(0.0352)	(0.0350)	(0.0321)	(0.0315)	(0.0215)	(0.0212)	(0.0258)	(0.0232)	(0.0287)	(0.0255)	(0.0312)	(0.0281)	(0.0427)	(0.0358)	(0.0307)	(0.0280)	(0.0226)
malec	-0.0822***	-0.0935***	-0.0786***	-0.0969***	-0.0379***	-0.0612***	0.00238	-0.0241***	0.0328***	0.00914	0.0661***	0.0513***	-0.0186	-0.0327**	-0.183***	-0.215***	-0.170***	-0.219***	-0.0662***	-0.126***	0.0409*	-0.0263	0.163***	0.0998***	0.208***	0.168***	-0.157***	-0.196***	-0.0131**	-0.0149**	-0.00507	-0.00911*	0.00722	0.000282	0.0236***	0.0168**	0.0215***	0.0133	0.0531***	0.0477***	0.0727***	0.0686***	-0.0138***	-0.0213***	-0.0107***	-0.0206***	0.00150	-0.0109**	0.0143***	0.000381	0.0200***	0.00768	0.0349***	0.0232***	0.0246***	0.0193***	-0.0830***	-0.0922***	-0.0799***	-0.0988***	-0.0407***	-0.0649***	0.000208	-0.0266***	0.0296***	0.00498	0.0638***	0.0487***	-0.0149	-0.0270**	-0.185***	-0.212***	-0.173***	-0.225***	-0.0697***	-0.132***	0.0392*	-0.0306	0.153***	0.0904***	0.200***	0.161***	-0.153***	-0.191***	-0.0124**	-0.0140**	-0.00588	-0.0106**	0.00773	0.000781	0.0222***	0.0149**	0.0200**	0.0108	0.0522***	0.0477***	0.0714***	0.0660***	-0.0129**	-0.0203***	-0.0103**
	(0.00883)	(0.00905)	(0.00725)	(0.00748)	(0.00747)	(0.00783)	(0.00867)	(0.00903)	(0.00966)	(0.0101)	(0.0112)	(0.0117)	(0.0124)	(0.0127)	(0.0182)	(0.0190)	(0.0160)	(0.0167)	(0.0183)	(0.0193)	(0.0219)	(0.0228)	(0.0250)	(0.0261)	(0.0303)	(0.0316)	(0.0341)	(0.0349)	(0.00588)	(0.00594)	(0.00506)	(0.00510)	(0.00559)	(0.00565)	(0.00676)	(0.00683)	(0.00818)	(0.00826)	(0.0100)	(0.0101)	(0.0137)	(0.0138)	(0.00505)	(0.00524)	(0.00413)	(0.00426)	(0.00450)	(0.00472)	(0.00520)	(0.00544)	(0.00568)	(0.00592)	(0.00645)	(0.00669)	(0.00693)	(0.00709)	(0.00886)	(0.00910)	(0.00721)	(0.00743)	(0.00744)	(0.00781)	(0.00861)	(0.00900)	(0.00958)	(0.0101)	(0.0111)	(0.0117)	(0.0122)	(0.0126)	(0.0183)	(0.0191)	(0.0160)	(0.0167)	(0.0182)	(0.0192)	(0.0218)	(0.0228)	(0.0247)	(0.0260)	(0.0300)	(0.0314)	(0.0336)	(0.0346)	(0.00591)	(0.00597)	(0.00505)	(0.00510)	(0.00555)	(0.00563)	(0.00668)	(0.00677)	(0.00811)	(0.00819)	(0.00992)	(0.0100)	(0.0135)	(0.0136)	(0.00506)	(0.00526)	(0.00412)
agemay	-0.0492***	-0.0118	0.00255	0.0299***	0.0370***	0.0604***	0.0268***	0.0470***	0.0615***	0.0747***	0.0400***	0.0508***	-0.0118	0.0136	-0.349***	-0.247***	-0.291***	-0.211***	-0.159***	-0.0898***	-0.133***	-0.0843***	-0.000813	0.0292	-0.00766	0.0175	-0.0224	0.0481	0.0206**	0.0306***	-0.000313	0.00983	0.0325***	0.0381***	0.0245**	0.0272**	0.0724***	0.0825***	0.102***	0.107***	0.130***	0.140***	-0.00563	0.0181*	0.00781	0.0207***	0.0451***	0.0565***	-0.0124*	-0.00182	0.0120	0.0234***	-0.0169*	-0.00751	-0.00553	0.00417	-0.0501***	-0.0138	0.00429	0.0344***	0.0385***	0.0649***	0.0247***	0.0469***	0.0570***	0.0723***	0.0327**	0.0430***	0.000690	0.0193	-0.349***	-0.248***	-0.289***	-0.205***	-0.159***	-0.0829***	-0.137***	-0.0826***	-0.00964	0.0315	-0.0113	0.0144	-0.00457	0.0340	0.0197**	0.0309***	-9.06e-05	0.0102	0.0338***	0.0392***	0.0210*	0.0248**	0.0739***	0.0854***	0.0867***	0.0889***	0.143***	0.146***	-0.00618	0.0151	0.0106
	(0.00970)	(0.00971)	(0.00780)	(0.00791)	(0.00767)	(0.00786)	(0.00945)	(0.00962)	(0.0113)	(0.0116)	(0.0150)	(0.0154)	(0.0208)	(0.0211)	(0.0201)	(0.0200)	(0.0157)	(0.0160)	(0.0175)	(0.0180)	(0.0225)	(0.0229)	(0.0274)	(0.0282)	(0.0366)	(0.0377)	(0.0521)	(0.0531)	(0.00969)	(0.00962)	(0.00840)	(0.00843)	(0.00997)	(0.00997)	(0.0124)	(0.0124)	(0.0158)	(0.0159)	(0.0211)	(0.0214)	(0.0311)	(0.0313)	(0.00982)	(0.00996)	(0.00723)	(0.00734)	(0.00710)	(0.00728)	(0.00750)	(0.00764)	(0.00807)	(0.00819)	(0.00913)	(0.00925)	(0.0118)	(0.0117)	(0.00966)	(0.00969)	(0.00780)	(0.00793)	(0.00761)	(0.00782)	(0.00941)	(0.00959)	(0.0112)	(0.0115)	(0.0149)	(0.0155)	(0.0200)	(0.0204)	(0.0201)	(0.0200)	(0.0157)	(0.0160)	(0.0174)	(0.0179)	(0.0223)	(0.0228)	(0.0270)	(0.0277)	(0.0358)	(0.0371)	(0.0506)	(0.0516)	(0.00968)	(0.00963)	(0.00840)	(0.00845)	(0.00984)	(0.00987)	(0.0123)	(0.0123)	(0.0154)	(0.0156)	(0.0213)	(0.0217)	(0.0307)	(0.0308)	(0.00982)	(0.01000)	(0.00720)
magesq	0.000792***	0.000303**	9.36e-05	-0.000253**	-0.000202*	-0.000499***	7.86e-06	-0.000243*	-0.000369**	-0.000552***	-6.38e-05	-0.000221	0.000559**	0.000173	0.00513***	0.00377***	0.00431***	0.00330***	0.00283***	0.00196***	0.00270***	0.00207***	0.00110***	0.000682*	0.00128***	0.000911*	0.00181***	0.000686	-0.000505***	-0.000635***	-0.000448***	-0.000570***	-0.000955***	-0.00103***	-0.000877***	-0.000906***	-0.00136***	-0.00150***	-0.00160***	-0.00168***	-0.00181***	-0.00198***	0.000142	-0.000144	1.06e-05	-0.000156*	-0.000438***	-0.000588***	0.000311***	0.000170*	5.56e-06	-0.000146	0.000370***	0.000250**	0.000230	7.62e-05	0.000797***	0.000303**	7.37e-05	-0.000311***	-0.000223**	-0.000561***	2.27e-05	-0.000270**	-0.000311**	-0.000527***	1.12e-05	-0.000146	0.000387	6.93e-05	0.00512***	0.00376***	0.00429***	0.00323***	0.00281***	0.00186***	0.00273***	0.00200***	0.00121***	0.000632*	0.00132***	0.000928*	0.00156**	0.000792	-0.000484***	-0.000635***	-0.000446***	-0.000570***	-0.000982***	-0.00104***	-0.000840***	-0.000884***	-0.00137***	-0.00154***	-0.00142***	-0.00147***	-0.00198***	-0.00208***	0.000145	-0.000114	-2.30e-05
	(0.000128)	(0.000129)	(0.000102)	(0.000104)	(0.000103)	(0.000107)	(0.000124)	(0.000127)	(0.000147)	(0.000151)	(0.000189)	(0.000195)	(0.000258)	(0.000262)	(0.000286)	(0.000287)	(0.000225)	(0.000230)	(0.000251)	(0.000260)	(0.000314)	(0.000321)	(0.000370)	(0.000383)	(0.000478)	(0.000494)	(0.000656)	(0.000668)	(0.000135)	(0.000134)	(0.000114)	(0.000115)	(0.000133)	(0.000132)	(0.000160)	(0.000161)	(0.000199)	(0.000201)	(0.000259)	(0.000262)	(0.000374)	(0.000377)	(0.000119)	(0.000121)	(8.87e-05)	(9.01e-05)	(8.83e-05)	(9.10e-05)	(9.43e-05)	(9.63e-05)	(0.000101)	(0.000103)	(0.000114)	(0.000116)	(0.000145)	(0.000144)	(0.000128)	(0.000129)	(0.000102)	(0.000104)	(0.000103)	(0.000106)	(0.000124)	(0.000127)	(0.000145)	(0.000150)	(0.000188)	(0.000196)	(0.000248)	(0.000253)	(0.000286)	(0.000288)	(0.000225)	(0.000230)	(0.000249)	(0.000259)	(0.000311)	(0.000320)	(0.000364)	(0.000376)	(0.000468)	(0.000486)	(0.000638)	(0.000651)	(0.000135)	(0.000134)	(0.000114)	(0.000115)	(0.000131)	(0.000131)	(0.000160)	(0.000160)	(0.000195)	(0.000197)	(0.000261)	(0.000267)	(0.000370)	(0.000372)	(0.000119)	(0.000121)	(8.83e-05)
