	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	-0.0909*	-0.0104	-0.0267	0.0110	-0.0525	-0.0213	-0.0703**	0.0118	-0.0152	0.00987	-0.0271	0.0283	-0.0654*	0.0279	-0.131	-0.00337	-0.0248	0.0526	-0.0416	0.0356	-0.190**	0.00750	-0.0194	0.0397	-0.163**	0.00997	0.0360	0.157*	-0.0707**	-0.0988***	-0.0367	-0.0765**	-0.0163	-0.0126	-0.00509	-0.0202	0.00502	0.0143	0.00126	-0.00379	-0.0554	-0.0472	0.0266	0.0334	0.0157	0.0156	-0.00772	-0.0328**	-0.0329	-0.0216	0.0299	7.39e-07	-0.0305	-0.0127	-0.00125	-0.00987
	(0.0469)	(0.0438)	(0.0361)	(0.0316)	(0.0334)	(0.0275)	(0.0313)	(0.0266)	(0.0309)	(0.0271)	(0.0322)	(0.0285)	(0.0383)	(0.0325)	(0.0855)	(0.0785)	(0.0810)	(0.0665)	(0.0751)	(0.0623)	(0.0764)	(0.0638)	(0.0764)	(0.0660)	(0.0791)	(0.0710)	(0.101)	(0.0838)	(0.0353)	(0.0345)	(0.0321)	(0.0311)	(0.0215)	(0.0211)	(0.0258)	(0.0229)	(0.0287)	(0.0255)	(0.0312)	(0.0278)	(0.0427)	(0.0355)	(0.0307)	(0.0273)	(0.0226)	(0.0201)	(0.0213)	(0.0165)	(0.0203)	(0.0162)	(0.0203)	(0.0163)	(0.0192)	(0.0161)	(0.0218)	(0.0169)
malec	-0.0838***	-0.0928***	-0.0810***	-0.101***	-0.0418***	-0.0665***	0.000216	-0.0273***	0.0330***	0.00684	0.0599***	0.0414***	-0.0181	-0.0300**	-0.186***	-0.213***	-0.174***	-0.227***	-0.0719***	-0.137***	0.0360	-0.0356	0.162***	0.0920***	0.194***	0.147***	-0.159***	-0.195***	-0.0124**	-0.0143**	-0.00499	-0.0100*	0.00648	-0.00117	0.0228***	0.0146**	0.0230***	0.0120	0.0535***	0.0490***	0.0710***	0.0659***	-0.0128**	-0.0212***	-0.0106**	-0.0220***	0.000528	-0.0148***	0.0127**	-0.00340	0.0198***	0.00575	0.0335***	0.0227***	0.0243***	0.0190***
	(0.00885)	(0.00906)	(0.00722)	(0.00740)	(0.00749)	(0.00785)	(0.00867)	(0.00903)	(0.00967)	(0.0101)	(0.0113)	(0.0118)	(0.0124)	(0.0127)	(0.0183)	(0.0191)	(0.0160)	(0.0167)	(0.0184)	(0.0193)	(0.0219)	(0.0229)	(0.0250)	(0.0262)	(0.0304)	(0.0316)	(0.0342)	(0.0350)	(0.00590)	(0.00596)	(0.00507)	(0.00511)	(0.00560)	(0.00566)	(0.00675)	(0.00682)	(0.00818)	(0.00825)	(0.0101)	(0.0102)	(0.0137)	(0.0138)	(0.00504)	(0.00524)	(0.00413)	(0.00427)	(0.00451)	(0.00473)	(0.00520)	(0.00544)	(0.00569)	(0.00595)	(0.00646)	(0.00670)	(0.00690)	(0.00705)
agemay	-0.0490***	-0.0122	0.00362	0.0340***	0.0398***	0.0666***	0.0269***	0.0486***	0.0569***	0.0724***	0.0323**	0.0403***	-0.00246	0.0202	-0.350***	-0.245***	-0.287***	-0.201***	-0.157***	-0.0808***	-0.131***	-0.0756***	-0.00704	0.0355	-0.0114	0.0104	-0.00726	0.0435	0.0183*	0.0282***	-0.00103	0.00888	0.0344***	0.0398***	0.0246**	0.0288**	0.0750***	0.0850***	0.0886***	0.0925***	0.125***	0.130***	-0.00711	0.0144	0.0102	0.0261***	0.0439***	0.0564***	-0.0137*	-0.000421	0.0133*	0.0249***	-0.0141	-0.00842	-0.00299	0.00560
	(0.00963)	(0.00964)	(0.00781)	(0.00790)	(0.00768)	(0.00786)	(0.00948)	(0.00961)	(0.0112)	(0.0115)	(0.0152)	(0.0157)	(0.0207)	(0.0210)	(0.0200)	(0.0198)	(0.0157)	(0.0159)	(0.0175)	(0.0180)	(0.0225)	(0.0228)	(0.0273)	(0.0279)	(0.0364)	(0.0374)	(0.0518)	(0.0527)	(0.00970)	(0.00962)	(0.00840)	(0.00843)	(0.00993)	(0.00995)	(0.0124)	(0.0124)	(0.0158)	(0.0159)	(0.0216)	(0.0220)	(0.0312)	(0.0311)	(0.00979)	(0.00994)	(0.00721)	(0.00729)	(0.00709)	(0.00726)	(0.00744)	(0.00756)	(0.00805)	(0.00815)	(0.00913)	(0.00921)	(0.0116)	(0.0115)
magesq	0.000786***	0.000289**	8.08e-05	-0.000303***	-0.000240**	-0.000586***	-4.30e-06	-0.000290**	-0.000307**	-0.000522***	1.81e-05	-0.000113	0.000427*	5.84e-05	0.00513***	0.00372***	0.00426***	0.00317***	0.00280***	0.00182***	0.00266***	0.00191***	0.00119***	0.000599	0.00132***	0.000966**	0.00159**	0.000680	-0.000467***	-0.000602***	-0.000438***	-0.000556***	-0.000982***	-0.00104***	-0.000875***	-0.000925***	-0.00140***	-0.00154***	-0.00144***	-0.00151***	-0.00177***	-0.00189***	0.000158	-0.000103	-1.48e-05	-0.000216**	-0.000426***	-0.000595***	0.000323***	0.000148	-7.77e-06	-0.000162	0.000334***	0.000255**	0.000191	5.05e-05
	(0.000127)	(0.000128)	(0.000102)	(0.000104)	(0.000103)	(0.000106)	(0.000125)	(0.000127)	(0.000146)	(0.000151)	(0.000192)	(0.000198)	(0.000256)	(0.000261)	(0.000285)	(0.000285)	(0.000225)	(0.000229)	(0.000251)	(0.000260)	(0.000314)	(0.000320)	(0.000368)	(0.000378)	(0.000475)	(0.000490)	(0.000653)	(0.000664)	(0.000135)	(0.000134)	(0.000114)	(0.000115)	(0.000132)	(0.000132)	(0.000160)	(0.000161)	(0.000199)	(0.000200)	(0.000266)	(0.000270)	(0.000376)	(0.000375)	(0.000119)	(0.000121)	(8.85e-05)	(8.95e-05)	(8.82e-05)	(9.07e-05)	(9.36e-05)	(9.54e-05)	(0.000101)	(0.000103)	(0.000114)	(0.000115)	(0.000143)	(0.000141)
agefirstbirth	0.000688	0.0123***	0.00187	0.0146***	-0.00713***	0.00153	-0.00532***	0.000410	-0.0133***	-0.0123***	-0.0117***	-0.0105***	-0.00649**	-0.00637**	0.0196***	0.0502***	0.0218***	0.0530***	0.00322	0.0233***	-0.00250	0.00945**	-0.0318***	-0.0307***	-0.0244***	-0.0236***	-0.0503***	-0.0530***	9.71e-05	0.00408***	-0.00136	0.00291***	-0.00395***	-0.000830	-0.00143	0.00119	-0.00721***	-0.00694***	-0.00746***	-0.00711***	-0.00879***	-0.00837***	0.00298**	0.00795***	0.000330	0.00594***	-0.00106	0.00281***	-0.00196*	0.000101	-0.00432***	-0.00436***	-0.00245*	-0.00200	-0.00513***	-0.00595***
	(0.00221)	(0.00222)	(0.00171)	(0.00168)	(0.00164)	(0.00168)	(0.00178)	(0.00185)	(0.00193)	(0.00200)	(0.00227)	(0.00232)	(0.00277)	(0.00281)	(0.00425)	(0.00442)	(0.00337)	(0.00341)	(0.00379)	(0.00388)	(0.00444)	(0.00457)	(0.00493)	(0.00506)	(0.00587)	(0.00601)	(0.00733)	(0.00738)	(0.00142)	(0.00140)	(0.00106)	(0.00105)	(0.00112)	(0.00110)	(0.00140)	(0.00140)	(0.00157)	(0.00156)	(0.00208)	(0.00205)	(0.00279)	(0.00275)	(0.00135)	(0.00141)	(0.000942)	(0.000956)	(0.000963)	(0.000983)	(0.00106)	(0.00109)	(0.00114)	(0.00117)	(0.00127)	(0.00129)	(0.00144)	(0.00142)
height	0.00430***		0.00496***		0.00607***		0.00473***		0.00404***		0.00356***		0.00315***		0.0104***		0.0137***		0.0149***		0.0138***		0.00787***		0.00975***		0.0107***		0.00131***		0.00130***		0.00153***		0.00235***		0.00104		0.00209**		0.00375***		0.00179***		0.00294***		0.00188***		0.00157***		0.00106**		0.000908*		0.00114*	
	(0.000750)		(0.000611)		(0.000621)		(0.000729)		(0.000815)		(0.000941)		(0.00114)		(0.00156)		(0.00140)		(0.00154)		(0.00186)		(0.00214)		(0.00257)		(0.00332)		(0.000484)		(0.000431)		(0.000461)		(0.000574)		(0.000699)		(0.000828)		(0.00122)		(0.000423)		(0.000354)		(0.000381)		(0.000434)		(0.000474)		(0.000532)		(0.000589)	
bmi	0.00713***		0.00939***		0.0129***		0.0166***		0.0154***		0.0148***		0.0186***		0.0270***		0.0326***		0.0421***		0.0486***		0.0512***		0.0447***		0.0476***		-0.000384		-0.000167		0.00165**		0.00324***		0.00254***		0.00168		0.00231		0.00401***		0.00373***		0.00530***		0.00677***		0.00675***		0.00551***		0.00691***	
	(0.00101)		(0.000840)		(0.000840)		(0.00101)		(0.00116)		(0.00134)		(0.00159)		(0.00221)		(0.00187)		(0.00215)		(0.00260)		(0.00309)		(0.00362)		(0.00457)		(0.000708)		(0.000589)		(0.000645)		(0.000794)		(0.000926)		(0.00116)		(0.00162)		(0.000553)		(0.000437)		(0.000475)		(0.000557)		(0.000650)		(0.000756)		(0.000845)	
educf_1_4	0.169***		0.159***		0.260***		0.263***		0.284***		0.334***		0.283***		0.584***		0.475***		0.744***		0.711***		0.751***		0.847***		0.774***		0.0323**		0.0393***		0.0637***		0.0913***		0.119***		0.166***		0.0941***		0.105***		0.0821***		0.110***		0.102***		0.104***		0.111***		0.0706***	
	(0.0206)		(0.0129)		(0.0122)		(0.0134)		(0.0139)		(0.0162)		(0.0199)		(0.0514)		(0.0326)		(0.0300)		(0.0329)		(0.0364)		(0.0415)		(0.0529)		(0.0134)		(0.00982)		(0.00967)		(0.0111)		(0.0135)		(0.0154)		(0.0227)		(0.0140)		(0.00869)		(0.00771)		(0.00814)		(0.00858)		(0.00949)		(0.0109)	
educf_5_6	0.330***		0.324***		0.422***		0.443***		0.526***		0.521***		0.490***		0.966***		0.875***		1.121***		1.151***		1.359***		1.355***		1.305***		0.0761***		0.0881***		0.124***		0.127***		0.164***		0.166***		0.168***		0.153***		0.149***		0.187***		0.190***		0.196***		0.202***		0.165***	
	(0.0182)		(0.0117)		(0.0116)		(0.0140)		(0.0161)		(0.0192)		(0.0253)		(0.0438)		(0.0285)		(0.0289)		(0.0347)		(0.0398)		(0.0499)		(0.0646)		(0.0120)		(0.00881)		(0.00916)		(0.0114)		(0.0142)		(0.0171)		(0.0258)		(0.0116)		(0.00743)		(0.00698)		(0.00825)		(0.00949)		(0.0112)		(0.0131)	
educf_7_10	0.420***		0.437***		0.585***		0.623***		0.650***		0.704***		0.616***		1.222***		1.219***		1.542***		1.578***		1.639***		1.705***		1.548***		0.0968***		0.119***		0.149***		0.180***		0.204***		0.225***		0.238***		0.202***		0.197***		0.251***		0.261***		0.261***		0.267***		0.211***	
	(0.0157)		(0.0105)		(0.0116)		(0.0137)		(0.0170)		(0.0216)		(0.0273)		(0.0385)		(0.0254)		(0.0277)		(0.0341)		(0.0423)		(0.0496)		(0.0719)		(0.00977)		(0.00717)		(0.00840)		(0.0105)		(0.0135)		(0.0168)		(0.0275)		(0.00997)		(0.00630)		(0.00653)		(0.00779)		(0.00929)		(0.0114)		(0.0152)	
educf_11plus	0.509***		0.585***		0.655***		0.727***		0.828***		0.816***		0.838***		1.403***		1.462***		1.639***		1.731***		2.018***		1.883***		1.870***		0.167***		0.189***		0.217***		0.256***		0.277***		0.293***		0.322***		0.225***		0.217***		0.254***		0.286***		0.286***		0.296***		0.246***	
	(0.0159)		(0.0119)		(0.0130)		(0.0177)		(0.0239)		(0.0319)		(0.0399)		(0.0379)		(0.0266)		(0.0305)		(0.0420)		(0.0615)		(0.0787)		(0.125)		(0.0105)		(0.00822)		(0.00953)		(0.0127)		(0.0175)		(0.0275)		(0.0441)		(0.0100)		(0.00674)		(0.00712)		(0.00875)		(0.0120)		(0.0154)		(0.0182)	
poor1	-0.167***		-0.207***		-0.259***		-0.238***		-0.259***		-0.317***		-0.251***		-0.381***		-0.459***		-0.565***		-0.645***		-0.662***		-0.788***		-0.780***		-0.0756***		-0.0714***		-0.109***		-0.0881***		-0.116***		-0.119***		-0.127***		-0.130***		-0.126***		-0.139***		-0.140***		-0.133***		-0.129***		-0.129***	
	(0.0229)		(0.0145)		(0.0132)		(0.0145)		(0.0154)		(0.0175)		(0.0218)		(0.0518)		(0.0334)		(0.0323)		(0.0364)		(0.0395)		(0.0471)		(0.0570)		(0.0113)		(0.00798)		(0.00755)		(0.00826)		(0.00930)		(0.0108)		(0.0169)		(0.0169)		(0.0102)		(0.00904)		(0.00928)		(0.00925)		(0.0105)		(0.0113)	
Constant	-0.674**	-0.726***	-1.515***	-1.440***	-2.874***	-1.943***	-3.190***	-3.925***	-4.604***	-2.356***	-3.341***	-1.891***	-2.815***	-1.389**	1.570***	1.476***	1.160	1.226***	-1.737**	0.632	-3.795***	-6.516***	-5.839***	-1.463*	-4.680***	-1.360	-3.420***	1.543	1.326***	1.388***	2.531***	2.580***	1.477***	1.700***	1.352***	1.793***	0.474	0.667**	-0.362	0.129	-2.449***	-1.575**	-0.562***	-1.420***	-0.800***	-0.781***	-0.964***	-1.282***	-0.832***	-1.122***	-1.355***	-0.904***	-0.708***	-0.498**	-0.932***	-0.397
	(0.319)	(0.166)	(0.548)	(0.137)	(0.427)	(0.547)	(0.287)	(0.184)	(0.374)	(0.319)	(0.370)	(0.475)	(0.506)	(0.583)	(0.536)	(0.284)	(0.940)	(0.256)	(0.794)	(1.372)	(0.868)	(0.456)	(0.653)	(0.775)	(0.881)	(1.256)	(1.199)	(1.397)	(0.240)	(0.230)	(0.245)	(0.237)	(0.220)	(0.210)	(0.276)	(0.261)	(0.336)	(0.324)	(0.460)	(0.451)	(0.679)	(0.650)	(0.209)	(0.198)	(0.153)	(0.145)	(0.152)	(0.143)	(0.169)	(0.147)	(0.172)	(0.281)	(0.223)	(0.199)	(0.256)	(0.305)
																																																								
Observations	51,398	51,955	87,444	88,570	87,948	89,238	69,906	71,233	55,611	56,924	40,461	41,566	456,156	457,081	51,414	51,971	87,460	88,586	87,991	89,281	69,940	71,267	55,628	56,941	40,467	41,572	456,162	457,087	37,297	37,465	59,427	59,779	55,407	55,768	42,021	42,436	32,208	32,581	22,723	23,120	443,391	443,715	24,411	24,664	46,032	46,587	47,450	48,163	38,722	39,498	31,992	32,793	24,175	24,879	274,160	274,731
R-squared	0.133	0.083	0.120	0.056	0.124	0.041	0.118	0.039	0.133	0.054	0.135	0.057	0.875	0.862	0.834	0.819	0.778	0.757	0.710	0.680	0.646	0.615	0.612	0.578	0.581	0.548	0.961	0.957	0.624	0.615	0.557	0.548	0.490	0.476	0.435	0.420	0.384	0.365	0.347	0.330	0.995	0.994	0.286	0.231	0.266	0.217	0.294	0.232	0.317	0.259	0.342	0.292	0.355	0.311	0.620	0.599
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
