	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	0.199	-0.449	0.196*	-0.0912	-0.148**	-0.0757	-0.0798	-0.0183	-0.110**	-0.154***	0.0359	0.0642*	-0.146***	-0.0479	0.118	-1.367*	-0.0488	-0.311	-0.0913	-0.0630	-0.0725	0.0407	-0.232**	-0.326***	0.138	0.161*	-0.196*	-0.0543	-0.431***	-0.472***	-0.0226	-0.00393	-0.111	-0.125**	-0.0239	-0.0128	0.0243	0.0265	0.0696	0.0607*	-0.0534	-0.0146	-0.220*	-0.399***	-0.105	-0.0896	-0.0535	-0.0191	-0.0127	0.0176	-0.0412*	-0.0323	-0.0391	-0.0101	0.0136	0.0262
	(0.550)	(0.314)	(0.108)	(0.120)	(0.0747)	(0.0658)	(0.0494)	(0.0455)	(0.0465)	(0.0382)	(0.0432)	(0.0375)	(0.0395)	(0.0348)	(0.824)	(0.712)	(0.132)	(0.192)	(0.125)	(0.106)	(0.115)	(0.101)	(0.103)	(0.0872)	(0.0893)	(0.0824)	(0.106)	(0.0886)	(0.160)	(0.132)	(0.0661)	(0.0630)	(0.0755)	(0.0577)	(0.0430)	(0.0347)	(0.0462)	(0.0368)	(0.0424)	(0.0350)	(0.0518)	(0.0418)	(0.117)	(0.0964)	(0.0809)	(0.0871)	(0.0470)	(0.0417)	(0.0361)	(0.0306)	(0.0249)	(0.0226)	(0.0241)	(0.0207)	(0.0218)	(0.0186)
malec	-0.0824***	-0.0920***	-0.0796***	-0.0988***	-0.0393***	-0.0641***	0.00209	-0.0256***	0.0340***	0.00968	0.0614***	0.0463***	-0.0195	-0.0321**	-0.183***	-0.211***	-0.172***	-0.224***	-0.0678***	-0.132***	0.0404*	-0.0295	0.167***	0.101***	0.195***	0.156***	-0.157***	-0.187***	-0.0123**	-0.0139**	-0.00496	-0.00948*	0.00753	0.000100	0.0239***	0.0166**	0.0238***	0.0150*	0.0516***	0.0488***	0.0734***	0.0682***	-0.0130**	-0.0205***	-0.0101**	-0.0214***	0.000967	-0.0135***	0.0137***	-0.00154	0.0199***	0.00670	0.0320***	0.0226***	0.0219***	0.0158**
	(0.00888)	(0.00912)	(0.00725)	(0.00746)	(0.00749)	(0.00786)	(0.00865)	(0.00901)	(0.00963)	(0.0101)	(0.0112)	(0.0116)	(0.0123)	(0.0125)	(0.0183)	(0.0192)	(0.0161)	(0.0168)	(0.0183)	(0.0193)	(0.0219)	(0.0228)	(0.0249)	(0.0260)	(0.0300)	(0.0311)	(0.0337)	(0.0343)	(0.00592)	(0.00597)	(0.00508)	(0.00512)	(0.00561)	(0.00567)	(0.00676)	(0.00682)	(0.00817)	(0.00822)	(0.01000)	(0.0100)	(0.0136)	(0.0135)	(0.00507)	(0.00527)	(0.00415)	(0.00428)	(0.00451)	(0.00473)	(0.00520)	(0.00544)	(0.00566)	(0.00591)	(0.00641)	(0.00662)	(0.00683)	(0.00695)
agemay	-0.0511***	-0.0158	0.00398	0.0331***	0.0381***	0.0625***	0.0280***	0.0474***	0.0565***	0.0674***	0.0265*	0.0360**	-0.00933	0.00824	-0.354***	-0.254***	-0.289***	-0.207***	-0.156***	-0.0853***	-0.130***	-0.0824***	-0.00567	0.0228	-0.0203	0.00183	-0.0192	0.0286	0.0196**	0.0304***	-0.00127	0.00939	0.0348***	0.0404***	0.0272**	0.0318**	0.0755***	0.0863***	0.0949***	0.102***	0.130***	0.134***	-0.00612	0.0143	0.00955	0.0246***	0.0451***	0.0580***	-0.0132*	-0.00164	0.0125	0.0229***	-0.0177*	-0.00973	-0.00479	0.00217
	(0.00971)	(0.00976)	(0.00787)	(0.00802)	(0.00772)	(0.00795)	(0.00953)	(0.00978)	(0.0113)	(0.0116)	(0.0153)	(0.0159)	(0.0208)	(0.0213)	(0.0202)	(0.0202)	(0.0159)	(0.0162)	(0.0176)	(0.0183)	(0.0228)	(0.0234)	(0.0275)	(0.0284)	(0.0366)	(0.0380)	(0.0523)	(0.0533)	(0.00975)	(0.00969)	(0.00846)	(0.00850)	(0.0100)	(0.0101)	(0.0124)	(0.0125)	(0.0158)	(0.0160)	(0.0215)	(0.0218)	(0.0310)	(0.0311)	(0.00986)	(0.0100)	(0.00727)	(0.00741)	(0.00714)	(0.00736)	(0.00750)	(0.00772)	(0.00809)	(0.00825)	(0.00914)	(0.00927)	(0.0118)	(0.0119)
magesq	0.000815***	0.000342***	7.78e-05	-0.000285***	-0.000214**	-0.000516***	-1.17e-05	-0.000251*	-0.000295**	-0.000447***	9.44e-05	-4.43e-05	0.000527**	0.000240	0.00518***	0.00385***	0.00430***	0.00328***	0.00280***	0.00193***	0.00265***	0.00206***	0.00118***	0.000806**	0.00143***	0.00110**	0.00177***	0.000916	-0.000485***	-0.000635***	-0.000430***	-0.000564***	-0.000981***	-0.00105***	-0.000900***	-0.000957***	-0.00140***	-0.00156***	-0.00151***	-0.00162***	-0.00182***	-0.00191***	0.000146	-0.000103	-8.68e-06	-0.000197**	-0.000436***	-0.000609***	0.000318***	0.000167*	2.21e-06	-0.000137	0.000377***	0.000272**	0.000218	9.39e-05
	(0.000128)	(0.000130)	(0.000103)	(0.000105)	(0.000104)	(0.000108)	(0.000125)	(0.000130)	(0.000147)	(0.000152)	(0.000193)	(0.000201)	(0.000258)	(0.000264)	(0.000289)	(0.000292)	(0.000227)	(0.000234)	(0.000253)	(0.000265)	(0.000318)	(0.000329)	(0.000371)	(0.000386)	(0.000478)	(0.000497)	(0.000658)	(0.000671)	(0.000136)	(0.000135)	(0.000115)	(0.000115)	(0.000133)	(0.000134)	(0.000161)	(0.000162)	(0.000200)	(0.000201)	(0.000264)	(0.000267)	(0.000374)	(0.000374)	(0.000120)	(0.000122)	(8.91e-05)	(9.10e-05)	(8.88e-05)	(9.20e-05)	(9.44e-05)	(9.75e-05)	(0.000102)	(0.000104)	(0.000114)	(0.000116)	(0.000145)	(0.000145)
agefirstbirth	0.000868	0.0128***	0.00204	0.0148***	-0.00692***	0.00193	-0.00519***	0.000347	-0.0132***	-0.0118***	-0.0117***	-0.0105***	-0.00780***	-0.00695**	0.0197***	0.0515***	0.0223***	0.0537***	0.00311	0.0245***	-0.00238	0.00937**	-0.0315***	-0.0299***	-0.0244***	-0.0231***	-0.0522***	-0.0520***	0.000277	0.00437***	-0.00114	0.00310***	-0.00370***	-0.000592	-0.00140	0.00104	-0.00717***	-0.00689***	-0.00780***	-0.00752***	-0.0102***	-0.0100***	0.00310**	0.00851***	0.000501	0.00580***	-0.00130	0.00282***	-0.00195*	-3.49e-05	-0.00444***	-0.00419***	-0.00246*	-0.00184	-0.00552***	-0.00621***
	(0.00222)	(0.00226)	(0.00173)	(0.00170)	(0.00165)	(0.00170)	(0.00179)	(0.00188)	(0.00194)	(0.00201)	(0.00227)	(0.00233)	(0.00277)	(0.00282)	(0.00429)	(0.00451)	(0.00340)	(0.00346)	(0.00382)	(0.00393)	(0.00447)	(0.00464)	(0.00494)	(0.00512)	(0.00588)	(0.00604)	(0.00733)	(0.00743)	(0.00143)	(0.00142)	(0.00107)	(0.00105)	(0.00113)	(0.00111)	(0.00142)	(0.00142)	(0.00158)	(0.00158)	(0.00208)	(0.00206)	(0.00279)	(0.00275)	(0.00136)	(0.00142)	(0.000950)	(0.000961)	(0.000970)	(0.000996)	(0.00107)	(0.00111)	(0.00114)	(0.00118)	(0.00128)	(0.00130)	(0.00144)	(0.00144)
height	0.00456***		0.00492***		0.00612***		0.00490***		0.00407***		0.00357***		0.00302***		0.0106***		0.0137***		0.0150***		0.0143***		0.00804***		0.00962***		0.0105***		0.00155***		0.00130***		0.00152***		0.00248***		0.00115		0.00213**		0.00427***		0.00180***		0.00295***		0.00184***		0.00161***		0.00112**		0.000925*		0.00101*	
	(0.000756)		(0.000616)		(0.000625)		(0.000734)		(0.000822)		(0.000952)		(0.00114)		(0.00158)		(0.00141)		(0.00155)		(0.00188)		(0.00216)		(0.00260)		(0.00333)		(0.000484)		(0.000432)		(0.000465)		(0.000577)		(0.000706)		(0.000839)		(0.00123)		(0.000428)		(0.000356)		(0.000384)		(0.000437)		(0.000477)		(0.000539)		(0.000592)	
bmi	0.00752***		0.00934***		0.0131***		0.0169***		0.0155***		0.0145***		0.0189***		0.0276***		0.0326***		0.0424***		0.0501***		0.0515***		0.0444***		0.0482***		-0.000395		-0.000221		0.00149**		0.00333***		0.00260***		0.00140		0.00233		0.00410***		0.00372***		0.00530***		0.00689***		0.00657***		0.00509***		0.00715***	
	(0.00101)		(0.000850)		(0.000848)		(0.00102)		(0.00118)		(0.00137)		(0.00161)		(0.00222)		(0.00188)		(0.00217)		(0.00264)		(0.00314)		(0.00370)		(0.00462)		(0.000712)		(0.000591)		(0.000652)		(0.000804)		(0.000939)		(0.00118)		(0.00163)		(0.000559)		(0.000439)		(0.000478)		(0.000564)		(0.000655)		(0.000769)		(0.000852)	
educf_1_4	0.166***		0.162***		0.264***		0.266***		0.284***		0.341***		0.288***		0.578***		0.482***		0.755***		0.717***		0.752***		0.859***		0.785***		0.0324**		0.0440***		0.0623***		0.0949***		0.122***		0.170***		0.0961***		0.104***		0.0835***		0.112***		0.101***		0.107***		0.111***		0.0731***	
	(0.0207)		(0.0130)		(0.0123)		(0.0135)		(0.0140)		(0.0162)		(0.0199)		(0.0518)		(0.0328)		(0.0302)		(0.0332)		(0.0367)		(0.0418)		(0.0531)		(0.0134)		(0.00982)		(0.00979)		(0.0112)		(0.0135)		(0.0154)		(0.0226)		(0.0141)		(0.00873)		(0.00776)		(0.00821)		(0.00861)		(0.00955)		(0.0109)	
educf_5_6	0.327***		0.324***		0.430***		0.443***		0.529***		0.525***		0.506***		0.964***		0.877***		1.139***		1.149***		1.367***		1.362***		1.339***		0.0740***		0.0891***		0.126***		0.126***		0.167***		0.177***		0.189***		0.153***		0.148***		0.191***		0.190***		0.200***		0.204***		0.172***	
	(0.0184)		(0.0118)		(0.0116)		(0.0141)		(0.0163)		(0.0195)		(0.0257)		(0.0442)		(0.0288)		(0.0291)		(0.0350)		(0.0403)		(0.0507)		(0.0650)		(0.0120)		(0.00889)		(0.00924)		(0.0115)		(0.0143)		(0.0172)		(0.0257)		(0.0117)		(0.00749)		(0.00703)		(0.00833)		(0.00959)		(0.0114)		(0.0132)	
educf_7_10	0.417***		0.438***		0.589***		0.629***		0.660***		0.700***		0.623***		1.221***		1.226***		1.555***		1.586***		1.660***		1.699***		1.576***		0.0959***		0.120***		0.151***		0.185***		0.205***		0.229***		0.251***		0.201***		0.198***		0.253***		0.262***		0.264***		0.265***		0.221***	
	(0.0158)		(0.0106)		(0.0117)		(0.0139)		(0.0172)		(0.0220)		(0.0275)		(0.0388)		(0.0256)		(0.0278)		(0.0345)		(0.0429)		(0.0503)		(0.0725)		(0.00984)		(0.00721)		(0.00846)		(0.0105)		(0.0137)		(0.0169)		(0.0272)		(0.0101)		(0.00634)		(0.00657)		(0.00786)		(0.00940)		(0.0116)		(0.0155)	
educf_11plus	0.505***		0.587***		0.662***		0.730***		0.835***		0.834***		0.842***		1.401***		1.472***		1.657***		1.736***		2.033***		1.906***		1.880***		0.165***		0.190***		0.218***		0.257***		0.278***		0.304***		0.328***		0.223***		0.218***		0.259***		0.284***		0.290***		0.301***		0.250***	
	(0.0160)		(0.0120)		(0.0131)		(0.0180)		(0.0242)		(0.0324)		(0.0401)		(0.0382)		(0.0269)		(0.0308)		(0.0426)		(0.0624)		(0.0803)		(0.125)		(0.0106)		(0.00830)		(0.00965)		(0.0128)		(0.0177)		(0.0279)		(0.0441)		(0.0101)		(0.00679)		(0.00714)		(0.00886)		(0.0121)		(0.0157)		(0.0184)	
poor1	-0.168***		-0.206***		-0.253***		-0.239***		-0.258***		-0.313***		-0.253***		-0.383***		-0.461***		-0.557***		-0.650***		-0.667***		-0.781***		-0.783***		-0.0778***		-0.0689***		-0.108***		-0.0884***		-0.115***		-0.114***		-0.127***		-0.132***		-0.124***		-0.137***		-0.145***		-0.133***		-0.124***		-0.129***	
	(0.0231)		(0.0146)		(0.0133)		(0.0147)		(0.0155)		(0.0177)		(0.0219)		(0.0523)		(0.0336)		(0.0326)		(0.0368)		(0.0400)		(0.0477)		(0.0574)		(0.0114)		(0.00795)		(0.00760)		(0.00836)		(0.00936)		(0.0109)		(0.0171)		(0.0171)		(0.0102)		(0.00911)		(0.00941)		(0.00931)		(0.0106)		(0.0113)	
Constant	-0.703**	-0.200	-1.516***	-1.187***	-2.877***	-2.316***	-3.288***	-2.117***	-4.624***	-3.455***	-3.241***	-3.601***	-2.705***	-1.552***	1.550***	2.794***	1.190	1.273*	-1.805**	-0.361	-3.955***	-0.522	-5.892***	-3.323***	-4.431***	-3.642***	-3.240***	0.331	1.263***	1.350***	2.410***	2.468***	1.360***	1.574***	1.264***	1.731***	0.404	0.617*	-0.507	-0.0728	-2.624***	-1.647**	-0.588***	-0.522**	-0.790***	-0.659***	-0.981***	-0.913***	-0.853***	-0.456***	-1.344***	-1.057***	-0.637***	-0.352*	-0.887***	-0.438*
	(0.321)	(0.298)	(0.547)	(0.371)	(0.428)	(0.411)	(0.287)	(0.271)	(0.379)	(0.313)	(0.375)	(0.327)	(0.510)	(0.502)	(0.540)	(0.477)	(0.940)	(0.667)	(0.800)	(0.744)	(0.869)	(0.788)	(0.669)	(0.619)	(0.889)	(0.703)	(1.212)	(1.151)	(0.240)	(0.231)	(0.248)	(0.243)	(0.219)	(0.208)	(0.276)	(0.261)	(0.338)	(0.326)	(0.458)	(0.447)	(0.674)	(0.647)	(0.211)	(0.204)	(0.154)	(0.250)	(0.153)	(0.145)	(0.170)	(0.162)	(0.173)	(0.166)	(0.224)	(0.197)	(0.260)	(0.253)
																																																								
Observations	50,677	50,728	86,244	86,430	86,744	87,038	68,844	69,289	54,850	55,371	39,835	40,436	455,868	456,390	50,695	50,746	86,260	86,446	86,788	87,082	68,878	69,323	54,867	55,388	39,841	40,442	455,874	456,396	36,765	36,798	58,597	58,711	54,590	54,776	41,440	41,756	31,818	32,136	22,426	22,776	443,325	443,647	24,073	24,091	45,424	45,507	46,764	46,900	38,065	38,314	31,495	31,790	23,745	24,083	273,956	274,260
R-squared	0.132	0.083	0.120	0.056	0.125	0.042	0.119	0.040	0.133	0.053	0.134	0.056	0.876	0.865	0.834	0.818	0.777	0.757	0.710	0.680	0.647	0.615	0.611	0.575	0.582	0.548	0.962	0.958	0.625	0.617	0.558	0.549	0.489	0.474	0.434	0.416	0.382	0.361	0.344	0.324	0.995	0.994	0.285	0.230	0.266	0.214	0.296	0.233	0.320	0.261	0.344	0.294	0.358	0.316	0.617	0.591
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
