	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	-0.118***	-0.0263	-0.0374	-0.00725	-0.0454*	-0.0274	-0.0541**	0.00779	-0.0557**	-0.00834	-0.0535*	-0.0129	-0.0552	-0.00797	-0.153*	-0.0102	0.00410	0.0439	-0.0247	0.000576	-0.171***	0.0105	-0.118*	-0.0126	-0.217***	-0.0649	-0.104	-0.0302	-0.0960***	-0.133***	-0.0398*	-0.0737***	-0.0103	0.000887	-0.0158	-0.0252	-0.00889	-0.0145	-0.0170	-0.0423*	-0.0343	-0.0356	0.0229	0.0327	0.0206	0.0174	0.00557	-0.0275**	-0.0231	-0.0130	0.00170	-0.0249*	7.27e-05	-0.00514	-0.00575	-0.0161
	(0.0445)	(0.0372)	(0.0259)	(0.0229)	(0.0248)	(0.0215)	(0.0249)	(0.0212)	(0.0282)	(0.0241)	(0.0282)	(0.0245)	(0.0393)	(0.0319)	(0.0833)	(0.0674)	(0.0553)	(0.0472)	(0.0583)	(0.0507)	(0.0623)	(0.0512)	(0.0681)	(0.0581)	(0.0756)	(0.0652)	(0.0958)	(0.0792)	(0.0316)	(0.0296)	(0.0233)	(0.0221)	(0.0158)	(0.0162)	(0.0194)	(0.0182)	(0.0224)	(0.0216)	(0.0247)	(0.0231)	(0.0349)	(0.0313)	(0.0265)	(0.0219)	(0.0162)	(0.0147)	(0.0154)	(0.0130)	(0.0166)	(0.0132)	(0.0173)	(0.0137)	(0.0173)	(0.0145)	(0.0208)	(0.0161)
malec	-0.0830***	-0.0943***	-0.0799***	-0.0991***	-0.0401***	-0.0633***	-0.000286	-0.0254***	0.0359***	0.0111	0.0643***	0.0473***	-0.0152	-0.0226*	-0.186***	-0.215***	-0.173***	-0.222***	-0.0705***	-0.128***	0.0343	-0.0343	0.167***	0.102***	0.200***	0.155***	-0.142***	-0.167***	-0.0124**	-0.0149**	-0.00501	-0.0101**	0.00645	-9.22e-05	0.0232***	0.0147**	0.0210***	0.0106	0.0532***	0.0470***	0.0691***	0.0635***	-0.0134***	-0.0209***	-0.0113***	-0.0217***	0.000695	-0.0123***	0.0125**	-0.00255	0.0225***	0.00919	0.0343***	0.0212***	0.0267***	0.0206***
	(0.00875)	(0.00891)	(0.00714)	(0.00729)	(0.00738)	(0.00767)	(0.00853)	(0.00878)	(0.00951)	(0.00985)	(0.0110)	(0.0114)	(0.0123)	(0.0125)	(0.0180)	(0.0186)	(0.0158)	(0.0163)	(0.0181)	(0.0188)	(0.0215)	(0.0221)	(0.0245)	(0.0254)	(0.0297)	(0.0305)	(0.0335)	(0.0338)	(0.00584)	(0.00591)	(0.00502)	(0.00505)	(0.00550)	(0.00556)	(0.00663)	(0.00668)	(0.00803)	(0.00807)	(0.00980)	(0.00988)	(0.0135)	(0.0135)	(0.00499)	(0.00519)	(0.00409)	(0.00420)	(0.00445)	(0.00463)	(0.00513)	(0.00529)	(0.00560)	(0.00577)	(0.00633)	(0.00649)	(0.00682)	(0.00688)
agemay	-0.0471***	-0.00881	0.00224	0.0307***	0.0387***	0.0645***	0.0257***	0.0480***	0.0615***	0.0784***	0.0455***	0.0553***	-0.00508	0.0237	-0.346***	-0.240***	-0.288***	-0.205***	-0.160***	-0.0854***	-0.134***	-0.0790***	-0.00303	0.0385	0.00117	0.0279	-0.0122	0.0582	0.0193**	0.0283***	-5.24e-05	0.00938	0.0325***	0.0378***	0.0218*	0.0241*	0.0720***	0.0818***	0.0966***	0.0983***	0.125***	0.137***	-0.00671	0.0183*	0.00847	0.0221***	0.0439***	0.0552***	-0.0129*	-0.000680	0.0125	0.0250***	-0.0133	-0.00613	-0.00372	0.00727
	(0.00962)	(0.00959)	(0.00774)	(0.00780)	(0.00763)	(0.00777)	(0.00940)	(0.00947)	(0.0112)	(0.0115)	(0.0149)	(0.0152)	(0.0206)	(0.0208)	(0.0200)	(0.0196)	(0.0156)	(0.0157)	(0.0173)	(0.0177)	(0.0223)	(0.0224)	(0.0271)	(0.0277)	(0.0363)	(0.0371)	(0.0517)	(0.0525)	(0.00964)	(0.00955)	(0.00835)	(0.00837)	(0.00987)	(0.00986)	(0.0123)	(0.0123)	(0.0157)	(0.0159)	(0.0211)	(0.0215)	(0.0313)	(0.0314)	(0.00974)	(0.00989)	(0.00718)	(0.00723)	(0.00705)	(0.00718)	(0.00744)	(0.00749)	(0.00803)	(0.00810)	(0.00912)	(0.00920)	(0.0116)	(0.0114)
magesq	0.000763***	0.000256**	9.58e-05	-0.000269***	-0.000229**	-0.000568***	1.40e-05	-0.000276**	-0.000375**	-0.000606***	-0.000138	-0.000294	0.000460*	1.75e-05	0.00508***	0.00366***	0.00427***	0.00321***	0.00282***	0.00186***	0.00270***	0.00195***	0.00112***	0.000532	0.00117**	0.000744	0.00166**	0.000517	-0.000485***	-0.000601***	-0.000456***	-0.000564***	-0.000962***	-0.00103***	-0.000851***	-0.000873***	-0.00136***	-0.00149***	-0.00154***	-0.00158***	-0.00177***	-0.00196***	0.000155	-0.000146	4.17e-06	-0.000174**	-0.000427***	-0.000576***	0.000315***	0.000153	-1.60e-06	-0.000166	0.000326***	0.000231**	0.000203	3.68e-05
	(0.000127)	(0.000127)	(0.000101)	(0.000102)	(0.000103)	(0.000105)	(0.000124)	(0.000125)	(0.000146)	(0.000150)	(0.000188)	(0.000193)	(0.000255)	(0.000259)	(0.000283)	(0.000280)	(0.000223)	(0.000225)	(0.000249)	(0.000256)	(0.000311)	(0.000313)	(0.000366)	(0.000375)	(0.000474)	(0.000487)	(0.000652)	(0.000662)	(0.000134)	(0.000133)	(0.000113)	(0.000114)	(0.000131)	(0.000131)	(0.000160)	(0.000160)	(0.000198)	(0.000200)	(0.000260)	(0.000263)	(0.000377)	(0.000378)	(0.000118)	(0.000120)	(8.81e-05)	(8.88e-05)	(8.77e-05)	(8.98e-05)	(9.35e-05)	(9.44e-05)	(0.000101)	(0.000102)	(0.000113)	(0.000115)	(0.000143)	(0.000140)
agefirstbirth	0.000398	0.0117***	0.00198	0.0153***	-0.00694***	0.00213	-0.00559***	-0.000109	-0.0132***	-0.0116***	-0.0125***	-0.0116***	-0.00564**	-0.00623**	0.0187***	0.0490***	0.0224***	0.0545***	0.00330	0.0241***	-0.00295	0.00868*	-0.0315***	-0.0285***	-0.0260***	-0.0254***	-0.0477***	-0.0519***	3.73e-05	0.00397***	-0.00151	0.00284***	-0.00356***	-0.000241	-0.00106	0.00131	-0.00718***	-0.00676***	-0.00822***	-0.00807***	-0.00831***	-0.00770***	0.00280**	0.00772***	0.000503	0.00651***	-0.000936	0.00304***	-0.00207**	-5.03e-05	-0.00435***	-0.00423***	-0.00269**	-0.00232*	-0.00472***	-0.00585***
	(0.00221)	(0.00221)	(0.00170)	(0.00166)	(0.00163)	(0.00165)	(0.00177)	(0.00182)	(0.00193)	(0.00198)	(0.00226)	(0.00230)	(0.00277)	(0.00280)	(0.00425)	(0.00439)	(0.00334)	(0.00338)	(0.00376)	(0.00382)	(0.00442)	(0.00450)	(0.00490)	(0.00500)	(0.00586)	(0.00597)	(0.00732)	(0.00735)	(0.00142)	(0.00140)	(0.00105)	(0.00104)	(0.00111)	(0.00109)	(0.00139)	(0.00138)	(0.00156)	(0.00155)	(0.00206)	(0.00204)	(0.00278)	(0.00276)	(0.00135)	(0.00140)	(0.000935)	(0.000945)	(0.000956)	(0.000971)	(0.00105)	(0.00107)	(0.00114)	(0.00116)	(0.00127)	(0.00128)	(0.00144)	(0.00142)
height	0.00427***		0.00496***		0.00607***		0.00487***		0.00402***		0.00344***		0.00357***		0.0102***		0.0137***		0.0147***		0.0141***		0.00791***		0.00973***		0.0116***		0.00126***		0.00129***		0.00148***		0.00223***		0.000929		0.00213***		0.00351***		0.00175***		0.00291***		0.00186***		0.00168***		0.00116**		0.000977*		0.00130**	
	(0.000747)		(0.000606)		(0.000616)		(0.000724)		(0.000809)		(0.000935)		(0.00114)		(0.00155)		(0.00139)		(0.00153)		(0.00185)		(0.00212)		(0.00256)		(0.00332)		(0.000484)		(0.000428)		(0.000456)		(0.000570)		(0.000691)		(0.000817)		(0.00121)		(0.000422)		(0.000351)		(0.000379)		(0.000431)		(0.000472)		(0.000528)		(0.000593)	
bmi	0.00693***		0.00947***		0.0129***		0.0162***		0.0153***		0.0148***		0.0191***		0.0267***		0.0325***		0.0421***		0.0474***		0.0505***		0.0452***		0.0490***		-0.000294		-0.000203		0.00163**		0.00296***		0.00225**		0.00201*		0.00281*		0.00405***		0.00374***		0.00522***		0.00656***		0.00663***		0.00562***		0.00708***	
	(0.00101)		(0.000832)		(0.000832)		(0.00100)		(0.00116)		(0.00132)		(0.00159)		(0.00219)		(0.00185)		(0.00212)		(0.00258)		(0.00306)		(0.00356)		(0.00453)		(0.000702)		(0.000584)		(0.000638)		(0.000787)		(0.000914)		(0.00114)		(0.00161)		(0.000548)		(0.000435)		(0.000470)		(0.000553)		(0.000642)		(0.000745)		(0.000841)	
educf_1_4	0.171***		0.157***		0.262***		0.266***		0.284***		0.332***		0.296***		0.582***		0.473***		0.747***		0.718***		0.748***		0.843***		0.789***		0.0282**		0.0386***		0.0661***		0.0944***		0.119***		0.163***		0.0947***		0.103***		0.0807***		0.110***		0.104***		0.103***		0.110***		0.0753***	
	(0.0205)		(0.0129)		(0.0121)		(0.0133)		(0.0139)		(0.0160)		(0.0203)		(0.0510)		(0.0324)		(0.0298)		(0.0327)		(0.0363)		(0.0414)		(0.0530)		(0.0133)		(0.00978)		(0.00958)		(0.0110)		(0.0134)		(0.0152)		(0.0227)		(0.0139)		(0.00866)		(0.00766)		(0.00809)		(0.00855)		(0.00948)		(0.0110)	
educf_5_6	0.331***		0.326***		0.422***		0.445***		0.526***		0.524***		0.496***		0.963***		0.878***		1.118***		1.154***		1.355***		1.361***		1.310***		0.0757***		0.0868***		0.125***		0.128***		0.165***		0.168***		0.173***		0.153***		0.148***		0.186***		0.192***		0.196***		0.201***		0.168***	
	(0.0181)		(0.0116)		(0.0115)		(0.0138)		(0.0160)		(0.0190)		(0.0251)		(0.0435)		(0.0282)		(0.0287)		(0.0344)		(0.0395)		(0.0495)		(0.0643)		(0.0119)		(0.00876)		(0.00908)		(0.0113)		(0.0140)		(0.0169)		(0.0257)		(0.0116)		(0.00738)		(0.00692)		(0.00822)		(0.00941)		(0.0111)		(0.0131)	
educf_7_10	0.421***		0.435***		0.585***		0.623***		0.652***		0.700***		0.613***		1.219***		1.213***		1.540***		1.579***		1.647***		1.702***		1.544***		0.0966***		0.118***		0.149***		0.177***		0.203***		0.224***		0.245***		0.200***		0.195***		0.250***		0.261***		0.265***		0.267***		0.214***	
	(0.0156)		(0.0104)		(0.0115)		(0.0136)		(0.0169)		(0.0215)		(0.0262)		(0.0382)		(0.0252)		(0.0275)		(0.0338)		(0.0418)		(0.0492)		(0.0708)		(0.00970)		(0.00712)		(0.00830)		(0.0104)		(0.0133)		(0.0167)		(0.0273)		(0.00992)		(0.00626)		(0.00647)		(0.00775)		(0.00921)		(0.0114)		(0.0151)	
educf_11plus	0.510***		0.581***		0.654***		0.728***		0.827***		0.806***		0.844***		1.400***		1.452***		1.635***		1.729***		2.012***		1.846***		1.862***		0.166***		0.188***		0.216***		0.253***		0.278***		0.282***		0.320***		0.223***		0.216***		0.253***		0.285***		0.289***		0.290***		0.247***	
	(0.0158)		(0.0118)		(0.0128)		(0.0175)		(0.0235)		(0.0313)		(0.0396)		(0.0376)		(0.0263)		(0.0301)		(0.0413)		(0.0603)		(0.0772)		(0.123)		(0.0104)		(0.00813)		(0.00940)		(0.0125)		(0.0171)		(0.0268)		(0.0442)		(0.00995)		(0.00668)		(0.00705)		(0.00868)		(0.0117)		(0.0151)		(0.0180)	
poor1	-0.166***		-0.210***		-0.263***		-0.239***		-0.263***		-0.324***		-0.251***		-0.377***		-0.467***		-0.569***		-0.647***		-0.664***		-0.803***		-0.784***		-0.0738***		-0.0702***		-0.109***		-0.0910***		-0.118***		-0.119***		-0.132***		-0.130***		-0.127***		-0.141***		-0.141***		-0.131***		-0.138***		-0.130***	
	(0.0226)		(0.0145)		(0.0131)		(0.0144)		(0.0153)		(0.0173)		(0.0217)		(0.0513)		(0.0333)		(0.0320)		(0.0362)		(0.0392)		(0.0467)		(0.0567)		(0.0112)		(0.00794)		(0.00748)		(0.00817)		(0.00922)		(0.0107)		(0.0167)		(0.0168)		(0.0101)		(0.00897)		(0.00921)		(0.00918)		(0.0103)		(0.0113)	
Constant	-0.696**	-0.791***	-1.490***	-1.369***	-2.846***	-1.904***	-3.159***	-3.880***	-4.663***	-2.589***	-3.578***	-2.177***	-2.843***	-1.225**	1.554***	1.394***	1.179	1.316***	-1.651**	0.731	-3.746***	-6.412***	-5.883***	-1.698*	-4.930***	-1.733	-3.565***	1.297	1.327***	1.382***	2.533***	2.552***	1.566***	1.782***	1.461***	1.910***	0.572*	0.726**	-0.490	0.0534	-2.438***	-1.698***	-0.561***	-1.504***	-0.760***	-0.708***	-0.961***	-1.279***	-0.855***	-1.112***	-1.360***	-0.896***	-0.757***	-0.581***	-0.970***	-0.375
	(0.319)	(0.165)	(0.546)	(0.134)	(0.425)	(0.544)	(0.285)	(0.182)	(0.369)	(0.341)	(0.364)	(0.469)	(0.504)	(0.526)	(0.533)	(0.281)	(0.937)	(0.250)	(0.786)	(1.365)	(0.866)	(0.439)	(0.641)	(0.920)	(0.878)	(1.253)	(1.195)	(1.229)	(0.239)	(0.229)	(0.244)	(0.230)	(0.219)	(0.209)	(0.275)	(0.261)	(0.335)	(0.323)	(0.450)	(0.440)	(0.681)	(0.656)	(0.208)	(0.197)	(0.153)	(0.143)	(0.151)	(0.142)	(0.169)	(0.145)	(0.172)	(0.212)	(0.222)	(0.198)	(0.256)	(0.293)
																																																								
Observations	52,041	53,019	88,608	90,594	89,111	91,287	70,919	73,105	56,390	58,415	40,948	42,516	456,386	457,676	52,056	53,034	88,623	90,609	89,154	91,330	70,953	73,139	56,407	58,432	40,954	42,522	456,392	457,682	37,800	38,081	60,276	60,826	56,175	56,724	42,586	43,086	32,573	32,972	22,961	23,360	443,440	443,730	24,703	25,144	46,586	47,568	48,093	49,300	39,280	40,511	32,438	33,675	24,499	25,519	274,301	275,114
R-squared	0.133	0.083	0.120	0.056	0.125	0.041	0.118	0.040	0.133	0.053	0.136	0.058	0.872	0.856	0.835	0.820	0.779	0.758	0.710	0.680	0.646	0.616	0.612	0.578	0.579	0.546	0.960	0.956	0.622	0.612	0.556	0.547	0.492	0.478	0.437	0.424	0.386	0.369	0.352	0.335	0.995	0.994	0.285	0.230	0.266	0.218	0.293	0.232	0.313	0.256	0.340	0.289	0.351	0.303	0.621	0.602
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
