	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_After	-0.112***	-0.0778**	-0.156**	-0.145**	-0.0672**	-0.107***	0.00184	-0.00561	-0.0506**	-0.0408**	-0.0142	0.00132	-0.0255	-0.0454***	-0.00838	-0.00285	-0.0588***	-0.0393**	-0.0367	-0.0292	-0.0199	-0.0402***	-0.00305	-0.0186*	-0.0548***	-0.00198	-0.122***	-0.00682	-0.00744	-0.0194	-0.0131	-0.00509	-0.0561***	-0.0248*	-0.122***	-0.0639*	0.0153	-0.00152	-0.0106	-0.0168**	-0.0281*	0.0116	-0.0799**	0.0274	0.00382	-0.0105	-0.0153*	-8.77e-05	-0.0205	0.0271*	0.00513	0.0779**	0.0151	0.0180	0.0118	0.0127
	(0.0363)	(0.0330)	(0.0662)	(0.0596)	(0.0262)	(0.0249)	(0.0253)	(0.0209)	(0.0200)	(0.0184)	(0.0391)	(0.0359)	(0.0172)	(0.0170)	(0.0143)	(0.0124)	(0.0188)	(0.0164)	(0.0406)	(0.0359)	(0.0148)	(0.0136)	(0.0121)	(0.0102)	(0.0170)	(0.0149)	(0.0391)	(0.0338)	(0.0147)	(0.0132)	(0.0113)	(0.00943)	(0.0165)	(0.0145)	(0.0374)	(0.0332)	(0.0147)	(0.0131)	(0.00978)	(0.00834)	(0.0153)	(0.0141)	(0.0365)	(0.0336)	(0.0151)	(0.0135)	(0.00895)	(0.00803)	(0.0173)	(0.0149)	(0.0418)	(0.0363)	(0.0177)	(0.0154)	(0.00972)	(0.00815)
malec	-0.0769***	-0.0847***	-0.170***	-0.191***	-0.00986*	-0.0111**	-0.0166***	-0.0231***	-0.0830***	-0.0995***	-0.186***	-0.228***	0.000764	-0.00481	-0.0211***	-0.0317***	-0.0486***	-0.0674***	-0.102***	-0.146***	0.00899*	0.00296	-0.0104***	-0.0223***	-0.0209***	-0.0416***	-0.0320**	-0.0819***	0.0269***	0.0196***	-0.00557	-0.0181***	-0.00146	-0.0185***	0.0471***	0.00713	0.0212***	0.0151**	0.00145	-0.00775*	0.0353***	0.0233***	0.0996***	0.0687***	0.0610***	0.0551***	0.0132***	0.00537	0.0298***	0.0174**	0.102***	0.0731***	0.0563***	0.0514***	0.0120***	0.00451
	(0.00769)	(0.00789)	(0.0149)	(0.0155)	(0.00539)	(0.00545)	(0.00462)	(0.00476)	(0.00595)	(0.00613)	(0.0126)	(0.0131)	(0.00449)	(0.00454)	(0.00361)	(0.00371)	(0.00568)	(0.00593)	(0.0132)	(0.0138)	(0.00476)	(0.00479)	(0.00358)	(0.00372)	(0.00617)	(0.00642)	(0.0147)	(0.0153)	(0.00541)	(0.00544)	(0.00386)	(0.00399)	(0.00637)	(0.00666)	(0.0156)	(0.0162)	(0.00596)	(0.00598)	(0.00385)	(0.00399)	(0.00712)	(0.00739)	(0.0181)	(0.0187)	(0.00691)	(0.00694)	(0.00411)	(0.00422)	(0.00805)	(0.00822)	(0.0206)	(0.0210)	(0.00803)	(0.00803)	(0.00443)	(0.00449)
agemay	-0.0241***	0.0124	-0.300***	-0.208***	-0.0283***	-0.0172**	0.00353	0.0264***	0.0202***	0.0532***	-0.249***	-0.165***	-0.0233***	-0.0113*	0.0182***	0.0327***	0.0528***	0.0846***	-0.126***	-0.0450***	-0.0120*	-0.000796	0.0389***	0.0541***	0.0393***	0.0697***	-0.0950***	-0.0232	-0.0124	-0.00267	-0.00854	0.00803	0.0626***	0.0924***	0.00201	0.0715***	0.00833	0.0242**	0.0111**	0.0285***	0.0474***	0.0699***	0.0177	0.0708***	0.0315**	0.0446***	-0.00444	0.00611	0.0277**	0.0413***	-0.0554*	-0.0269	0.0463***	0.0471***	-0.0104	-0.00708
	(0.00838)	(0.00842)	(0.0161)	(0.0161)	(0.00779)	(0.00779)	(0.00880)	(0.00887)	(0.00632)	(0.00644)	(0.0125)	(0.0128)	(0.00661)	(0.00668)	(0.00618)	(0.00627)	(0.00582)	(0.00599)	(0.0128)	(0.0133)	(0.00702)	(0.00702)	(0.00548)	(0.00562)	(0.00674)	(0.00691)	(0.0158)	(0.0161)	(0.00823)	(0.00825)	(0.00544)	(0.00555)	(0.00757)	(0.00780)	(0.0175)	(0.0180)	(0.00936)	(0.00942)	(0.00532)	(0.00542)	(0.00986)	(0.0102)	(0.0230)	(0.0237)	(0.0127)	(0.0128)	(0.00594)	(0.00604)	(0.0129)	(0.0131)	(0.0306)	(0.0311)	(0.0169)	(0.0168)	(0.00716)	(0.00718)
magesq	0.000497***	6.82e-06	0.00451***	0.00329***	6.10e-05	-8.84e-05	3.57e-05	-0.000248**	-8.20e-05	-0.000493***	0.00379***	0.00275***	-0.000187**	-0.000331***	-0.000127*	-0.000311***	-0.000361***	-0.000750***	0.00236***	0.00138***	-0.000358***	-0.000494***	-0.000380***	-0.000572***	-9.66e-05	-0.000477***	0.00214***	0.00124***	-0.000324***	-0.000439***	0.000244***	4.00e-05	-0.000332***	-0.000702***	0.00101***	0.000150	-0.000433***	-0.000649***	-6.86e-06	-0.000215***	-0.000129	-0.000438***	0.000862***	0.000128	-0.000663***	-0.000847***	0.000186**	5.61e-05	0.000129	-8.13e-05	0.00179***	0.00133***	-0.000758***	-0.000819***	0.000242***	0.000193**
	(0.000112)	(0.000113)	(0.000234)	(0.000237)	(0.000109)	(0.000109)	(0.000107)	(0.000108)	(8.41e-05)	(8.58e-05)	(0.000183)	(0.000187)	(9.11e-05)	(9.21e-05)	(7.63e-05)	(7.75e-05)	(7.89e-05)	(8.17e-05)	(0.000186)	(0.000194)	(9.46e-05)	(9.48e-05)	(6.87e-05)	(7.07e-05)	(8.97e-05)	(9.25e-05)	(0.000221)	(0.000227)	(0.000108)	(0.000108)	(6.90e-05)	(7.06e-05)	(9.89e-05)	(0.000102)	(0.000237)	(0.000245)	(0.000119)	(0.000120)	(6.74e-05)	(6.88e-05)	(0.000125)	(0.000129)	(0.000299)	(0.000309)	(0.000156)	(0.000157)	(7.42e-05)	(7.56e-05)	(0.000160)	(0.000163)	(0.000387)	(0.000394)	(0.000203)	(0.000202)	(8.83e-05)	(8.87e-05)
agefirstbirth	-0.00133	0.0100***	0.0145***	0.0420***	0.000108	0.00419***	0.00243**	0.00736***	0.00132	0.0134***	0.0193***	0.0459***	-0.00260***	0.00168*	0.00103	0.00612***	-0.00468***	0.00232*	0.00614**	0.0213***	-0.00273***	-1.81e-05	2.21e-05	0.00356***	-0.00401***	-0.00127	-0.000537	0.00426	-4.19e-05	0.000748	-0.00145*	-0.000465	-0.0101***	-0.0106***	-0.0207***	-0.0230***	-0.00647***	-0.00656***	-0.00309***	-0.00355***	-0.0119***	-0.0123***	-0.0269***	-0.0287***	-0.0122***	-0.0120***	-0.00398***	-0.00433***	-0.00658***	-0.00614***	-0.0201***	-0.0193***	-0.00613***	-0.00528***	-0.00343***	-0.00338***
	(0.00190)	(0.00194)	(0.00353)	(0.00370)	(0.00132)	(0.00133)	(0.00123)	(0.00127)	(0.00139)	(0.00137)	(0.00267)	(0.00270)	(0.000945)	(0.000937)	(0.000830)	(0.000836)	(0.00123)	(0.00127)	(0.00273)	(0.00280)	(0.000955)	(0.000945)	(0.000762)	(0.000783)	(0.00128)	(0.00133)	(0.00303)	(0.00312)	(0.00108)	(0.00108)	(0.000788)	(0.000813)	(0.00131)	(0.00136)	(0.00309)	(0.00320)	(0.00116)	(0.00115)	(0.000783)	(0.000804)	(0.00144)	(0.00148)	(0.00353)	(0.00362)	(0.00137)	(0.00137)	(0.000811)	(0.000825)	(0.00162)	(0.00165)	(0.00405)	(0.00410)	(0.00155)	(0.00154)	(0.000880)	(0.000882)
height	0.00427***		0.00908***		0.00184***		0.00137***		0.00434***		0.0111***		0.00173***		0.00250***		0.00596***		0.0128***		0.00147***		0.00185***		0.00518***		0.0123***		0.00260***		0.00191***		0.00484***		0.00927***		0.00157***		0.00168***		0.00499***		0.0112***		0.00237***		0.00130***		0.00268***		0.00656***		0.00331***		0.000976***	
	(0.000656)		(0.00130)		(0.000465)		(0.000395)		(0.000512)		(0.00112)		(0.000389)		(0.000310)		(0.000484)		(0.00113)		(0.000391)		(0.000308)		(0.000523)		(0.00127)		(0.000452)		(0.000327)		(0.000550)		(0.00135)		(0.000496)		(0.000324)		(0.000599)		(0.00155)		(0.000580)		(0.000342)		(0.000690)		(0.00182)		(0.000675)		(0.000370)	
bmi	0.00766***		0.0256***		-0.000474		0.00377***		0.0107***		0.0328***		0.000814		0.00384***		0.0148***		0.0430***		0.00436***		0.00594***		0.0182***		0.0491***		0.00707***		0.00734***		0.0203***		0.0585***		0.00725***		0.00862***		0.0196***		0.0530***		0.00649***		0.00702***		0.0233***		0.0597***		0.00829***		0.00889***	
	(0.000888)		(0.00185)		(0.000649)		(0.000514)		(0.000710)		(0.00152)		(0.000528)		(0.000389)		(0.000674)		(0.00161)		(0.000567)		(0.000391)		(0.000753)		(0.00186)		(0.000648)		(0.000433)		(0.000801)		(0.00202)		(0.000721)		(0.000464)		(0.000896)		(0.00229)		(0.000835)		(0.000508)		(0.00104)		(0.00275)		(0.000971)		(0.000562)	
educf_1_4	0.187***		0.587***		0.0448***		0.108***		0.170***		0.486***		0.0561***		0.0852***		0.279***		0.724***		0.0990***		0.118***		0.260***		0.640***		0.115***		0.0915***		0.287***		0.689***		0.139***		0.102***		0.298***		0.734***		0.147***		0.0954***		0.247***		0.627***		0.114***		0.0681***	
	(0.0176)		(0.0398)		(0.0122)		(0.0123)		(0.0105)		(0.0253)		(0.00899)		(0.00752)		(0.00911)		(0.0214)		(0.00820)		(0.00616)		(0.00957)		(0.0224)		(0.00895)		(0.00610)		(0.00928)		(0.0225)		(0.00953)		(0.00577)		(0.0102)		(0.0247)		(0.0105)		(0.00593)		(0.0118)		(0.0286)		(0.0122)		(0.00643)	
educf_5_6	0.334***		0.932***		0.0821***		0.164***		0.355***		0.895***		0.122***		0.159***		0.449***		1.085***		0.156***		0.191***		0.474***		1.102***		0.164***		0.180***		0.519***		1.205***		0.210***		0.180***		0.492***		1.177***		0.214***		0.169***		0.489***		1.201***		0.215***		0.167***	
	(0.0164)		(0.0351)		(0.0111)		(0.0105)		(0.00991)		(0.0229)		(0.00807)		(0.00666)		(0.00919)		(0.0213)		(0.00824)		(0.00586)		(0.0101)		(0.0235)		(0.00936)		(0.00629)		(0.0107)		(0.0251)		(0.0102)		(0.00657)		(0.0122)		(0.0292)		(0.0118)		(0.00722)		(0.0142)		(0.0343)		(0.0138)		(0.00791)	
educf_7_10	0.429***		1.173***		0.108***		0.213***		0.476***		1.201***		0.152***		0.207***		0.618***		1.473***		0.205***		0.259***		0.666***		1.499***		0.223***		0.258***		0.687***		1.511***		0.252***		0.255***		0.702***		1.586***		0.286***		0.253***		0.648***		1.501***		0.281***		0.227***	
