	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_After	-0.0500	-0.0420	-0.101	-0.103	-0.0243	-0.0396	-0.00813	-0.0133	0.0128	0.0263	0.0957*	0.118**	0.00569	-0.00366	-0.00327	0.00712	-0.0153	-0.0128	0.0409	0.00999	0.00695	0.00131	0.00297	-0.0172	-0.0287	0.0306*	-0.0486	0.0732*	-0.0107	-0.00944	-0.00923	0.00188	-0.0301	-0.00522	-0.0760*	-0.0288	0.00755	0.00338	-0.00155	-0.0126	-0.0244	0.0138	-0.0389	0.0519	-0.00162	-0.00178	-0.00654	0.00524	0.00129	0.0314*	0.0372	0.0803*	0.00131	0.0124	0.0157	0.0104
	(0.0692)	(0.0571)	(0.134)	(0.112)	(0.0267)	(0.0251)	(0.0436)	(0.0348)	(0.0256)	(0.0233)	(0.0505)	(0.0477)	(0.0137)	(0.0135)	(0.0184)	(0.0157)	(0.0239)	(0.0201)	(0.0521)	(0.0451)	(0.0112)	(0.0104)	(0.0148)	(0.0122)	(0.0196)	(0.0175)	(0.0454)	(0.0400)	(0.0110)	(0.0100)	(0.0127)	(0.0106)	(0.0191)	(0.0168)	(0.0442)	(0.0394)	(0.0104)	(0.00939)	(0.0109)	(0.00929)	(0.0172)	(0.0156)	(0.0422)	(0.0382)	(0.0102)	(0.00925)	(0.00971)	(0.00856)	(0.0196)	(0.0168)	(0.0482)	(0.0418)	(0.0119)	(0.0104)	(0.0106)	(0.00892)
malec	-0.0759***	-0.0841***	-0.167***	-0.189***	-0.00952***	-0.0110***	-0.0160***	-0.0225***	-0.0822***	-0.0992***	-0.186***	-0.228***	-0.00232	-0.00621**	-0.0216***	-0.0321***	-0.0486***	-0.0664***	-0.102***	-0.144***	0.00467	0.000687	-0.0103***	-0.0215***	-0.0204***	-0.0405***	-0.0300**	-0.0780***	0.0160***	0.0111***	-0.00557	-0.0171***	-0.00223	-0.0185***	0.0442***	0.00610	0.0143***	0.0106***	-0.000291	-0.00860**	0.0305***	0.0190**	0.0929***	0.0648***	0.0403***	0.0370***	0.0118***	0.00453	0.0279***	0.0163*	0.0998***	0.0725***	0.0374***	0.0348***	0.0117***	0.00438
	(0.00776)	(0.00795)	(0.0150)	(0.0156)	(0.00337)	(0.00341)	(0.00467)	(0.00480)	(0.00602)	(0.00619)	(0.0128)	(0.0133)	(0.00282)	(0.00286)	(0.00365)	(0.00374)	(0.00575)	(0.00599)	(0.0133)	(0.0139)	(0.00299)	(0.00303)	(0.00363)	(0.00376)	(0.00624)	(0.00649)	(0.0150)	(0.0155)	(0.00341)	(0.00346)	(0.00391)	(0.00404)	(0.00647)	(0.00675)	(0.0159)	(0.0165)	(0.00367)	(0.00371)	(0.00391)	(0.00404)	(0.00725)	(0.00750)	(0.0185)	(0.0190)	(0.00424)	(0.00427)	(0.00418)	(0.00427)	(0.00817)	(0.00835)	(0.0210)	(0.0214)	(0.00486)	(0.00487)	(0.00450)	(0.00456)
agemay	-0.0298***	0.00896	-0.317***	-0.218***	-0.00700	0.00143	0.000708	0.0250***	0.0131**	0.0511***	-0.264***	-0.169***	0.0128***	0.0227***	0.0176***	0.0342***	0.0415***	0.0833***	-0.150***	-0.0469***	0.0322***	0.0432***	0.0365***	0.0559***	0.0293***	0.0715***	-0.120***	-0.0203	0.0336***	0.0439***	-0.0134**	0.00895	0.0525***	0.0925***	-0.0217	0.0722***	0.0447***	0.0590***	0.00696	0.0282***	0.0379***	0.0737***	-0.0144	0.0716***	0.0498***	0.0609***	-0.0114*	0.00395	0.0171	0.0400***	-0.0756**	-0.0206	0.0424***	0.0473***	-0.0142*	-0.00564
	(0.00843)	(0.00849)	(0.0163)	(0.0164)	(0.00449)	(0.00447)	(0.00889)	(0.00898)	(0.00635)	(0.00652)	(0.0127)	(0.0130)	(0.00375)	(0.00380)	(0.00622)	(0.00632)	(0.00588)	(0.00606)	(0.0130)	(0.0135)	(0.00404)	(0.00407)	(0.00555)	(0.00569)	(0.00677)	(0.00700)	(0.0159)	(0.0164)	(0.00487)	(0.00492)	(0.00552)	(0.00564)	(0.00766)	(0.00790)	(0.0178)	(0.0184)	(0.00557)	(0.00563)	(0.00539)	(0.00548)	(0.00990)	(0.0102)	(0.0234)	(0.0240)	(0.00768)	(0.00773)	(0.00602)	(0.00612)	(0.0132)	(0.0134)	(0.0314)	(0.0318)	(0.0100)	(0.0100)	(0.00731)	(0.00729)
magesq	0.000562***	5.72e-05	0.00471***	0.00344***	0.000194***	8.64e-05	6.43e-05	-0.000228**	-1.35e-05	-0.000455***	0.00394***	0.00283***	-7.26e-05	-0.000188***	-0.000132*	-0.000329***	-0.000251***	-0.000728***	0.00259***	0.00142***	-0.000292***	-0.000418***	-0.000365***	-0.000593***	-2.18e-05	-0.000494***	0.00233***	0.00122***	-0.000283***	-0.000390***	0.000276***	2.64e-05	-0.000270***	-0.000700***	0.00115***	0.000154	-0.000362***	-0.000525***	1.95e-05	-0.000207***	-8.81e-05	-0.000483***	0.00107***	0.000123	-0.000413***	-0.000540***	0.000244***	8.14e-05	0.000186	-5.89e-05	0.00186***	0.00127***	-0.000288**	-0.000343***	0.000261***	0.000179**
	(0.000113)	(0.000114)	(0.000237)	(0.000241)	(6.24e-05)	(6.23e-05)	(0.000108)	(0.000109)	(8.47e-05)	(8.69e-05)	(0.000185)	(0.000191)	(5.12e-05)	(5.20e-05)	(7.69e-05)	(7.82e-05)	(7.98e-05)	(8.28e-05)	(0.000189)	(0.000197)	(5.44e-05)	(5.50e-05)	(6.96e-05)	(7.16e-05)	(9.04e-05)	(9.38e-05)	(0.000224)	(0.000232)	(6.41e-05)	(6.50e-05)	(7.01e-05)	(7.17e-05)	(0.000100)	(0.000104)	(0.000242)	(0.000250)	(7.13e-05)	(7.20e-05)	(6.84e-05)	(6.97e-05)	(0.000126)	(0.000130)	(0.000306)	(0.000314)	(9.53e-05)	(9.59e-05)	(7.52e-05)	(7.66e-05)	(0.000164)	(0.000166)	(0.000397)	(0.000403)	(0.000121)	(0.000121)	(9.02e-05)	(9.01e-05)
agefirstbirth	-0.00177	0.0103***	0.0147***	0.0436***	0.00226***	0.00497***	0.00223*	0.00767***	0.000296	0.0132***	0.0173***	0.0457***	0.000480	0.00349***	0.000524	0.00600***	-0.00606***	0.00258**	0.00289	0.0215***	-0.000673	0.00179***	-0.000816	0.00338***	-0.00525***	-0.00146	-0.00332	0.00430	0.000103	0.00119*	-0.00180**	-0.000153	-0.0116***	-0.0107***	-0.0254***	-0.0246***	-0.00439***	-0.00389***	-0.00411***	-0.00383***	-0.0134***	-0.0123***	-0.0304***	-0.0286***	-0.00670***	-0.00594***	-0.00453***	-0.00416***	-0.00834***	-0.00625***	-0.0254***	-0.0205***	-0.00433***	-0.00340***	-0.00434***	-0.00365***
	(0.00191)	(0.00196)	(0.00357)	(0.00375)	(0.000804)	(0.000810)	(0.00124)	(0.00128)	(0.00141)	(0.00139)	(0.00270)	(0.00275)	(0.000575)	(0.000572)	(0.000841)	(0.000848)	(0.00125)	(0.00129)	(0.00277)	(0.00286)	(0.000592)	(0.000588)	(0.000774)	(0.000795)	(0.00130)	(0.00136)	(0.00309)	(0.00318)	(0.000672)	(0.000676)	(0.000802)	(0.000827)	(0.00134)	(0.00139)	(0.00317)	(0.00327)	(0.000719)	(0.000718)	(0.000800)	(0.000817)	(0.00147)	(0.00151)	(0.00359)	(0.00368)	(0.000839)	(0.000845)	(0.000823)	(0.000836)	(0.00165)	(0.00168)	(0.00413)	(0.00418)	(0.000945)	(0.000943)	(0.000894)	(0.000897)
height	0.00458***		0.00992***		0.00124***		0.00160***		0.00481***		0.0121***		0.00125***		0.00267***		0.00617***		0.0133***		0.00154***		0.00186***		0.00570***		0.0134***		0.00169***		0.00207***		0.00518***		0.0106***		0.00159***		0.00199***		0.00520***		0.0119***		0.00171***		0.00144***		0.00279***		0.00729***		0.00180***		0.00121***	
	(0.000658)		(0.00130)		(0.000290)		(0.000397)		(0.000516)		(0.00113)		(0.000242)		(0.000313)		(0.000490)		(0.00115)		(0.000251)		(0.000312)		(0.000529)		(0.00129)		(0.000295)		(0.000330)		(0.000560)		(0.00138)		(0.000309)		(0.000328)		(0.000612)		(0.00159)		(0.000356)		(0.000348)		(0.000701)		(0.00186)		(0.000411)		(0.000376)	
bmi	0.00815***		0.0271***		0.000858**		0.00426***		0.0118***		0.0355***		0.00139***		0.00439***		0.0163***		0.0465***		0.00373***		0.00677***		0.0207***		0.0552***		0.00539***		0.00849***		0.0227***		0.0646***		0.00544***		0.00976***		0.0221***		0.0591***		0.00448***		0.00810***		0.0250***		0.0647***		0.00584***		0.00976***	
	(0.000893)		(0.00187)		(0.000403)		(0.000520)		(0.000717)		(0.00154)		(0.000325)		(0.000392)		(0.000679)		(0.00163)		(0.000340)		(0.000395)		(0.000759)		(0.00188)		(0.000394)		(0.000436)		(0.000803)		(0.00204)		(0.000433)		(0.000466)		(0.000913)		(0.00234)		(0.000502)		(0.000515)		(0.00105)		(0.00279)		(0.000583)		(0.000571)	
educf_1_4	0.196***		0.604***		0.0725***		0.110***		0.177***		0.502***		0.0745***		0.0896***		0.295***		0.755***		0.0896***		0.125***		0.277***		0.682***		0.0908***		0.0984***		0.302***		0.726***		0.101***		0.109***		0.316***		0.783***		0.107***		0.103***		0.263***		0.672***		0.0789***		0.0758***	
	(0.0178)		(0.0403)		(0.00845)		(0.0125)		(0.0106)		(0.0256)		(0.00588)		(0.00758)		(0.00922)		(0.0217)		(0.00512)		(0.00624)		(0.00965)		(0.0226)		(0.00544)		(0.00617)		(0.00942)		(0.0228)		(0.00559)		(0.00583)		(0.0103)		(0.0250)		(0.00612)		(0.00601)		(0.0121)		(0.0293)		(0.00710)		(0.00655)	
educf_5_6	0.353***		0.972***		0.0955***		0.175***		0.373***		0.935***		0.110***		0.168***		0.477***		1.144***		0.128***		0.203***		0.501***		1.169***		0.122***		0.191***		0.547***		1.274***		0.145***		0.193***		0.520***		1.247***		0.148***		0.181***		0.518***		1.276***		0.137***		0.180***	
	(0.0164)		(0.0355)		(0.00769)		(0.0106)		(0.00997)		(0.0232)		(0.00529)		(0.00671)		(0.00926)		(0.0216)		(0.00504)		(0.00590)		(0.0101)		(0.0237)		(0.00574)		(0.00633)		(0.0108)		(0.0255)		(0.00597)		(0.00659)		(0.0123)		(0.0297)		(0.00686)		(0.00729)		(0.0141)		(0.0345)		(0.00796)		(0.00794)	
educf_7_10	0.459***		1.231***		0.117***		0.227***		0.503***		1.261***		0.138***		0.221***		0.654***		1.549***		0.166***		0.275***		0.702***		1.590***		0.174***		0.275***		0.727***		1.619***		0.186***		0.275***		0.738***		1.675***		0.199***		0.265***		0.687***		1.603***		0.186***		0.243***	
	(0.0141)		(0.0312)		(0.00671)		(0.00897)		(0.00905)		(0.0210)		(0.00465)		(0.00567)		(0.00910)		(0.0208)		(0.00464)		(0.00543)		(0.0105)		(0.0240)		(0.00552)		(0.00608)		(0.0115)		(0.0261)		(0.00577)		(0.00644)		(0.0137)		(0.0309)		(0.00689)		(0.00757)		(0.0156)		(0.0385)		(0.00859)		(0.00894)	
