	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_After	-0.0590	-0.0470	-0.122	-0.123	-0.0314	-0.0434	-0.0218	-0.0247	0.0142	0.0286	0.0875	0.119**	-0.00636	-0.0175	0.00600	0.0176	-0.0199	-0.0180	0.0451	0.00321	0.00508	-0.000619	-0.00605	-0.0248*	-0.0223	0.0165	-0.0398	0.0532	0.000142	0.000700	-0.0120	-0.00630	-0.0265	-0.0241	-0.0299	-0.0364	0.00944	0.00527	0.0110	-0.00864	-0.0255	0.00775	-0.0168	0.0635	-0.00924	-0.00902	-0.00518	0.00557	0.00141	0.0100	0.0375	0.0441	-0.00672	0.00498	0.0194*	0.00473
	(0.0723)	(0.0600)	(0.141)	(0.117)	(0.0283)	(0.0266)	(0.0452)	(0.0365)	(0.0274)	(0.0250)	(0.0540)	(0.0512)	(0.0148)	(0.0145)	(0.0195)	(0.0168)	(0.0261)	(0.0219)	(0.0575)	(0.0503)	(0.0122)	(0.0114)	(0.0159)	(0.0131)	(0.0209)	(0.0186)	(0.0494)	(0.0439)	(0.0116)	(0.0106)	(0.0134)	(0.0112)	(0.0205)	(0.0181)	(0.0492)	(0.0447)	(0.0116)	(0.0104)	(0.0114)	(0.00979)	(0.0193)	(0.0175)	(0.0488)	(0.0441)	(0.0116)	(0.0105)	(0.0101)	(0.00893)	(0.0230)	(0.0197)	(0.0584)	(0.0516)	(0.0140)	(0.0122)	(0.0117)	(0.00964)
malec	-0.0759***	-0.0840***	-0.167***	-0.189***	-0.00940***	-0.0108***	-0.0158***	-0.0224***	-0.0828***	-0.0995***	-0.187***	-0.228***	-0.00229	-0.00614**	-0.0220***	-0.0323***	-0.0495***	-0.0674***	-0.103***	-0.146***	0.00448	0.000574	-0.0109***	-0.0223***	-0.0206***	-0.0408***	-0.0301**	-0.0782***	0.0156***	0.0108***	-0.00542	-0.0170***	-0.00263	-0.0199***	0.0421***	0.00180	0.0142***	0.0104***	-0.000233	-0.00884**	0.0330***	0.0226***	0.0959***	0.0697***	0.0403***	0.0372***	0.0130***	0.00602	0.0287***	0.0172**	0.101***	0.0743***	0.0376***	0.0347***	0.0123***	0.00581
	(0.00775)	(0.00794)	(0.0150)	(0.0156)	(0.00337)	(0.00340)	(0.00466)	(0.00480)	(0.00600)	(0.00617)	(0.0127)	(0.0132)	(0.00281)	(0.00284)	(0.00363)	(0.00373)	(0.00573)	(0.00597)	(0.0133)	(0.0139)	(0.00297)	(0.00302)	(0.00362)	(0.00375)	(0.00623)	(0.00648)	(0.0149)	(0.0155)	(0.00340)	(0.00345)	(0.00390)	(0.00403)	(0.00644)	(0.00674)	(0.0158)	(0.0165)	(0.00366)	(0.00369)	(0.00389)	(0.00403)	(0.00725)	(0.00751)	(0.0185)	(0.0191)	(0.00423)	(0.00427)	(0.00416)	(0.00426)	(0.00817)	(0.00838)	(0.0211)	(0.0216)	(0.00486)	(0.00489)	(0.00449)	(0.00455)
agemay	-0.0287***	0.00957	-0.313***	-0.216***	-0.00642	0.00206	0.00120	0.0256***	0.0142**	0.0525***	-0.263***	-0.168***	0.0127***	0.0228***	0.0177***	0.0347***	0.0410***	0.0829***	-0.150***	-0.0475***	0.0327***	0.0439***	0.0356***	0.0553***	0.0296***	0.0704***	-0.120***	-0.0232	0.0337***	0.0442***	-0.0132**	0.00863	0.0528***	0.0912***	-0.0222	0.0688***	0.0450***	0.0585***	0.00706	0.0283***	0.0376***	0.0745***	-0.0156	0.0738***	0.0489***	0.0605***	-0.0113*	0.00419	0.0192	0.0400***	-0.0762**	-0.0243	0.0440***	0.0490***	-0.0167**	-0.00794
	(0.00841)	(0.00846)	(0.0162)	(0.0163)	(0.00449)	(0.00446)	(0.00887)	(0.00896)	(0.00634)	(0.00650)	(0.0126)	(0.0129)	(0.00374)	(0.00379)	(0.00620)	(0.00631)	(0.00585)	(0.00604)	(0.0130)	(0.0135)	(0.00404)	(0.00407)	(0.00553)	(0.00568)	(0.00676)	(0.00699)	(0.0159)	(0.0164)	(0.00486)	(0.00492)	(0.00549)	(0.00562)	(0.00765)	(0.00790)	(0.0178)	(0.0184)	(0.00555)	(0.00562)	(0.00537)	(0.00547)	(0.00986)	(0.0102)	(0.0234)	(0.0241)	(0.00767)	(0.00773)	(0.00598)	(0.00609)	(0.0131)	(0.0133)	(0.0313)	(0.0319)	(0.00998)	(0.00998)	(0.00724)	(0.00724)
magesq	0.000546***	4.82e-05	0.00466***	0.00340***	0.000187***	7.85e-05	5.63e-05	-0.000237**	-2.65e-05	-0.000474***	0.00392***	0.00281***	-7.21e-05	-0.000190***	-0.000132*	-0.000335***	-0.000247***	-0.000725***	0.00259***	0.00142***	-0.000300***	-0.000428***	-0.000355***	-0.000587***	-2.59e-05	-0.000478***	0.00233***	0.00126***	-0.000287***	-0.000398***	0.000276***	3.15e-05	-0.000273***	-0.000680***	0.00115***	0.000202	-0.000363***	-0.000517***	1.75e-05	-0.000208***	-8.42e-05	-0.000495***	0.00109***	9.71e-05	-0.000405***	-0.000538***	0.000242***	7.72e-05	0.000165	-5.09e-05	0.00187***	0.00133***	-0.000304**	-0.000361***	0.000291***	0.000206**
	(0.000112)	(0.000114)	(0.000236)	(0.000241)	(6.23e-05)	(6.22e-05)	(0.000108)	(0.000109)	(8.45e-05)	(8.67e-05)	(0.000185)	(0.000190)	(5.11e-05)	(5.18e-05)	(7.67e-05)	(7.80e-05)	(7.95e-05)	(8.25e-05)	(0.000188)	(0.000197)	(5.44e-05)	(5.50e-05)	(6.94e-05)	(7.14e-05)	(9.03e-05)	(9.38e-05)	(0.000224)	(0.000232)	(6.41e-05)	(6.50e-05)	(6.98e-05)	(7.16e-05)	(0.000100)	(0.000104)	(0.000242)	(0.000251)	(7.10e-05)	(7.19e-05)	(6.81e-05)	(6.96e-05)	(0.000126)	(0.000130)	(0.000305)	(0.000315)	(9.52e-05)	(9.60e-05)	(7.49e-05)	(7.63e-05)	(0.000164)	(0.000166)	(0.000397)	(0.000405)	(0.000121)	(0.000121)	(8.94e-05)	(8.95e-05)
agefirstbirth	-0.00182	0.0102***	0.0142***	0.0431***	0.00214***	0.00484***	0.00216*	0.00764***	0.000180	0.0132***	0.0170***	0.0457***	0.000463	0.00352***	0.000555	0.00606***	-0.00578***	0.00296**	0.00342	0.0222***	-0.000635	0.00181***	-0.000646	0.00361***	-0.00542***	-0.00116	-0.00389	0.00470	0.000152	0.00130*	-0.00201**	-0.000210	-0.0118***	-0.0105***	-0.0255***	-0.0241***	-0.00457***	-0.00404***	-0.00415***	-0.00388***	-0.0133***	-0.0119***	-0.0304***	-0.0281***	-0.00658***	-0.00580***	-0.00454***	-0.00401***	-0.00829***	-0.00569***	-0.0250***	-0.0194***	-0.00419***	-0.00331***	-0.00427***	-0.00344***
	(0.00191)	(0.00195)	(0.00355)	(0.00373)	(0.000806)	(0.000812)	(0.00124)	(0.00128)	(0.00140)	(0.00139)	(0.00269)	(0.00274)	(0.000573)	(0.000570)	(0.000837)	(0.000845)	(0.00124)	(0.00128)	(0.00276)	(0.00285)	(0.000589)	(0.000585)	(0.000772)	(0.000794)	(0.00130)	(0.00136)	(0.00307)	(0.00318)	(0.000668)	(0.000673)	(0.000800)	(0.000827)	(0.00133)	(0.00138)	(0.00315)	(0.00327)	(0.000718)	(0.000719)	(0.000797)	(0.000819)	(0.00147)	(0.00151)	(0.00358)	(0.00369)	(0.000836)	(0.000842)	(0.000819)	(0.000835)	(0.00166)	(0.00169)	(0.00414)	(0.00423)	(0.000945)	(0.000945)	(0.000893)	(0.000899)
height	0.00444***		0.00962***		0.00119***		0.00151***		0.00468***		0.0119***		0.00130***		0.00267***		0.00614***		0.0132***		0.00155***		0.00185***		0.00567***		0.0133***		0.00171***		0.00203***		0.00520***		0.0105***		0.00158***		0.00198***		0.00522***		0.0120***		0.00167***		0.00144***		0.00285***		0.00751***		0.00180***		0.00122***	
	(0.000661)		(0.00131)		(0.000291)		(0.000398)		(0.000515)		(0.00113)		(0.000242)		(0.000312)		(0.000488)		(0.00114)		(0.000250)		(0.000311)		(0.000527)		(0.00128)		(0.000293)		(0.000330)		(0.000557)		(0.00138)		(0.000307)		(0.000327)		(0.000611)		(0.00159)		(0.000356)		(0.000347)		(0.000700)		(0.00186)		(0.000410)		(0.000375)	
bmi	0.00805***		0.0268***		0.000827**		0.00421***		0.0117***		0.0352***		0.00140***		0.00440***		0.0164***		0.0465***		0.00373***		0.00674***		0.0205***		0.0551***		0.00538***		0.00845***		0.0227***		0.0649***		0.00535***		0.00967***		0.0220***		0.0593***		0.00435***		0.00800***		0.0254***		0.0652***		0.00586***		0.00978***	
	(0.000895)		(0.00187)		(0.000404)		(0.000519)		(0.000715)		(0.00153)		(0.000324)		(0.000390)		(0.000676)		(0.00162)		(0.000339)		(0.000394)		(0.000757)		(0.00187)		(0.000392)		(0.000435)		(0.000798)		(0.00203)		(0.000430)		(0.000464)		(0.000913)		(0.00234)		(0.000502)		(0.000513)		(0.00105)		(0.00279)		(0.000583)		(0.000569)	
educf_1_4	0.195***		0.604***		0.0732***		0.110***		0.179***		0.505***		0.0743***		0.0895***		0.293***		0.752***		0.0885***		0.124***		0.275***		0.676***		0.0903***		0.0974***		0.304***		0.730***		0.101***		0.110***		0.317***		0.783***		0.107***		0.102***		0.263***		0.673***		0.0780***		0.0761***	
	(0.0177)		(0.0402)		(0.00845)		(0.0125)		(0.0106)		(0.0256)		(0.00587)		(0.00756)		(0.00920)		(0.0217)		(0.00511)		(0.00623)		(0.00964)		(0.0226)		(0.00543)		(0.00616)		(0.00938)		(0.0228)		(0.00557)		(0.00581)		(0.0103)		(0.0250)		(0.00612)		(0.00599)		(0.0121)		(0.0293)		(0.00711)		(0.00654)	
educf_5_6	0.353***		0.973***		0.0955***		0.175***		0.374***		0.936***		0.110***		0.169***		0.476***		1.143***		0.127***		0.203***		0.499***		1.162***		0.122***		0.191***		0.548***		1.277***		0.145***		0.194***		0.522***		1.250***		0.148***		0.180***		0.518***		1.278***		0.140***		0.179***	
	(0.0163)		(0.0355)		(0.00769)		(0.0106)		(0.00995)		(0.0231)		(0.00528)		(0.00669)		(0.00923)		(0.0215)		(0.00502)		(0.00589)		(0.0101)		(0.0237)		(0.00572)		(0.00632)		(0.0108)		(0.0254)		(0.00596)		(0.00657)		(0.0123)		(0.0297)		(0.00687)		(0.00727)		(0.0141)		(0.0347)		(0.00800)		(0.00793)	
educf_7_10	0.458***		1.230***		0.117***		0.228***		0.504***		1.261***		0.138***		0.220***		0.652***		1.545***		0.166***		0.274***		0.701***		1.587***		0.173***		0.273***		0.727***		1.612***		0.186***		0.273***		0.737***		1.682***		0.200***		0.266***		0.683***		1.599***		0.186***		0.242***	
	(0.0141)		(0.0312)		(0.00671)		(0.00896)		(0.00904)		(0.0210)		(0.00464)		(0.00566)		(0.00907)		(0.0207)		(0.00462)		(0.00542)		(0.0104)		(0.0239)		(0.00550)		(0.00607)		(0.0114)		(0.0260)		(0.00575)		(0.00642)		(0.0137)		(0.0309)		(0.00687)		(0.00754)		(0.0155)		(0.0384)		(0.00860)		(0.00890)	
