	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
T_After	0.101	-0.00355	-0.0725	-0.0806	-0.00639***	-0.00677***	-0.00601***	-0.00611***	0.0946	0.0881	-0.0197	0.0192	-0.00443*	-0.00543***	-0.00481***	-0.00499***	-0.0628	-0.0496	0.0257	0.0321	-0.00855***	-0.00729***	-0.00570***	-0.00511***	-0.0343	0.0361	0.00282	0.0308*	-0.00316	-0.00553*	0.000715	-0.00156	-0.0518*	-0.0655***	0.00273	-0.00688	-0.000595	-0.00205	-0.00106	-0.00138	-0.00745	0.0441*	-0.0122	0.0157	-0.0160***	-0.0137***	-0.00918***	-0.00692**	-0.0205	0.00125	0.0209	0.0187	-0.00534	-0.00561	-0.00336	-0.00384
	(0.201)	(0.174)	(0.140)	(0.144)	(0.00172)	(0.00158)	(0.00170)	(0.00152)	(0.0579)	(0.0559)	(0.0418)	(0.0393)	(0.00256)	(0.00186)	(0.000777)	(0.000701)	(0.0437)	(0.0395)	(0.0304)	(0.0251)	(0.00247)	(0.00238)	(0.00184)	(0.00181)	(0.0338)	(0.0305)	(0.0213)	(0.0186)	(0.00419)	(0.00325)	(0.00384)	(0.00290)	(0.0293)	(0.0249)	(0.0149)	(0.0128)	(0.00501)	(0.00391)	(0.00428)	(0.00334)	(0.0262)	(0.0244)	(0.0122)	(0.0117)	(0.00356)	(0.00320)	(0.00312)	(0.00289)	(0.0287)	(0.0253)	(0.0144)	(0.0123)	(0.00596)	(0.00489)	(0.00512)	(0.00408)
malec	-0.0584**	-0.0606**	-0.0283*	-0.0433**	0.000314	0.000333	-8.38e-05	-6.64e-05	-0.0946***	-0.113***	-0.0522***	-0.0726***	0.00109	0.00110	0.000913	0.000920	-0.0631***	-0.0814***	-0.0204**	-0.0345***	0.00197**	0.00189**	0.00182***	0.00176**	-0.0243**	-0.0445***	-0.0112	-0.0242***	0.00103	0.00101	0.00239***	0.00237***	-0.0137	-0.0301***	-0.0105*	-0.0194***	0.00242**	0.00257**	0.00249**	0.00250***	0.0104	0.00869	0.00687	0.00435	0.00139	0.00119	0.000724	0.000595	0.00615	-0.00637	-0.00165	-0.00676	0.00293*	0.00298*	0.00221	0.00240*
	(0.0251)	(0.0259)	(0.0171)	(0.0185)	(0.000632)	(0.000633)	(0.000608)	(0.000609)	(0.0147)	(0.0156)	(0.0110)	(0.0115)	(0.000709)	(0.000706)	(0.000625)	(0.000622)	(0.0116)	(0.0125)	(0.00814)	(0.00863)	(0.000810)	(0.000807)	(0.000687)	(0.000684)	(0.0108)	(0.0116)	(0.00688)	(0.00725)	(0.00104)	(0.00103)	(0.000816)	(0.000812)	(0.00980)	(0.0105)	(0.00576)	(0.00609)	(0.00120)	(0.00119)	(0.000967)	(0.000957)	(0.0104)	(0.0109)	(0.00556)	(0.00574)	(0.00142)	(0.00141)	(0.00116)	(0.00116)	(0.0113)	(0.0116)	(0.00568)	(0.00581)	(0.00168)	(0.00167)	(0.00142)	(0.00141)
agemay	0.0201	0.0635**	-0.0169	0.0258	-0.00215**	-0.00237***	-0.00221***	-0.00240***	0.0155	0.0655***	0.0338**	0.0597***	-0.00361***	-0.00371***	-0.00340***	-0.00344***	0.0610***	0.123***	0.0107	0.0456***	-0.00333***	-0.00361***	-0.00254***	-0.00267***	0.0498***	0.0985***	-0.0347***	-0.00895	-0.00613***	-0.00634***	-0.00403***	-0.00415***	0.0475***	0.0925***	-0.0231***	0.00161	-0.0103***	-0.0102***	-0.00803***	-0.00790***	0.0556***	0.101***	-0.0211***	-0.00662	-0.0125***	-0.0127***	-0.00924***	-0.00942***	0.0392**	0.0608***	-0.0188**	-0.0110	-0.0144***	-0.0144***	-0.0136***	-0.0134***
	(0.0268)	(0.0269)	(0.0283)	(0.0292)	(0.000877)	(0.000887)	(0.000851)	(0.000866)	(0.0149)	(0.0157)	(0.0166)	(0.0172)	(0.000891)	(0.000875)	(0.000800)	(0.000787)	(0.0116)	(0.0124)	(0.0108)	(0.0115)	(0.000812)	(0.000807)	(0.000645)	(0.000643)	(0.0116)	(0.0123)	(0.00865)	(0.00900)	(0.00130)	(0.00129)	(0.000900)	(0.000893)	(0.0114)	(0.0119)	(0.00735)	(0.00767)	(0.00163)	(0.00162)	(0.00138)	(0.00137)	(0.0143)	(0.0149)	(0.00797)	(0.00815)	(0.00230)	(0.00228)	(0.00197)	(0.00195)	(0.0186)	(0.0189)	(0.00901)	(0.00919)	(0.00342)	(0.00340)	(0.00301)	(0.00298)
magesq	0.000128	-0.000408	0.000476	-2.42e-05	6.29e-06	9.17e-06	1.12e-05	1.37e-05	0.000308	-0.000274	-0.000220	-0.000532**	2.80e-05**	2.92e-05**	3.21e-05***	3.27e-05***	-0.000306*	-0.00101***	-6.42e-06	-0.000411***	1.67e-05	2.03e-05*	1.75e-05*	1.94e-05**	-0.000154	-0.000670***	0.000630***	0.000352***	4.39e-05**	4.64e-05***	2.97e-05**	3.13e-05***	-9.06e-05	-0.000560***	0.000429***	0.000171*	8.88e-05***	8.74e-05***	7.48e-05***	7.33e-05***	-0.000234	-0.000746***	0.000385***	0.000227**	0.000115***	0.000118***	8.90e-05***	9.14e-05***	-7.23e-06	-0.000239	0.000340***	0.000260**	0.000129***	0.000130***	0.000136***	0.000133***
	(0.000389)	(0.000397)	(0.000366)	(0.000383)	(1.42e-05)	(1.42e-05)	(1.37e-05)	(1.38e-05)	(0.000215)	(0.000230)	(0.000219)	(0.000228)	(1.34e-05)	(1.32e-05)	(1.20e-05)	(1.18e-05)	(0.000163)	(0.000176)	(0.000141)	(0.000152)	(1.17e-05)	(1.16e-05)	(9.33e-06)	(9.27e-06)	(0.000157)	(0.000167)	(0.000114)	(0.000119)	(1.73e-05)	(1.72e-05)	(1.20e-05)	(1.19e-05)	(0.000151)	(0.000159)	(9.53e-05)	(9.97e-05)	(2.14e-05)	(2.13e-05)	(1.79e-05)	(1.77e-05)	(0.000181)	(0.000190)	(0.000101)	(0.000104)	(2.89e-05)	(2.86e-05)	(2.47e-05)	(2.45e-05)	(0.000231)	(0.000236)	(0.000112)	(0.000115)	(4.17e-05)	(4.14e-05)	(3.66e-05)	(3.63e-05)
