	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
T_After	-0.109***	-0.0747**	0.00320	-0.00412	0.00367**	0.00379**	0.00330*	0.00358**	-0.0488**	-0.0390**	-0.00837	-0.00193	0.0149***	0.0129***	0.0142***	0.0126***	-0.0552***	-0.0379**	-0.00313	-0.0187*	0.0134***	0.0111***	0.0134***	0.0104***	-0.0653***	-0.00265	-0.0190*	-0.00595	0.0126***	0.0120***	0.0127***	0.0122***	-0.0530***	-0.0209	-0.00634	-0.0137	0.0156***	0.0139***	0.0155***	0.0143***	-0.0266*	0.0162	-0.0165*	0.00173	0.0167***	0.0165***	0.0166***	0.0161***	-0.0165	0.0279*	0.0113	0.0116	0.0179***	0.0159***	0.0179***	0.0156***
	(0.0363)	(0.0330)	(0.0253)	(0.0209)	(0.00183)	(0.00165)	(0.00177)	(0.00161)	(0.0202)	(0.0184)	(0.0145)	(0.0123)	(0.00284)	(0.00230)	(0.00278)	(0.00226)	(0.0189)	(0.0163)	(0.0120)	(0.0102)	(0.00236)	(0.00182)	(0.00229)	(0.00172)	(0.0170)	(0.0149)	(0.0113)	(0.00940)	(0.00213)	(0.00187)	(0.00202)	(0.00178)	(0.0165)	(0.0145)	(0.00987)	(0.00838)	(0.00239)	(0.00194)	(0.00225)	(0.00183)	(0.0153)	(0.0140)	(0.00898)	(0.00798)	(0.00256)	(0.00220)	(0.00238)	(0.00203)	(0.0172)	(0.0149)	(0.00966)	(0.00808)	(0.00309)	(0.00248)	(0.00289)	(0.00225)
malec	-0.0760***	-0.0841***	-0.0163***	-0.0226***	0.000143	0.000179	0.000111	0.000137	-0.0831***	-0.0997***	-0.0222***	-0.0325***	0.000626*	0.000577*	0.000406	0.000356	-0.0492***	-0.0674***	-0.0109***	-0.0219***	0.00204***	0.00204***	0.00180***	0.00175***	-0.0212***	-0.0413***	-0.00605	-0.0180***	0.000706	0.000729	0.00132***	0.00136***	-0.00201	-0.0178***	0.000238	-0.00812**	0.00225***	0.00228***	0.00243***	0.00239***	0.0314***	0.0216***	0.0125***	0.00563	0.00239***	0.00240***	0.00153**	0.00155**	0.0292***	0.0165**	0.0117***	0.00444	0.00185*	0.00209*	0.00202**	0.00222**
	(0.00771)	(0.00789)	(0.00464)	(0.00476)	(0.000244)	(0.000245)	(0.000229)	(0.000230)	(0.00597)	(0.00612)	(0.00362)	(0.00370)	(0.000321)	(0.000323)	(0.000291)	(0.000294)	(0.00570)	(0.00592)	(0.00360)	(0.00372)	(0.000438)	(0.000437)	(0.000394)	(0.000393)	(0.00619)	(0.00641)	(0.00388)	(0.00399)	(0.000590)	(0.000591)	(0.000500)	(0.000504)	(0.00640)	(0.00666)	(0.00387)	(0.00398)	(0.000732)	(0.000724)	(0.000618)	(0.000613)	(0.00717)	(0.00739)	(0.00413)	(0.00422)	(0.000910)	(0.000904)	(0.000765)	(0.000762)	(0.00806)	(0.00821)	(0.00444)	(0.00448)	(0.00112)	(0.00110)	(0.000958)	(0.000943)
agemay	-0.0288***	0.0126	0.00161	0.0270***	-0.00162***	-0.00186***	-0.00157***	-0.00177***	0.0137**	0.0529***	0.0170***	0.0337***	-0.00295***	-0.00320***	-0.00265***	-0.00288***	0.0425***	0.0843***	0.0355***	0.0543***	-0.00380***	-0.00410***	-0.00286***	-0.00313***	0.0286***	0.0708***	-0.0138**	0.00885	-0.00539***	-0.00545***	-0.00402***	-0.00402***	0.0526***	0.0939***	0.00682	0.0287***	-0.00878***	-0.00938***	-0.00680***	-0.00731***	0.0368***	0.0734***	-0.00986*	0.00551	-0.00704***	-0.00751***	-0.00557***	-0.00583***	0.0171	0.0412***	-0.0160**	-0.00728	-0.0105***	-0.0108***	-0.00909***	-0.00927***
	(0.00837)	(0.00842)	(0.00885)	(0.00891)	(0.000300)	(0.000301)	(0.000290)	(0.000292)	(0.00630)	(0.00644)	(0.00619)	(0.00627)	(0.000366)	(0.000363)	(0.000338)	(0.000336)	(0.00582)	(0.00598)	(0.00551)	(0.00563)	(0.000491)	(0.000488)	(0.000442)	(0.000440)	(0.00672)	(0.00690)	(0.00545)	(0.00554)	(0.000721)	(0.000715)	(0.000588)	(0.000588)	(0.00758)	(0.00779)	(0.00533)	(0.00541)	(0.000983)	(0.000973)	(0.000864)	(0.000856)	(0.00983)	(0.0101)	(0.00595)	(0.00604)	(0.00141)	(0.00139)	(0.00125)	(0.00124)	(0.0130)	(0.0131)	(0.00719)	(0.00716)	(0.00205)	(0.00202)	(0.00180)	(0.00177)
magesq	0.000545***	7.70e-06	5.11e-05	-0.000254**	9.18e-06**	1.24e-05***	9.84e-06**	1.26e-05***	-2.19e-05	-0.000487***	-0.000126	-0.000324***	2.23e-05***	2.58e-05***	2.18e-05***	2.48e-05***	-0.000267***	-0.000744***	-0.000354***	-0.000573***	2.48e-05***	2.86e-05***	1.80e-05***	2.18e-05***	-1.26e-05	-0.000488***	0.000284***	2.90e-05	3.91e-05***	3.97e-05***	3.07e-05***	3.08e-05***	-0.000274***	-0.000721***	1.92e-05	-0.000218***	7.82e-05***	8.65e-05***	6.39e-05***	7.09e-05***	-7.72e-05	-0.000484***	0.000223***	6.26e-05	5.14e-05***	5.71e-05***	4.34e-05***	4.69e-05***	0.000184	-8.17e-05	0.000280***	0.000195**	8.90e-05***	9.23e-05***	8.40e-05***	8.61e-05***
	(0.000112)	(0.000113)	(0.000108)	(0.000109)	(4.00e-06)	(3.98e-06)	(3.85e-06)	(3.84e-06)	(8.40e-05)	(8.58e-05)	(7.65e-05)	(7.76e-05)	(5.14e-06)	(5.10e-06)	(4.68e-06)	(4.65e-06)	(7.90e-05)	(8.16e-05)	(6.91e-05)	(7.08e-05)	(6.78e-06)	(6.74e-06)	(6.14e-06)	(6.11e-06)	(8.97e-05)	(9.25e-05)	(6.93e-05)	(7.05e-05)	(9.62e-06)	(9.58e-06)	(7.86e-06)	(7.89e-06)	(9.91e-05)	(0.000102)	(6.76e-05)	(6.87e-05)	(1.27e-05)	(1.26e-05)	(1.11e-05)	(1.10e-05)	(0.000125)	(0.000128)	(7.44e-05)	(7.56e-05)	(1.78e-05)	(1.75e-05)	(1.57e-05)	(1.55e-05)	(0.000161)	(0.000163)	(8.87e-05)	(8.85e-05)	(2.51e-05)	(2.47e-05)	(2.20e-05)	(2.17e-05)
