	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_Twin	-0.0593***	-0.00773	-0.0511	0.0258	-0.00931	-0.0283**	0.0223*	0.0211**	-0.0582***	-0.0560***	-0.0458*	-0.0650***	-0.00725	-0.0322***	-0.0118	-0.0184**	-0.0426***	-0.0360***	-0.0510**	-0.0689***	-0.00793	-0.0268***	-0.0116	-0.0302***	-0.0492***	-0.0241**	-0.109***	-0.0697***	0.00323	-0.0194**	-0.0163**	-0.0170***	-0.0382***	-0.0105	-0.0783***	-0.0372*	-0.00312	-0.0176*	-0.00999*	-0.0153***	-0.0365***	-0.00528	-0.0699***	-0.00375	0.0152	0.00572	-0.00890	0.000221	-0.0201*	0.0161	-0.0187	0.0449*	-0.0150	-0.0151	-0.00356	0.00652
	(0.0185)	(0.0165)	(0.0325)	(0.0292)	(0.0131)	(0.0122)	(0.0117)	(0.0104)	(0.0123)	(0.0128)	(0.0242)	(0.0229)	(0.0104)	(0.00973)	(0.00900)	(0.00783)	(0.0117)	(0.0106)	(0.0244)	(0.0223)	(0.00971)	(0.00879)	(0.00799)	(0.00689)	(0.0107)	(0.00968)	(0.0239)	(0.0217)	(0.00995)	(0.00878)	(0.00698)	(0.00598)	(0.0106)	(0.00965)	(0.0236)	(0.0217)	(0.0100)	(0.00898)	(0.00602)	(0.00533)	(0.0102)	(0.00946)	(0.0244)	(0.0228)	(0.0105)	(0.00954)	(0.00579)	(0.00528)	(0.0116)	(0.0104)	(0.0280)	(0.0252)	(0.0120)	(0.0106)	(0.00607)	(0.00535)
malec	-0.0681***	-0.0790***	-0.148***	-0.170***	-0.00840*	-0.0120***	-0.0141***	-0.0218***	-0.0638***	-0.0779***	-0.133***	-0.165***	0.00550	-0.000413	-0.0178***	-0.0272***	-0.0343***	-0.0530***	-0.0694***	-0.112***	0.0168***	0.00976**	-0.00812**	-0.0203***	-0.00736	-0.0266***	-0.0134	-0.0562***	0.0343***	0.0274***	-0.00764**	-0.0186***	0.0192***	-0.00199	0.0708***	0.0191	0.0438***	0.0350***	0.00508	-0.00675**	0.0443***	0.0318***	0.116***	0.0835***	0.0694***	0.0618***	0.0103***	0.00223	0.0517***	0.0361***	0.133***	0.0923***	0.0752***	0.0681***	0.0132***	0.00436
	(0.00619)	(0.00636)	(0.0117)	(0.0121)	(0.00435)	(0.00441)	(0.00372)	(0.00387)	(0.00487)	(0.00506)	(0.0101)	(0.0105)	(0.00377)	(0.00382)	(0.00309)	(0.00318)	(0.00482)	(0.00505)	(0.0109)	(0.0114)	(0.00425)	(0.00431)	(0.00318)	(0.00331)	(0.00510)	(0.00530)	(0.0121)	(0.0125)	(0.00474)	(0.00475)	(0.00324)	(0.00335)	(0.00540)	(0.00562)	(0.0132)	(0.0137)	(0.00525)	(0.00525)	(0.00322)	(0.00331)	(0.00596)	(0.00614)	(0.0152)	(0.0156)	(0.00602)	(0.00604)	(0.00335)	(0.00342)	(0.00684)	(0.00695)	(0.0175)	(0.0177)	(0.00697)	(0.00694)	(0.00369)	(0.00371)
agemay	0.0193***	0.0599***	-0.257***	-0.166***	-0.00374	0.00902	0.00828	0.0292***	0.0466***	0.0798***	-0.217***	-0.140***	0.0157***	0.0273***	0.0144***	0.0268***	0.0582***	0.0944***	-0.122***	-0.0348***	0.00789	0.0202***	0.0302***	0.0484***	0.0400***	0.0709***	-0.108***	-0.0363***	0.00733	0.0183***	-0.0108**	0.00751*	0.0635***	0.0935***	-0.0196	0.0501***	0.0399***	0.0530***	0.00832**	0.0221***	0.0368***	0.0564***	-0.0512***	-0.00368	0.0451***	0.0557***	-0.0126***	-0.00337	0.0343***	0.0542***	-0.0467*	-0.00102	0.0747***	0.0801***	-0.00885	-0.00343
	(0.00613)	(0.00618)	(0.0123)	(0.0124)	(0.00603)	(0.00604)	(0.00647)	(0.00654)	(0.00465)	(0.00475)	(0.00966)	(0.00981)	(0.00525)	(0.00530)	(0.00486)	(0.00491)	(0.00466)	(0.00481)	(0.0106)	(0.0110)	(0.00581)	(0.00585)	(0.00439)	(0.00452)	(0.00533)	(0.00547)	(0.0127)	(0.0130)	(0.00679)	(0.00679)	(0.00422)	(0.00429)	(0.00623)	(0.00640)	(0.0148)	(0.0152)	(0.00807)	(0.00811)	(0.00416)	(0.00421)	(0.00793)	(0.00813)	(0.0189)	(0.0195)	(0.0105)	(0.0106)	(0.00457)	(0.00463)	(0.0107)	(0.0108)	(0.0255)	(0.0259)	(0.0140)	(0.0139)	(0.00568)	(0.00566)
magesq	1.41e-05	-0.000518***	0.00398***	0.00280***	-0.000307***	-0.000475***	-9.21e-06	-0.000264***	-0.000351***	-0.000755***	0.00342***	0.00250***	-0.000702***	-0.000837***	-7.99e-05	-0.000236***	-0.000385***	-0.000818***	0.00234***	0.00131***	-0.000597***	-0.000744***	-0.000268***	-0.000495***	-4.98e-05	-0.000421***	0.00245***	0.00158***	-0.000540***	-0.000679***	0.000278***	5.85e-05	-0.000333***	-0.000697***	0.00135***	0.000503**	-0.000803***	-0.000996***	2.56e-05	-0.000135**	8.41e-06	-0.000253**	0.00177***	0.00113***	-0.000795***	-0.000962***	0.000278***	0.000168***	5.07e-05	-0.000237*	0.00172***	0.00104***	-0.00106***	-0.00119***	0.000227***	0.000152**
	(8.35e-05)	(8.48e-05)	(0.000182)	(0.000184)	(8.40e-05)	(8.41e-05)	(7.99e-05)	(8.08e-05)	(6.33e-05)	(6.52e-05)	(0.000143)	(0.000146)	(7.25e-05)	(7.32e-05)	(6.06e-05)	(6.14e-05)	(6.42e-05)	(6.67e-05)	(0.000155)	(0.000161)	(7.86e-05)	(7.90e-05)	(5.56e-05)	(5.75e-05)	(7.18e-05)	(7.41e-05)	(0.000180)	(0.000184)	(8.93e-05)	(8.95e-05)	(5.42e-05)	(5.52e-05)	(8.19e-05)	(8.45e-05)	(0.000201)	(0.000207)	(0.000103)	(0.000103)	(5.32e-05)	(5.39e-05)	(0.000101)	(0.000104)	(0.000247)	(0.000256)	(0.000130)	(0.000131)	(5.77e-05)	(5.86e-05)	(0.000133)	(0.000134)	(0.000324)	(0.000328)	(0.000169)	(0.000168)	(7.05e-05)	(7.04e-05)
agefirstbirth	-0.00249*	0.00900***	0.0151***	0.0391***	-0.000674	0.00346***	0.00199**	0.00683***	0.00209*	0.0127***	0.0245***	0.0458***	-0.00322***	0.000778	0.00194***	0.00718***	-0.00574***	-0.000467	0.00679***	0.0170***	-0.00379***	-0.00162*	-0.000275	0.00308***	-0.00503***	-0.00344***	-0.00202	0.000142	-0.00226**	-0.00194**	-0.000927	-7.28e-05	-0.00979***	-0.0115***	-0.0204***	-0.0253***	-0.00756***	-0.00781***	-0.00318***	-0.00390***	-0.0108***	-0.0118***	-0.0232***	-0.0260***	-0.0120***	-0.0119***	-0.00375***	-0.00407***	-0.00738***	-0.00794***	-0.0224***	-0.0237***	-0.00848***	-0.00840***	-0.00272***	-0.00278***
	(0.00150)	(0.00154)	(0.00284)	(0.00293)	(0.00106)	(0.00106)	(0.000949)	(0.000981)	(0.00111)	(0.00112)	(0.00216)	(0.00221)	(0.000788)	(0.000784)	(0.000687)	(0.000699)	(0.00104)	(0.00107)	(0.00227)	(0.00233)	(0.000837)	(0.000836)	(0.000662)	(0.000676)	(0.00106)	(0.00109)	(0.00245)	(0.00250)	(0.000934)	(0.000931)	(0.000655)	(0.000671)	(0.00109)	(0.00112)	(0.00261)	(0.00267)	(0.00100)	(0.000991)	(0.000646)	(0.000655)	(0.00118)	(0.00122)	(0.00293)	(0.00299)	(0.00117)	(0.00117)	(0.000658)	(0.000663)	(0.00136)	(0.00136)	(0.00341)	(0.00341)	(0.00133)	(0.00131)	(0.000720)	(0.000713)
height	0.00433***		0.00861***		0.00220***		0.00142***		0.00452***		0.0105***		0.00177***		0.00251***		0.00562***		0.0114***		0.00150***		0.00178***		0.00517***		0.0117***		0.00219***		0.00176***		0.00391***		0.00832***		0.00145***		0.00154***		0.00412***		0.00969***		0.00152***		0.00126***		0.00333***		0.00790***		0.00322***		0.00142***	
	(0.000530)		(0.00104)		(0.000366)		(0.000314)		(0.000405)		(0.000867)		(0.000317)		(0.000262)		(0.000410)		(0.000910)		(0.000353)		(0.000271)		(0.000431)		(0.00103)		(0.000389)		(0.000270)		(0.000457)		(0.00112)		(0.000430)		(0.000267)		(0.000490)		(0.00127)		(0.000497)		(0.000276)		(0.000570)		(0.00150)		(0.000575)		(0.000301)	
bmi	0.00959***		0.0292***		0.00145***		0.00439***		0.0133***		0.0362***		0.00217***		0.00431***		0.0167***		0.0471***		0.00592***		0.00653***		0.0201***		0.0545***		0.00760***		0.00778***		0.0227***		0.0646***		0.00827***		0.00904***		0.0217***		0.0589***		0.00851***		0.00773***		0.0243***		0.0638***		0.00997***		0.00932***	
	(0.000721)		(0.00145)		(0.000506)		(0.000413)		(0.000593)		(0.00126)		(0.000440)		(0.000341)		(0.000588)		(0.00138)		(0.000494)		(0.000350)		(0.000645)		(0.00159)		(0.000569)		(0.000378)		(0.000709)		(0.00177)		(0.000644)		(0.000404)		(0.000773)		(0.00201)		(0.000741)		(0.000432)		(0.000915)		(0.00241)		(0.000854)		(0.000485)	
educf_1_4	0.236***		0.581***		0.113***		0.103***		0.191***		0.479***		0.122***		0.0858***		0.281***		0.662***		0.144***		0.111***		0.269***		0.640***		0.157***		0.0924***		0.281***		0.667***		0.160***		0.0908***		0.311***		0.765***		0.174***		0.0908***		0.273***		0.700***		0.149***		0.0731***	
	(0.0133)		(0.0294)		(0.0104)		(0.00992)		(0.00842)		(0.0193)		(0.00759)		(0.00636)		(0.00777)		(0.0175)		(0.00734)		(0.00542)		(0.00796)		(0.0182)		(0.00780)		(0.00515)		(0.00818)		(0.0195)		(0.00847)		(0.00494)		(0.00890)		(0.0210)		(0.00931)		(0.00499)		(0.0103)		(0.0249)		(0.0108)		(0.00558)	
educf_5_6	0.404***		0.937***		0.172***		0.180***		0.398***		0.885***		0.193***		0.170***		0.462***		1.034***		0.217***		0.184***		0.480***		1.101***		0.209***		0.176***		0.524***		1.209***		0.248***		0.176***		0.526***		1.265***		0.257***		0.177***		0.497***		1.241***		0.221***		0.161***	
	(0.0126)		(0.0262)		(0.00957)		(0.00864)		(0.00827)		(0.0182)		(0.00702)		(0.00579)		(0.00797)		(0.0179)		(0.00730)		(0.00524)		(0.00871)		(0.0198)		(0.00810)		(0.00545)		(0.00942)		(0.0221)		(0.00899)		(0.00580)		(0.0105)		(0.0256)		(0.0105)		(0.00624)		(0.0125)		(0.0308)		(0.0121)		(0.00692)	
educf_7_10	0.526***		1.199***		0.197***		0.233***		0.542***		1.199***		0.222***		0.227***		0.660***		1.443***		0.261***		0.262***		0.693***		1.491***		0.274***		0.258***		0.707***		1.539***		0.280***		0.251***		0.712***		1.597***		0.309***		0.247***		0.679***		1.580***		0.307***		0.233***	
