	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_Twin	-0.0686**	-0.0112	-0.0534	0.0117	-0.00848	-0.0163	-0.0109	9.07e-05	-0.0181	-0.0149	0.0341	0.00302	0.000980	-0.00820	-0.0111	-0.0110	-0.0164	-0.0147	-0.0101	-0.0314	0.00442	0.000554	-0.000586	-0.0215**	-0.0346***	-0.00520	-0.0900***	-0.0351	-0.00324	-0.00517	-0.0102	-0.00874	-0.0209*	0.00347	-0.0540*	-0.0184	-0.00382	-0.00877	-0.00143	-0.0122**	-0.0305***	-0.00319	-0.0420	0.00859	0.00801	0.00692	-0.00238	0.00243	-0.00345	0.0236**	0.0138	0.0642**	-0.00614	0.00279	0.00215	0.00894
	(0.0335)	(0.0291)	(0.0605)	(0.0514)	(0.0131)	(0.0122)	(0.0223)	(0.0189)	(0.0163)	(0.0181)	(0.0313)	(0.0293)	(0.00823)	(0.00789)	(0.0114)	(0.00983)	(0.0149)	(0.0130)	(0.0310)	(0.0279)	(0.00717)	(0.00653)	(0.00977)	(0.00834)	(0.0127)	(0.0115)	(0.0285)	(0.0262)	(0.00704)	(0.00634)	(0.00807)	(0.00689)	(0.0121)	(0.0110)	(0.0276)	(0.0252)	(0.00691)	(0.00630)	(0.00686)	(0.00600)	(0.0115)	(0.0105)	(0.0280)	(0.0258)	(0.00689)	(0.00633)	(0.00649)	(0.00579)	(0.0130)	(0.0115)	(0.0315)	(0.0280)	(0.00790)	(0.00707)	(0.00671)	(0.00585)
malec	-0.0674***	-0.0772***	-0.146***	-0.166***	-0.00759***	-0.00977***	-0.0131***	-0.0199***	-0.0635***	-0.0769***	-0.133***	-0.164***	0.00151	-0.00218	-0.0179***	-0.0271***	-0.0350***	-0.0530***	-0.0696***	-0.110***	0.00791***	0.00306	-0.00827**	-0.0199***	-0.00699	-0.0246***	-0.0128	-0.0516***	0.0198***	0.0154***	-0.00818**	-0.0176***	0.0171***	-0.00177	0.0662***	0.0194	0.0284***	0.0233***	0.00352	-0.00679**	0.0403***	0.0283***	0.110***	0.0789***	0.0444***	0.0403***	0.00905***	0.00162	0.0509***	0.0368***	0.131***	0.0947***	0.0469***	0.0431***	0.0125***	0.00347
	(0.00626)	(0.00646)	(0.0118)	(0.0123)	(0.00265)	(0.00270)	(0.00377)	(0.00391)	(0.00493)	(0.00513)	(0.0102)	(0.0106)	(0.00231)	(0.00235)	(0.00312)	(0.00321)	(0.00488)	(0.00510)	(0.0111)	(0.0116)	(0.00259)	(0.00265)	(0.00322)	(0.00335)	(0.00517)	(0.00538)	(0.0122)	(0.0127)	(0.00292)	(0.00296)	(0.00329)	(0.00339)	(0.00548)	(0.00571)	(0.0134)	(0.0139)	(0.00321)	(0.00324)	(0.00327)	(0.00336)	(0.00607)	(0.00624)	(0.0155)	(0.0159)	(0.00366)	(0.00368)	(0.00340)	(0.00347)	(0.00694)	(0.00706)	(0.0178)	(0.0181)	(0.00423)	(0.00423)	(0.00374)	(0.00376)
agemay	0.0119*	0.0574***	-0.274***	-0.173***	0.0230***	0.0337***	0.00478	0.0284***	0.0399***	0.0795***	-0.232***	-0.142***	0.0413***	0.0520***	0.0133***	0.0287***	0.0482***	0.0926***	-0.144***	-0.0399***	0.0385***	0.0505***	0.0280***	0.0497***	0.0291***	0.0700***	-0.135***	-0.0391***	0.0394***	0.0513***	-0.0151***	0.00791*	0.0543***	0.0937***	-0.0417***	0.0515***	0.0564***	0.0700***	0.00349	0.0216***	0.0256***	0.0580***	-0.0842***	-0.00550	0.0506***	0.0598***	-0.0175***	-0.00424	0.0242**	0.0527***	-0.0727***	-0.00303	0.0603***	0.0666***	-0.0141**	-0.00415
	(0.00617)	(0.00628)	(0.0125)	(0.0126)	(0.00341)	(0.00342)	(0.00658)	(0.00667)	(0.00468)	(0.00482)	(0.00977)	(0.00999)	(0.00296)	(0.00302)	(0.00491)	(0.00499)	(0.00471)	(0.00487)	(0.0107)	(0.0112)	(0.00332)	(0.00337)	(0.00444)	(0.00459)	(0.00537)	(0.00555)	(0.0129)	(0.0132)	(0.00398)	(0.00404)	(0.00427)	(0.00436)	(0.00632)	(0.00652)	(0.0151)	(0.0155)	(0.00479)	(0.00483)	(0.00422)	(0.00428)	(0.00798)	(0.00817)	(0.0192)	(0.0198)	(0.00628)	(0.00631)	(0.00462)	(0.00468)	(0.0108)	(0.0109)	(0.0260)	(0.0262)	(0.00835)	(0.00831)	(0.00575)	(0.00571)
magesq	9.82e-05	-0.000478***	0.00418***	0.00291***	-0.000184***	-0.000319***	2.54e-05	-0.000255***	-0.000293***	-0.000742***	0.00356***	0.00255***	-0.000428***	-0.000547***	-8.20e-05	-0.000259***	-0.000299***	-0.000790***	0.00254***	0.00139***	-0.000364***	-0.000492***	-0.000261***	-0.000512***	3.09e-05	-0.000403***	0.00264***	0.00163***	-0.000348***	-0.000471***	0.000306***	5.45e-05	-0.000289***	-0.000702***	0.00145***	0.000485**	-0.000503***	-0.000656***	5.72e-05	-0.000126**	6.80e-05	-0.000272***	0.00199***	0.00115***	-0.000417***	-0.000520***	0.000312***	0.000178***	9.91e-05	-0.000212	0.00185***	0.00109***	-0.000490***	-0.000564***	0.000264***	0.000165**
	(8.43e-05)	(8.64e-05)	(0.000185)	(0.000190)	(4.70e-05)	(4.73e-05)	(8.11e-05)	(8.25e-05)	(6.39e-05)	(6.64e-05)	(0.000145)	(0.000149)	(4.06e-05)	(4.15e-05)	(6.12e-05)	(6.24e-05)	(6.49e-05)	(6.75e-05)	(0.000157)	(0.000164)	(4.50e-05)	(4.56e-05)	(5.64e-05)	(5.85e-05)	(7.26e-05)	(7.54e-05)	(0.000182)	(0.000188)	(5.28e-05)	(5.36e-05)	(5.49e-05)	(5.61e-05)	(8.34e-05)	(8.61e-05)	(0.000205)	(0.000212)	(6.16e-05)	(6.21e-05)	(5.41e-05)	(5.49e-05)	(0.000102)	(0.000104)	(0.000252)	(0.000260)	(7.84e-05)	(7.88e-05)	(5.84e-05)	(5.92e-05)	(0.000135)	(0.000136)	(0.000329)	(0.000333)	(0.000101)	(0.000101)	(7.14e-05)	(7.10e-05)
agefirstbirth	-0.00310**	0.00924***	0.0144***	0.0404***	0.000712	0.00350***	0.00159*	0.00698***	0.000793	0.0127***	0.0220***	0.0460***	-0.000676	0.00225***	0.00158**	0.00722***	-0.00685***	6.76e-05	0.00430*	0.0183***	-0.00128**	0.000903*	-0.000761	0.00329***	-0.00675***	-0.00361***	-0.00565**	0.000334	-0.00169***	-0.000625	-0.00164**	8.43e-05	-0.0113***	-0.0113***	-0.0243***	-0.0253***	-0.00508***	-0.00472***	-0.00381***	-0.00379***	-0.0124***	-0.0117***	-0.0272***	-0.0259***	-0.00723***	-0.00636***	-0.00440***	-0.00391***	-0.00926***	-0.00784***	-0.0278***	-0.0241***	-0.00563***	-0.00487***	-0.00355***	-0.00300***
	(0.00151)	(0.00157)	(0.00286)	(0.00299)	(0.000633)	(0.000643)	(0.000965)	(0.000997)	(0.00113)	(0.00114)	(0.00219)	(0.00225)	(0.000475)	(0.000479)	(0.000695)	(0.000708)	(0.00105)	(0.00109)	(0.00230)	(0.00237)	(0.000509)	(0.000511)	(0.000672)	(0.000688)	(0.00108)	(0.00112)	(0.00250)	(0.00256)	(0.000566)	(0.000571)	(0.000665)	(0.000684)	(0.00111)	(0.00114)	(0.00266)	(0.00274)	(0.000619)	(0.000619)	(0.000658)	(0.000669)	(0.00120)	(0.00124)	(0.00297)	(0.00304)	(0.000707)	(0.000713)	(0.000666)	(0.000672)	(0.00138)	(0.00139)	(0.00347)	(0.00348)	(0.000810)	(0.000806)	(0.000729)	(0.000725)
height	0.00473***		0.00941***		0.00154***		0.00161***		0.00488***		0.0113***		0.00123***		0.00266***		0.00586***		0.0120***		0.00129***		0.00184***		0.00562***		0.0127***		0.00158***		0.00191***		0.00408***		0.00908***		0.00133***		0.00174***		0.00454***		0.0107***		0.00117***		0.00145***		0.00338***		0.00837***		0.00177***		0.00154***	
	(0.000534)		(0.00105)		(0.000226)		(0.000317)		(0.000409)		(0.000876)		(0.000195)		(0.000264)		(0.000413)		(0.000924)		(0.000217)		(0.000274)		(0.000436)		(0.00104)		(0.000246)		(0.000274)		(0.000465)		(0.00114)		(0.000267)		(0.000271)		(0.000500)		(0.00130)		(0.000302)		(0.000280)		(0.000578)		(0.00153)		(0.000352)		(0.000305)	
bmi	0.0103***		0.0310***		0.00180***		0.00477***		0.0146***		0.0388***		0.00203***		0.00486***		0.0186***		0.0512***		0.00458***		0.00742***		0.0227***		0.0608***		0.00592***		0.00887***		0.0250***		0.0705***		0.00615***		0.0101***		0.0241***		0.0652***		0.00587***		0.00873***		0.0264***		0.0696***		0.00713***		0.0102***	
	(0.000728)		(0.00147)		(0.000307)		(0.000420)		(0.000599)		(0.00127)		(0.000265)		(0.000342)		(0.000594)		(0.00140)		(0.000294)		(0.000353)		(0.000651)		(0.00161)		(0.000343)		(0.000381)		(0.000707)		(0.00179)		(0.000385)		(0.000406)		(0.000785)		(0.00204)		(0.000440)		(0.000437)		(0.000918)		(0.00244)		(0.000512)		(0.000492)	
educf_1_4	0.244***		0.601***		0.109***		0.106***		0.204***		0.504***		0.111***		0.0921***		0.298***		0.700***		0.118***		0.117***		0.287***		0.682***		0.113***		0.0996***		0.298***		0.713***		0.114***		0.0986***		0.329***		0.817***		0.127***		0.0987***		0.294***		0.749***		0.106***		0.0807***	
	(0.0135)		(0.0298)		(0.00668)		(0.0101)		(0.00850)		(0.0196)		(0.00473)		(0.00642)		(0.00787)		(0.0178)		(0.00443)		(0.00550)		(0.00805)		(0.0184)		(0.00467)		(0.00522)		(0.00827)		(0.0198)		(0.00498)		(0.00500)		(0.00899)		(0.0213)		(0.00540)		(0.00505)		(0.0105)		(0.0254)		(0.00634)		(0.00566)	
educf_5_6	0.428***		0.986***		0.146***		0.192***		0.423***		0.936***		0.156***		0.181***		0.493***		1.101***		0.169***		0.196***		0.510***		1.172***		0.155***		0.187***		0.555***		1.288***		0.174***		0.190***		0.557***		1.344***		0.178***		0.189***		0.529***		1.323***		0.157***		0.174***	
	(0.0127)		(0.0265)		(0.00613)		(0.00875)		(0.00832)		(0.0184)		(0.00436)		(0.00583)		(0.00801)		(0.0180)		(0.00434)		(0.00528)		(0.00877)		(0.0200)		(0.00492)		(0.00549)		(0.00947)		(0.0224)		(0.00527)		(0.00582)		(0.0107)		(0.0259)		(0.00605)		(0.00628)		(0.0124)		(0.0310)		(0.00709)		(0.00693)	
educf_7_10	0.560***		1.263***		0.168***		0.249***		0.577***		1.270***		0.183***		0.243***		0.698***		1.526***		0.203***		0.278***		0.734***		1.593***		0.208***		0.276***		0.748***		1.645***		0.205***		0.269***		0.751***		1.700***		0.217***		0.261***		0.719***		1.681***		0.206***		0.247***	
