	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_Twin	-0.0508	-0.00976	0.00135	0.0386	-0.0206	-0.0280*	-0.0181	-0.00641	-0.0152	0.000683	0.0549	0.0448	-0.00178	-0.00951	0.000943	0.00751	-0.0118	-0.0130	0.00419	-0.0276	0.00271	0.000938	-0.00571	-0.0260***	-0.0377***	-0.0170	-0.104***	-0.0646**	0.000328	-0.00126	-0.0165*	-0.0135*	-0.0295**	-0.0168	-0.0614*	-0.0516	-0.00242	-0.00770	0.000408	-0.0116*	-0.0286**	-0.00413	-0.0482	0.00823	0.00438	0.00389	-0.00475	0.000956	-0.00324	0.0165	-0.00121	0.0465	-0.00845	0.00295	-0.00494	-3.27e-05
	(0.0408)	(0.0353)	(0.0750)	(0.0626)	(0.0165)	(0.0151)	(0.0273)	(0.0225)	(0.0182)	(0.0217)	(0.0360)	(0.0341)	(0.00967)	(0.00945)	(0.0131)	(0.0113)	(0.0169)	(0.0149)	(0.0358)	(0.0331)	(0.00845)	(0.00771)	(0.0108)	(0.00937)	(0.0146)	(0.0134)	(0.0344)	(0.0322)	(0.00828)	(0.00749)	(0.00885)	(0.00765)	(0.0141)	(0.0129)	(0.0340)	(0.0317)	(0.00840)	(0.00764)	(0.00745)	(0.00658)	(0.0137)	(0.0125)	(0.0357)	(0.0329)	(0.00852)	(0.00778)	(0.00704)	(0.00631)	(0.0164)	(0.0144)	(0.0420)	(0.0377)	(0.0101)	(0.00897)	(0.00763)	(0.00662)
malec	-0.0673***	-0.0771***	-0.145***	-0.167***	-0.00777***	-0.00989***	-0.0130***	-0.0201***	-0.0632***	-0.0763***	-0.134***	-0.164***	0.00166	-0.00215	-0.0179***	-0.0272***	-0.0351***	-0.0532***	-0.0694***	-0.110***	0.00786***	0.00317	-0.00833***	-0.0201***	-0.00636	-0.0239***	-0.0118	-0.0510***	0.0198***	0.0154***	-0.00794**	-0.0173***	0.0183***	0.000147	0.0659***	0.0215	0.0286***	0.0240***	0.00308	-0.00673**	0.0421***	0.0315***	0.111***	0.0846***	0.0447***	0.0413***	0.00842**	0.00162	0.0517***	0.0379***	0.134***	0.0990***	0.0466***	0.0422***	0.0125***	0.00456
	(0.00626)	(0.00647)	(0.0118)	(0.0124)	(0.00266)	(0.00271)	(0.00378)	(0.00392)	(0.00494)	(0.00515)	(0.0102)	(0.0106)	(0.00232)	(0.00236)	(0.00313)	(0.00323)	(0.00490)	(0.00513)	(0.0111)	(0.0117)	(0.00261)	(0.00267)	(0.00323)	(0.00337)	(0.00520)	(0.00543)	(0.0123)	(0.0129)	(0.00294)	(0.00298)	(0.00330)	(0.00341)	(0.00552)	(0.00577)	(0.0136)	(0.0141)	(0.00324)	(0.00328)	(0.00329)	(0.00339)	(0.00614)	(0.00635)	(0.0157)	(0.0162)	(0.00371)	(0.00375)	(0.00342)	(0.00350)	(0.00705)	(0.00722)	(0.0182)	(0.0186)	(0.00430)	(0.00433)	(0.00378)	(0.00382)
agemay	0.0120*	0.0575***	-0.275***	-0.173***	0.0231***	0.0338***	0.00480	0.0282***	0.0402***	0.0798***	-0.233***	-0.143***	0.0410***	0.0518***	0.0136***	0.0291***	0.0479***	0.0922***	-0.145***	-0.0417***	0.0380***	0.0500***	0.0281***	0.0498***	0.0290***	0.0688***	-0.135***	-0.0427***	0.0393***	0.0514***	-0.0144***	0.00833*	0.0550***	0.0919***	-0.0393**	0.0477***	0.0564***	0.0697***	0.00414	0.0222***	0.0239***	0.0552***	-0.0875***	-0.00999	0.0503***	0.0586***	-0.0178***	-0.00496	0.0198*	0.0435***	-0.0800***	-0.0207	0.0589***	0.0647***	-0.0151***	-0.00633
	(0.00618)	(0.00630)	(0.0125)	(0.0127)	(0.00341)	(0.00343)	(0.00658)	(0.00669)	(0.00470)	(0.00485)	(0.00981)	(0.0101)	(0.00297)	(0.00303)	(0.00492)	(0.00502)	(0.00472)	(0.00491)	(0.0108)	(0.0113)	(0.00333)	(0.00339)	(0.00446)	(0.00461)	(0.00540)	(0.00560)	(0.0130)	(0.0134)	(0.00402)	(0.00408)	(0.00429)	(0.00440)	(0.00638)	(0.00661)	(0.0153)	(0.0159)	(0.00484)	(0.00490)	(0.00425)	(0.00433)	(0.00807)	(0.00829)	(0.0195)	(0.0201)	(0.00634)	(0.00639)	(0.00465)	(0.00472)	(0.0109)	(0.0111)	(0.0265)	(0.0270)	(0.00849)	(0.00848)	(0.00581)	(0.00579)
magesq	9.52e-05	-0.000483***	0.00418***	0.00290***	-0.000186***	-0.000321***	2.40e-05	-0.000255***	-0.000294***	-0.000743***	0.00357***	0.00258***	-0.000422***	-0.000543***	-8.43e-05	-0.000263***	-0.000294***	-0.000785***	0.00256***	0.00142***	-0.000357***	-0.000486***	-0.000262***	-0.000513***	2.83e-05	-0.000387***	0.00265***	0.00168***	-0.000347***	-0.000472***	0.000298***	4.77e-05	-0.000300***	-0.000679***	0.00142***	0.000543**	-0.000504***	-0.000654***	4.96e-05	-0.000135**	8.85e-05	-0.000239**	0.00204***	0.00123***	-0.000415***	-0.000505***	0.000317***	0.000189***	0.000160	-8.98e-05	0.00195***	0.00132***	-0.000474***	-0.000541***	0.000277***	0.000190***
	(8.44e-05)	(8.67e-05)	(0.000185)	(0.000191)	(4.71e-05)	(4.75e-05)	(8.12e-05)	(8.28e-05)	(6.41e-05)	(6.67e-05)	(0.000145)	(0.000150)	(4.08e-05)	(4.17e-05)	(6.14e-05)	(6.26e-05)	(6.52e-05)	(6.81e-05)	(0.000158)	(0.000166)	(4.52e-05)	(4.59e-05)	(5.65e-05)	(5.89e-05)	(7.31e-05)	(7.62e-05)	(0.000184)	(0.000191)	(5.33e-05)	(5.42e-05)	(5.52e-05)	(5.67e-05)	(8.42e-05)	(8.75e-05)	(0.000208)	(0.000217)	(6.22e-05)	(6.30e-05)	(5.45e-05)	(5.56e-05)	(0.000103)	(0.000106)	(0.000256)	(0.000265)	(7.93e-05)	(7.98e-05)	(5.87e-05)	(5.98e-05)	(0.000137)	(0.000139)	(0.000337)	(0.000344)	(0.000103)	(0.000103)	(7.22e-05)	(7.21e-05)
agefirstbirth	-0.00309**	0.00930***	0.0142***	0.0403***	0.000782	0.00361***	0.00161*	0.00713***	0.000748	0.0125***	0.0219***	0.0460***	-0.000686	0.00224***	0.00153**	0.00708***	-0.00677***	0.000280	0.00432*	0.0186***	-0.00127**	0.000872*	-0.000653	0.00343***	-0.00659***	-0.00322***	-0.00536**	0.00111	-0.00175***	-0.000601	-0.00157**	6.21e-05	-0.0113***	-0.0111***	-0.0245***	-0.0252***	-0.00506***	-0.00469***	-0.00390***	-0.00383***	-0.0124***	-0.0114***	-0.0277***	-0.0263***	-0.00733***	-0.00637***	-0.00461***	-0.00415***	-0.00891***	-0.00643***	-0.0271***	-0.0216***	-0.00567***	-0.00479***	-0.00346***	-0.00253***
	(0.00152)	(0.00158)	(0.00287)	(0.00302)	(0.000637)	(0.000649)	(0.000967)	(0.00100)	(0.00113)	(0.00115)	(0.00220)	(0.00227)	(0.000477)	(0.000481)	(0.000698)	(0.000713)	(0.00106)	(0.00110)	(0.00231)	(0.00240)	(0.000513)	(0.000516)	(0.000675)	(0.000694)	(0.00109)	(0.00114)	(0.00252)	(0.00260)	(0.000572)	(0.000579)	(0.000670)	(0.000692)	(0.00112)	(0.00116)	(0.00269)	(0.00279)	(0.000626)	(0.000628)	(0.000663)	(0.000678)	(0.00122)	(0.00126)	(0.00302)	(0.00312)	(0.000719)	(0.000727)	(0.000672)	(0.000684)	(0.00141)	(0.00143)	(0.00354)	(0.00361)	(0.000826)	(0.000827)	(0.000738)	(0.000741)
height	0.00473***		0.00941***		0.00153***		0.00162***		0.00486***		0.0113***		0.00125***		0.00268***		0.00583***		0.0119***		0.00132***		0.00182***		0.00556***		0.0126***		0.00154***		0.00189***		0.00405***		0.00898***		0.00133***		0.00174***		0.00458***		0.0107***		0.00116***		0.00143***		0.00355***		0.00874***		0.00174***		0.00157***	
	(0.000535)		(0.00105)		(0.000226)		(0.000317)		(0.000409)		(0.000878)		(0.000196)		(0.000264)		(0.000414)		(0.000928)		(0.000218)		(0.000275)		(0.000438)		(0.00105)		(0.000248)		(0.000275)		(0.000468)		(0.00116)		(0.000270)		(0.000272)		(0.000506)		(0.00132)		(0.000307)		(0.000283)		(0.000589)		(0.00156)		(0.000358)		(0.000309)	
bmi	0.0103***		0.0310***		0.00178***		0.00478***		0.0145***		0.0388***		0.00199***		0.00485***		0.0188***		0.0515***		0.00460***		0.00745***		0.0228***		0.0611***		0.00589***		0.00889***		0.0248***		0.0706***		0.00609***		0.0100***		0.0241***		0.0657***		0.00573***		0.00866***		0.0267***		0.0704***		0.00709***		0.0101***	
	(0.000728)		(0.00148)		(0.000308)		(0.000420)		(0.000600)		(0.00127)		(0.000266)		(0.000343)		(0.000595)		(0.00140)		(0.000296)		(0.000354)		(0.000656)		(0.00162)		(0.000345)		(0.000383)		(0.000713)		(0.00181)		(0.000389)		(0.000409)		(0.000796)		(0.00208)		(0.000447)		(0.000440)		(0.000933)		(0.00249)		(0.000521)		(0.000497)	
educf_1_4	0.244***		0.600***		0.109***		0.107***		0.204***		0.504***		0.111***		0.0925***		0.298***		0.701***		0.119***		0.118***		0.287***		0.684***		0.114***		0.0991***		0.298***		0.712***		0.115***		0.0982***		0.330***		0.822***		0.127***		0.0987***		0.297***		0.760***		0.107***		0.0829***	
	(0.0135)		(0.0299)		(0.00669)		(0.0101)		(0.00853)		(0.0196)		(0.00475)		(0.00644)		(0.00789)		(0.0179)		(0.00445)		(0.00552)		(0.00810)		(0.0185)		(0.00470)		(0.00524)		(0.00834)		(0.0199)		(0.00502)		(0.00503)		(0.00908)		(0.0217)		(0.00546)		(0.00508)		(0.0107)		(0.0260)		(0.00645)		(0.00573)	
educf_5_6	0.428***		0.986***		0.146***		0.193***		0.422***		0.936***		0.156***		0.182***		0.493***		1.103***		0.169***		0.197***		0.509***		1.173***		0.154***		0.187***		0.558***		1.294***		0.174***		0.189***		0.557***		1.346***		0.178***		0.188***		0.531***		1.332***		0.160***		0.175***	
	(0.0127)		(0.0265)		(0.00615)		(0.00877)		(0.00834)		(0.0185)		(0.00437)		(0.00584)		(0.00803)		(0.0181)		(0.00436)		(0.00530)		(0.00882)		(0.0202)		(0.00495)		(0.00551)		(0.00956)		(0.0226)		(0.00533)		(0.00585)		(0.0108)		(0.0263)		(0.00613)		(0.00633)		(0.0126)		(0.0316)		(0.00719)		(0.00701)	
educf_7_10	0.559***		1.263***		0.168***		0.250***		0.576***		1.270***		0.183***		0.243***		0.699***		1.530***		0.203***		0.278***		0.735***		1.598***		0.208***		0.276***		0.749***		1.652***		0.206***		0.269***		0.751***		1.715***		0.219***		0.261***		0.714***		1.688***		0.207***		0.248***	
