	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
T_Twin	-0.0565	-0.0803	-0.0805	0.00831	-0.00860	-0.0124***	-0.00734*	-0.00964***	-0.0700**	-0.0761***	-0.0538**	-0.0261	-0.0121***	-0.0141***	-0.00789***	-0.00958***	-0.0183	-0.0268	-0.00916	-0.00647	-0.0116***	-0.0131***	-0.00436*	-0.00635***	-0.0343*	-0.0163	-0.0114	-0.000381	-0.0129***	-0.0132***	-0.00623**	-0.00742***	-0.0523***	-0.0618***	-0.00249	-0.0150*	-0.00946***	-0.00943***	-0.00466*	-0.00361	-0.0270	-0.00750	-0.0106	-0.00138	-0.0198***	-0.0192***	-0.00870***	-0.00868***	0.00221	0.0199	-0.00240	0.00703	-0.00637	-0.0101***	-0.00379	-0.00596*
	(0.0674)	(0.0591)	(0.0756)	(0.0667)	(0.00523)	(0.00398)	(0.00414)	(0.00316)	(0.0322)	(0.0294)	(0.0264)	(0.0236)	(0.00296)	(0.00241)	(0.00245)	(0.00188)	(0.0252)	(0.0235)	(0.0162)	(0.0146)	(0.00295)	(0.00240)	(0.00264)	(0.00208)	(0.0201)	(0.0195)	(0.0112)	(0.0104)	(0.00292)	(0.00250)	(0.00252)	(0.00206)	(0.0185)	(0.0171)	(0.00886)	(0.00799)	(0.00340)	(0.00294)	(0.00277)	(0.00247)	(0.0177)	(0.0163)	(0.00794)	(0.00742)	(0.00321)	(0.00274)	(0.00283)	(0.00240)	(0.0208)	(0.0189)	(0.00872)	(0.00801)	(0.00455)	(0.00373)	(0.00377)	(0.00306)
malec	-0.0489***	-0.0590***	-0.0244**	-0.0413***	0.00122*	0.00125*	0.00104*	0.00106*	-0.0467***	-0.0547***	-0.0309***	-0.0432***	0.00123*	0.00121*	0.000609	0.000615	-0.0335***	-0.0514***	-0.0148**	-0.0285***	0.00188**	0.00188**	0.00214***	0.00209***	-0.00247	-0.0168*	-0.0106**	-0.0196***	0.00125	0.00112	0.00195**	0.00193**	0.0248***	0.0103	-0.000579	-0.00919**	0.000898	0.000917	0.00121	0.00123	0.0311***	0.0288***	0.00213	-0.000634	0.00274**	0.00273**	0.00187*	0.00182*	0.0368***	0.0258***	0.000238	-0.00403	0.00219	0.00230	0.00129	0.00150
	(0.0153)	(0.0161)	(0.0116)	(0.0127)	(0.000658)	(0.000658)	(0.000587)	(0.000587)	(0.00965)	(0.0103)	(0.00794)	(0.00836)	(0.000733)	(0.000731)	(0.000620)	(0.000618)	(0.00861)	(0.00927)	(0.00634)	(0.00681)	(0.000813)	(0.000809)	(0.000671)	(0.000667)	(0.00809)	(0.00861)	(0.00512)	(0.00539)	(0.00101)	(0.00101)	(0.000762)	(0.000757)	(0.00796)	(0.00843)	(0.00445)	(0.00468)	(0.00114)	(0.00113)	(0.000899)	(0.000893)	(0.00841)	(0.00871)	(0.00422)	(0.00433)	(0.00132)	(0.00131)	(0.00106)	(0.00105)	(0.00953)	(0.00978)	(0.00455)	(0.00464)	(0.00158)	(0.00156)	(0.00130)	(0.00129)
agemay	0.0556***	0.116***	0.0112	0.0511***	-0.00896***	-0.00919***	-0.00743***	-0.00757***	0.0393***	0.0892***	0.00340	0.0240**	-0.00867***	-0.00902***	-0.00686***	-0.00701***	0.0582***	0.113***	-0.00641	0.0259***	-0.0116***	-0.0119***	-0.00960***	-0.00979***	0.0353***	0.0774***	-0.0386***	-0.0160***	-0.0116***	-0.0118***	-0.00715***	-0.00731***	0.0451***	0.0811***	-0.0207***	-0.00434	-0.0141***	-0.0144***	-0.0120***	-0.0120***	0.0424***	0.0736***	-0.0224***	-0.0123**	-0.0159***	-0.0160***	-0.0130***	-0.0132***	0.0305**	0.0548***	-0.0189***	-0.0110	-0.0175***	-0.0175***	-0.0153***	-0.0151***
	(0.0132)	(0.0141)	(0.0140)	(0.0150)	(0.000769)	(0.000771)	(0.000708)	(0.000710)	(0.00858)	(0.00926)	(0.0102)	(0.0105)	(0.000815)	(0.000814)	(0.000729)	(0.000723)	(0.00797)	(0.00850)	(0.00694)	(0.00749)	(0.000948)	(0.000943)	(0.000808)	(0.000805)	(0.00820)	(0.00863)	(0.00593)	(0.00620)	(0.00131)	(0.00130)	(0.000992)	(0.000982)	(0.00901)	(0.00939)	(0.00531)	(0.00550)	(0.00161)	(0.00159)	(0.00136)	(0.00135)	(0.0107)	(0.0111)	(0.00561)	(0.00568)	(0.00215)	(0.00212)	(0.00177)	(0.00176)	(0.0148)	(0.0151)	(0.00672)	(0.00679)	(0.00293)	(0.00289)	(0.00246)	(0.00243)
magesq	-0.000215	-0.000983***	2.47e-05	-0.000456**	4.37e-05***	4.68e-05***	4.82e-05***	5.01e-05***	2.94e-05	-0.000504***	0.000119	-0.000115	5.70e-05***	6.18e-05***	5.48e-05***	5.69e-05***	-0.000249**	-0.000839***	0.000191**	-0.000178*	9.76e-05***	0.000101***	9.44e-05***	9.71e-05***	8.00e-05	-0.000354***	0.000662***	0.000418***	9.68e-05***	9.95e-05***	5.74e-05***	5.94e-05***	-8.12e-05	-0.000433***	0.000380***	0.000222***	0.000122***	0.000125***	0.000119***	0.000120***	-7.06e-05	-0.000409***	0.000389***	0.000284***	0.000142***	0.000143***	0.000131***	0.000133***	9.00e-05	-0.000174	0.000331***	0.000250***	0.000156***	0.000158***	0.000152***	0.000150***
	(0.000196)	(0.000213)	(0.000191)	(0.000207)	(1.16e-05)	(1.15e-05)	(1.05e-05)	(1.05e-05)	(0.000126)	(0.000137)	(0.000136)	(0.000140)	(1.27e-05)	(1.26e-05)	(1.13e-05)	(1.12e-05)	(0.000113)	(0.000122)	(9.26e-05)	(0.000100)	(1.34e-05)	(1.33e-05)	(1.13e-05)	(1.13e-05)	(0.000113)	(0.000120)	(7.93e-05)	(8.31e-05)	(1.77e-05)	(1.75e-05)	(1.35e-05)	(1.33e-05)	(0.000120)	(0.000126)	(6.98e-05)	(7.27e-05)	(2.10e-05)	(2.09e-05)	(1.76e-05)	(1.75e-05)	(0.000138)	(0.000143)	(7.26e-05)	(7.36e-05)	(2.71e-05)	(2.68e-05)	(2.24e-05)	(2.21e-05)	(0.000185)	(0.000189)	(8.49e-05)	(8.58e-05)	(3.60e-05)	(3.55e-05)	(3.01e-05)	(2.98e-05)
