	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_Final	-0.0679		-0.153		-0.0976*		-0.0170		0.0149		0.0604		-0.0646**		-0.0251		-0.0202		-0.00311		-0.0189		-0.0404*		0.0245		0.207**		-0.0159		0.0313		0.0305		0.0342		0.0801**		-0.0204		0.0440		0.0561		-0.0122		-0.0217		0.148**		0.204		-0.0378		0.0321	
	(0.0846)		(0.165)		(0.0576)		(0.0521)		(0.0411)		(0.0818)		(0.0322)		(0.0263)		(0.0342)		(0.0696)		(0.0234)		(0.0219)		(0.0421)		(0.0831)		(0.0393)		(0.0294)		(0.0446)		(0.0804)		(0.0350)		(0.0242)		(0.0577)		(0.129)		(0.0691)		(0.0286)		(0.0629)		(0.141)		(0.0587)		(0.0285)	
T_FinalXtwin	-0.0358		-0.0247		0.0512		0.0371		-0.0457		-0.0392		0.0513		0.0662*		-0.0952*		-0.213**		0.0177		0.0362		-0.0653		-0.516***		0.0202		-0.157**		-0.0278		-0.136		-0.0205		-0.105*		0.134		0.171		0.239		0.0138		-0.0680		-0.393		-0.0307		-0.0563	
	(0.0905)		(0.176)		(0.0618)		(0.0560)		(0.0628)		(0.120)		(0.0454)		(0.0345)		(0.0515)		(0.100)		(0.0355)		(0.0364)		(0.0915)		(0.166)		(0.0722)		(0.0675)		(0.0829)		(0.165)		(0.0690)		(0.0560)		(0.135)		(0.264)		(0.150)		(0.0798)		(0.150)		(0.293)		(0.124)		(0.0965)	
malec	-0.0661***	-0.0662***	-0.133***	-0.133***	-0.0144**	-0.0144**	-0.0129**	-0.0128**	-0.0602***	-0.0602***	-0.110***	-0.110***	-0.00204	-0.00205	-0.0159***	-0.0159***	-0.0416***	-0.0418***	-0.0709***	-0.0710***	0.0130*	0.0130*	-0.00747	-0.00743	-0.0342**	-0.0343**	-0.0541*	-0.0545*	0.0495***	0.0494***	-0.0153*	-0.0148*	-0.0223*	-0.0224*	0.00809	0.00781	0.0132	0.0132	-0.000610	-0.000709	0.0347*	0.0347*	0.122**	0.122**	0.0932***	0.0930***	0.00608	0.00599	0.00989	0.00878	-0.00154	-0.00389	0.0496**	0.0475**	-0.00475	-0.00447
	(0.00836)	(0.00836)	(0.0145)	(0.0145)	(0.00570)	(0.00570)	(0.00517)	(0.00517)	(0.00902)	(0.00902)	(0.0174)	(0.0174)	(0.00679)	(0.00679)	(0.00558)	(0.00558)	(0.00921)	(0.00921)	(0.0190)	(0.0190)	(0.00746)	(0.00746)	(0.00594)	(0.00594)	(0.0141)	(0.0141)	(0.0291)	(0.0291)	(0.0130)	(0.0130)	(0.00887)	(0.00889)	(0.0136)	(0.0135)	(0.0295)	(0.0295)	(0.0133)	(0.0133)	(0.00770)	(0.00770)	(0.0209)	(0.0209)	(0.0486)	(0.0486)	(0.0225)	(0.0225)	(0.0113)	(0.0113)	(0.0218)	(0.0219)	(0.0495)	(0.0495)	(0.0230)	(0.0230)	(0.0104)	(0.0104)
agemay	-0.00846	-0.00808	-0.232***	-0.231***	-0.0365***	-0.0364***	0.0183*	0.0182*	0.0532***	0.0534***	-0.154***	-0.155***	-0.0318***	-0.0313***	0.0395***	0.0395***	0.0760***	0.0759***	-0.0873***	-0.0875***	-0.0155	-0.0154	0.0426***	0.0427***	0.0338**	0.0337**	-0.104***	-0.105***	-0.0372*	-0.0369*	-0.0264**	-0.0259**	0.0425**	0.0421**	-0.0278	-0.0281	0.00701	0.00568	-0.00520	-0.00516	0.0395	0.0378	-0.0379	-0.0401	0.0235	0.0258	-0.00353	-0.00399	0.0829**	0.0831**	0.113	0.113	-0.0128	-0.0101	0.0261	0.0272
	(0.00927)	(0.00927)	(0.0153)	(0.0153)	(0.00846)	(0.00846)	(0.00970)	(0.00970)	(0.00913)	(0.00914)	(0.0171)	(0.0171)	(0.00997)	(0.00997)	(0.00970)	(0.00971)	(0.00944)	(0.00944)	(0.0187)	(0.0187)	(0.0110)	(0.0110)	(0.00909)	(0.00909)	(0.0160)	(0.0160)	(0.0327)	(0.0327)	(0.0192)	(0.0192)	(0.0122)	(0.0122)	(0.0173)	(0.0173)	(0.0352)	(0.0352)	(0.0210)	(0.0210)	(0.0106)	(0.0106)	(0.0300)	(0.0299)	(0.0661)	(0.0660)	(0.0412)	(0.0410)	(0.0151)	(0.0151)	(0.0361)	(0.0361)	(0.0772)	(0.0773)	(0.0506)	(0.0506)	(0.0171)	(0.0169)
magesq	0.000282**	0.000279**	0.00358***	0.00357***	0.000108	0.000107	-0.000142	-0.000141	-0.000506***	-0.000507***	0.00247***	0.00248***	-0.000149	-0.000154	-0.000387***	-0.000386***	-0.000589***	-0.000588***	0.00188***	0.00188***	-0.000415***	-0.000415***	-0.000427***	-0.000428***	4.29e-05	4.24e-05	0.00231***	0.00231***	-7.75e-05	-7.94e-05	0.000511***	0.000503***	-5.29e-05	-4.94e-05	0.00135***	0.00135***	-0.000468*	-0.000451*	0.000202	0.000198	8.42e-06	2.97e-05	0.00151*	0.00154*	-0.000671	-0.000696	0.000187	0.000193	-0.000480	-0.000487	-0.000308	-0.000324	-5.90e-05	-9.10e-05	-0.000239	-0.000252
	(0.000124)	(0.000124)	(0.000222)	(0.000222)	(0.000118)	(0.000118)	(0.000119)	(0.000119)	(0.000123)	(0.000123)	(0.000247)	(0.000247)	(0.000136)	(0.000136)	(0.000120)	(0.000120)	(0.000129)	(0.000129)	(0.000270)	(0.000270)	(0.000147)	(0.000147)	(0.000115)	(0.000115)	(0.000214)	(0.000214)	(0.000456)	(0.000456)	(0.000253)	(0.000252)	(0.000158)	(0.000158)	(0.000226)	(0.000226)	(0.000478)	(0.000478)	(0.000268)	(0.000268)	(0.000136)	(0.000136)	(0.000382)	(0.000381)	(0.000854)	(0.000851)	(0.000508)	(0.000506)	(0.000190)	(0.000190)	(0.000451)	(0.000452)	(0.000973)	(0.000973)	(0.000616)	(0.000615)	(0.000212)	(0.000210)
agefirstbirth	-0.00223	-0.00252	0.0126***	0.0123***	0.000663	0.000584	0.00124	0.00126	-0.000614	-0.000652	0.0118***	0.0118***	-0.000881	-0.00106	-0.00170	-0.00175	-0.00806***	-0.00804***	0.000462	0.000597	-0.00244	-0.00243	-0.000972	-0.00105	-0.00375	-0.00364	-0.00820	-0.00722	-0.00291	-0.00297	-0.00280	-0.00250	-0.00933***	-0.00920***	-0.0250***	-0.0248***	-0.00844***	-0.00829***	-0.00202	-0.00187	-0.0174***	-0.0169***	-0.0276***	-0.0269***	-0.0169***	-0.0169***	-0.00360	-0.00374	-0.00246	-0.00250	-0.00962	-0.00951	-0.00291	-0.00276	-0.00261	-0.00257
	(0.00209)	(0.00210)	(0.00362)	(0.00363)	(0.00143)	(0.00144)	(0.00136)	(0.00136)	(0.00207)	(0.00207)	(0.00367)	(0.00367)	(0.00136)	(0.00136)	(0.00122)	(0.00122)	(0.00198)	(0.00197)	(0.00401)	(0.00400)	(0.00149)	(0.00149)	(0.00123)	(0.00123)	(0.00283)	(0.00283)	(0.00592)	(0.00591)	(0.00244)	(0.00244)	(0.00183)	(0.00184)	(0.00309)	(0.00308)	(0.00600)	(0.00600)	(0.00259)	(0.00259)	(0.00167)	(0.00167)	(0.00428)	(0.00428)	(0.00966)	(0.00966)	(0.00416)	(0.00415)	(0.00228)	(0.00228)	(0.00449)	(0.00449)	(0.0103)	(0.0103)	(0.00454)	(0.00453)	(0.00217)	(0.00216)
height	0.00451***	0.00450***	0.00847***	0.00846***	0.00224***	0.00225***	0.00128***	0.00128***	0.00365***	0.00366***	0.00731***	0.00734***	0.00174***	0.00174***	0.00236***	0.00237***	0.00595***	0.00596***	0.0120***	0.0120***	0.00113*	0.00115*	0.00175***	0.00174***	0.00499***	0.00500***	0.00943***	0.00950***	0.00462***	0.00462***	0.000929	0.000859	0.00736***	0.00737***	0.0121***	0.0121***	0.00258**	0.00267**	0.00187***	0.00185***	0.00759***	0.00756***	0.0194***	0.0193***	0.00407**	0.00396**	0.00325***	0.00322***	0.00588***	0.00606***	0.0138***	0.0141***	0.00219	0.00225	0.00159*	0.00161*
	(0.000712)	(0.000713)	(0.00128)	(0.00128)	(0.000508)	(0.000508)	(0.000449)	(0.000449)	(0.000763)	(0.000763)	(0.00154)	(0.00154)	(0.000582)	(0.000582)	(0.000479)	(0.000479)	(0.000792)	(0.000792)	(0.00163)	(0.00163)	(0.000629)	(0.000630)	(0.000524)	(0.000524)	(0.00112)	(0.00112)	(0.00241)	(0.00241)	(0.00104)	(0.00104)	(0.000746)	(0.000751)	(0.00114)	(0.00114)	(0.00257)	(0.00257)	(0.00108)	(0.00108)	(0.000633)	(0.000633)	(0.00175)	(0.00175)	(0.00401)	(0.00400)	(0.00184)	(0.00183)	(0.000912)	(0.000912)	(0.00187)	(0.00187)	(0.00435)	(0.00435)	(0.00192)	(0.00192)	(0.000926)	(0.000924)
bmi	0.00701***	0.00701***	0.0198***	0.0198***	-4.19e-05	-4.09e-05	0.00384***	0.00384***	0.0108***	0.0108***	0.0293***	0.0293***	0.00241***	0.00241***	0.00298***	0.00299***	0.0175***	0.0175***	0.0403***	0.0403***	0.00466***	0.00465***	0.00650***	0.00652***	0.0188***	0.0188***	0.0393***	0.0394***	0.00841***	0.00839***	0.00566***	0.00564***	0.0249***	0.0250***	0.0567***	0.0567***	0.0107***	0.0108***	0.00887***	0.00875***	0.0229***	0.0229***	0.0542***	0.0540***	0.00703**	0.00698**	0.00612***	0.00613***	0.0250***	0.0249***	0.0482***	0.0479***	0.00963***	0.00951***	0.00709***	0.00710***
	(0.000970)	(0.000970)	(0.00179)	(0.00179)	(0.000690)	(0.000690)	(0.000583)	(0.000583)	(0.00105)	(0.00105)	(0.00208)	(0.00208)	(0.000804)	(0.000804)	(0.000612)	(0.000612)	(0.00109)	(0.00109)	(0.00232)	(0.00232)	(0.000859)	(0.000858)	(0.000664)	(0.000664)	(0.00181)	(0.00181)	(0.00381)	(0.00380)	(0.00158)	(0.00158)	(0.00107)	(0.00107)	(0.00176)	(0.00175)	(0.00384)	(0.00384)	(0.00162)	(0.00162)	(0.000986)	(0.000986)	(0.00314)	(0.00314)	(0.00678)	(0.00677)	(0.00285)	(0.00285)	(0.00165)	(0.00166)	(0.00339)	(0.00339)	(0.00719)	(0.00719)	(0.00292)	(0.00292)	(0.00161)	(0.00161)
educf_1_4	0.189***	0.189***	0.515***	0.515***	0.0647***	0.0647***	0.0977***	0.0976***	0.165***	0.165***	0.417***	0.417***	0.0644***	0.0646***	0.0899***	0.0898***	0.255***	0.255***	0.573***	0.573***	0.121***	0.120***	0.0966***	0.0965***	0.256***	0.256***	0.486***	0.486***	0.161***	0.161***	0.0673***	0.0676***	0.269***	0.269***	0.550***	0.551***	0.178***	0.178***	0.0597***	0.0599***	0.273***	0.275***	0.582***	0.585***	0.241***	0.240***	0.0582***	0.0581***	0.276***	0.276***	0.636***	0.635***	0.191***	0.197***	0.0563***	0.0557***
