	(1)	(2)	(3)	(4)	(5)
VARIABLES	twind100	twind100	twind100	twind100	twind100
					
agemay	-0.0884***	-0.0321	-0.130***	-0.0306	-0.0522
	(0.0250)	(0.0352)	(0.0286)	(0.0379)	(0.0448)
magesq	-0.00161***	-0.00308***	-0.000577	-0.00326***	-0.000933
	(0.000450)	(0.000576)	(0.000467)	(0.000709)	(0.000672)
educf_1_4	0.319***	0.385***	0.267*	0.412***	0.0719
	(0.0956)	(0.101)	(0.150)	(0.113)	(0.113)
educf_5_6	0.574***	0.534**	0.562***	0.668***	0.315**
	(0.127)	(0.194)	(0.176)	(0.147)	(0.141)
educf_7_10	0.883***	1.092***	0.740***	0.946***	0.660***
	(0.159)	(0.176)	(0.213)	(0.175)	(0.139)
educf_11plus	1.319***	0.615	1.302***	1.360***	1.088***
	(0.170)	(0.395)	(0.207)	(0.205)	(0.258)
height	0.0609***	0.0607***	0.0598***	0.0665***	0.0451***
	(0.00705)	(0.00716)	(0.0109)	(0.00669)	(0.0105)
bmi	0.0651***	0.0808***	0.0584***	0.0612***	0.0687***
	(0.00941)	(0.0130)	(0.0118)	(0.0110)	(0.0102)
agefirstbirth	0.343***	0.360***	0.327***	0.389***	0.260***
	(0.0254)	(0.0378)	(0.0321)	(0.0313)	(0.0232)
Constant	-10.78***	-10.86***	-10.71***	-16.16***	-9.388***
	(1.426)	(1.072)	(2.352)	(1.927)	(2.206)
					
Observations	2,117,298	846,090	1,271,208	1,514,418	602,880
R-squared	0.013	0.014	0.011	0.014	0.011
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
