
="",="0",="1",="Total"

="m19",="7328.2",="5707.5",="7184.0"
="",="(3368.1)",="(3974.8)",="(3449.5)"

="m16",="0.0977",="0.280",="0.114"
="",="(0.297)",="(0.458)",="(0.318)"

="m14",="3.336",="3.840",="3.381"
="",="(3.072)",="(1.908)",="(2.988)"

="m17",="0.0586",="0.0400",="0.0569"
="",="(0.235)",="(0.200)",="(0.232)"

="infantmortality",="0.758",="0.840",="0.765"
="",="(0.429)",="(0.374)",="(0.425)"

="childmortality",="1",="1",="1"
="",="(0)",="(0)",="(0)"

="educ",="3.004",="3.360",="3.036"
="",="(2.513)",="(2.548)",="(2.514)"

="school_zscore",="-0.601",="-0.426",="-0.585"
="",="(1.215)",="(1.065)",="(1.202)"

="noeduc",="0.234",="0.200",="0.231"
="",="(0.424)",="(0.408)",="(0.422)"

="highschool",="0.121",="0.120",="0.121"
="",="(0.327)",="(0.332)",="(0.327)"

="malec",="0.555",="0.480",="0.548"
="",="(0.498)",="(0.510)",="(0.499)"

