;2+;;;3+;;;4+;;;
FERTILITY;Base;+S;+S&H;Base;+S;+S&H;Base;+S;+S&H 
Pre-Twins 
Twin;0.776***;0.821***;0.822***;0.794***;0.827***;0.826***;0.840***;0.859***;0.861***
;(0.031);(0.029);(0.028);(0.027);(0.027);(0.026);(0.027);(0.027);(0.026)

Pre-Twins (+bord) 
Twin;0.796***;0.838***;0.839***;0.793***;0.825***;0.828***;0.842***;0.863***;0.865***
;(0.030);(0.028);(0.028);(0.027);(0.026);(0.026);(0.026);(0.026);(0.026)

Low-Income 
Twin;0.826***;0.853***;0.848***;0.810***;0.828***;0.834***;0.867***;0.873***;0.869***
;(0.038);(0.038);(0.037);(0.033);(0.033);(0.032);(0.033);(0.033);(0.033)

Middle-Income 
Twin;0.718***;0.774***;0.784***;0.757***;0.817***;0.801***;0.783***;0.831***;0.839***
;(0.050);(0.045);(0.043);(0.046);(0.045);(0.043);(0.047);(0.044);(0.042)

Desired-Threshold 
Twin;0.750***;0.799***;0.800***;0.749***;0.791***;0.793***;0.847***;0.863***;0.865***
;(0.036);(0.033);(0.033);(0.030);(0.029);(0.029);(0.028);(0.028);(0.028)
Twin*desire;0.092;0.076;0.079;0.208***;0.148**;0.150**;-0.047;-0.028;-0.023
;(0.067);(0.063);(0.063);(0.069);(0.065);(0.065);(0.085);(0.080);(0.080)

Twins and Pre-twins 
Twin;0.727***;0.782***;0.788***;0.809***;0.828***;0.832***;0.853***;0.855***;0.859***
;(0.027);(0.025);(0.025);(0.027);(0.026);(0.026);(0.027);(0.025);(0.025)


NOTES: Each cell represents the coefficient from the first-stage of a two-stage regression.  The first-stage represents the effect of twinning at parity $N$ on total fertility where $N$ is 2, 3 or 4 for 2+, 3+ and 4+ groups respectively.  The 2+ group includes all first borns in families with at least 2 births, the 3+ group includes first and second borns in families with at least 3 births, and the 4+ group includes all first to third borns in families with at least four births.  In each regressions the sample is made up of all children aged between 6-18 years from families in the DHS who fulfill these birth order conditions.  Controls in each case are identical to those described in table 5.  Standard errors are clustered at the level of the mother.* p<0.1, ** p<0.05, *** p<0.01 
