	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
fert	-0.0607***	0.0271***	0.00704	0.00291	-0.106***	0.122***	0.0159	0.0127	-0.110***	0.0651**	0.0367	0.0178	-0.102***	0.0447*	-0.0111	-0.0264	-0.0933***	0.0586**	0.0161
	(0.000375)	(0.00583)	(0.00643)	(0.00628)	(0.00146)	(0.0422)	(0.0398)	(0.0391)	(0.00128)	(0.0303)	(0.0313)	(0.0302)	(0.00138)	(0.0258)	(0.0274)	(0.0263)	(0.00158)	(0.0272)	(0.0295)
age7	-0.340***	-0.294***	-0.253***	-0.261***	-0.399***	-0.0781	-0.176***	-0.204***	-0.419***	-0.182***	-0.147***	-0.191***	-0.425***	-0.221***	-0.243***	-0.276***	-0.462***	-0.248***	-0.240***
	(0.00515)	(0.00612)	(0.00785)	(0.00764)	(0.0106)	(0.0602)	(0.0603)	(0.0591)	(0.00910)	(0.0423)	(0.0485)	(0.0466)	(0.00971)	(0.0370)	(0.0437)	(0.0418)	(0.0109)	(0.0399)	(0.0477)
age8	0.0484***	0.0847***	0.0845***	0.0813***	-0.0267***	0.254***	0.132**	0.117**	-0.0317***	0.176***	0.176***	0.140***	-0.0348***	0.143***	0.0997***	0.0718*	-0.0531***	0.132***	0.106**
	(0.00510)	(0.00579)	(0.00740)	(0.00722)	(0.0103)	(0.0529)	(0.0525)	(0.0514)	(0.00878)	(0.0371)	(0.0424)	(0.0408)	(0.00920)	(0.0326)	(0.0384)	(0.0368)	(0.0103)	(0.0348)	(0.0414)
age9	0.224***	0.250***	0.247***	0.241***	0.143***	0.378***	0.274***	0.258***	0.155***	0.331***	0.322***	0.290***	0.170***	0.320***	0.276***	0.247***	0.164***	0.323***	0.297***
	(0.00503)	(0.00546)	(0.00696)	(0.00679)	(0.0101)	(0.0446)	(0.0431)	(0.0421)	(0.00848)	(0.0317)	(0.0357)	(0.0342)	(0.00874)	(0.0278)	(0.0328)	(0.0313)	(0.00963)	(0.0300)	(0.0356)
age10	0.342***	0.366***	0.345***	0.340***	0.248***	0.453***	0.350***	0.335***	0.280***	0.431***	0.410***	0.381***	0.301***	0.431***	0.375***	0.350***	0.301***	0.439***	0.393***
	(0.00506)	(0.00546)	(0.00685)	(0.00669)	(0.0101)	(0.0392)	(0.0364)	(0.0357)	(0.00840)	(0.0275)	(0.0304)	(0.0292)	(0.00859)	(0.0245)	(0.0284)	(0.0273)	(0.00939)	(0.0264)	(0.0310)
age11	0.345***	0.356***	0.356***	0.357***	0.247***	0.400***	0.342***	0.338***	0.283***	0.401***	0.399***	0.382***	0.308***	0.412***	0.380***	0.367***	0.322***	0.433***	0.412***
	(0.00493)	(0.00514)	(0.00653)	(0.00637)	(0.00967)	(0.0300)	(0.0292)	(0.0287)	(0.00803)	(0.0221)	(0.0249)	(0.0239)	(0.00814)	(0.0200)	(0.0238)	(0.0228)	(0.00880)	(0.0218)	(0.0259)
age12	0.399***	0.411***	0.382***	0.377***	0.318***	0.451***	0.366***	0.352***	0.351***	0.451***	0.415***	0.391***	0.382***	0.467***	0.408***	0.386***	0.397***	0.488***	0.446***
	(0.00508)	(0.00530)	(0.00671)	(0.00655)	(0.00990)	(0.0267)	(0.0258)	(0.0253)	(0.00822)	(0.0193)	(0.0218)	(0.0210)	(0.00832)	(0.0172)	(0.0206)	(0.0197)	(0.00896)	(0.0187)	(0.0225)
age13	0.324***	0.323***	0.312***	0.314***	0.237***	0.320***	0.278***	0.280***	0.269***	0.336***	0.327***	0.321***	0.300***	0.359***	0.333***	0.327***	0.316***	0.383***	0.360***
	(0.00495)	(0.00511)	(0.00649)	(0.00633)	(0.00956)	(0.0183)	(0.0197)	(0.0193)	(0.00790)	(0.0141)	(0.0166)	(0.0160)	(0.00795)	(0.0131)	(0.0160)	(0.0153)	(0.00848)	(0.0147)	(0.0177)
age14	0.287***	0.287***	0.274***	0.273***	0.227***	0.293***	0.255***	0.253***	0.251***	0.301***	0.284***	0.275***	0.277***	0.318***	0.291***	0.284***	0.287***	0.336***	0.311***
	(0.00505)	(0.00521)	(0.00664)	(0.00648)	(0.00971)	(0.0159)	(0.0162)	(0.0159)	(0.00802)	(0.0119)	(0.0136)	(0.0132)	(0.00803)	(0.0109)	(0.0130)	(0.0126)	(0.00854)	(0.0123)	(0.0145)
age15	0.222***	0.218***	0.215***	0.210***	0.183***	0.215***	0.203***	0.197***	0.194***	0.217***	0.219***	0.209***	0.212***	0.233***	0.222***	0.210***	0.220***	0.243***	0.237***
	(0.00505)	(0.00522)	(0.00668)	(0.00651)	(0.00964)	(0.0119)	(0.0133)	(0.0130)	(0.00796)	(0.00918)	(0.0111)	(0.0108)	(0.00795)	(0.00891)	(0.0109)	(0.0105)	(0.00843)	(0.00955)	(0.0116)
