	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
															
fert	-0.456***	-0.340***	-0.639***	-0.565***	1.409	0.239	-0.567***	1.017**	0.402	-0.523***	0.699**	0.0538	-0.450***	0.376	-0.257
	(0.00324)	(0.0823)	(0.107)	(0.00694)	(1.196)	(0.522)	(0.00564)	(0.413)	(0.373)	(0.00561)	(0.346)	(0.318)	(0.00613)	(0.255)	(0.257)
age18	-1.006	0.758	-0.161	-0.834	5.811	-0.140	-1.278	4.528	-0.254	-3.725	3.783	-0.153	-2.029	2.998	-0.415
	(1.138)	(3.681)	(3.495)	(27,388)	(6.644)	(3.551)	(16,952)	(4.997)	(3.675)	(20,740)	(4.522)	(3.561)	(1.284)	(4.107)	(3.540)
age19	-0.674	1.087	0.160	-0.359	6.075	0.301	-0.899	4.754	0.0588	-3.363	4.026	0.186	-1.694	3.250	-0.0652
	(1.138)	(3.681)	(3.495)	(27,388)	(6.571)	(3.546)	(16,952)	(4.987)	(3.674)	(20,740)	(4.515)	(3.560)	(1.284)	(4.103)	(3.539)
age20	-0.159	1.610	0.529	0.154	6.473	0.740	-0.353	5.233	0.510	-2.859	4.466	0.600	-1.171	3.727	0.403
	(1.138)	(3.681)	(3.495)	(27,388)	(6.532)	(3.548)	(16,952)	(4.983)	(3.675)	(20,740)	(4.511)	(3.560)	(1.284)	(4.100)	(3.539)
age21	-0.168	1.601	0.547	0.174	6.321	0.776	-0.337	5.131	0.585	-2.860	4.410	0.660	-1.228	3.636	0.368
	(1.138)	(3.681)	(3.495)	(27,388)	(6.475)	(3.548)	(16,952)	(4.976)	(3.675)	(20,740)	(4.508)	(3.561)	(1.284)	(4.099)	(3.539)
age22	0.427	2.208	0.918	0.861	7.113	1.279	0.285	5.827	1.027	-2.223	5.030	1.091	-0.610	4.229	0.830
	(1.138)	(3.682)	(3.495)	(27,388)	(6.510)	(3.553)	(16,952)	(4.980)	(3.675)	(20,740)	(4.507)	(3.560)	(1.284)	(4.098)	(3.539)
age23	0.361	2.141	0.877	0.818	6.885	1.271	0.259	5.671	1.068	-2.288	4.893	1.090	-0.672	4.137	0.783
	(1.138)	(3.682)	(3.495)	(27,388)	(6.448)	(3.552)	(16,952)	(4.973)	(3.676)	(20,740)	(4.503)	(3.561)	(1.284)	(4.096)	(3.539)
age24	0.626	2.416	0.974	1.198	7.407	1.595	0.509	5.951	1.243	-2.044	5.146	1.232	-0.457	4.343	0.910
	(1.138)	(3.682)	(3.495)	(27,388)	(6.495)	(3.563)	(16,952)	(4.974)	(3.678)	(20,740)	(4.503)	(3.561)	(1.284)	(4.096)	(3.540)
age25	0.800	2.594	1.005	1.265	7.294	1.500	0.770	6.073	1.416	-1.832	5.335	1.334	-0.247	4.567	1.033
	(1.138)	(3.682)	(3.495)	(27,388)	(6.436)	(3.567)	(16,952)	(4.966)	(3.678)	(20,740)	(4.502)	(3.563)	(1.285)	(4.097)	(3.540)
age26	0.420	2.220	0.761	0.836	6.644	1.388	0.307	5.586	1.296	-2.159	4.972	1.271	-0.584	4.187	0.885
	(1.138)	(3.682)	(3.495)	(27,388)	(6.365)	(3.571)	(16,952)	(4.965)	(3.682)	(20,740)	(4.500)	(3.564)	(1.285)	(4.095)	(3.540)
age27	0.742	2.546	0.916	1.363	7.233	1.863	0.761	6.024	1.584	-1.769	5.348	1.520	-0.220	4.547	1.053
	(1.138)	(3.683)	(3.495)	(27,388)	(6.385)	(3.574)	(16,952)	(4.964)	(3.683)	(20,740)	(4.499)	(3.564)	(1.285)	(4.095)	(3.541)
age28	0.717	2.526	0.884	1.297	7.124	2.023	0.760	5.966	1.717	-1.785	5.311	1.493	-0.177	4.622	1.097
	(1.138)	(3.683)	(3.496)	(27,388)	(6.371)	(3.597)	(16,952)	(4.961)	(3.688)	(20,740)	(4.498)	(3.567)	(1.285)	(4.096)	(3.543)
age29	0.658	2.468	0.795	1.308	6.986	2.075	0.656	5.795	1.772	-1.860	5.210	1.530	-0.301	4.449	1.038
	(1.139)	(3.683)	(3.496)	(27,388)	(6.324)	(3.597)	(16,952)	(4.957)	(3.690)	(20,740)	(4.497)	(3.568)	(1.286)	(4.094)	(3.543)
age30	0.490	2.311	0.531	1.278	6.958	2.005	0.612	5.783	1.807	-2.014	5.140	1.541	-0.544	4.302	0.795
	(1.140)	(3.684)	(3.498)	(27,388)	(6.326)	(3.626)	(16,952)	(4.959)	(3.702)	(20,740)	(4.502)	(3.580)	(1.288)	(4.099)	(3.549)
age31	-0.136	1.688	-0.0984	0.175	5.802	1.302	-0.140	4.909	1.252	-2.468	4.601	1.165	-0.819	3.990	0.676
	(1.139)	(3.684)	(3.500)	(27,388)	(6.309)	(3.659)	(16,952)	(4.953)	(3.710)	(20,740)	(4.497)	(3.584)	(1.287)	(4.097)	(3.552)
age32	0.634	2.449	0.668	1.251	6.260	1.991	0.677	5.606	1.744	-1.867	5.183	1.540	-0.308	4.537	0.880
	(1.145)	(3.686)	(3.502)	(27,388)	(6.130)	(3.606)	(16,952)	(4.950)	(3.704)	(20,740)	(4.499)	(3.585)	(1.294)	(4.102)	(3.556)
age33	-0.123	1.697	-0.0910	0.468	6.097	1.610	0.0422	4.975	1.604	-2.506	4.460	1.143	-0.857	3.910	0.545
	(1.147)	(3.687)	(3.508)	(27,388)	(6.316)	(3.681)	(16,952)	(4.952)	(3.726)	(20,740)	(4.497)	(3.597)	(1.297)	(4.100)	(3.564)
age34	-0.747	1.061	-0.452	0.00723	4.464	1.359	-0.627	3.916	1.315	-3.133	3.411	0.900	-1.669	2.915	0.141
	(1.165)	(3.692)	(3.518)	(27,388)	(5.994)	(3.672)	(16,952)	(4.940)	(3.748)	(20,740)	(4.484)	(3.604)	(1.318)	(4.100)	(3.577)
age35	-0.0103	1.879	-1.316	0.515	6.613	1.147	0.226	5.925	0.884	-1.980	5.313	0.168	-0.318	4.757	-0.214
	(1.201)	(3.710)	(3.556)	(27,388)	(6.497)	(3.798)	(16,952)	(5.025)	(3.798)	(20,740)	(4.545)	(3.657)	(1.370)	(4.146)	(3.636)
age36	-1.518	0.302	-1.287	-0.369	4.901	1.630	-1.333	3.909	1.777	-3.617	3.358	1.051	-1.986	2.850	0.738
	(1.242)	(3.723)	(3.562)	(27,388)	(6.257)	(3.891)	(16,952)	(5.016)	(3.873)	(20,740)	(4.545)	(3.731)	(1.407)	(4.151)	(3.697)
age38	-1.533			-0.322			-1.132			-4.052			-2.876		
	(3.838)			(27,388)			(16,952)			(20,740)			(3.987)		
yearc1	3.867	3.582		4.746	0.206		8.348*	1.443		8.135*	2.795		6.809	5.351*	
	(15,403)	(2.194)		(4.471)	(4.092)		(4.335)	(2.974)		(4.379)	(2.687)		(13,176)	(2.976)	
yearc2	-4.817	-5.254		-3.950	-10.80			-8.915*			-7.035		-3.890	-5.684	
	(15,403)	(3.706)		(5.384)	(6.671)			(5.001)			(4.507)		(13,176)	(4.110)	
yearc3	-3.512	-3.815**		5.024	-1.020		1.123	-6.202**		1.219	-4.710**		-2.765	-3.708*	
	(15,403)	(1.882)		(5.379)	(6.400)		(4.179)	(2.590)		(4.219)	(2.322)		(13,176)	(2.116)	
yearc4	-4.111	-4.322					0.564	-5.571		0.688	-4.409		-3.151	-3.554	
	(15,403)	(3.692)					(5.278)	(4.893)		(5.328)	(4.455)		(13,176)	(4.093)	
yearc5	-1.157	-1.461		1.360	-5.997		4.992	-3.902*		4.827	-2.324		0.777	-0.966	
	(15,403)	(1.439)		(4.183)	(4.724)		(4.035)	(2.318)		(4.074)	(2.014)		(13,176)	(1.770)	
yearc6	-0.774	-0.977		-0.574	-4.414		3.808	-2.371		3.842	-1.708		-0.948	-1.902	
	(15,403)	(1.348)		(4.145)	(2.974)		(3.963)	(1.859)		(4.032)	(1.792)		(13,176)	(1.752)	
yearc7	-1.236	-1.632*	7.419**	0.0683	-7.560	-0.928	3.753	-5.199***	-2.205	3.383	-4.102***	1.542	-0.297	-2.309*	4.434
	(15,403)	(0.934)	(3.565)	(4.091)	(4.695)	(6.279)	(3.845)	(1.695)	(4.945)	(3.888)	(1.468)	(4.379)	(13,176)	(1.187)	(3.934)
yearc8	-1.623	-1.840**		-1.486	-4.851**		3.162	-2.700**		2.451	-2.925**		-0.626	-1.393	
