	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																			
fert	-0.475***	-0.278***	-0.460***	-0.728***	-0.741***	-0.527***	-0.301***	0.721	0.125	0.00361	-0.539***	-0.317***	0.706**	0.319	0.149	-0.512***	-0.311***	0.605*	0.0518	0.0248	-0.457***	-0.294***	0.318	-0.275	-0.392*	-0.401***	-0.276***	0.809***	0.255	0.103	-0.353***	-0.247***	0.508**	0.0204	0.0469
	(0.00326)	(0.00444)	(0.0933)	(0.122)	(0.122)	(0.00703)	(0.00913)	(0.750)	(0.451)	(0.431)	(0.00575)	(0.00746)	(0.325)	(0.344)	(0.316)	(0.00574)	(0.00742)	(0.314)	(0.297)	(0.301)	(0.00630)	(0.00809)	(0.235)	(0.237)	(0.227)	(0.00726)	(0.00920)	(0.254)	(0.277)	(0.268)	(0.00887)	(0.0112)	(0.227)	(0.218)	(0.210)
malec	-0.143***	0.128***	-0.145***	0.114***	0.167***	-0.166***	0.159***	-0.222***	0.189***	0.239***	-0.152***	0.169***	-0.242***	0.202***	0.266***	-0.0690***	0.282***	-0.160***	0.288***	0.364***	0.00865	0.347***	-0.0647**	0.347***	0.427***	0.129***	0.432***	0.0222	0.405***	0.484***	0.221***	0.490***	0.162***	0.477***	0.554***
	(0.0158)	(0.0196)	(0.0194)	(0.0207)	(0.0207)	(0.0285)	(0.0342)	(0.0481)	(0.0474)	(0.0478)	(0.0226)	(0.0274)	(0.0356)	(0.0341)	(0.0332)	(0.0217)	(0.0267)	(0.0356)	(0.0276)	(0.0272)	(0.0225)	(0.0278)	(0.0326)	(0.0285)	(0.0275)	(0.0241)	(0.0298)	(0.0352)	(0.0338)	(0.0319)	(0.0270)	(0.0334)	(0.0325)	(0.0352)	(0.0340)
agemay	0.0847***	0.0556***	0.0833***	0.103***	0.108***	0.121***	0.0459***	0.275***	0.0769**	0.0614**	0.0973***	0.0379***	0.239***	0.0859***	0.0673***	0.0662***	0.0330***	0.175***	0.0602***	0.0541**	0.0468***	0.0301***	0.109***	0.0313*	0.0230	0.0350***	0.0277***	0.117***	0.0578***	0.0493***	0.0323***	0.0326***	0.0819***	0.0456***	0.0476***
	(0.00210)	(0.00263)	(0.00901)	(0.0132)	(0.0130)	(0.00449)	(0.00560)	(0.0922)	(0.0333)	(0.0313)	(0.00366)	(0.00455)	(0.0372)	(0.0265)	(0.0239)	(0.00360)	(0.00449)	(0.0310)	(0.0228)	(0.0228)	(0.00382)	(0.00476)	(0.0193)	(0.0164)	(0.0157)	(0.00418)	(0.00519)	(0.0177)	(0.0166)	(0.0160)	(0.00479)	(0.00590)	(0.0140)	(0.0121)	(0.0116)
age18	-1.876*	-6.083***	-0.254	-1.245	-0.497	-1.788	-6.132***	2.055	-1.037	0.0236	-1.628	-0.193	2.510	-1.059	-0.0968	-2.683**	-5.973***	2.784	-0.906	-0.0368	0.127	-6.013***	2.322	-1.061	-0.309	-2.198*	-0.188	3.588	-0.779	-0.0898	-2.722**	-6.263***	2.663	-0.624	0.0479
	(1.133)	(1.664)	(3.664)	(3.514)	(3.427)	(28,947)	(1.657)	(4.807)	(3.452)	(3.282)	(16,894)	(56,150)	(4.486)	(3.595)	(3.372)	(1.277)	(1.717)	(4.360)	(3.541)	(3.399)	(18,629)	(1.736)	(4.046)	(3.526)	(3.411)	(1.280)	(21,530)	(4.277)	(3.628)	(3.460)	(1.343)	(1.740)	(3.983)	(3.558)	(3.443)
age19	-1.516	-5.746***	0.105	-0.907	-0.156	-1.309	-5.643***	2.413	-0.587	0.471	-1.248	0.165	2.777	-0.737	0.224	-2.314*	-5.612***	3.050	-0.566	0.288	0.470	-5.661***	2.591	-0.710	0.0429	-1.846	0.187	3.817	-0.454	0.255	-2.380*	-5.886***	2.921	-0.271	0.400
	(1.133)	(1.664)	(3.663)	(3.514)	(3.426)	(28,947)	(1.657)	(4.779)	(3.451)	(3.280)	(16,894)	(56,150)	(4.481)	(3.594)	(3.371)	(1.277)	(1.717)	(4.355)	(3.541)	(3.398)	(18,629)	(1.736)	(4.043)	(3.525)	(3.410)	(1.279)	(21,530)	(4.273)	(3.627)	(3.459)	(1.343)	(1.739)	(3.980)	(3.558)	(3.442)
age20	-0.974	-5.341***	0.648	-0.538	0.195	-0.796	-5.241***	2.854	-0.170	0.864	-0.698	0.596	3.272	-0.298	0.636	-1.807	-5.201***	3.499	-0.159	0.664	1.005	-5.197***	3.082	-0.246	0.480	-1.346	0.614	4.263	-0.0344	0.632	-1.867	-5.442***	3.399	0.166	0.808
	(1.133)	(1.664)	(3.663)	(3.514)	(3.427)	(28,947)	(1.657)	(4.763)	(3.451)	(3.281)	(16,894)	(56,150)	(4.479)	(3.594)	(3.371)	(1.277)	(1.717)	(4.352)	(3.541)	(3.398)	(18,629)	(1.736)	(4.041)	(3.525)	(3.410)	(1.279)	(21,530)	(4.272)	(3.627)	(3.459)	(1.343)	(1.739)	(3.979)	(3.557)	(3.441)
