	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																				
fert	-0.546***	-0.276***	-0.668***	-0.676***	-0.683***	1.966	0.135	-0.00941	-0.693***	1.820***	0.224	0.0499	-0.645***	1.111**	-0.0173	-0.0106	-0.565***	1.001***	-0.209	-0.379
	(0.00336)	(0.0930)	(0.113)	(0.110)	(0.00715)	(1.945)	(0.567)	(0.532)	(0.00582)	(0.660)	(0.370)	(0.334)	(0.00588)	(0.502)	(0.388)	(0.394)	(0.00654)	(0.366)	(0.295)	(0.276)
age18	-0.559	1.302	0.244	1.385	-0.972	8.682	0.392	1.538	-1.095	7.702	0.290	1.433	-3.784	5.448	0.268	1.472	-1.761	4.895	0.126	1.240
	(1.233)	(4.038)	(3.690)	(3.567)	(29,660)	(9.583)	(3.785)	(3.557)	(18,382)	(6.869)	(3.844)	(3.581)	(22,618)	(5.560)	(3.795)	(3.634)	(1.409)	(5.137)	(3.796)	(3.636)
age19	-0.293	1.566	0.552	1.708	-0.568	8.865	0.817	1.975	-0.781	7.797	0.588	1.752	-3.498	5.559	0.596	1.798	-1.521	4.982	0.434	1.568
	(1.233)	(4.038)	(3.690)	(3.567)	(29,660)	(9.471)	(3.777)	(3.548)	(18,382)	(6.852)	(3.842)	(3.579)	(22,618)	(5.547)	(3.793)	(3.633)	(1.409)	(5.130)	(3.795)	(3.635)
age20	0.328	2.222	0.926	2.065	0.0571	9.442	1.278	2.418	-0.112	8.492	1.077	2.218	-2.889	6.143	1.031	2.213	-0.899	5.558	0.928	2.034
	(1.233)	(4.039)	(3.691)	(3.567)	(29,660)	(9.447)	(3.781)	(3.553)	(18,382)	(6.854)	(3.843)	(3.580)	(22,618)	(5.545)	(3.793)	(3.633)	(1.409)	(5.128)	(3.795)	(3.635)
age21	0.223	2.122	0.960	2.118	-0.0323	9.112	1.349	2.519	-0.203	8.233	1.189	2.347	-2.997	5.984	1.125	2.343	-1.058	5.357	0.918	2.072
	(1.233)	(4.039)	(3.691)	(3.567)	(29,660)	(9.327)	(3.782)	(3.554)	(18,382)	(6.841)	(3.844)	(3.581)	(22,618)	(5.541)	(3.795)	(3.634)	(1.409)	(5.127)	(3.795)	(3.635)
age22	0.864	2.810	1.293	2.429	0.749	10.27	1.879	3.008	0.487	9.209	1.647	2.792	-2.307	6.725	1.553	2.764	-0.387	6.028	1.350	2.490
	(1.233)	(4.040)	(3.691)	(3.567)	(29,660)	(9.517)	(3.794)	(3.567)	(18,382)	(6.863)	(3.847)	(3.584)	(22,618)	(5.545)	(3.794)	(3.634)	(1.409)	(5.127)	(3.795)	(3.635)
age23	0.704	2.651	1.193	2.355	0.643	9.943	1.828	2.978	0.368	8.917	1.638	2.776	-2.475	6.466	1.489	2.706	-0.559	5.809	1.253	2.395
	(1.233)	(4.040)	(3.691)	(3.568)	(29,660)	(9.405)	(3.792)	(3.564)	(18,382)	(6.850)	(3.848)	(3.585)	(22,618)	(5.538)	(3.796)	(3.636)	(1.409)	(5.125)	(3.796)	(3.636)
age24	0.991	2.970	1.230	2.370	1.048	10.64	2.100	3.213	0.636	9.311	1.722	2.859	-2.195	6.797	1.589	2.822	-0.305	6.070	1.346	2.480
	(1.234)	(4.041)	(3.691)	(3.568)	(29,660)	(9.550)	(3.811)	(3.583)	(18,382)	(6.859)	(3.851)	(3.588)	(22,618)	(5.542)	(3.798)	(3.639)	(1.409)	(5.125)	(3.797)	(3.636)
age25	1.113	3.108	1.225	2.385	1.024	10.45	1.934	3.038	0.846	9.341	1.876	2.983	-2.031	6.962	1.665	2.913	-0.145	6.277	1.470	2.600
	(1.234)	(4.041)	(3.692)	(3.568)	(29,660)	(9.466)	(3.819)	(3.590)	(18,382)	(6.846)	(3.852)	(3.589)	(22,618)	(5.542)	(3.801)	(3.643)	(1.409)	(5.127)	(3.798)	(3.638)
age26	0.650	2.661	1.027	2.237	0.488	9.591	1.890	3.055	0.275	8.747	1.800	2.960	-2.460	6.490	1.659	2.949	-0.581	5.780	1.369	2.533
	(1.234)	(4.041)	(3.692)	(3.569)	(29,660)	(9.306)	(3.828)	(3.599)	(18,382)	(6.844)	(3.859)	(3.595)	(22,618)	(5.539)	(3.804)	(3.646)	(1.409)	(5.125)	(3.799)	(3.639)
age27	0.930	2.961	1.080	2.209	1.031	10.32	2.319	3.393	0.714	9.232	1.977	3.053	-2.100	6.876	1.780	2.981	-0.250	6.129	1.415	2.485
	(1.234)	(4.042)	(3.693)	(3.570)	(29,660)	(9.401)	(3.832)	(3.604)	(18,382)	(6.848)	(3.860)	(3.597)	(22,618)	(5.541)	(3.805)	(3.648)	(1.410)	(5.126)	(3.800)	(3.640)
age28	0.871	2.913	1.047	2.180	0.915	10.15	2.406	3.431	0.654	9.075	2.050	3.131	-2.168	6.763	1.736	2.966	-0.273	6.163	1.444	2.515
