	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																		
fert	-0.528***	0.721	0.125	-0.539***	0.712**	0.328	-0.512***	0.615*	0.0667	-0.527***	0.721	0.125	-0.539***	0.706**	0.319	-0.512***	0.605*	0.0518
	(0.00703)	(0.750)	(0.451)	(0.00575)	(0.326)	(0.345)	(0.00574)	(0.315)	(0.298)	(0.00703)	(0.750)	(0.451)	(0.00575)	(0.325)	(0.344)	(0.00574)	(0.314)	(0.297)
agemay	0.121***	0.274***	0.0767**	0.0972***	0.239***	0.0866***	0.0661***	0.176***	0.0612***	0.121***	0.275***	0.0769**	0.0973***	0.239***	0.0859***	0.0662***	0.175***	0.0602***
	(0.00449)	(0.0922)	(0.0333)	(0.00366)	(0.0372)	(0.0265)	(0.00360)	(0.0311)	(0.0228)	(0.00449)	(0.0922)	(0.0333)	(0.00366)	(0.0372)	(0.0265)	(0.00360)	(0.0310)	(0.0228)
educfyrs			0.626***			0.645***			0.600***			0.626***			0.643***			0.599***
			(0.0676)			(0.0487)			(0.0381)			(0.0676)			(0.0486)			(0.0381)
educfyrs2			-0.0175***			-0.0171***			-0.0169***			-0.0175***			-0.0171***			-0.0169***
			(0.00103)			(0.000851)			(0.000870)			(0.00103)			(0.000850)			(0.000868)
height			0.0265***			0.0273***			0.0231***			0.0265***			0.0273***			0.0230***
			(0.00463)			(0.00393)			(0.00324)			(0.00463)			(0.00393)			(0.00323)
bmi			0.0785***			0.0885***			0.0890***			0.0785***			0.0882***			0.0886***
			(0.0116)			(0.00979)			(0.00822)			(0.0116)			(0.00978)			(0.00821)
poor1			-2.217***			-2.312***			-2.099***			-2.217***			-2.304***			-2.088***
			(0.327)			(0.272)			(0.212)			(0.327)			(0.271)			(0.211)
borddummy2				-0.191***	-0.991***	-0.425**	-0.0867***	-0.694***	-0.233				-0.192***	-0.989***	-0.421**	-0.0876***	-0.690***	-0.226
				(0.0235)	(0.210)	(0.197)	(0.0260)	(0.172)	(0.164)				(0.0235)	(0.210)	(0.196)	(0.0260)	(0.172)	(0.164)
borddummy3							-0.0803***	-1.350***	-0.357							-0.0797***	-1.338***	-0.339
							(0.0306)	(0.357)	(0.334)							(0.0306)	(0.356)	(0.333)
Constant	7.258	-0.878	-0.947	-0.408	-0.881	-2.075	9.431	-0.170	0.156	4.465	-0.882	-0.953	3.208	-0.832	-2.000	8.636	-0.0723	0.282
	(33,406)	(8.094)	(5.182)	(42,954)	(5.464)	(4.860)	(29,404)	(5.353)	(4.548)	(28,947)	(8.093)	(5.182)	(16,894)	(5.457)	(4.853)	(17,444)	(5.342)	(4.541)
																		
Observations	71,010	71,010	39,934	114,760	114,760	64,226	126,600	126,600	70,102	71,008	71,008	39,932	114,759	114,759	64,225	126,598	126,598	70,100
R-squared	0.303	-0.008	0.427	0.287	-0.007	0.367	0.265	0.041	0.378	0.303	-0.008	0.427	0.287	-0.004	0.369	0.265	0.045	0.379
Standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
