	(1)	(2)	(3)
VARIABLES	mort15	mort15	mort15
			
fert	0.00513***	0.000292	-0.000195
	(0.000280)	(0.00522)	(0.00513)
educfyrs			-0.00251***
			(0.000527)
height			-0.000246***
			(8.21e-05)
bmi			-0.000748***
			(0.000146)
poor1			0.00547*
			(0.00323)
yearc2	0.0179	-0.0245	-0.0380
	(0.242)	(0.152)	(0.150)
yearc3		-0.0255	-0.0402
		(0.213)	(0.210)
yearc4	0.0308	-0.0237	-0.0408
	(0.221)	(0.110)	(0.108)
yearc5	0.0205	-0.0243	-0.0403
	(0.280)	(0.206)	(0.205)
yearc6	0.0295	-0.0238	-0.0397
	(0.221)	(0.111)	(0.109)
yearc7	0.0359	-0.0235	-0.0393
	(0.211)	(0.0865)	(0.0844)
yearc8	0.0350	-0.0235	-0.0395
	(0.214)	(0.0921)	(0.0900)
yearc9	0.0359	-0.0235	-0.0395
	(0.207)	(0.0738)	(0.0746)
yearc10	0.117	0.0566	0.0400
	(0.202)	(0.0579)	(0.0550)
yearc11	0.0385	-0.0233	-0.0415
	(0.210)	(0.0811)	(0.0790)
yearc12	0.126	0.0602	0.0423
	(0.202)	(0.0552)	(0.0526)
yearc13	0.205	0.137***	0.121**
	(0.202)	(0.0531)	(0.0508)
yearc14	0.0793	0.0105	-0.00766
	(0.201)	(0.0500)	(0.0475)
yearc15	0.154	0.0843*	0.0659
	(0.201)	(0.0504)	(0.0480)
yearc16	0.0907	0.0198	0.00229
	(0.200)	(0.0436)	(0.0411)
yearc17	0.205	0.131***	0.113**
	(0.202)	(0.0494)	(0.0474)
yearc18	0.102	0.0263	0.00856
	(0.200)	(0.0419)	(0.0399)
yearc19	0.181	0.105***	0.0877**
	(0.200)	(0.0404)	(0.0384)
yearc20	0.119	0.0384	0.0205
	(0.199)	(0.0348)	(0.0331)
yearc21	0.151	0.0704*	0.0544
	(0.200)	(0.0365)	(0.0350)
yearc22	0.107	0.0241	0.00750
	(0.199)	(0.0340)	(0.0327)
yearc23	0.0853	0.00104	-0.0154
	(0.199)	(0.0310)	(0.0297)
yearc24	0.123	0.0370	0.0206
	(0.199)	(0.0322)	(0.0313)
yearc25	0.0803	-0.00726	-0.0248
	(0.199)	(0.0317)	(0.0308)
yearc26	0.0934	0.00400	-0.0126
	(0.199)	(0.0301)	(0.0295)
yearc27	0.106	0.0134	-0.00230
	(0.199)	(0.0288)	(0.0285)
yearc28	0.134	0.0411	0.0253
	(0.199)	(0.0293)	(0.0291)
yearc29	0.113	0.0202	0.00401
	(0.202)	(0.0447)	(0.0445)
yearc33		-0.0289	-0.0341
		(0.146)	(0.145)
yearc34	-0.0695	-0.0804	-0.0817
	(0.242)	(0.206)	(0.205)
yearc35	-0.00534	-0.0257	-0.0251
	(0.156)	(0.0857)	(0.0847)
yearc36	-0.00588	-0.0294	-0.0314
	(0.146)	(0.0634)	(0.0620)
yearc37	0.126	0.103*	0.103*
	(0.144)	(0.0596)	(0.0582)
yearc38	0.108	0.0839	0.0816
	(0.143)	(0.0549)	(0.0532)
yearc39	0.0711	0.0520	0.0505
	(0.143)	(0.0579)	(0.0561)
yearc40	0.121	0.0974*	0.0954**
	(0.141)	(0.0501)	(0.0482)
yearc41	0.0767	0.0548	0.0518
	(0.141)	(0.0504)	(0.0481)
yearc42	0.0883	0.0633	0.0632
	(0.140)	(0.0465)	(0.0447)
yearc43	0.0659	0.0393	0.0377
	(0.140)	(0.0447)	(0.0429)
yearc44	0.0874	0.0598	0.0578
	(0.140)	(0.0433)	(0.0414)
yearc45	0.0985	0.0705*	0.0689*
	(0.140)	(0.0426)	(0.0407)
yearc46	0.0811	0.0511	0.0501
	(0.140)	(0.0404)	(0.0388)
yearc47	0.0832	0.0522	0.0524
	(0.140)	(0.0395)	(0.0381)
yearc48	0.0897	0.0586	0.0578
	(0.140)	(0.0393)	(0.0379)
yearc49	0.0861	0.0540	0.0545
	(0.140)	(0.0383)	(0.0370)
yearc50	0.0845	0.0504	0.0508
	(0.140)	(0.0365)	(0.0352)
yearc51	0.0760	0.0410	0.0414
	(0.140)	(0.0356)	(0.0344)
