	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																			
fert	0.225***	0.225***	0.0845***	0.0845***	0.104***	0.381***	0.276***	-0.171*	0.0137	-0.00137	0.387***	0.269***	-0.117*	-0.00491	0.0232	0.349***	0.236***	-0.0820	0.0250	0.0477	0.297***	0.201***	-0.126**	-0.0326	-0.0344	0.250***	0.172***	-0.233***	-0.168***	-0.120*	0.214***	0.156***	0.0140	0.0834	0.0975
	(0.000995)	(0.000995)	(0.0208)	(0.0208)	(0.0205)	(0.00351)	(0.00444)	(0.0921)	(0.0876)	(0.0873)	(0.00304)	(0.00374)	(0.0675)	(0.0693)	(0.0674)	(0.00319)	(0.00382)	(0.0572)	(0.0594)	(0.0580)	(0.00359)	(0.00422)	(0.0598)	(0.0634)	(0.0622)	(0.00416)	(0.00488)	(0.0615)	(0.0651)	(0.0634)	(0.00497)	(0.00582)	(0.0662)	(0.0688)	(0.0676)
malec	0.00884**	0.00884**	-0.0517***	-0.0517***	-0.0542***	0.0336***	-0.0218**	-0.00734	-0.0489***	-0.0556***	0.0202***	-0.0516***	-0.00618	-0.0732***	-0.0749***	-0.0199***	-0.101***	-0.0331***	-0.111***	-0.118***	-0.0596***	-0.139***	-0.0651***	-0.145***	-0.154***	-0.0961***	-0.167***	-0.0991***	-0.171***	-0.179***	-0.124***	-0.180***	-0.124***	-0.181***	-0.190***
	(0.00414)	(0.00414)	(0.00521)	(0.00521)	(0.00517)	(0.00877)	(0.0103)	(0.0116)	(0.0138)	(0.0138)	(0.00735)	(0.00849)	(0.00850)	(0.0102)	(0.0101)	(0.00748)	(0.00850)	(0.00792)	(0.00898)	(0.00887)	(0.00809)	(0.00915)	(0.00835)	(0.00937)	(0.00924)	(0.00901)	(0.0102)	(0.00931)	(0.0104)	(0.0102)	(0.0103)	(0.0118)	(0.0104)	(0.0118)	(0.0116)
agemay	-0.0444***	-0.0444***	-0.0247***	-0.0247***	-0.0307***	-0.0421***	-0.0162***	-0.0731***	-0.0238***	-0.0241***	-0.0372***	-0.0145***	-0.0616***	-0.0225***	-0.0215***	-0.0283***	-0.0144***	-0.0467***	-0.0210***	-0.0214***	-0.0183***	-0.0136***	-0.0352***	-0.0212***	-0.0235***	-0.0130***	-0.0137***	-0.0322***	-0.0254***	-0.0259***	-0.0112***	-0.0152***	-0.0195***	-0.0180***	-0.0192***
	(0.000412)	(0.000412)	(0.00407)	(0.00407)	(0.00398)	(0.00119)	(0.00149)	(0.00533)	(0.00293)	(0.00289)	(0.00101)	(0.00124)	(0.00345)	(0.00238)	(0.00230)	(0.00105)	(0.00124)	(0.00267)	(0.00222)	(0.00217)	(0.00114)	(0.00132)	(0.00265)	(0.00245)	(0.00241)	(0.00129)	(0.00148)	(0.00278)	(0.00270)	(0.00264)	(0.00151)	(0.00174)	(0.00315)	(0.00311)	(0.00306)
age8	-3.027***	-3.027***	-3.563***	-3.563***	-3.536***	-2.333***	-2.872***	-3.064***	-3.225***	-3.225***	-2.714***	-3.275***	-3.364***	-3.650***	-3.585***	-3.218***	-3.761***	-3.780***	-4.054***	-4.002***	-3.665***	-4.166***	-4.217***	-4.488***	-4.470***	-4.012***	-4.448***	-4.603***	-4.891***	-4.809***	-4.283***	-4.660***	-4.502***	-4.744***	-4.702***
