	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
fert	0.219***	-0.0253*	0.0565***	0.0704***	0.484***	-0.428***	-0.0273	-0.0306	0.482***	-0.271***	-0.0341	0.00233	0.412***	-0.240***	-0.0154	0.0313	0.325***	-0.261***	-0.0611	-0.0601
	(0.000926)	(0.0151)	(0.0153)	(0.0150)	(0.00361)	(0.125)	(0.0985)	(0.0973)	(0.00309)	(0.0845)	(0.0772)	(0.0748)	(0.00324)	(0.0688)	(0.0653)	(0.0627)	(0.00362)	(0.0718)	(0.0726)	(0.0706)
age8	-3.076***	-3.179***	-3.568***	-3.543***	-2.185***	-3.301***	-3.275***	-3.235***	-2.582***	-3.455***	-3.684***	-3.596***	-3.149***	-3.866***	-4.100***	-4.014***	-3.693***	-4.262***	-4.506***	-4.482***
	(0.0120)	(0.0140)	(0.0167)	(0.0163)	(0.0255)	(0.156)	(0.131)	(0.129)	(0.0215)	(0.101)	(0.104)	(0.1000)	(0.0223)	(0.0793)	(0.0842)	(0.0804)	(0.0247)	(0.0743)	(0.0815)	(0.0789)
age9	-2.657***	-2.726***	-3.053***	-3.030***	-1.899***	-2.829***	-2.793***	-2.759***	-2.226***	-2.964***	-3.150***	-3.075***	-2.706***	-3.325***	-3.542***	-3.457***	-3.183***	-3.686***	-3.899***	-3.878***
	(0.0117)	(0.0130)	(0.0154)	(0.0151)	(0.0248)	(0.131)	(0.107)	(0.105)	(0.0206)	(0.0857)	(0.0871)	(0.0837)	(0.0211)	(0.0690)	(0.0738)	(0.0705)	(0.0230)	(0.0660)	(0.0725)	(0.0702)
age10	-2.342***	-2.408***	-2.619***	-2.602***	-1.706***	-2.521***	-2.408***	-2.384***	-1.969***	-2.607***	-2.711***	-2.649***	-2.373***	-2.917***	-3.047***	-2.980***	-2.775***	-3.227***	-3.366***	-3.346***
	(0.0117)	(0.0130)	(0.0150)	(0.0147)	(0.0246)	(0.115)	(0.0899)	(0.0887)	(0.0204)	(0.0749)	(0.0744)	(0.0717)	(0.0207)	(0.0616)	(0.0650)	(0.0623)	(0.0224)	(0.0601)	(0.0657)	(0.0637)
age11	-1.978***	-2.009***	-2.256***	-2.248***	-1.441***	-2.052***	-2.085***	-2.077***	-1.669***	-2.176***	-2.343***	-2.301***	-1.996***	-2.438***	-2.618***	-2.572***	-2.327***	-2.706***	-2.889***	-2.876***
	(0.0114)	(0.0121)	(0.0143)	(0.0140)	(0.0236)	(0.0882)	(0.0725)	(0.0716)	(0.0195)	(0.0608)	(0.0615)	(0.0594)	(0.0196)	(0.0511)	(0.0554)	(0.0530)	(0.0211)	(0.0514)	(0.0574)	(0.0557)
age12	-1.805***	-1.840***	-1.984***	-1.972***	-1.396***	-1.927***	-1.894***	-1.869***	-1.572***	-1.999***	-2.081***	-2.033***	-1.830***	-2.196***	-2.295***	-2.241***	-2.076***	-2.391***	-2.494***	-2.472***
