	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																								
fert	0.115	0.257	0.911	-0.588***	-0.323***	-0.309***	0.307	0.435	1.296**	-0.595***	-0.341***	-0.325***	0.0167	0.0537	0.200	-0.554***	-0.335***	-0.318***	-0.256	-0.158	0.0191	-0.492***	-0.314***	-0.298***
	(0.449)	(0.482)	(0.775)	(0.00962)	(0.00917)	(0.00914)	(0.338)	(0.362)	(0.635)	(0.00784)	(0.00750)	(0.00747)	(0.290)	(0.296)	(0.358)	(0.00784)	(0.00746)	(0.00744)	(0.238)	(0.247)	(0.285)	(0.00857)	(0.00815)	(0.00810)
malec	0.179***	0.159***	-0.141***	-0.104***	0.125***	0.151***	0.191***	0.168***	-0.161***	-0.0876***	0.137***	0.160***	0.279***	0.247***	-0.0162	0.0319	0.245***	0.274***	0.340***	0.300***	0.0795**	0.124***	0.306***	0.341***
	(0.0462)	(0.0455)	(0.0519)	(0.0380)	(0.0345)	(0.0343)	(0.0334)	(0.0332)	(0.0483)	(0.0302)	(0.0276)	(0.0274)	(0.0275)	(0.0274)	(0.0385)	(0.0292)	(0.0269)	(0.0267)	(0.0286)	(0.0296)	(0.0397)	(0.0302)	(0.0281)	(0.0279)
agemay	0.0824**	0.0949**	0.309***	0.128***	0.0509***	0.0505***	0.0911***	0.102***	0.311***	0.100***	0.0419***	0.0424***	0.0614***	0.0629***	0.139***	0.0675***	0.0335***	0.0359***	0.0348**	0.0391**	0.0831***	0.0450***	0.0287***	0.0320***
	(0.0343)	(0.0370)	(0.0937)	(0.00606)	(0.00562)	(0.00559)	(0.0265)	(0.0285)	(0.0711)	(0.00494)	(0.00458)	(0.00455)	(0.0225)	(0.0229)	(0.0342)	(0.00488)	(0.00452)	(0.00449)	(0.0166)	(0.0170)	(0.0219)	(0.00516)	(0.00480)	(0.00477)
educf_0	-5.046***	-5.579***			-1.539***	-1.463***	-5.274***	-5.803***			-4.507***	-4.282***	-4.684***	-5.054***			-4.488***	-4.229***	-4.343***	-4.743***			-4.553***	-4.294***
	(0.753)	(0.850)			(0.0532)	(0.0530)	(0.534)	(0.608)			(0.0544)	(0.0547)	(0.399)	(0.436)			(0.0620)	(0.0622)	(0.281)	(0.309)			(0.0794)	(0.0793)
educf_1_4	-3.484***	-3.887***					-3.662***	-4.056***			-2.965***	-2.816***	-3.160***	-3.428***			-2.957***	-2.777***	-2.944***	-3.236***			-3.085***	-2.906***
	(0.649)	(0.724)					(0.456)	(0.513)			(0.0576)	(0.0576)	(0.338)	(0.365)			(0.0647)	(0.0646)	(0.231)	(0.251)			(0.0816)	(0.0813)
educf_5_6	-2.032***	-2.260***			1.300***	1.225***	-2.194***	-2.421***			-1.744***	-1.666***	-1.910***	-2.066***			-1.775***	-1.673***	-1.823***	-1.998***			-1.901***	-1.798***
	(0.411)	(0.454)			(0.0620)	(0.0617)	(0.289)	(0.322)			(0.0572)	(0.0570)	(0.216)	(0.231)			(0.0655)	(0.0652)	(0.162)	(0.174)			(0.0834)	(0.0829)
educf_7_10	-1.117***	-1.226***			2.138***	2.005***	-1.155***	-1.253***			-0.812***	-0.802***	-0.933***	-0.997***			-0.823***	-0.788***	-0.967***	-1.040***			-0.978***	-0.950***
	(0.271)	(0.293)			(0.0615)	(0.0615)	(0.198)	(0.214)			(0.0563)	(0.0560)	(0.142)	(0.149)			(0.0664)	(0.0659)	(0.126)	(0.131)			(0.0856)	(0.0850)
height	0.0280***					0.0245***	0.0286***					0.0228***	0.0238***					0.0211***	0.0181***					0.0178***
	(0.00472)					(0.00279)	(0.00390)					(0.00225)	(0.00318)					(0.00220)	(0.00287)					(0.00229)
