	(1)	(2)	(3)	(4)	(5)
VARIABLES	twind	twind	twind	twind	twind
					
bord	0.00470***	0.00539***	0.00417***	0.00356***	0.00406***
	(8.31e-05)	(0.000129)	(0.000119)	(0.000238)	(0.000107)
educf_0	-0.00836***	-0.00519***	-0.00743***	-0.00919***	-0.00793***
	(0.000633)	(0.00146)	(0.000823)	(0.00171)	(0.000720)
educf_1_4	-0.00732***	-0.00386***	-0.00670***	-0.00745***	-0.00712***
	(0.000652)	(0.00150)	(0.000885)	(0.00137)	(0.000735)
educf_5_6	-0.00558***	-0.00376**	-0.00430***	-0.00564***	-0.00480***
	(0.000660)	(0.00154)	(0.000920)	(0.00125)	(0.000739)
educf_7_10	-0.00314***	0.00126	-0.00320***	-0.00498***	-0.00378***
	(0.000641)	(0.00151)	(0.000867)	(0.00125)	(0.000711)
height	0.000409***	0.000453***	0.000386***	0.000273***	0.000367***
	(2.57e-05)	(4.15e-05)	(3.68e-05)	(6.81e-05)	(3.24e-05)
bmi	0.000250***	0.000421***	0.000233***	8.42e-05	0.000205***
	(3.74e-05)	(7.71e-05)	(4.91e-05)	(8.19e-05)	(4.27e-05)
poor1	-0.000706	0.0271***	-0.00104*	-0.00257**	-0.00137***
	(0.000511)	(0.00571)	(0.000576)	(0.00106)	(0.000507)
Constant	-0.0629***	-0.0678***	-0.0671***	-0.0451***	-0.0628***
	(0.00480)	(0.00778)	(0.00694)	(0.0118)	(0.00600)
					
Observations	1,111,232	447,365	523,146	140,721	663,867
R-squared	0.009	0.010	0.009	0.005	0.008
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
