	(1)	(2)	(3)	(4)
VARIABLES	twind100	twind100	twind100	twind100
				
bord	0.544***	0.697***	0.462***	0.341***
	(0.0128)	(0.0222)	(0.0175)	(0.0332)
agemay	-0.0359***	-0.0742***	-0.0227***	0.00783
	(0.00415)	(0.00733)	(0.00574)	(0.00996)
educf_1_4	0.0997**	0.105	0.0760	0.176
	(0.0468)	(0.0763)	(0.0646)	(0.136)
educf_5_6	0.280***	0.118	0.320***	0.353**
	(0.0505)	(0.0878)	(0.0723)	(0.139)
educf_7_10	0.540***	0.667***	0.438***	0.418***
	(0.0513)	(0.0899)	(0.0691)	(0.150)
educf_11plus	0.947***	0.740***	0.815***	0.897***
	(0.0651)	(0.148)	(0.0851)	(0.173)
height	0.0412***	0.0462***	0.0389***	0.0274***
	(0.00257)	(0.00415)	(0.00368)	(0.00682)
bmi	0.0266***	0.0429***	0.0247***	0.00783
	(0.00375)	(0.00771)	(0.00494)	(0.00818)
poor1	-0.0882*	2.720***	-0.112*	-0.250**
	(0.0511)	(0.570)	(0.0577)	(0.106)
Constant	-6.557***	-6.152***	-7.178***	-5.545***
	(0.474)	(0.759)	(0.694)	(1.144)
				
Observations	1,111,232	447,363	523,148	140,721
R-squared	0.009	0.011	0.009	0.005
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
