	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	-0.0178	-0.0118	0.0103	-0.0140**	-0.0153**	-0.0555**	0.0278	0.0343	0.0728*	-0.0161**	-0.0175**	-0.0542**	-0.0169	-0.0113	0.00374	-0.0219**	-0.0232**	-0.0540**	0.0166	0.0324	0.0446	-0.0237**	-0.0244**	-0.0481**	0.0599*	0.0642*	0.0731*	-0.0239**	-0.0241**	-0.0428**	-0.0447	-0.0400	-0.0487	-0.0281**	-0.0272**	-0.0420**
	(0.0364)	(0.0366)	(0.0392)	(0.00185)	(0.00185)	(0.00185)	(0.0284)	(0.0286)	(0.0312)	(0.00158)	(0.00158)	(0.00159)	(0.0253)	(0.0254)	(0.0269)	(0.00164)	(0.00164)	(0.00166)	(0.0275)	(0.0277)	(0.0289)	(0.00182)	(0.00183)	(0.00186)	(0.0281)	(0.0282)	(0.0292)	(0.00211)	(0.00212)	(0.00216)	(0.0303)	(0.0304)	(0.0309)	(0.00254)	(0.00255)	(0.00260)
educf_0	-0.476**	-0.517**		-0.479**	-0.514**		-0.512**	-0.559**		-0.479**	-0.519**		-0.508**	-0.562**		-0.505**	-0.554**		-0.560**	-0.622**		-0.496**	-0.530**		-0.603**	-0.660**		-0.569**	-0.623**		-0.603**	-0.664**		-0.496**	-0.530**	
	(0.0335)	(0.0348)		(0.00831)	(0.00817)		(0.0227)	(0.0235)		(0.00765)	(0.00754)		(0.0180)	(0.0185)		(0.00933)	(0.00923)		(0.0181)	(0.0184)		(0.00748)	(0.00742)		(0.0207)	(0.0208)		(0.0172)	(0.0171)		(0.0259)	(0.0258)		(0.0108)	(0.0108)	
educf_1_4	-0.172**	-0.204**		-0.175**	-0.202**		-0.214**	-0.250**		-0.186**	-0.217**		-0.213**	-0.255**		-0.210**	-0.249**		-0.267**	-0.316**		-0.207**	-0.230**		-0.325**	-0.369**		-0.298**	-0.341**		-0.349**	-0.398**		-0.240**	-0.263**	
	(0.0286)	(0.0295)		(0.00888)	(0.00881)		(0.0195)	(0.0201)		(0.00811)	(0.00806)		(0.0158)	(0.0162)		(0.00976)	(0.00971)		(0.0167)	(0.0169)		(0.00801)	(0.00800)		(0.0197)	(0.0198)		(0.0175)	(0.0175)		(0.0253)	(0.0252)		(0.0114)	(0.0114)	
educf_5_6	-0.0599**	-0.0803**		-0.0618**	-0.0784**		-0.0914**	-0.115**		-0.0740**	-0.0941**		-0.0960**	-0.125**		-0.0945**	-0.121**		-0.132**	-0.167**		-0.0788**	-0.0896**		-0.167**	-0.199**		-0.151**	-0.182**		-0.212**	-0.248**		-0.102**	-0.112**	
	(0.0201)	(0.0207)		(0.00863)	(0.00861)		(0.0138)	(0.0142)		(0.00809)	(0.00808)		(0.0124)	(0.0126)		(0.00993)	(0.00992)		(0.0145)	(0.0146)		(0.00862)	(0.00864)		(0.0188)	(0.0188)		(0.0179)	(0.0180)		(0.0250)	(0.0251)		(0.0126)	(0.0127)	
educf_7_10	0.00246	-0.00861		0.00145	-0.00764		-0.00656	-0.0198		0.00308	-0.00803		-0.0135	-0.0315**		-0.0127	-0.0295**		-0.0501**	-0.0724**					-0.0912**	-0.112**		-0.0783**	-0.0986**		-0.111**	-0.136**				
	(0.0126)	(0.0128)		(0.00803)	(0.00803)		(0.0100)	(0.0102)		(0.00783)	(0.00783)		(0.0107)	(0.0108)		(0.00990)	(0.00991)		(0.0138)	(0.0139)					(0.0188)	(0.0188)		(0.0182)	(0.0182)		(0.0254)	(0.0255)				
poor1	-0.188**	-0.206**		-0.190**	-0.205**		-0.224**	-0.244**		-0.208**	-0.225**		-0.211**	-0.232**		-0.210**	-0.228**		-0.217**	-0.240**		-0.205**	-0.224**		-0.221**	-0.241**		-0.201**	-0.220**		-0.192**	-0.212**		-0.195**	-0.214**	
	(0.0156)	(0.0160)		(0.00866)	(0.00866)		(0.0123)	(0.0126)		(0.00709)	(0.00709)		(0.0104)	(0.0106)		(0.00712)	(0.00711)		(0.0109)	(0.0110)		(0.00776)	(0.00776)		(0.0109)	(0.0110)		(0.00873)	(0.00873)		(0.0115)	(0.0115)		(0.0102)	(0.0102)	
height	0.00374**			0.00375**			0.00370**			0.00360**			0.00331**			0.00330**			0.00309**			0.00305**			0.00252**			0.00247**			0.00246**			0.00246**		
	(0.000374)			(0.000363)			(0.000311)			(0.000304)			(0.000313)			(0.000310)			(0.000337)			(0.000335)			(0.000378)			(0.000376)			(0.000436)			(0.000436)		
