	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																					
fert	0.118	0.260	0.915	-0.309***	-0.324***	-0.588***	0.317	0.446	1.310**	-0.324***	-0.341***	-0.595***	0.0174	0.0544	0.201	-0.317***	-0.335***	-0.554***	-0.246	-0.149	0.0254	-0.298***	-0.314***	-0.492***	0.278	0.359	0.553*	-0.280***	-0.289***	-0.432***	0.0200	0.0953	0.270	-0.251***	-0.255***	-0.373***	0.118
	(0.449)	(0.482)	(0.776)	(0.00914)	(0.00917)	(0.00962)	(0.339)	(0.363)	(0.637)	(0.00748)	(0.00750)	(0.00784)	(0.290)	(0.296)	(0.358)	(0.00744)	(0.00746)	(0.00784)	(0.238)	(0.247)	(0.286)	(0.00810)	(0.00815)	(0.00857)	(0.279)	(0.287)	(0.331)	(0.00922)	(0.00927)	(0.00978)	(0.218)	(0.221)	(0.247)	(0.0112)	(0.0112)	(0.0118)	(0.449)
educf_0	-5.052***	-5.585***		-4.337***	-4.559***		-5.292***	-5.822***		-4.283***	-4.508***		-4.686***	-5.055***		-4.230***	-4.488***		-4.353***	-4.753***		-3.344***	-3.575***		-4.944***	-5.357***		-3.290***	-3.514***		-4.839***	-5.198***		-4.624***	-4.915***		-5.052**
	(0.754)	(0.851)		(0.0641)	(0.0636)		(0.535)	(0.609)		(0.0547)	(0.0544)		(0.399)	(0.436)		(0.0622)	(0.0620)		(0.282)	(0.309)		(0.0511)	(0.0509)		(0.287)	(0.307)		(0.0581)	(0.0579)		(0.222)	(0.228)		(0.140)	(0.140)		(0.754)
educf_1_4	-3.488***	-3.892***		-2.874***	-3.019***		-3.677***	-4.073***		-2.818***	-2.966***		-3.161***	-3.429***		-2.778***	-2.958***		-2.953***	-3.245***		-1.955***	-2.108***		-3.446***	-3.759***		-1.907***	-2.058***		-3.383***	-3.659***		-3.212***	-3.434***		-3.488**
	(0.649)	(0.725)		(0.0682)	(0.0681)		(0.457)	(0.514)		(0.0576)	(0.0576)		(0.338)	(0.365)		(0.0646)	(0.0647)		(0.231)	(0.251)		(0.0546)	(0.0547)		(0.235)	(0.250)		(0.0614)	(0.0616)		(0.198)	(0.202)		(0.141)	(0.142)		(0.649)
educf_5_6	-2.036***	-2.264***		-1.650***	-1.720***		-2.203***	-2.430***		-1.666***	-1.743***		-1.911***	-2.066***		-1.673***	-1.775***		-1.828***	-2.003***		-0.847***	-0.923***		-2.236***	-2.437***		-0.837***	-0.906***		-2.319***	-2.504***		-2.203***	-2.351***		-2.036**
	(0.411)	(0.455)		(0.0665)	(0.0668)		(0.290)	(0.323)		(0.0570)	(0.0572)		(0.216)	(0.231)		(0.0652)	(0.0655)		(0.162)	(0.174)		(0.0576)	(0.0580)		(0.177)	(0.187)		(0.0657)	(0.0661)		(0.172)	(0.175)		(0.144)	(0.145)		(0.411)
educf_7_10	-1.121***	-1.229***		-0.871***	-0.883***		-1.162***	-1.260***		-0.803***	-0.813***		-0.934***	-0.998***		-0.789***	-0.824***		-0.971***	-1.045***					-1.329***	-1.443***					-1.448***	-1.563***		-1.359***	-1.447***		-1.121**
	(0.271)	(0.294)		(0.0631)	(0.0634)		(0.198)	(0.215)		(0.0560)	(0.0563)		(0.142)	(0.149)		(0.0659)	(0.0664)		(0.126)	(0.131)					(0.154)	(0.160)					(0.165)	(0.167)		(0.148)	(0.149)		(0.271)
poor1	-2.243***	-2.521***		-1.937***	-2.072***		-2.335***	-2.623***		-1.838***	-1.969***		-2.092***	-2.287***		-1.859***	-1.997***		-1.847***	-2.064***		-1.815***	-1.956***		-2.008***	-2.201***		-1.735***	-1.871***		-1.775***	-1.923***		-1.671***	-1.787***		-2.243**
	(0.329)	(0.378)		(0.0691)	(0.0693)		(0.268)	(0.307)		(0.0545)	(0.0546)		(0.207)	(0.226)		(0.0511)	(0.0512)		(0.155)	(0.170)		(0.0522)	(0.0523)		(0.148)	(0.157)		(0.0550)	(0.0552)		(0.103)	(0.105)		(0.0607)	(0.0609)		(0.329)
height	0.0280***			0.0244***			0.0287***			0.0228***			0.0238***			0.0211***			0.0182***			0.0178***			0.0176***			0.0150***			0.0165***			0.0158***			0.0280**
	(0.00472)			(0.00279)			(0.00390)			(0.00225)			(0.00318)			(0.00220)			(0.00287)			(0.00229)			(0.00285)			(0.00245)			(0.00281)			(0.00274)			(0.00472)
bmi	0.0810***			0.0700***			0.0911***			0.0730***			0.0899***			0.0810***			0.0875***			0.0864***			0.0939***			0.0874***			0.0821***			0.0812***			0.0810**
