	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
fert	0.186	0.414	1.668	-0.354**	-0.368**	-0.662**	-0.0785	-0.0147	0.815	-0.370**	-0.387**	-0.671**	0.0225	0.125	0.563	-0.377**	-0.394**	-0.641**	-0.349	-0.251	-0.0790	-0.374**	-0.390**	-0.594**	0.323	0.403	0.915	-0.369**	-0.380**	-0.547**	-0.133	-0.0107	0.307	-0.329**	-0.335**	-0.478**
	(0.824)	(0.938)	(1.988)	(0.0126)	(0.0126)	(0.0131)	(0.462)	(0.481)	(0.818)	(0.0103)	(0.0103)	(0.0107)	(0.443)	(0.469)	(0.635)	(0.0105)	(0.0105)	(0.0110)	(0.448)	(0.472)	(0.538)	(0.0117)	(0.0118)	(0.0123)	(0.452)	(0.467)	(0.601)	(0.0137)	(0.0137)	(0.0144)	(0.411)	(0.420)	(0.484)	(0.0167)	(0.0168)	(0.0176)
educf_0	-5.049**	-5.677**		-4.179**	-4.342**		-4.541**	-4.874**		-4.099**	-4.269**		-4.563**	-4.960**		-3.500**	-3.663**		-4.182**	-4.498**		-3.495**	-3.667**		-5.028**	-5.382**		-3.455**	-3.627**		-4.813**	-5.151**		-4.656**	-4.880**	
	(1.328)	(1.604)		(0.0828)	(0.0822)		(0.704)	(0.784)		(0.0711)	(0.0706)		(0.585)	(0.667)		(0.0643)	(0.0639)		(0.510)	(0.573)		(0.0749)	(0.0745)		(0.442)	(0.482)		(0.0890)	(0.0887)		(0.392)	(0.411)		(0.213)	(0.213)	
educf_1_4	-3.459**	-3.947**		-2.756**	-2.874**		-2.993**	-3.236**		-2.641**	-2.759**		-2.947**	-3.235**		-2.011**	-2.117**		-2.737**	-2.952**		-2.059**	-2.173**		-3.372**	-3.630**		-2.039**	-2.157**		-3.234**	-3.481**		-3.132**	-3.303**	
	(1.075)	(1.291)		(0.0934)	(0.0931)		(0.562)	(0.622)		(0.0787)	(0.0786)		(0.447)	(0.508)		(0.0727)	(0.0727)		(0.359)	(0.402)		(0.0821)	(0.0821)		(0.303)	(0.331)		(0.0954)	(0.0954)		(0.305)	(0.317)		(0.217)	(0.217)	
educf_5_6	-2.034**	-2.316**		-1.576**	-1.627**		-1.797**	-1.927**		-1.578**	-1.632**		-1.769**	-1.923**		-0.983**	-1.020**		-1.681**	-1.800**		-1.009**	-1.060**		-2.202**	-2.364**		-0.965**	-1.015**		-2.244**	-2.410**		-2.166**	-2.275**	
	(0.705)	(0.832)		(0.0905)	(0.0906)		(0.356)	(0.389)		(0.0768)	(0.0770)		(0.287)	(0.319)		(0.0732)	(0.0734)		(0.255)	(0.278)		(0.0848)	(0.0851)		(0.254)	(0.271)		(0.100)	(0.100)		(0.275)	(0.282)		(0.220)	(0.220)	
