	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
fert	0.861	0.914	1.789	-0.265**	-0.270**	-0.571**	0.220	0.292	1.496	-0.303**	-0.310**	-0.611**	0.115	0.123	-0.0839	-0.308**	-0.316**	-0.583**	1.114	1.103	1.288	-0.277**	-0.288**	-0.513**	-0.714	-0.611	-0.638	-0.269**	-0.277**	-0.458**	-27.51	-27.40	-18.49	-0.276**	-0.278**	-0.427**
	(0.810)	(0.837)	(1.723)	(0.0204)	(0.0204)	(0.0208)	(0.664)	(0.701)	(1.781)	(0.0179)	(0.0179)	(0.0181)	(0.704)	(0.707)	(0.744)	(0.0185)	(0.0185)	(0.0189)	(1.330)	(1.324)	(1.782)	(0.0209)	(0.0209)	(0.0217)	(0.475)	(0.482)	(0.503)	(0.0247)	(0.0248)	(0.0261)	(347.6)	(334.9)	(144.6)	(0.0312)	(0.0314)	(0.0334)
educf_0	-6.293**	-6.545**		-4.072**	-4.161**		-4.948**	-5.227**		-3.951**	-4.047**		-4.352**	-4.511**					-5.267**	-5.448**		-3.542**	-3.655**		-2.965**	-3.202**		-2.833**	-2.924**		22.75	22.54		-3.626**	-3.768**	
	(1.607)	(1.695)		(0.154)	(0.153)		(1.271)	(1.378)		(0.125)	(0.124)		(1.120)	(1.157)					(1.660)	(1.718)		(0.154)	(0.153)		(0.532)	(0.549)		(0.158)	(0.158)		(336.6)	(325.0)		(0.280)	(0.280)	
educf_1_4	-4.535**	-4.710**		-2.823**	-2.881**		-3.474**	-3.663**		-2.735**	-2.795**		-3.107**	-3.218**		1.100**	1.134**		-3.903**	-4.011**		-2.504**	-2.574**		-1.906**	-2.092**		-1.712**	-1.765**		22.04	21.82		-2.514**	-2.610**	
	(1.238)	(1.300)		(0.113)	(0.112)		(0.943)	(1.014)		(0.0979)	(0.0968)		(0.879)	(0.901)		(0.103)	(0.103)		(1.349)	(1.379)		(0.141)	(0.139)		(0.468)	(0.479)		(0.147)	(0.147)		(313.4)	(301.8)		(0.273)	(0.273)	
educf_5_6	-2.294**	-2.381**		-1.448**	-1.478**		-1.830**	-1.928**		-1.447**	-1.479**		-1.723**	-1.792**		2.232**	2.293**		-2.222**	-2.287**		-1.449**	-1.493**		-1.212**	-1.309**		-0.814**	-0.825**		12.79	12.64		-1.708**	-1.773**	
	(0.620)	(0.650)		(0.101)	(0.0999)		(0.494)	(0.530)		(0.0908)	(0.0905)		(0.465)	(0.479)		(0.106)	(0.106)		(0.760)	(0.778)		(0.141)	(0.140)		(0.287)	(0.290)		(0.152)	(0.153)		(185.0)	(178.1)		(0.277)	(0.278)	
