	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
													
fert	0.00386	0.0153	0.0600	-0.0803**	-0.0830**	-0.138**	-0.00243	0.00935	0.0781*	-0.0823**	-0.0853**	-0.137**	-0.0167
	(0.0387)	(0.0393)	(0.0456)	(0.00144)	(0.00145)	(0.00148)	(0.0284)	(0.0289)	(0.0343)	(0.00119)	(0.00119)	(0.00122)	(0.0244)
educf_0	-0.844**	-0.912**		-0.753**	-0.801**		-0.841**	-0.913**		-0.506**	-0.535**		-0.844**
	(0.0426)	(0.0451)		(0.00777)	(0.00767)		(0.0284)	(0.0304)		(0.00551)	(0.00550)		(0.0215)
educf_1_4	-0.544**	-0.594**		-0.469**	-0.503**		-0.541**	-0.595**		-0.220**	-0.235**		-0.542**
	(0.0354)	(0.0373)		(0.00830)	(0.00826)		(0.0238)	(0.0252)		(0.00604)	(0.00605)		(0.0181)
educf_5_6	-0.292**	-0.322**		-0.244**	-0.264**		-0.297**	-0.330**					-0.304**
	(0.0234)	(0.0245)		(0.00807)	(0.00808)		(0.0158)	(0.0167)					(0.0128)
educf_7_10	-0.117**	-0.132**		-0.0905**	-0.0997**		-0.119**	-0.135**		0.163**	0.175**		-0.125**
	(0.0145)	(0.0150)		(0.00756)	(0.00758)		(0.0111)	(0.0115)		(0.00616)	(0.00619)		(0.0101)
poor1	-0.352**	-0.384**		-0.313**	-0.337**		-0.375**	-0.409**		-0.336**	-0.361**		-0.366**
	(0.0197)	(0.0208)		(0.00819)	(0.00819)		(0.0152)	(0.0161)		(0.00646)	(0.00647)		(0.0123)
height	0.00483**			0.00455**			0.00492**			0.00461**			0.00475**
	(0.000368)			(0.000340)			(0.000297)			(0.000275)			(0.000280)
bmi	0.0179**			0.0165**			0.0190**			0.0176**			0.0200**
	(0.000804)			(0.000483)			(0.000617)			(0.000390)			(0.000524)
malec	0.0176**	0.0160**	0.00595	0.0114**	0.00898*	-0.00550	0.0221**	0.0200**	0.00511	0.0176**	0.0149**	-0.00272	0.0428**
	(0.00501)	(0.00502)	(0.00530)	(0.00409)	(0.00410)	(0.00435)	(0.00370)	(0.00371)	(0.00394)	(0.00331)	(0.00332)	(0.00352)	(0.00333)
agemay	0.0137**	0.0152**	0.0390**	0.0106**	0.0114**	0.0259**	0.0131**	0.0143**	0.0345**	0.0101**	0.0106**	0.0220**	0.0114**
	(0.00156)	(0.00162)	(0.00309)	(0.000604)	(0.000606)	(0.000621)	(0.00118)	(0.00122)	(0.00207)	(0.000493)	(0.000495)	(0.000514)	(0.00107)
borddummy2							-0.0322	-0.0353*	-0.133**	0.0130**	0.0179**	0.00131	-0.00720
							(0.0164)	(0.0166)	(0.0219)	(0.00357)	(0.00358)	(0.00379)	(0.0121)
educf_11plus										0.257**	0.281**		
										(0.00721)	(0.00722)		
borddummy3													-0.0268
													(0.0261)
Constant	-1.575**	-0.413**	-1.166**	0.350	1.490	1.422	-1.356**	-0.160	-0.958**	-1.179	-0.0351	-0.114	-1.033**
	(0.169)	(0.136)	(0.184)	(0.809)	(0.810)	(0.860)	(0.151)	(0.127)	(0.162)	(2,240)	(2,250)	(2,388)	(0.161)
													
Observations	158,127	158,127	158,127	158,127	158,127	158,127	248,620	248,620	248,620	248,620	248,620	248,620	264,913
R-squared	0.341	0.330	0.184	0.355	0.349	0.266	0.327	0.316	0.156	0.339	0.333	0.249	0.314
Standard errors in parentheses													
** p<0.01, * p<0.05													
