	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.00170	0.0146	0.0640	-0.0775**	-0.0803**	-0.143**	0.00503	0.0181	0.0961*	-0.0787**	-0.0819**	-0.141**	-0.00620	0.00257	0.0386	-0.0748**	-0.0779**	-0.129**	-0.0251	-0.000429	0.0299	-0.0694**	-0.0721**	-0.113**	0.0448	0.0550*	0.0771*	-0.0662**	-0.0676**	-0.0998**	-0.0373	-0.0265	-0.0279	-0.0644**	-0.0642**	-0.0896**
	(0.0419)	(0.0426)	(0.0495)	(0.00157)	(0.00157)	(0.00161)	(0.0308)	(0.0313)	(0.0376)	(0.00129)	(0.00129)	(0.00134)	(0.0266)	(0.0269)	(0.0304)	(0.00129)	(0.00129)	(0.00135)	(0.0265)	(0.0271)	(0.0297)	(0.00140)	(0.00141)	(0.00148)	(0.0275)	(0.0278)	(0.0300)	(0.00162)	(0.00163)	(0.00170)	(0.0277)	(0.0279)	(0.0293)	(0.00196)	(0.00197)	(0.00205)
educf_0	-0.983**	-1.057**		-0.897**	-0.950**		-1.007**	-1.086**		-0.560**	-0.592**		-1.015**	-1.098**		-0.959**	-1.028**		-1.037**	-1.133**		-1.007**	-1.083**		-1.122**	-1.212**		-0.783**	-0.837**		-1.093**	-1.181**		-1.080**	-1.163**	
	(0.0461)	(0.0488)		(0.00843)	(0.00832)		(0.0308)	(0.0329)		(0.00598)	(0.00597)		(0.0234)	(0.0249)		(0.00862)	(0.00856)		(0.0208)	(0.0220)		(0.0111)	(0.0111)		(0.0218)	(0.0223)		(0.00791)	(0.00789)		(0.0244)	(0.0245)		(0.0205)	(0.0205)	
educf_1_4	-0.683**	-0.738**		-0.612**	-0.650**		-0.698**	-0.757**		-0.266**	-0.282**		-0.694**	-0.756**		-0.648**	-0.700**		-0.719**	-0.794**		-0.696**	-0.754**		-0.793**	-0.863**		-0.468**	-0.504**		-0.772**	-0.842**		-0.762**	-0.828**	
	(0.0383)	(0.0403)		(0.00900)	(0.00896)		(0.0258)	(0.0273)		(0.00655)	(0.00657)		(0.0197)	(0.0208)		(0.00900)	(0.00899)		(0.0180)	(0.0188)		(0.0114)	(0.0114)		(0.0196)	(0.0200)		(0.00840)	(0.00842)		(0.0230)	(0.0231)		(0.0208)	(0.0208)	
educf_5_6	-0.386**	-0.419**		-0.341**	-0.363**		-0.407**	-0.443**					-0.410**	-0.451**		-0.383**	-0.417**		-0.437**	-0.486**		-0.423**	-0.462**		-0.505**	-0.553**		-0.199**	-0.215**		-0.513**	-0.562**		-0.507**	-0.554**	
	(0.0253)	(0.0265)		(0.00876)	(0.00877)		(0.0172)	(0.0181)					(0.0140)	(0.0146)		(0.00914)	(0.00916)		(0.0144)	(0.0148)		(0.0117)	(0.0117)		(0.0175)	(0.0178)		(0.00913)	(0.00919)		(0.0221)	(0.0222)		(0.0212)	(0.0213)	
educf_7_10	-0.183**	-0.199**		-0.157**	-0.168**		-0.190**	-0.208**		0.200**	0.214**		-0.182**	-0.205**		-0.166**	-0.186**		-0.220**	-0.249**		-0.211**	-0.233**		-0.300**	-0.331**					-0.300**	-0.334**		-0.295**	-0.327**	
