	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.0615	0.0816	0.114	-0.0777**	-0.0796**	-0.120**	0.0128	0.0374	0.0759	-0.0792**	-0.0810**	-0.115**	-0.0390	-0.0295	-0.00388	-0.0730**	-0.0739**	-0.101**	-0.0175	0.00542	0.0293	-0.0656**	-0.0651**	-0.0846**	0.0405	0.0489	0.0545	-0.0601**	-0.0584**	-0.0743**	0.00531	0.0102	-0.000566	-0.0578**	-0.0544**	-0.0672**
	(0.0561)	(0.0574)	(0.0649)	(0.00241)	(0.00244)	(0.00256)	(0.0399)	(0.0409)	(0.0458)	(0.00189)	(0.00191)	(0.00200)	(0.0321)	(0.0325)	(0.0354)	(0.00176)	(0.00178)	(0.00187)	(0.0275)	(0.0279)	(0.0300)	(0.00184)	(0.00186)	(0.00194)	(0.0335)	(0.0339)	(0.0356)	(0.00205)	(0.00207)	(0.00215)	(0.0293)	(0.0296)	(0.0306)	(0.00242)	(0.00245)	(0.00253)
educf_0	-1.217**	-1.388**		-1.057**	-1.196**		-1.173**	-1.343**		-0.522**	-0.569**		-1.065**	-1.219**		-0.510**	-0.556**		-1.018**	-1.168**		-0.986**	-1.123**		-1.054**	-1.171**		-0.493**	-0.537**		-0.982**	-1.088**		-0.953**	-1.061**	
	(0.0673)	(0.0709)		(0.0183)	(0.0180)		(0.0430)	(0.0452)		(0.00920)	(0.00924)		(0.0320)	(0.0326)		(0.00847)	(0.00851)		(0.0261)	(0.0262)		(0.0188)	(0.0189)		(0.0302)	(0.0300)		(0.00927)	(0.00933)		(0.0320)	(0.0317)		(0.0290)	(0.0291)	
educf_1_4	-0.891**	-1.031**		-0.752**	-0.864**		-0.861**	-1.001**		-0.223**	-0.244**		-0.772**	-0.898**		-0.220**	-0.241**		-0.750**	-0.875**		-0.722**	-0.836**		-0.792**	-0.887**		-0.238**	-0.260**		-0.727**	-0.816**		-0.703**	-0.793**	
	(0.0595)	(0.0625)		(0.0189)	(0.0188)		(0.0381)	(0.0399)		(0.0101)	(0.0102)		(0.0291)	(0.0297)		(0.00931)	(0.00940)		(0.0248)	(0.0250)		(0.0192)	(0.0193)		(0.0289)	(0.0289)		(0.0102)	(0.0103)		(0.0315)	(0.0314)		(0.0294)	(0.0296)	
educf_5_6	-0.640**	-0.753**		-0.533**	-0.624**		-0.619**	-0.732**					-0.545**	-0.648**					-0.510**	-0.608**		-0.490**	-0.580**		-0.538**	-0.611**					-0.484**	-0.550**		-0.468**	-0.536**	
	(0.0478)	(0.0502)		(0.0195)	(0.0195)		(0.0312)	(0.0326)					(0.0245)	(0.0250)					(0.0227)	(0.0229)		(0.0198)	(0.0200)		(0.0267)	(0.0268)					(0.0310)	(0.0311)		(0.0301)	(0.0303)	
educf_7_10	-0.451**	-0.529**		-0.382**	-0.446**		-0.458**	-0.535**		0.141**	0.169**		-0.403**	-0.477**		0.135**	0.163**		-0.390**	-0.461**		-0.377**	-0.442**		-0.440**	-0.489**		0.0913**	0.114**		-0.390**	-0.437**		-0.377**	-0.424**	
