	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																														
fert	-0.0794	-0.0710	-0.0344	-0.0915**	-0.0940**	-0.157**	-0.0149	-0.00543	0.0725	-0.0940**	-0.0970**	-0.159**	-0.0304	-0.0230	0.0373	-0.0917**	-0.0949**	-0.150**	-0.0291	-0.00707	0.0267	-0.0882**	-0.0914**	-0.138**	0.0490	0.0578	0.105*	-0.0838**	-0.0862**	-0.124**	-0.0874	-0.0699	-0.0428	-0.0792**	-0.0803**	-0.112**	-0.0794	-0.0710	-0.0344	-0.0915**	-0.0940**	-0.157**	-0.0149	-0.00543	0.0725	-0.0940**	-0.0970**	-0.159**	-0.0304	-0.0230	0.0373	-0.0917**	-0.0949**	-0.150**	-0.0291	-0.00707	0.0267	-0.0882**	-0.0914**	-0.138**	0.0490	0.0578
	(0.0600)	(0.0609)	(0.0688)	(0.00211)	(0.00212)	(0.00216)	(0.0437)	(0.0444)	(0.0539)	(0.00176)	(0.00176)	(0.00181)	(0.0386)	(0.0391)	(0.0455)	(0.00181)	(0.00181)	(0.00188)	(0.0463)	(0.0477)	(0.0529)	(0.00203)	(0.00203)	(0.00213)	(0.0433)	(0.0439)	(0.0488)	(0.00242)	(0.00242)	(0.00253)	(0.0452)	(0.0456)	(0.0487)	(0.00296)	(0.00297)	(0.00310)	(0.0600)	(0.0609)	(0.0688)	(0.00211)	(0.00212)	(0.00216)	(0.0437)	(0.0444)	(0.0539)	(0.00176)	(0.00176)	(0.00181)	(0.0386)	(0.0391)	(0.0455)	(0.00181)	(0.00181)	(0.00188)	(0.0463)	(0.0477)	(0.0529)	(0.00203)	(0.00203)	(0.00213)	(0.0433)	(0.0439)
educf_0	-0.733**	-0.782**		-0.264**	-0.271**		-0.819**	-0.876**		-0.744**	-0.784**		-0.834**	-0.893**		-0.762**	-0.797**		-0.910**	-0.983**		-0.799**	-0.839**		-0.999**	-1.072**		-0.808**	-0.851**		-0.990**	-1.064**		-0.818**	-0.858**		-0.733**	-0.782**		-0.264**	-0.271**		-0.819**	-0.876**		-0.744**	-0.784**		-0.834**	-0.893**		-0.762**	-0.797**		-0.910**	-0.983**		-0.799**	-0.839**		-0.999**	-1.072**
	(0.0644)	(0.0686)		(0.0101)	(0.0102)		(0.0426)	(0.0459)		(0.00931)	(0.00922)		(0.0321)	(0.0347)		(0.00870)	(0.00863)		(0.0334)	(0.0364)		(0.0102)	(0.0101)		(0.0311)	(0.0325)		(0.0124)	(0.0123)		(0.0356)	(0.0362)		(0.0152)	(0.0152)		(0.0644)	(0.0686)		(0.0101)	(0.0102)		(0.0426)	(0.0459)		(0.00931)	(0.00922)		(0.0321)	(0.0347)		(0.00870)	(0.00863)		(0.0334)	(0.0364)		(0.0102)	(0.0101)		(0.0311)	(0.0325)
educf_1_4	-0.467**	-0.507**					-0.526**	-0.570**		-0.466**	-0.497**		-0.519**	-0.565**		-0.459**	-0.484**		-0.583**	-0.638**		-0.484**	-0.511**		-0.643**	-0.700**		-0.480**	-0.508**		-0.653**	-0.711**		-0.479**	-0.506**		-0.467**	-0.507**					-0.526**	-0.570**		-0.466**	-0.497**		-0.519**	-0.565**		-0.459**	-0.484**		-0.583**	-0.638**		-0.484**	-0.511**		-0.643**	-0.700**
	(0.0520)	(0.0553)					(0.0345)	(0.0370)		(0.0105)	(0.0104)		(0.0257)	(0.0276)		(0.00977)	(0.00975)		(0.0258)	(0.0279)		(0.0111)	(0.0111)		(0.0262)	(0.0270)		(0.0132)	(0.0132)		(0.0325)	(0.0329)		(0.0160)	(0.0160)		(0.0520)	(0.0553)					(0.0345)	(0.0370)		(0.0105)	(0.0104)		(0.0257)	(0.0276)		(0.00977)	(0.00975)		(0.0258)	(0.0279)		(0.0111)	(0.0111)		(0.0262)	(0.0270)
educf_5_6	-0.244**	-0.265**		0.219**	0.234**		-0.285**	-0.309**		-0.248**	-0.264**		-0.279**	-0.303**		-0.235**	-0.243**		-0.333**	-0.364**		-0.245**	-0.256**		-0.396**	-0.432**		-0.250**	-0.262**		-0.431**	-0.469**		-0.256**	-0.266**		-0.244**	-0.265**		0.219**	0.234**		-0.285**	-0.309**		-0.248**	-0.264**		-0.279**	-0.303**		-0.235**	-0.243**		-0.333**	-0.364**		-0.245**	-0.256**		-0.396**	-0.432**
	(0.0348)	(0.0365)		(0.0117)	(0.0117)		(0.0226)	(0.0239)		(0.0103)	(0.0103)		(0.0175)	(0.0184)		(0.00995)	(0.00998)		(0.0196)	(0.0205)		(0.0116)	(0.0116)		(0.0241)	(0.0245)		(0.0140)	(0.0141)		(0.0317)	(0.0319)		(0.0172)	(0.0173)		(0.0348)	(0.0365)		(0.0117)	(0.0117)		(0.0226)	(0.0239)		(0.0103)	(0.0103)		(0.0175)	(0.0184)		(0.00995)	(0.00998)		(0.0196)	(0.0205)		(0.0116)	(0.0116)		(0.0241)	(0.0245)
