	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																																								
fert	0.0515	0.0763	0.114	-0.0530**	-0.0552**	-0.106**	0.0157	0.0459	0.0920	-0.0536**	-0.0558**	-0.0990**	-0.0251	-0.0135	0.0190	-0.0497**	-0.0507**	-0.0857**	-0.0268	0.000741	0.0308	-0.0439**	-0.0434**	-0.0680**	0.0534	0.0634	0.0716	-0.0399**	-0.0380**	-0.0579**	-0.00128	0.00464	-0.00951	-0.0402**	-0.0362**	-0.0522**	0.0515	0.0763	0.114	-0.0530**	-0.0552**	-0.106**	0.0157	0.0459	0.0920	-0.0536**	-0.0558**	-0.0990**	-0.0251	-0.0135	0.0190	-0.0497**	-0.0507**	-0.0857**	-0.0268	0.000741	0.0308	-0.0439**	-0.0434**	-0.0680**	0.0534	0.0634	0.0716	-0.0399**	-0.0380**	-0.0579**	-0.00128	0.00464	-0.00951	-0.0402**	-0.0362**	-0.0522**
	(0.0638)	(0.0652)	(0.0742)	(0.00279)	(0.00283)	(0.00299)	(0.0461)	(0.0472)	(0.0533)	(0.00220)	(0.00222)	(0.00236)	(0.0374)	(0.0378)	(0.0416)	(0.00205)	(0.00208)	(0.00219)	(0.0318)	(0.0322)	(0.0348)	(0.00213)	(0.00216)	(0.00227)	(0.0386)	(0.0390)	(0.0413)	(0.00237)	(0.00240)	(0.00251)	(0.0338)	(0.0341)	(0.0355)	(0.00280)	(0.00283)	(0.00295)	(0.0638)	(0.0652)	(0.0742)	(0.00279)	(0.00283)	(0.00299)	(0.0461)	(0.0472)	(0.0533)	(0.00220)	(0.00222)	(0.00236)	(0.0374)	(0.0378)	(0.0416)	(0.00205)	(0.00208)	(0.00219)	(0.0318)	(0.0322)	(0.0348)	(0.00213)	(0.00216)	(0.00227)	(0.0386)	(0.0390)	(0.0413)	(0.00237)	(0.00240)	(0.00251)	(0.0338)	(0.0341)	(0.0355)	(0.00280)	(0.00283)	(0.00295)
educf_0	-1.463**	-1.668**		-1.343**	-1.511**		-1.455**	-1.662**		-0.624**	-0.682**		-1.352**	-1.537**		-0.617**	-0.673**		-1.261**	-1.441**		-1.250**	-1.412**		-1.304**	-1.442**		-0.601**	-0.653**		-1.210**	-1.337**		-1.192**	-1.320**		-1.463**	-1.668**		-1.343**	-1.511**		-1.455**	-1.662**		-0.624**	-0.682**		-1.352**	-1.537**		-0.617**	-0.673**		-1.261**	-1.441**		-1.250**	-1.412**		-1.304**	-1.442**		-0.601**	-0.653**		-1.210**	-1.337**		-1.192**	-1.320**	
	(0.0765)	(0.0805)		(0.0212)	(0.0209)		(0.0497)	(0.0522)		(0.0107)	(0.0108)		(0.0372)	(0.0380)		(0.00986)	(0.00991)		(0.0301)	(0.0302)		(0.0218)	(0.0219)		(0.0348)	(0.0346)		(0.0107)	(0.0108)		(0.0369)	(0.0366)		(0.0335)	(0.0337)		(0.0765)	(0.0805)		(0.0212)	(0.0209)		(0.0497)	(0.0522)		(0.0107)	(0.0108)		(0.0372)	(0.0380)		(0.00986)	(0.00991)		(0.0301)	(0.0302)		(0.0218)	(0.0219)		(0.0348)	(0.0346)		(0.0107)	(0.0108)		(0.0369)	(0.0366)		(0.0335)	(0.0337)	
educf_1_4	-1.093**	-1.261**		-0.988**	-1.124**		-1.099**	-1.269**		-0.277**	-0.303**		-1.011**	-1.164**		-0.279**	-0.305**		-0.946**	-1.095**		-0.936**	-1.071**		-0.993**	-1.105**		-0.296**	-0.323**		-0.907**	-1.013**		-0.892**	-0.999**		-1.093**	-1.261**		-0.988**	-1.124**		-1.099**	-1.269**		-0.277**	-0.303**		-1.011**	-1.164**		-0.279**	-0.305**		-0.946**	-1.095**		-0.936**	-1.071**		-0.993**	-1.105**		-0.296**	-0.323**		-0.907**	-1.013**		-0.892**	-0.999**	
	(0.0677)	(0.0710)		(0.0219)	(0.0218)		(0.0441)	(0.0461)		(0.0118)	(0.0119)		(0.0338)	(0.0345)		(0.0108)	(0.0109)		(0.0287)	(0.0288)		(0.0223)	(0.0224)		(0.0334)	(0.0333)		(0.0118)	(0.0119)		(0.0363)	(0.0362)		(0.0339)	(0.0342)		(0.0677)	(0.0710)		(0.0219)	(0.0218)		(0.0441)	(0.0461)		(0.0118)	(0.0119)		(0.0338)	(0.0345)		(0.0108)	(0.0109)		(0.0287)	(0.0288)		(0.0223)	(0.0224)		(0.0334)	(0.0333)		(0.0118)	(0.0119)		(0.0363)	(0.0362)		(0.0339)	(0.0342)	
educf_5_6	-0.796**	-0.931**		-0.715**	-0.825**		-0.807**	-0.944**					-0.727**	-0.852**					-0.651**	-0.769**		-0.644**	-0.751**		-0.682**	-0.767**					-0.615**	-0.695**		-0.606**	-0.686**		-0.796**	-0.931**		-0.715**	-0.825**		-0.807**	-0.944**					-0.727**	-0.852**					-0.651**	-0.769**		-0.644**	-0.751**		-0.682**	-0.767**					-0.615**	-0.695**		-0.606**	-0.686**	
	(0.0544)	(0.0570)		(0.0226)	(0.0226)		(0.0360)	(0.0376)					(0.0285)	(0.0290)					(0.0263)	(0.0265)		(0.0229)	(0.0231)		(0.0308)	(0.0309)					(0.0358)	(0.0359)		(0.0348)	(0.0351)		(0.0544)	(0.0570)		(0.0226)	(0.0226)		(0.0360)	(0.0376)					(0.0285)	(0.0290)					(0.0263)	(0.0265)		(0.0229)	(0.0231)		(0.0308)	(0.0309)					(0.0358)	(0.0359)		(0.0348)	(0.0351)	
