	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.104	0.110	0.249	-0.0912**	-0.0927**	-0.191**	-0.00914	-0.00994	0.180	-0.101**	-0.103**	-0.202**	0.134	0.141	0.105	-0.101**	-0.103**	-0.190**	-0.0162	0.0357	0.0537	-0.0918**	-0.0942**	-0.166**	-0.0468	-0.0337	-0.0342	-0.0929**	-0.0945**	-0.152**	0.0392	-0.00785	-0.109	-0.0921**	-0.0930**	-0.135**
	(0.115)	(0.117)	(0.165)	(0.00446)	(0.00446)	(0.00444)	(0.0975)	(0.0976)	(0.146)	(0.00392)	(0.00392)	(0.00395)	(0.102)	(0.104)	(0.110)	(0.00424)	(0.00424)	(0.00435)	(0.148)	(0.156)	(0.175)	(0.00481)	(0.00483)	(0.00502)	(0.0796)	(0.0803)	(0.0867)	(0.00571)	(0.00574)	(0.00600)	(0.245)	(0.243)	(0.241)	(0.00715)	(0.00718)	(0.00750)
educf_0	-1.391**	-1.420**		-1.098**	-1.110**		-1.227**	-1.251**					-1.346**	-1.393**		-1.082**	-1.110**		-1.120**	-1.206**		-1.053**	-1.087**		-1.103**	-1.146**		-0.781**	-0.806**		-1.177**	-1.185**		-0.791**	-0.821**	
	(0.176)	(0.181)		(0.0262)	(0.0260)		(0.134)	(0.138)					(0.118)	(0.122)		(0.0240)	(0.0238)		(0.136)	(0.146)		(0.0297)	(0.0295)		(0.0716)	(0.0725)		(0.0289)	(0.0289)		(0.182)	(0.182)		(0.0368)	(0.0369)	
educf_1_4	-0.962**	-0.982**		-0.770**	-0.778**		-0.873**	-0.891**		0.313**	0.318**		-0.972**	-1.008**		-0.786**	-0.808**		-0.810**	-0.877**		-0.759**	-0.787**		-0.795**	-0.831**		-0.480**	-0.500**		-0.853**	-0.861**		-0.482**	-0.507**	
	(0.116)	(0.119)		(0.0190)	(0.0188)		(0.0903)	(0.0928)		(0.0192)	(0.0192)		(0.0842)	(0.0876)		(0.0209)	(0.0207)		(0.104)	(0.112)		(0.0276)	(0.0275)		(0.0611)	(0.0618)		(0.0270)	(0.0271)		(0.155)	(0.155)		(0.0355)	(0.0356)	
educf_5_6	-0.494**	-0.505**		-0.393**	-0.397**		-0.479**	-0.490**		0.669**	0.678**		-0.553**	-0.575**		-0.450**	-0.464**		-0.475**	-0.515**		-0.446**	-0.463**		-0.477**	-0.497**		-0.173**	-0.180**		-0.570**	-0.576**		-0.226**	-0.240**	
	(0.0624)	(0.0644)		(0.0165)	(0.0164)		(0.0498)	(0.0514)		(0.0188)	(0.0188)		(0.0499)	(0.0519)		(0.0204)	(0.0203)		(0.0635)	(0.0682)		(0.0276)	(0.0276)		(0.0483)	(0.0487)		(0.0280)	(0.0281)		(0.111)	(0.111)		(0.0370)	(0.0371)	
educf_7_10	-0.292**	-0.295**		-0.236**	-0.236**		-0.271**	-0.274**		0.855**	0.871**		-0.297**	-0.306**		-0.249**	-0.254**		-0.248**	-0.267**		-0.231**	-0.238**		-0.301**	-0.312**					-0.347**	-0.337**				
	(0.0372)	(0.0379)		(0.0163)	(0.0162)		(0.0293)	(0.0297)		(0.0207)	(0.0206)		(0.0306)	(0.0313)		(0.0213)	(0.0214)		(0.0439)	(0.0460)		(0.0293)	(0.0293)		(0.0478)	(0.0481)					(0.117)	(0.116)				
