	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0375	0.0397	0.0561	-0.0438**	-0.0452**	-0.0900**	-0.0404	-0.0354	0.00398	-0.0494**	-0.0509**	-0.0939**	0.00613	0.00785	0.0380	-0.0551**	-0.0569**	-0.0952**	0.00380	0.0172	0.0289	-0.0544**	-0.0561**	-0.0882**	0.0811	0.0836	0.108*	-0.0528**	-0.0540**	-0.0802**	-0.0506	-0.0411	-0.0327	-0.0539**	-0.0543**	-0.0750**
	(0.0517)	(0.0520)	(0.0558)	(0.00259)	(0.00259)	(0.00258)	(0.0409)	(0.0413)	(0.0452)	(0.00225)	(0.00225)	(0.00226)	(0.0369)	(0.0371)	(0.0403)	(0.00242)	(0.00242)	(0.00246)	(0.0473)	(0.0482)	(0.0509)	(0.00278)	(0.00279)	(0.00284)	(0.0437)	(0.0439)	(0.0464)	(0.00332)	(0.00333)	(0.00340)	(0.0472)	(0.0473)	(0.0488)	(0.00402)	(0.00403)	(0.00412)
educf_0	-0.461**	-0.491**		-0.247**	-0.251**		-0.407**	-0.439**		-0.241**	-0.247**		-0.485**	-0.522**		-0.501**	-0.524**		-0.544**	-0.590**		-0.518**	-0.555**		-0.622**	-0.670**		-0.543**	-0.571**		-0.629**	-0.681**		-0.628**	-0.677**	
	(0.0450)	(0.0470)		(0.0104)	(0.0104)		(0.0304)	(0.0320)		(0.00842)	(0.00842)		(0.0236)	(0.0247)		(0.00951)	(0.00942)		(0.0267)	(0.0282)		(0.0166)	(0.0165)		(0.0285)	(0.0290)		(0.0142)	(0.0141)		(0.0364)	(0.0365)		(0.0342)	(0.0341)	
educf_1_4	-0.202**	-0.227**					-0.165**	-0.191**					-0.212**	-0.242**		-0.234**	-0.251**		-0.265**	-0.302**		-0.246**	-0.275**		-0.344**	-0.381**		-0.280**	-0.298**		-0.373**	-0.414**		-0.373**	-0.412**	
	(0.0383)	(0.0399)					(0.0264)	(0.0277)					(0.0211)	(0.0220)		(0.0106)	(0.0106)		(0.0239)	(0.0250)		(0.0176)	(0.0175)		(0.0272)	(0.0275)		(0.0151)	(0.0150)		(0.0357)	(0.0358)		(0.0349)	(0.0349)	
educf_5_6	-0.0854**	-0.0995**		0.0979**	0.107**		-0.0511**	-0.0659**		0.112**	0.121**		-0.0824**	-0.101**		-0.117**	-0.124**		-0.123**	-0.146**		-0.114**	-0.133**		-0.171**	-0.197**		-0.125**	-0.133**		-0.224**	-0.253**		-0.224**	-0.252**	
	(0.0269)	(0.0278)		(0.0118)	(0.0118)		(0.0182)	(0.0189)		(0.00978)	(0.00977)		(0.0159)	(0.0162)		(0.0109)	(0.0109)		(0.0196)	(0.0200)		(0.0179)	(0.0179)		(0.0263)	(0.0264)		(0.0161)	(0.0161)		(0.0358)	(0.0359)		(0.0357)	(0.0357)	
educf_7_10	0.0207	0.0135		0.184**	0.198**		0.0516**	0.0439**		0.213**	0.228**		0.0429**	0.0321*					-0.00135	-0.0146		0.00326	-0.00800		-0.0397	-0.0570*					-0.0771*	-0.0982**		-0.0770*	-0.0979**	
	(0.0156)	(0.0160)		(0.0114)	(0.0113)		(0.0127)	(0.0129)		(0.00975)	(0.00971)		(0.0139)	(0.0141)					(0.0189)	(0.0190)		(0.0185)	(0.0185)		(0.0269)	(0.0270)					(0.0367)	(0.0367)		(0.0367)	(0.0367)	
poor1	-0.282**	-0.294**		-0.257**	-0.267**		-0.278**	-0.291**		-0.275**	-0.286**		-0.293**	-0.307**		-0.276**	-0.288**		-0.290**	-0.308**		-0.275**	-0.288**		-0.296**	-0.311**		-0.267**	-0.280**		-0.256**	-0.273**		-0.256**	-0.270**	
	(0.0186)	(0.0193)		(0.00978)	(0.00976)		(0.0152)	(0.0158)		(0.00801)	(0.00799)		(0.0131)	(0.0136)		(0.00814)	(0.00812)		(0.0153)	(0.0159)		(0.00903)	(0.00901)		(0.0141)	(0.0143)		(0.0103)	(0.0103)		(0.0148)	(0.0148)		(0.0121)	(0.0121)	
height	0.00335**			0.00295**			0.00283**			0.00279**			0.00265**			0.00240**			0.00240**			0.00217**			0.00191**			0.00153**			0.00155*			0.00155*		
	(0.000572)			(0.000506)			(0.000469)			(0.000428)			(0.000477)			(0.000452)			(0.000544)			(0.000509)			(0.000611)			(0.000591)			(0.000701)			(0.000698)		
bmi	0.00855**			0.00771**			0.00872**			0.00863**			0.0110**			0.0104**			0.0119**			0.0114**			0.0135**			0.0128**			0.0137**			0.0136**		
