	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	-0.104	-0.0892	-0.0666	0.0188**	0.0181**	-0.0137**	0.0975*	0.112*	0.146**	0.0177**	0.0173**	-0.00886**	-0.0450	-0.0321	-0.0167	0.00800**	0.00855**	-0.0123**	0.00556	0.0221	0.0420	0.00509	0.00676*	-0.00754**	0.0431	0.0493	0.0493	0.00443	0.00640*	-0.00516	-0.0344	-0.0317	-0.0446	-0.00237	0.00130	-0.00865*
	(0.0633)	(0.0634)	(0.0668)	(0.00329)	(0.00330)	(0.00337)	(0.0451)	(0.0455)	(0.0486)	(0.00264)	(0.00265)	(0.00271)	(0.0384)	(0.0384)	(0.0402)	(0.00253)	(0.00254)	(0.00259)	(0.0348)	(0.0349)	(0.0362)	(0.00268)	(0.00269)	(0.00275)	(0.0408)	(0.0410)	(0.0420)	(0.00301)	(0.00303)	(0.00309)	(0.0405)	(0.0406)	(0.0413)	(0.00359)	(0.00360)	(0.00367)
educf_0	-0.536**	-0.648**		-0.519**	-0.552**		-0.720**	-0.838**		-0.655**	-0.761**		-0.600**	-0.722**		-0.637**	-0.749**		-0.619**	-0.731**		-0.462**	-0.496**		-0.647**	-0.734**		-0.454**	-0.486**		-0.632**	-0.719**		-0.436**	-0.467**	
	(0.0657)	(0.0665)		(0.0143)	(0.0143)		(0.0411)	(0.0415)		(0.0190)	(0.0187)		(0.0333)	(0.0329)		(0.0206)	(0.0204)		(0.0301)	(0.0294)		(0.0112)	(0.0112)		(0.0353)	(0.0348)		(0.0123)	(0.0123)		(0.0425)	(0.0419)		(0.0143)	(0.0143)	
educf_1_4	-0.193**	-0.286**		-0.159**	-0.174**		-0.365**	-0.462**		-0.311**	-0.398**		-0.277**	-0.377**		-0.307**	-0.400**		-0.303**	-0.396**		-0.146**	-0.162**		-0.350**	-0.421**		-0.159**	-0.175**		-0.361**	-0.433**		-0.161**	-0.179**	
	(0.0578)	(0.0584)		(0.0157)	(0.0158)		(0.0360)	(0.0363)		(0.0195)	(0.0194)		(0.0301)	(0.0298)		(0.0211)	(0.0210)		(0.0288)	(0.0284)		(0.0123)	(0.0124)		(0.0342)	(0.0339)		(0.0135)	(0.0136)		(0.0419)	(0.0416)		(0.0157)	(0.0157)	
educf_5_6	-0.0561	-0.131**					-0.221**	-0.299**		-0.180**	-0.250**		-0.151**	-0.234**		-0.173**	-0.250**		-0.157**	-0.232**					-0.186**	-0.241**					-0.203**	-0.257**				
	(0.0479)	(0.0484)					(0.0306)	(0.0309)		(0.0202)	(0.0201)		(0.0270)	(0.0268)		(0.0217)	(0.0217)		(0.0277)	(0.0275)					(0.0332)	(0.0331)					(0.0419)	(0.0418)				
educf_7_10	-0.0514	-0.105**		0.0357*	0.0536**		-0.147**	-0.204**		-0.121**	-0.172**		-0.108**	-0.170**		-0.123**	-0.181**		-0.116**	-0.172**		0.0415**	0.0584**		-0.161**	-0.200**		0.0243	0.0397*		-0.152**	-0.191**		0.0500**	0.0652**	
	(0.0337)	(0.0340)		(0.0160)	(0.0160)		(0.0244)	(0.0246)		(0.0191)	(0.0191)		(0.0237)	(0.0236)		(0.0210)	(0.0210)		(0.0263)	(0.0262)		(0.0136)	(0.0137)		(0.0326)	(0.0326)		(0.0154)	(0.0155)		(0.0419)	(0.0419)		(0.0184)	(0.0185)	
poor1	0.227**	0.231**		0.238**	0.240**		0.147**	0.152**		0.143**	0.148**		0.139**	0.148**		0.141**	0.149**		0.187**	0.198**		0.187**	0.197**		0.230**	0.242**		0.225**	0.237**		0.138*	0.155**		0.142**	0.159**	
	(0.0700)	(0.0700)		(0.0686)	(0.0690)		(0.0521)	(0.0525)		(0.0517)	(0.0520)		(0.0472)	(0.0474)		(0.0470)	(0.0473)		(0.0461)	(0.0463)		(0.0460)	(0.0463)		(0.0482)	(0.0484)		(0.0479)	(0.0482)		(0.0539)	(0.0541)		(0.0536)	(0.0539)	
height	0.00529**			0.00511**			0.00442**			0.00457**			0.00396**			0.00387**			0.00344**			0.00344**			0.00286**			0.00291**			0.00278**			0.00275**		
	(0.000675)			(0.000658)			(0.000521)			(0.000511)			(0.000486)			(0.000480)			(0.000494)			(0.000488)			(0.000530)			(0.000527)			(0.000600)			(0.000599)		
bmi	0.0227**			0.0233**			0.0249**			0.0247**			0.0260**			0.0259**			0.0258**			0.0259**			0.0249**			0.0252**			0.0253**			0.0249**		
