	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.00828	0.0113	0.0417	-0.0198**	-0.0203**	-0.0546**	-0.0122	-0.0141	0.0304	-0.0279**	-0.0285**	-0.0636**	-0.0105	-0.00427	-0.0178	-0.0283**	-0.0291**	-0.0600**	0.103	0.124	0.139	-0.0340**	-0.0346**	-0.0607**	0.00803	0.0102	0.00906	-0.0330**	-0.0331**	-0.0548**	-0.251	-0.256	-0.276	-0.0335**	-0.0337**	-0.0484**
	(0.0823)	(0.0831)	(0.0960)	(0.00403)	(0.00403)	(0.00380)	(0.0712)	(0.0706)	(0.0833)	(0.00377)	(0.00377)	(0.00358)	(0.0742)	(0.0750)	(0.0739)	(0.00435)	(0.00435)	(0.00422)	(0.129)	(0.132)	(0.139)	(0.00521)	(0.00521)	(0.00514)	(0.0711)	(0.0712)	(0.0724)	(0.00619)	(0.00619)	(0.00617)	(0.163)	(0.163)	(0.156)	(0.00767)	(0.00767)	(0.00768)
educf_0	-0.400**	-0.411**		-0.365**	-0.185**		-0.364**	-0.369**					-0.347**	-0.365**					-0.410**	-0.441**		-0.318**	-0.332**		-0.329**	-0.340**		-0.305**	-0.314**		-0.248*	-0.251*		-0.279**	-0.284**	
	(0.104)	(0.107)		(0.0201)	(0.0195)		(0.0792)	(0.0806)					(0.0675)	(0.0700)					(0.0904)	(0.0947)		(0.0277)	(0.0275)		(0.0561)	(0.0562)		(0.0377)	(0.0375)		(0.105)	(0.106)		(0.0345)	(0.0344)	
educf_1_4	-0.203**	-0.212**		-0.181**			-0.191**	-0.196**		0.167**	0.168**		-0.206**	-0.221**		0.135**	0.137**		-0.254**	-0.279**		-0.189**	-0.202**		-0.212**	-0.222**		-0.194**	-0.203**		-0.178*	-0.182*		-0.180**	-0.185**	
	(0.0665)	(0.0685)		(0.0145)			(0.0522)	(0.0535)		(0.0156)	(0.0156)		(0.0463)	(0.0483)		(0.0155)	(0.0155)		(0.0663)	(0.0697)		(0.0260)	(0.0258)		(0.0479)	(0.0479)		(0.0365)	(0.0363)		(0.0874)	(0.0880)		(0.0335)	(0.0333)	
educf_5_6	-0.0813*	-0.0869*		-0.0686**	0.114**		-0.0718*	-0.0756*		0.281**	0.283**		-0.0864**	-0.0956**		0.251**	0.256**		-0.106*	-0.121**		-0.0716**	-0.0798**		-0.0729	-0.0788		-0.0606	-0.0658		-0.109	-0.110		-0.0817*	-0.0832*	
