	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	0.182	0.178	0.138	0.354**	0.356**	0.487**	0.0822	0.0750	-0.0676	0.370**	0.373**	0.499**	0.119	0.114	0.0109	0.367**	0.370**	0.483**	-0.0128	-0.0462	-0.0767	0.360**	0.364**	0.460**	-0.154	-0.162	-0.233	0.342**	0.345**	0.423**	0.376**	0.358**	0.344**	0.327**	0.328**	0.390**
	(0.134)	(0.135)	(0.146)	(0.00648)	(0.00648)	(0.00651)	(0.108)	(0.109)	(0.126)	(0.00565)	(0.00564)	(0.00573)	(0.0971)	(0.0975)	(0.109)	(0.00606)	(0.00605)	(0.00623)	(0.124)	(0.127)	(0.137)	(0.00700)	(0.00700)	(0.00724)	(0.115)	(0.116)	(0.125)	(0.00840)	(0.00841)	(0.00870)	(0.121)	(0.121)	(0.126)	(0.0102)	(0.0102)	(0.0106)
educf_0	1.274**	1.319**		0.641**	0.646**		1.352**	1.408**		1.132**	1.168**		1.408**	1.472**		1.263**	1.311**		1.688**	1.791**		1.588**	1.636**		1.900**	2.002**		1.633**	1.685**		1.907**	2.008**		1.614**	1.669**	
	(0.125)	(0.132)		(0.0264)	(0.0263)		(0.0865)	(0.0915)		(0.0249)	(0.0246)		(0.0647)	(0.0684)		(0.0307)	(0.0303)		(0.0722)	(0.0769)		(0.0295)	(0.0292)		(0.0755)	(0.0770)		(0.0364)	(0.0361)		(0.0941)	(0.0943)		(0.0451)	(0.0448)	
educf_1_4	0.606**	0.644**					0.672**	0.719**		0.490**	0.519**		0.679**	0.732**		0.562**	0.601**		0.902**	0.984**		0.841**	0.875**		1.077**	1.159**		0.868**	0.904**		1.171**	1.253**		0.873**	0.910**	
	(0.106)	(0.111)					(0.0743)	(0.0783)		(0.0280)	(0.0278)		(0.0570)	(0.0598)		(0.0335)	(0.0332)		(0.0640)	(0.0674)		(0.0319)	(0.0318)		(0.0713)	(0.0722)		(0.0387)	(0.0386)		(0.0921)	(0.0921)		(0.0474)	(0.0473)	
educf_5_6	0.215**	0.237**		-0.348**	-0.360**		0.221**	0.248**		0.108**	0.125**		0.210**	0.241**		0.148**	0.172**		0.367**	0.418**		0.375**	0.389**		0.531**	0.587**		0.389**	0.404**		0.694**	0.751**		0.392**	0.405**	
	(0.0746)	(0.0776)		(0.0302)	(0.0301)		(0.0510)	(0.0531)		(0.0277)	(0.0277)		(0.0419)	(0.0431)		(0.0338)	(0.0337)		(0.0515)	(0.0530)		(0.0335)	(0.0335)		(0.0687)	(0.0690)		(0.0413)	(0.0413)		(0.0923)	(0.0923)		(0.0513)	(0.0514)	
educf_7_10	-0.134**	-0.123**		-0.652**	-0.671**		-0.168**	-0.154**		-0.225**	-0.217**		-0.219**	-0.201**		-0.248**	-0.234**		-0.0400	-0.00946					0.117	0.155*					0.305**	0.347**				
	(0.0428)	(0.0441)		(0.0291)	(0.0290)		(0.0347)	(0.0356)		(0.0267)	(0.0267)		(0.0363)	(0.0367)		(0.0341)	(0.0341)		(0.0493)	(0.0500)					(0.0701)	(0.0703)					(0.0944)	(0.0944)				
poor1	0.822**	0.842**		0.768**	0.782**		0.925**	0.950**		0.831**	0.846**		0.915**	0.941**		0.843**	0.862**		0.944**	0.985**		0.844**	0.869**		0.939**	0.971**		0.828**	0.854**		0.772**	0.804**		0.781**	0.809**	
	(0.0491)	(0.0516)		(0.0249)	(0.0248)		(0.0413)	(0.0433)		(0.0205)	(0.0204)		(0.0352)	(0.0366)		(0.0208)	(0.0207)		(0.0408)	(0.0428)		(0.0230)	(0.0230)		(0.0373)	(0.0380)		(0.0264)	(0.0263)		(0.0379)	(0.0381)		(0.0311)	(0.0310)	
height	-0.00565**			-0.00455**			-0.00632**			-0.00465**			-0.00637**			-0.00526**			-0.00730**			-0.00572**			-0.00663**			-0.00515**			-0.00502**			-0.00511**		
	(0.00156)			(0.00129)			(0.00128)			(0.00110)			(0.00125)			(0.00116)			(0.00143)			(0.00130)			(0.00160)			(0.00152)			(0.00181)			(0.00180)		
bmi	-0.0117**			-0.00959**			-0.0150**			-0.0115**			-0.0171**			-0.0142**			-0.0245**			-0.0209**			-0.0260**			-0.0229**			-0.0252**			-0.0253**		
	(0.00244)			(0.00178)			(0.00203)			(0.00151)			(0.00197)			(0.00159)			(0.00219)			(0.00178)			(0.00224)			(0.00206)			(0.00240)			(0.00239)		
malec	-0.0843**	-0.0843**	-0.0903**	-0.0562**	-0.0553**	-0.0331*	-0.124**	-0.124**	-0.120**	-0.0883**	-0.0871**	-0.0541**	-0.189**	-0.188**	-0.152**	-0.173**	-0.171**	-0.128**	-0.247**	-0.245**	-0.200**	-0.232**	-0.229**	-0.186**	-0.298**	-0.295**	-0.262**	-0.288**	-0.284**	-0.253**	-0.311**	-0.308**	-0.288**	-0.312**	-0.309**	-0.287**
	(0.0268)	(0.0269)	(0.0291)	(0.0154)	(0.0154)	(0.0162)	(0.0191)	(0.0191)	(0.0207)	(0.0132)	(0.0132)	(0.0139)	(0.0155)	(0.0155)	(0.0162)	(0.0140)	(0.0140)	(0.0147)	(0.0169)	(0.0169)	(0.0176)	(0.0158)	(0.0159)	(0.0166)	(0.0191)	(0.0191)	(0.0202)	(0.0184)	(0.0184)	(0.0192)	(0.0218)	(0.0218)	(0.0226)	(0.0217)	(0.0217)	(0.0225)
agemay	-0.0185**	-0.0199**	-0.0632**	-0.0122**	-0.0131**	-0.0394**	-0.0192**	-0.0205**	-0.0644**	-0.00966**	-0.0104**	-0.0335**	-0.0175**	-0.0184**	-0.0473**	-0.00873**	-0.00926**	-0.0254**	-0.0208**	-0.0223**	-0.0368**	-0.00732**	-0.00739**	-0.0151**	-0.0310**	-0.0308**	-0.0375**	-0.0110**	-0.0105**	-0.0106**	-0.0107	-0.0107	-0.00950	-0.0130**	-0.0121**	-0.00742*
	(0.00543)	(0.00561)	(0.0102)	(0.00221)	(0.00221)	(0.00223)	(0.00407)	(0.00419)	(0.00719)	(0.00191)	(0.00191)	(0.00195)	(0.00399)	(0.00405)	(0.00548)	(0.00202)	(0.00202)	(0.00209)	(0.00508)	(0.00518)	(0.00605)	(0.00230)	(0.00230)	(0.00239)	(0.00540)	(0.00541)	(0.00588)	(0.00268)	(0.00269)	(0.00280)	(0.00645)	(0.00646)	(0.00667)	(0.00325)	(0.00325)	(0.00337)
educf_11plus				-0.476**	-0.503**																	0.0730	0.0506					-0.0983	-0.131					-0.306**	-0.348**	
				(0.0311)	(0.0308)																	(0.0472)	(0.0472)					(0.0680)	(0.0680)					(0.0944)	(0.0944)	
borddummy2							0.00601	0.00632	0.191**	-0.137**	-0.141**	-0.123**	-0.0778	-0.0797	0.0240	-0.186**	-0.190**	-0.192**	-0.115*	-0.106	-0.0596	-0.256**	-0.261**	-0.268**	-0.0676	-0.0707	-0.0438	-0.230**	-0.236**	-0.259**	-0.181**	-0.180**	-0.190**	-0.167**	-0.171**	-0.202**
							(0.0557)	(0.0559)	(0.0718)	(0.0143)	(0.0142)	(0.0149)	(0.0460)	(0.0460)	(0.0537)	(0.0183)	(0.0183)	(0.0192)	(0.0537)	(0.0544)	(0.0597)	(0.0253)	(0.0253)	(0.0265)	(0.0536)	(0.0537)	(0.0575)	(0.0370)	(0.0370)	(0.0386)	(0.0659)	(0.0660)	(0.0684)	(0.0574)	(0.0574)	(0.0596)
borddummy3													-0.0888	-0.0928	0.131	-0.325**	-0.335**	-0.340**	-0.151	-0.134	-0.0464	-0.459**	-0.470**	-0.497**	-0.170	-0.176	-0.110	-0.524**	-0.536**	-0.578**	-0.443**	-0.441**	-0.448**	-0.413**	-0.423**	-0.475**
													(0.0945)	(0.0943)	(0.111)	(0.0208)	(0.0207)	(0.0217)	(0.106)	(0.108)	(0.118)	(0.0268)	(0.0268)	(0.0280)	(0.0905)	(0.0906)	(0.0976)	(0.0371)	(0.0371)	(0.0387)	(0.0923)	(0.0924)	(0.0957)	(0.0554)	(0.0555)	(0.0576)
borddummy4																			-0.132	-0.107	0.0290	-0.628**	-0.649**	-0.697**	-0.178	-0.188	-0.0898	-0.751**	-0.771**	-0.847**	-0.763**	-0.760**	-0.762**	-0.714**	-0.730**	-0.807**
																			(0.168)	(0.171)	(0.188)	(0.0304)	(0.0304)	(0.0317)	(0.139)	(0.139)	(0.150)	(0.0398)	(0.0398)	(0.0415)	(0.133)	(0.133)	(0.138)	(0.0569)	(0.0569)	(0.0591)
borddummy5																									-0.139	-0.156		-0.960**	-0.990**		-1.032**	-1.031**		-0.963**	-0.988**	
																									(0.196)	(0.196)		(0.0443)	(0.0443)		(0.180)	(0.180)		(0.0604)	(0.0605)	
borddummy6																															-1.238**	-1.238**		-1.144**	-1.181**	
																															(0.239)	(0.239)		(0.0656)	(0.0655)	
Constant	1.678**	0.556	1.687**	1.693**	0.785**	0.554*	2.194**	0.826*	1.870**	1.501**	0.468	0.503	1.571**	0.477	1.323*	0.0144	-1.175**	-1.156**	2.126**	0.561	1.896*	3.496**	2.037**	1.914**	3.264**	1.319	2.652**	3.780**	2.356**	2.198**	-0.339	-2.098*	0.235	-0.973	-2.488**	-2.578**
	(0.644)	(0.462)	(0.627)	(0.338)	(0.266)	(0.279)	(0.559)	(0.414)	(0.570)	(0.308)	(0.249)	(0.260)	(0.569)	(0.440)	(0.547)	(0.319)	(0.257)	(0.268)	(0.789)	(0.668)	(0.803)	(0.276)	(0.175)	(0.183)	(0.828)	(0.743)	(0.815)	(0.316)	(0.196)	(0.203)	(0.952)	(0.880)	(0.924)	(0.577)	(0.498)	(0.517)
																																				
Observations	52,254	52,254	52,254	52,254	52,254	52,254	80,959	80,959	80,959	80,959	80,959	80,959	82,956	82,956	82,956	82,956	82,956	82,956	71,955	71,955	71,955	71,955	71,955	71,955	57,523	57,523	57,523	57,523	57,523	57,523	43,012	43,012	43,012	43,012	43,012	43,012
R-squared	0.325	0.324	0.221	0.334	0.333	0.262	0.299	0.297	0.158	0.321	0.321	0.248	0.298	0.296	0.185	0.312	0.311	0.238	0.280	0.273	0.178	0.307	0.306	0.236	0.259	0.255	0.160	0.301	0.299	0.236	0.298	0.296	0.240	0.298	0.296	0.241
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
