	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	-0.0995	-0.132	-0.229	0.468**	0.470**	0.554**	-0.0628	-0.0962	-0.183	0.488**	0.490**	0.559**	0.0218	-0.00579	-0.0644	0.491**	0.491**	0.545**	-0.0388	-0.0795	-0.120	0.472**	0.469**	0.506**	-0.181	-0.197	-0.206	0.447**	0.442**	0.472**	-0.143	-0.153	-0.117	0.422**	0.413**	0.439**
	(0.154)	(0.156)	(0.175)	(0.00777)	(0.00780)	(0.00796)	(0.118)	(0.120)	(0.131)	(0.00614)	(0.00617)	(0.00632)	(0.0941)	(0.0948)	(0.102)	(0.00589)	(0.00592)	(0.00606)	(0.0874)	(0.0880)	(0.0922)	(0.00632)	(0.00636)	(0.00651)	(0.104)	(0.105)	(0.108)	(0.00717)	(0.00722)	(0.00737)	(0.102)	(0.103)	(0.104)	(0.00857)	(0.00861)	(0.00878)
educf_0	2.365**	2.620**		1.136**	1.203**		2.303**	2.560**		1.819**	2.034**		2.174**	2.431**		1.056**	1.131**		2.092**	2.351**		1.817**	2.070**		2.139**	2.356**		1.824**	2.052**		1.939**	2.128**		1.709**	1.921**	
	(0.171)	(0.177)		(0.0345)	(0.0344)		(0.114)	(0.117)		(0.0452)	(0.0444)		(0.0851)	(0.0848)		(0.0254)	(0.0254)		(0.0767)	(0.0756)		(0.0583)	(0.0580)		(0.0917)	(0.0904)		(0.0716)	(0.0717)		(0.108)	(0.106)		(0.0957)	(0.0959)	
educf_1_4	1.592**	1.804**		0.443**	0.474**		1.575**	1.786**		1.169**	1.346**		1.488**	1.701**		0.428**	0.461**		1.453**	1.670**		1.223**	1.435**		1.520**	1.697**		1.253**	1.439**		1.318**	1.475**		1.136**	1.311**	
	(0.152)	(0.157)		(0.0378)	(0.0379)		(0.0997)	(0.102)		(0.0465)	(0.0460)		(0.0770)	(0.0769)		(0.0279)	(0.0280)		(0.0732)	(0.0726)		(0.0594)	(0.0593)		(0.0886)	(0.0879)		(0.0728)	(0.0730)		(0.106)	(0.105)		(0.0969)	(0.0972)	
educf_5_6	1.033**	1.204**					1.031**	1.201**		0.724**	0.867**		0.989**	1.165**					0.939**	1.115**		0.775**	0.948**		0.982**	1.119**		0.789**	0.933**		0.786**	0.905**		0.668**	0.802**	
	(0.124)	(0.128)					(0.0830)	(0.0849)		(0.0480)	(0.0478)		(0.0684)	(0.0684)					(0.0697)	(0.0695)		(0.0612)	(0.0613)		(0.0852)	(0.0850)		(0.0749)	(0.0753)		(0.105)	(0.105)		(0.0994)	(0.0998)	
educf_7_10	0.666**	0.790**		-0.217**	-0.251**		0.719**	0.844**		0.512**	0.618**		0.713**	0.845**		-0.207**	-0.249**		0.743**	0.877**		0.623**	0.755**		0.852**	0.951**		0.681**	0.784**		0.686**	0.770**		0.560**	0.654**	
	(0.0875)	(0.0903)		(0.0385)	(0.0386)		(0.0655)	(0.0669)		(0.0454)	(0.0454)		(0.0592)	(0.0594)		(0.0299)	(0.0300)		(0.0657)	(0.0659)		(0.0599)	(0.0601)		(0.0831)	(0.0832)		(0.0741)	(0.0745)		(0.105)	(0.105)		(0.0990)	(0.0995)	
poor1	-0.614**	-0.617**		-0.573**	-0.573**		-0.405**	-0.416**		-0.385**	-0.393**		-0.298**	-0.318**		-0.289**	-0.308**		-0.404**	-0.430**		-0.371**	-0.395**		-0.554**	-0.585**		-0.484**	-0.516**		-0.455**	-0.494**		-0.384**	-0.427**	
	(0.174)	(0.176)		(0.162)	(0.163)		(0.129)	(0.130)		(0.121)	(0.122)		(0.114)	(0.115)		(0.110)	(0.110)		(0.113)	(0.114)		(0.108)	(0.109)		(0.121)	(0.122)		(0.114)	(0.115)		(0.134)	(0.135)		(0.128)	(0.129)	
height	-0.00525**			-0.00621**			-0.00597**			-0.00688**			-0.00585**			-0.00663**			-0.00593**			-0.00702**			-0.00526**			-0.00617**			-0.00389**			-0.00442**		
	(0.00171)			(0.00158)			(0.00130)			(0.00121)			(0.00119)			(0.00113)			(0.00122)			(0.00116)			(0.00134)			(0.00127)			(0.00150)			(0.00144)		
bmi	-0.0536**			-0.0488**			-0.0539**			-0.0509**			-0.0556**			-0.0558**			-0.0593**			-0.0621**			-0.0610**			-0.0657**			-0.0557**			-0.0626**		
	(0.00339)			(0.00292)			(0.00243)			(0.00221)			(0.00215)			(0.00207)			(0.00224)			(0.00210)			(0.00248)			(0.00223)			(0.00289)			(0.00251)		
malec	-0.0126	-0.0120	-0.00389	0.0117	0.0136	0.0275	-0.0148	-0.0119	0.00791	-0.000606	0.00299	0.0224	-0.0432**	-0.0405**	-0.0184	-0.0342*	-0.0309*	-0.0100	-0.0690**	-0.0645**	-0.0497**	-0.0647**	-0.0597**	-0.0459**	-0.0789**	-0.0731**	-0.0608**	-0.0807**	-0.0745**	-0.0636**	-0.0783**	-0.0738**	-0.0647**	-0.0827**	-0.0776**	-0.0692**
	(0.0216)	(0.0219)	(0.0237)	(0.0193)	(0.0193)	(0.0202)	(0.0160)	(0.0161)	(0.0172)	(0.0148)	(0.0148)	(0.0154)	(0.0144)	(0.0145)	(0.0152)	(0.0137)	(0.0138)	(0.0143)	(0.0147)	(0.0149)	(0.0154)	(0.0141)	(0.0142)	(0.0146)	(0.0161)	(0.0162)	(0.0167)	(0.0153)	(0.0154)	(0.0157)	(0.0181)	(0.0182)	(0.0185)	(0.0174)	(0.0175)	(0.0179)
agemay	-0.0253**	-0.0271**	-0.0522**	-0.0163**	-0.0174**	-0.0308**	-0.0200**	-0.0211**	-0.0377**	-0.00755**	-0.00783**	-0.0165**	-0.0148**	-0.0149**	-0.0238**	-0.00328	-0.00277	-0.00715**	-0.0179**	-0.0178**	-0.0212**	-0.00329	-0.00205	-0.00258	-0.0247**	-0.0231**	-0.0226**	-0.00526*	-0.00319	-0.00126	-0.0316**	-0.0293**	-0.0249**	-0.0124**	-0.00979**	-0.00589*
	(0.00395)	(0.00400)	(0.00584)	(0.00290)	(0.00291)	(0.00297)	(0.00353)	(0.00357)	(0.00449)	(0.00218)	(0.00219)	(0.00225)	(0.00311)	(0.00313)	(0.00354)	(0.00200)	(0.00201)	(0.00206)	(0.00328)	(0.00331)	(0.00352)	(0.00204)	(0.00205)	(0.00210)	(0.00398)	(0.00402)	(0.00416)	(0.00223)	(0.00224)	(0.00229)	(0.00436)	(0.00442)	(0.00446)	(0.00256)	(0.00257)	(0.00262)
educf_11plus				-0.631**	-0.765**											-0.776**	-0.942**																			
				(0.0556)	(0.0553)											(0.0515)	(0.0514)																			
borddummy2							0.0187	0.0325	0.180	-0.384**	-0.396**	-0.383**	-0.205**	-0.200**	-0.121	-0.473**	-0.484**	-0.477**	-0.319**	-0.311**	-0.265**	-0.553**	-0.562**	-0.556**	-0.243**	-0.247**	-0.231**	-0.483**	-0.492**	-0.492**	-0.156**	-0.159**	-0.158**	-0.322**	-0.326**	-0.324**
							(0.0879)	(0.0889)	(0.101)	(0.0165)	(0.0165)	(0.0172)	(0.0568)	(0.0572)	(0.0626)	(0.0181)	(0.0181)	(0.0187)	(0.0462)	(0.0466)	(0.0493)	(0.0224)	(0.0226)	(0.0232)	(0.0512)	(0.0516)	(0.0534)	(0.0307)	(0.0309)	(0.0317)	(0.0574)	(0.0577)	(0.0588)	(0.0471)	(0.0473)	(0.0483)
borddummy3													-0.197	-0.182	-0.00680	-0.801**	-0.821**	-0.809**	-0.439**	-0.416**	-0.319**	-0.961**	-0.977**	-0.967**	-0.442**	-0.444**	-0.409**	-0.963**	-0.975**	-0.977**	-0.341**	-0.342**	-0.349**	-0.724**	-0.727**	-0.729**
													(0.123)	(0.124)	(0.136)	(0.0214)	(0.0215)	(0.0222)	(0.0926)	(0.0934)	(0.0989)	(0.0244)	(0.0245)	(0.0252)	(0.0922)	(0.0928)	(0.0962)	(0.0312)	(0.0314)	(0.0322)	(0.0838)	(0.0843)	(0.0859)	(0.0457)	(0.0460)	(0.0469)
borddummy4																			-0.453**	-0.416**	-0.266	-1.314**	-1.342**	-1.335**	-0.563**	-0.567**	-0.511**	-1.396**	-1.417**	-1.419**	-0.635**	-0.641**	-0.654**	-1.227**	-1.237**	-1.241**
																			(0.150)	(0.151)	(0.160)	(0.0283)	(0.0285)	(0.0292)	(0.142)	(0.143)	(0.149)	(0.0340)	(0.0342)	(0.0350)	(0.117)	(0.118)	(0.120)	(0.0471)	(0.0473)	(0.0483)
borddummy5																									-0.483*	-0.486*		-1.706**	-1.735**		-0.755**	-0.766**		-1.606**	-1.622**	
																									(0.206)	(0.208)		(0.0385)	(0.0388)		(0.162)	(0.163)		(0.0503)	(0.0506)	
borddummy6																															-0.730**	-0.744**		-1.901**	-1.922**	
																															(0.219)	(0.220)		(0.0550)	(0.0553)	
Constant	-0.421	-2.558**	-0.850	1.847	-0.240	0.436	-0.384	-2.652**	-1.013*	-0.651	-2.997**	-1.274	-0.535	-2.865**	-1.348**	-0.187	-2.519	-1.753	0.0763	-2.298**	-0.827	1.025	-1.712	-0.00929	1.081	-1.326*	0.0399	3.026	0.394	2.021	1.385*	0.974	0.0943	4.429**	2.305	4.206**
	(0.450)	(0.358)	(0.499)	(22,080)	(22,161)	(23,113)	(0.384)	(0.333)	(0.426)	(1.100)	(1.085)	(1.126)	(0.369)	(0.335)	(0.395)	(1.364)	(1.358)	(1.403)	(0.416)	(0.401)	(0.442)	(21,487)	(21,616)	(22,218)	(0.564)	(0.560)	(0.604)	(14,146)	(14,237)	(14,581)	(0.682)	(0.706)	(0.704)	(1.196)	(1.180)	(1.201)
																																				
Observations	36,294	36,294	36,294	36,294	36,294	36,294	63,897	63,897	63,897	63,897	63,897	63,897	77,390	77,390	77,390	77,390	77,390	77,390	77,165	77,165	77,165	77,165	77,165	77,165	68,062	68,062	68,062	68,062	68,062	68,062	53,810	53,810	53,810	53,810	53,810	53,810
R-squared	0.359	0.344	0.224	0.441	0.437	0.387	0.345	0.330	0.230	0.418	0.413	0.367	0.345	0.334	0.263	0.395	0.389	0.348	0.324	0.309	0.254	0.377	0.369	0.334	0.302	0.291	0.251	0.373	0.365	0.333	0.322	0.315	0.289	0.373	0.366	0.338
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
