	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	0.0882	0.0795	-0.141	0.251**	0.253**	0.414**	0.146	0.150	-0.0489	0.276**	0.278**	0.445**	-0.193	-0.205	-0.183	0.274**	0.277**	0.423**	-0.256	-0.359	-0.400	0.267**	0.269**	0.387**	-0.0776	-0.0847	-0.0790	0.273**	0.274**	0.367**	0.244	0.307	0.458	0.258**	0.260**	0.327**
	(0.195)	(0.198)	(0.275)	(0.00938)	(0.00937)	(0.00919)	(0.176)	(0.175)	(0.228)	(0.00886)	(0.00885)	(0.00875)	(0.187)	(0.190)	(0.207)	(0.0100)	(0.0100)	(0.0101)	(0.330)	(0.347)	(0.387)	(0.0119)	(0.0119)	(0.0122)	(0.169)	(0.170)	(0.181)	(0.0141)	(0.0142)	(0.0146)	(0.398)	(0.397)	(0.391)	(0.0174)	(0.0174)	(0.0180)
educf_0	1.804**	1.826**		1.588**	1.592**		1.774**	1.784**		1.624**	1.632**		2.064**	2.117**					1.945**	2.070**		1.350**	1.381**		1.858**	1.894**		1.634**	1.663**		1.724**	1.744**		1.716**	1.772**	
	(0.263)	(0.272)		(0.0480)	(0.0476)		(0.207)	(0.212)		(0.0422)	(0.0418)		(0.179)	(0.187)					(0.238)	(0.257)		(0.0503)	(0.0501)		(0.140)	(0.141)		(0.0873)	(0.0871)		(0.262)	(0.264)		(0.128)	(0.128)	
educf_1_4	1.200**	1.215**		1.060**	1.063**		1.232**	1.241**		1.134**	1.140**		1.434**	1.477**		-0.489**	-0.492**		1.342**	1.441**		0.853**	0.880**		1.282**	1.316**		1.114**	1.142**		1.179**	1.206**		1.173**	1.227**	
	(0.170)	(0.176)		(0.0347)	(0.0342)		(0.138)	(0.142)		(0.0334)	(0.0329)		(0.123)	(0.129)		(0.0365)	(0.0365)		(0.174)	(0.188)		(0.0451)	(0.0449)		(0.119)	(0.119)		(0.0845)	(0.0843)		(0.214)	(0.216)		(0.126)	(0.126)	
educf_5_6	0.578**	0.586**		0.497**	0.498**		0.646**	0.651**		0.592**	0.596**		0.794**	0.819**		-0.998**	-1.010**		0.742**	0.800**		0.373**	0.387**		0.766**	0.782**		0.652**	0.664**		0.794**	0.812**		0.790**	0.826**	
	(0.102)	(0.105)		(0.0299)	(0.0296)		(0.0788)	(0.0814)		(0.0305)	(0.0303)		(0.0761)	(0.0795)		(0.0366)	(0.0365)		(0.107)	(0.115)		(0.0454)	(0.0454)		(0.103)	(0.104)		(0.0853)	(0.0854)		(0.173)	(0.174)		(0.128)	(0.128)	
educf_7_10	0.250**	0.253**		0.205**	0.204**		0.303**	0.304**		0.281**	0.281**		0.327**	0.338**		-1.362**	-1.382**		0.277**	0.299**					0.407**	0.409**		0.343**	0.343**		0.390*	0.388*		0.387**	0.401**	
	(0.0615)	(0.0631)		(0.0292)	(0.0291)		(0.0439)	(0.0448)		(0.0308)	(0.0308)		(0.0508)	(0.0518)		(0.0428)	(0.0426)		(0.0733)	(0.0764)					(0.0985)	(0.0989)		(0.0913)	(0.0915)		(0.175)	(0.176)		(0.136)	(0.136)	
poor1	0.380**	0.407**		0.296**	0.314**		0.355**	0.375**		0.300**	0.317**		0.472**	0.513**		0.328**	0.355**		0.493**	0.564**		0.349**	0.387**		0.425**	0.477**		0.335**	0.384**		0.304**	0.344**		0.302**	0.352**	
	(0.106)	(0.112)		(0.0356)	(0.0353)		(0.0813)	(0.0851)		(0.0303)	(0.0300)		(0.0663)	(0.0706)		(0.0311)	(0.0308)		(0.0977)	(0.105)		(0.0347)	(0.0344)		(0.0590)	(0.0595)		(0.0392)	(0.0388)		(0.0803)	(0.0815)		(0.0454)	(0.0451)	
height	-0.000716			-5.93e-05			-0.00114			-0.000382			-0.00653**			-0.00376			-0.00856**			-0.00585*			-0.00444			-0.00417			-0.00390			-0.00388		
	(0.00194)			(0.00176)			(0.00198)			(0.00169)			(0.00234)			(0.00195)			(0.00297)			(0.00229)			(0.00279)			(0.00272)			(0.00332)			(0.00325)		
bmi	-0.0111**			-0.00926**			-0.0111**			-0.00935**			-0.0202**			-0.0153**			-0.0245**			-0.0223**			-0.0293**			-0.0284**			-0.0317**			-0.0316**		
	(0.00326)			(0.00235)			(0.00325)			(0.00223)			(0.00337)			(0.00258)			(0.00351)			(0.00304)			(0.00369)			(0.00358)			(0.00429)			(0.00415)		
malec	0.138**	0.139**	0.144**	0.139**	0.141**	0.145**	0.133**	0.135**	0.142**	0.133**	0.135**	0.139**	0.138**	0.141**	0.154**	0.138**	0.141**	0.149**	0.127**	0.131**	0.164**	0.124**	0.127**	0.148**	0.0819**	0.0879**	0.125**	0.0858**	0.0918**	0.124**	0.0615	0.0733*	0.0986*	0.0613	0.0738*	0.102**
	(0.0202)	(0.0202)	(0.0235)	(0.0199)	(0.0199)	(0.0212)	(0.0191)	(0.0191)	(0.0217)	(0.0190)	(0.0190)	(0.0202)	(0.0232)	(0.0233)	(0.0256)	(0.0219)	(0.0220)	(0.0233)	(0.0275)	(0.0283)	(0.0319)	(0.0258)	(0.0259)	(0.0273)	(0.0312)	(0.0313)	(0.0332)	(0.0304)	(0.0305)	(0.0319)	(0.0364)	(0.0366)	(0.0389)	(0.0363)	(0.0364)	(0.0379)
agemay	-0.0287**	-0.0290**	-0.0768**	-0.0229**	-0.0229**	-0.0415**	-0.0348**	-0.0347**	-0.0759**	-0.0301**	-0.0301**	-0.0475**	-0.0518**	-0.0519**	-0.0726**	-0.0344**	-0.0341**	-0.0441**	-0.0535**	-0.0564**	-0.0665**	-0.0340**	-0.0331**	-0.0347**	-0.0443**	-0.0434**	-0.0427**	-0.0307**	-0.0295**	-0.0251**	-0.0334*	-0.0276	-0.0155	-0.0328**	-0.0295**	-0.0206**
	(0.00743)	(0.00751)	(0.0178)	(0.00266)	(0.00266)	(0.00273)	(0.00693)	(0.00687)	(0.0134)	(0.00262)	(0.00262)	(0.00271)	(0.00770)	(0.00776)	(0.0103)	(0.00312)	(0.00312)	(0.00327)	(0.0129)	(0.0134)	(0.0162)	(0.00367)	(0.00368)	(0.00384)	(0.00792)	(0.00793)	(0.00853)	(0.00433)	(0.00433)	(0.00452)	(0.0169)	(0.0167)	(0.0160)	(0.00540)	(0.00540)	(0.00559)
borddummy2							0.0594	0.0530	0.274*	-0.000807	-0.00571	0.00856	0.157	0.154	0.215*	-0.0432	-0.0505	-0.0613*	0.129	0.160	0.210	-0.0792	-0.0887*	-0.110*	0.0326	0.0226	0.0463	-0.104	-0.117	-0.132*	-0.0594	-0.0907	-0.144	-0.0640	-0.0752	-0.101
							(0.0843)	(0.0829)	(0.125)	(0.0208)	(0.0207)	(0.0220)	(0.0858)	(0.0864)	(0.100)	(0.0290)	(0.0290)	(0.0308)	(0.138)	(0.144)	(0.165)	(0.0419)	(0.0420)	(0.0443)	(0.0918)	(0.0921)	(0.0993)	(0.0625)	(0.0627)	(0.0657)	(0.163)	(0.163)	(0.163)	(0.0984)	(0.0988)	(0.103)
borddummy3													0.367*	0.361*	0.478*	-0.0751*	-0.0905**	-0.127**	0.277	0.344	0.426	-0.161**	-0.180**	-0.243**	0.0136	-0.00456	0.00636	-0.259**	-0.283**	-0.343**	-0.116	-0.182	-0.311	-0.126	-0.148	-0.221*
													(0.180)	(0.181)	(0.210)	(0.0332)	(0.0331)	(0.0351)	(0.280)	(0.293)	(0.333)	(0.0442)	(0.0442)	(0.0466)	(0.146)	(0.146)	(0.157)	(0.0624)	(0.0625)	(0.0655)	(0.294)	(0.292)	(0.287)	(0.0952)	(0.0955)	(0.0993)
educf_11plus																-1.637**	-1.662**					-0.233**	-0.241**													
																(0.0491)	(0.0487)					(0.0638)	(0.0639)													
borddummy4																			0.467	0.573	0.699	-0.241**	-0.274**	-0.379**	0.0219	-0.00628	-0.00677	-0.405**	-0.442**	-0.551**	-0.346	-0.448	-0.631	-0.361**	-0.396**	-0.488**
																			(0.449)	(0.470)	(0.534)	(0.0501)	(0.0500)	(0.0526)	(0.217)	(0.217)	(0.231)	(0.0664)	(0.0664)	(0.0695)	(0.447)	(0.445)	(0.437)	(0.0969)	(0.0971)	(0.101)
borddummy5																									0.148	0.114		-0.480**	-0.527**		-0.448	-0.593		-0.470**	-0.518**	
																									(0.311)	(0.312)		(0.0740)	(0.0740)		(0.634)	(0.630)		(0.103)	(0.103)	
borddummy6																															-0.595	-0.788		-0.624**	-0.689**	
																															(0.839)	(0.834)		(0.111)	(0.111)	
Constant	-0.456	-0.832	1.369	2.424**	2.160**	2.410**	-1.062	-1.544**	0.941	1.339*	1.045	1.564**	1.053	-0.457	1.638	4.481**	3.515**	0.477	1.819	0.308	2.230	4.196**	2.697**	1.247	0.451	-1.009	0.547	2.330**	0.937	0.843	-1.153	-3.153	-2.863	-2.140**	-3.720**	-3.970**
	(0.772)	(0.545)	(1.045)	(0.432)	(0.315)	(0.334)	(0.833)	(0.563)	(0.973)	(0.630)	(0.564)	(0.599)	(1.010)	(0.745)	(0.907)	(0.632)	(0.540)	(0.573)	(1.886)	(1.623)	(2.036)	(0.754)	(0.649)	(0.697)	(1.107)	(0.980)	(1.130)	(0.837)	(0.701)	(0.729)	(2.632)	(2.419)	(2.556)	(0.728)	(0.480)	(0.484)
																																				
Observations	15,786	15,786	15,786	15,786	15,786	15,786	20,602	20,602	20,602	20,602	20,602	20,602	17,973	17,973	17,973	17,973	17,973	17,973	14,542	14,542	14,542	14,542	14,542	14,542	11,352	11,352	11,352	11,352	11,352	11,352	8,377	8,377	8,377	8,377	8,377	8,377
R-squared	0.367	0.365	0.134	0.379	0.378	0.296	0.368	0.368	0.182	0.375	0.374	0.291	0.292	0.285	0.142	0.368	0.367	0.284	0.276	0.235	0.080	0.361	0.358	0.284	0.327	0.322	0.235	0.362	0.358	0.293	0.361	0.356	0.297	0.361	0.357	0.302
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
