	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	-0.00862	-0.00558	0.00556	-0.00694**	-0.00765**	-0.0278**	0.0141	0.0174	0.0368*	-0.00810**	-0.00884**	-0.0273**	-0.00901	-0.00613	0.00140	-0.0111**	-0.0117**	-0.0272**	0.00546	0.0136	0.0197	-0.0119**	-0.0123**	-0.0242**	0.0298*	0.0319*	0.0364*	-0.0121**	-0.0122**	-0.0216**	-0.0256	-0.0232	-0.0276	-0.0142**	-0.0138**	-0.0212**
	(0.0183)	(0.0184)	(0.0197)	(0.000928)	(0.000929)	(0.000927)	(0.0143)	(0.0144)	(0.0157)	(0.000792)	(0.000793)	(0.000799)	(0.0127)	(0.0127)	(0.0135)	(0.000821)	(0.000823)	(0.000835)	(0.0138)	(0.0139)	(0.0145)	(0.000914)	(0.000917)	(0.000934)	(0.0141)	(0.0142)	(0.0146)	(0.00106)	(0.00107)	(0.00109)	(0.0152)	(0.0153)	(0.0155)	(0.00128)	(0.00128)	(0.00131)
educf_0	-0.239**	-0.260**		-0.153**	-0.158**		-0.257**	-0.281**		-0.204**	-0.214**		-0.254**	-0.282**		-0.206**	-0.218**		-0.279**	-0.311**		-0.249**	-0.267**		-0.302**	-0.331**		-0.285**	-0.313**		-0.301**	-0.331**		-0.249**	-0.266**	
	(0.0168)	(0.0174)		(0.00361)	(0.00361)		(0.0114)	(0.0118)		(0.00309)	(0.00308)		(0.00904)	(0.00930)		(0.00317)	(0.00316)		(0.00911)	(0.00924)		(0.00376)	(0.00373)		(0.0104)	(0.0104)		(0.00862)	(0.00860)		(0.0130)	(0.0130)		(0.00542)	(0.00540)	
educf_1_4	-0.0857**	-0.102**					-0.106**	-0.125**		-0.0559**	-0.0611**		-0.106**	-0.127**		-0.0581**	-0.0640**		-0.132**	-0.157**		-0.104**	-0.116**		-0.162**	-0.185**		-0.149**	-0.171**		-0.173**	-0.198**		-0.120**	-0.132**	
	(0.0143)	(0.0148)					(0.00976)	(0.0101)		(0.00337)	(0.00338)		(0.00794)	(0.00813)		(0.00344)	(0.00344)		(0.00837)	(0.00847)		(0.00402)	(0.00402)		(0.00990)	(0.00993)		(0.00879)	(0.00878)		(0.0127)	(0.0127)		(0.00573)	(0.00573)	
educf_5_6	-0.0294**	-0.0399**		0.0566**	0.0616**		-0.0452**	-0.0575**					-0.0472**	-0.0620**					-0.0648**	-0.0824**		-0.0394**	-0.0449**		-0.0831**	-0.0993**		-0.0752**	-0.0909**		-0.105**	-0.123**		-0.0507**	-0.0560**	
	(0.0101)	(0.0104)		(0.00410)	(0.00410)		(0.00695)	(0.00715)					(0.00622)	(0.00633)					(0.00728)	(0.00733)		(0.00433)	(0.00434)		(0.00943)	(0.00946)		(0.00900)	(0.00902)		(0.0126)	(0.0126)		(0.00635)	(0.00636)	
educf_7_10	0.00175	-0.00392		0.0882**	0.0971**		-0.00273	-0.00953		0.0386**	0.0432**		-0.00587	-0.0151**		0.0411**	0.0462**		-0.0240**	-0.0354**					-0.0450**	-0.0557**		-0.0386**	-0.0489**		-0.0540**	-0.0669**				
	(0.00631)	(0.00644)		(0.00397)	(0.00396)		(0.00503)	(0.00512)		(0.00343)	(0.00343)		(0.00537)	(0.00542)		(0.00373)	(0.00373)		(0.00694)	(0.00698)					(0.00942)	(0.00946)		(0.00913)	(0.00915)		(0.0128)	(0.0128)				
poor1	-0.0937**	-0.103**		-0.0943**	-0.102**		-0.111**	-0.122**		-0.104**	-0.112**		-0.105**	-0.115**		-0.104**	-0.113**		-0.107**	-0.119**		-0.102**	-0.112**		-0.110**	-0.120**		-0.1000**	-0.110**		-0.0953**	-0.105**		-0.0973**	-0.107**	
	(0.00782)	(0.00805)		(0.00435)	(0.00434)		(0.00616)	(0.00633)		(0.00356)	(0.00356)		(0.00523)	(0.00533)		(0.00357)	(0.00357)		(0.00548)	(0.00554)		(0.00390)	(0.00390)		(0.00550)	(0.00551)		(0.00438)	(0.00438)		(0.00580)	(0.00578)		(0.00512)	(0.00513)	
height	0.00191**			0.00191**			0.00189**			0.00184**			0.00169**			0.00169**			0.00159**			0.00157**			0.00129**			0.00127**			0.00123**			0.00124**		
	(0.000188)			(0.000183)			(0.000157)			(0.000153)			(0.000158)			(0.000156)			(0.000170)			(0.000169)			(0.000191)			(0.000190)			(0.000219)			(0.000219)		
