	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	0.0421	0.0309	-0.0516	0.398**	0.401**	0.514**	-0.000770	-0.0120	-0.137	0.419**	0.422**	0.527**	0.0329	0.0222	-0.0403	0.418**	0.421**	0.510**	-0.0484	-0.0865	-0.116	0.405**	0.407**	0.477**	-0.151*	-0.162*	-0.191*	0.387**	0.388**	0.443**	0.0799	0.0673	0.0988	0.368**	0.366**	0.410**
	(0.0924)	(0.0933)	(0.105)	(0.00452)	(0.00453)	(0.00454)	(0.0751)	(0.0758)	(0.0865)	(0.00384)	(0.00384)	(0.00389)	(0.0647)	(0.0651)	(0.0713)	(0.00396)	(0.00397)	(0.00406)	(0.0710)	(0.0719)	(0.0762)	(0.00444)	(0.00445)	(0.00457)	(0.0726)	(0.0730)	(0.0765)	(0.00518)	(0.00519)	(0.00533)	(0.0767)	(0.0769)	(0.0787)	(0.00624)	(0.00626)	(0.00642)
educf_0	1.622**	1.704**		1.277**	1.332**		1.648**	1.740**		1.306**	1.371**		1.661**	1.767**		1.411**	1.497**		1.801**	1.941**		1.373**	1.444**		1.959**	2.090**		1.723**	1.846**		1.911**	2.042**		1.354**	1.430**	
	(0.0919)	(0.0960)		(0.0208)	(0.0205)		(0.0642)	(0.0672)		(0.0190)	(0.0187)		(0.0481)	(0.0499)		(0.0230)	(0.0227)		(0.0479)	(0.0491)		(0.0185)	(0.0183)		(0.0543)	(0.0546)		(0.0424)	(0.0423)		(0.0657)	(0.0654)		(0.0268)	(0.0267)	
educf_1_4	0.923**	0.985**		0.633**	0.673**		0.962**	1.032**		0.678**	0.727**		0.964**	1.048**		0.760**	0.827**		1.103**	1.215**		0.719**	0.767**		1.257**	1.362**		1.072**	1.170**		1.244**	1.351**		0.715**	0.767**	
	(0.0785)	(0.0816)		(0.0222)	(0.0220)		(0.0549)	(0.0572)		(0.0201)	(0.0200)		(0.0421)	(0.0435)		(0.0240)	(0.0239)		(0.0437)	(0.0446)		(0.0198)	(0.0197)		(0.0513)	(0.0515)		(0.0432)	(0.0432)		(0.0638)	(0.0636)		(0.0283)	(0.0283)	
educf_5_6	0.425**	0.463**		0.229**	0.254**		0.447**	0.492**		0.265**	0.297**		0.460**	0.517**		0.339**	0.385**		0.570**	0.648**		0.265**	0.288**		0.715**	0.790**		0.603**	0.674**		0.751**	0.829**		0.254**	0.277**	
	(0.0553)	(0.0572)		(0.0216)	(0.0215)		(0.0385)	(0.0399)		(0.0201)	(0.0200)		(0.0323)	(0.0331)		(0.0244)	(0.0244)		(0.0373)	(0.0379)		(0.0213)	(0.0213)		(0.0484)	(0.0486)		(0.0443)	(0.0443)		(0.0630)	(0.0630)		(0.0314)	(0.0314)	
educf_7_10	0.0753*	0.0956**		-0.0319	-0.0190		0.0934**	0.118**		-0.0108	0.00653		0.100**	0.136**		0.0309	0.0599*		0.268**	0.318**					0.457**	0.507**		0.367**	0.414**		0.495**	0.549**				
	(0.0346)	(0.0355)		(0.0201)	(0.0201)		(0.0274)	(0.0281)		(0.0194)	(0.0194)		(0.0276)	(0.0279)		(0.0244)	(0.0244)		(0.0354)	(0.0358)					(0.0482)	(0.0484)		(0.0449)	(0.0450)		(0.0637)	(0.0638)				
poor1	0.721**	0.756**		0.587**	0.612**		0.815**	0.855**		0.659**	0.687**		0.817**	0.858**		0.694**	0.727**		0.834**	0.889**		0.702**	0.743**		0.814**	0.860**		0.684**	0.726**		0.705**	0.749**		0.651**	0.694**	
	(0.0411)	(0.0426)		(0.0215)	(0.0215)		(0.0333)	(0.0345)		(0.0176)	(0.0175)		(0.0273)	(0.0279)		(0.0175)	(0.0175)		(0.0285)	(0.0291)		(0.0191)	(0.0191)		(0.0284)	(0.0286)		(0.0216)	(0.0216)		(0.0291)	(0.0291)		(0.0252)	(0.0252)	
height	-0.00510**			-0.00401**			-0.00576**			-0.00455**			-0.00600**			-0.00523**			-0.00648**			-0.00587**			-0.00549**			-0.00517**			-0.00456**			-0.00443**		
	(0.000976)			(0.000908)			(0.000814)			(0.000758)			(0.000798)			(0.000768)			(0.000862)			(0.000831)			(0.000975)			(0.000938)			(0.00110)			(0.00109)		
bmi	-0.0234**			-0.0192**			-0.0265**			-0.0219**			-0.0299**			-0.0266**			-0.0363**			-0.0343**			-0.0390**			-0.0383**			-0.0380**			-0.0388**		
	(0.00177)			(0.00135)			(0.00143)			(0.00113)			(0.00131)			(0.00116)			(0.00134)			(0.00126)			(0.00147)			(0.00141)			(0.00165)			(0.00162)		
malec	-0.0354*	-0.0348*	-0.0377*	-0.000423	0.00126	0.0168	-0.0547**	-0.0531**	-0.0423**	-0.0249**	-0.0227*	-0.000574	-0.0962**	-0.0936**	-0.0650**	-0.0808**	-0.0781**	-0.0491**	-0.130**	-0.127**	-0.0991**	-0.120**	-0.117**	-0.0911**	-0.159**	-0.154**	-0.131**	-0.154**	-0.149**	-0.129**	-0.169**	-0.164**	-0.148**	-0.168**	-0.163**	-0.148**
	(0.0144)	(0.0144)	(0.0158)	(0.0108)	(0.0108)	(0.0113)	(0.0108)	(0.0108)	(0.0116)	(0.00905)	(0.00906)	(0.00944)	(0.00977)	(0.00979)	(0.0103)	(0.00918)	(0.00920)	(0.00958)	(0.0104)	(0.0105)	(0.0109)	(0.00999)	(0.0100)	(0.0104)	(0.0117)	(0.0117)	(0.0122)	(0.0112)	(0.0112)	(0.0116)	(0.0131)	(0.0132)	(0.0135)	(0.0130)	(0.0130)	(0.0134)
agemay	-0.0239**	-0.0257**	-0.0659**	-0.0131**	-0.0142**	-0.0347**	-0.0222**	-0.0236**	-0.0578**	-0.00982**	-0.0106**	-0.0276**	-0.0198**	-0.0207**	-0.0399**	-0.00796**	-0.00832**	-0.0188**	-0.0223**	-0.0233**	-0.0318**	-0.00751**	-0.00719**	-0.0109**	-0.0287**	-0.0280**	-0.0301**	-0.00961**	-0.00857**	-0.00725**	-0.0257**	-0.0245**	-0.0202**	-0.0144**	-0.0127**	-0.00805**
	(0.00322)	(0.00330)	(0.00603)	(0.00156)	(0.00156)	(0.00157)	(0.00260)	(0.00265)	(0.00419)	(0.00131)	(0.00131)	(0.00134)	(0.00241)	(0.00243)	(0.00308)	(0.00133)	(0.00133)	(0.00137)	(0.00275)	(0.00278)	(0.00311)	(0.00144)	(0.00145)	(0.00149)	(0.00308)	(0.00309)	(0.00327)	(0.00163)	(0.00163)	(0.00168)	(0.00359)	(0.00361)	(0.00367)	(0.00192)	(0.00193)	(0.00198)
borddummy2							0.0278	0.0283	0.210**	-0.218**	-0.224**	-0.211**	-0.111**	-0.113**	-0.0258	-0.301**	-0.309**	-0.308**	-0.198**	-0.189**	-0.145**	-0.386**	-0.393**	-0.395**	-0.155**	-0.159**	-0.138**	-0.347**	-0.355**	-0.366**	-0.148**	-0.150**	-0.160**	-0.229**	-0.235**	-0.248**
							(0.0451)	(0.0453)	(0.0559)	(0.00990)	(0.00991)	(0.0103)	(0.0342)	(0.0343)	(0.0388)	(0.0120)	(0.0121)	(0.0126)	(0.0336)	(0.0340)	(0.0365)	(0.0159)	(0.0160)	(0.0166)	(0.0349)	(0.0350)	(0.0368)	(0.0226)	(0.0226)	(0.0234)	(0.0412)	(0.0414)	(0.0425)	(0.0348)	(0.0349)	(0.0359)
borddummy3													-0.0822	-0.0847	0.102	-0.504**	-0.519**	-0.523**	-0.260**	-0.239**	-0.152*	-0.675**	-0.690**	-0.704**	-0.310**	-0.316**	-0.271**	-0.725**	-0.740**	-0.763**	-0.359**	-0.362**	-0.381**	-0.544**	-0.555**	-0.582**
													(0.0721)	(0.0723)	(0.0822)	(0.0139)	(0.0139)	(0.0145)	(0.0671)	(0.0679)	(0.0732)	(0.0171)	(0.0171)	(0.0177)	(0.0606)	(0.0609)	(0.0642)	(0.0228)	(0.0228)	(0.0236)	(0.0599)	(0.0601)	(0.0616)	(0.0337)	(0.0338)	(0.0348)
borddummy4																			-0.238*	-0.207	-0.0753	-0.915**	-0.942**	-0.973**	-0.383**	-0.394**	-0.327**	-1.050**	-1.075**	-1.117**	-0.659**	-0.666**	-0.692**	-0.953**	-0.971**	-1.010**
																			(0.108)	(0.109)	(0.117)	(0.0196)	(0.0196)	(0.0203)	(0.0933)	(0.0936)	(0.0987)	(0.0246)	(0.0246)	(0.0254)	(0.0854)	(0.0857)	(0.0879)	(0.0346)	(0.0347)	(0.0357)
educf_11plus																						-0.198**	-0.239**											-0.453**	-0.507**	
																						(0.0327)	(0.0328)											(0.0621)	(0.0622)	
borddummy5																									-0.318*	-0.334*		-1.286**	-1.322**		-0.837**	-0.847**		-1.257**	-1.284**	
																									(0.133)	(0.134)		(0.0276)	(0.0276)		(0.118)	(0.118)		(0.0369)	(0.0370)	
borddummy6																															-0.910**	-0.925**		-1.482**	-1.520**	
																															(0.157)	(0.158)		(0.0401)	(0.0402)	
Constant	0.861*	-0.454	0.776	8.132	6.975	6.764	0.718	-0.814**	0.434	1.728	0.419	0.0601	0.513	-1.148**	-0.0906	-1.091	4.047**	4.935**	0.835	-0.948*	0.136	-6.764	-10.47	-11.56	1.371**	-0.503	0.764	-1.820	-3.700	-3.958	-0.000893	-1.708**	-0.751	8.568	6.931	8.451
	(0.401)	(0.327)	(0.419)	(29,504)	(29,522)	(30,855)	(0.369)	(0.310)	(0.380)	(10,499)	(10,510)	(10,960)	(0.367)	(0.322)	(0.368)	(1.379)	(1.375)	(1.432)	(0.447)	(0.411)	(0.450)	(45,154)	(45,073)	(46,891)	(0.528)	(0.497)	(0.534)	(12,314)	(12,348)	(12,760)	(0.612)	(0.585)	(0.611)	(26,317)	(26,392)	(27,153)
																																				
Observations	104,332	104,332	104,332	104,332	104,332	104,332	165,452	165,452	165,452	165,452	165,452	165,452	178,312	178,312	178,312	178,312	178,312	178,312	163,655	163,655	163,655	163,655	163,655	163,655	136,931	136,931	136,931	136,931	136,931	136,931	105,197	105,197	105,197	105,197	105,197	105,197
R-squared	0.400	0.396	0.289	0.434	0.433	0.381	0.366	0.361	0.242	0.409	0.407	0.355	0.354	0.350	0.264	0.387	0.385	0.333	0.331	0.320	0.249	0.371	0.368	0.320	0.312	0.306	0.244	0.362	0.359	0.315	0.345	0.340	0.300	0.358	0.354	0.316
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
