	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
fert	-0.361	-0.245	-0.215	-0.232**	-0.247**	-0.427**	1.022	1.378	1.654	-0.241**	-0.258**	-0.425**	0.0252	-0.0944	-0.0785	-0.216**	-0.231**	-0.378**	-0.304	-0.162	-0.0351	-0.186**	-0.196**	-0.311**	0.490	0.526	0.457	-0.153**	-0.152**	-0.247**	0.0580	0.0851	0.154	-0.130**	-0.122**	-0.198**
	(0.630)	(0.645)	(0.695)	(0.0166)	(0.0169)	(0.0181)	(0.677)	(0.794)	(0.998)	(0.0129)	(0.0132)	(0.0141)	(0.426)	(0.426)	(0.471)	(0.0121)	(0.0123)	(0.0132)	(0.253)	(0.260)	(0.290)	(0.0126)	(0.0128)	(0.0136)	(0.408)	(0.417)	(0.434)	(0.0138)	(0.0140)	(0.0149)	(0.222)	(0.225)	(0.241)	(0.0164)	(0.0166)	(0.0176)
educf_0	-5.089**	-6.221**		-5.350**	-6.217**		-7.861**	-9.520**		-5.507**	-6.274**		-5.741**	-6.333**		-5.370**	-6.110**		-5.006**	-5.857**		-2.550**	-2.821**		-5.616**	-6.226**		-4.961**	-5.538**		-5.088**	-5.638**		-4.954**	-5.497**	
	(1.285)	(1.391)		(0.184)	(0.183)		(1.275)	(1.590)		(0.150)	(0.150)		(0.673)	(0.710)		(0.149)	(0.150)		(0.336)	(0.355)		(0.0745)	(0.0754)		(0.457)	(0.464)		(0.181)	(0.183)		(0.278)	(0.276)		(0.228)	(0.230)	
educf_1_4	-3.589**	-4.532**		-3.828**	-4.528**		-6.213**	-7.645**		-4.015**	-4.638**		-4.318**	-4.783**		-3.968**	-4.574**		-3.694**	-4.410**		-1.230**	-1.377**		-4.251**	-4.747**		-3.639**	-4.104**		-3.778**	-4.236**		-3.653**	-4.104**	
	(1.185)	(1.274)		(0.189)	(0.190)		(1.193)	(1.475)		(0.154)	(0.154)		(0.638)	(0.668)		(0.153)	(0.155)		(0.322)	(0.338)		(0.0818)	(0.0832)		(0.433)	(0.441)		(0.184)	(0.187)		(0.274)	(0.274)		(0.232)	(0.234)	
educf_5_6	-2.489**	-3.225**		-2.672**	-3.222**		-4.506**	-5.636**		-2.792**	-3.286**		-3.010**	-3.370**		-2.751**	-3.215**		-2.501**	-3.022**					-2.911**	-3.270**		-2.476**	-2.813**		-2.598**	-2.934**		-2.514**	-2.846**	
	(0.913)	(0.983)		(0.195)	(0.197)		(0.939)	(1.162)		(0.159)	(0.160)		(0.484)	(0.508)		(0.157)	(0.160)		(0.260)	(0.272)					(0.340)	(0.346)		(0.189)	(0.192)		(0.257)	(0.259)		(0.237)	(0.240)	
