	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.00387	0.0153	0.0599	-0.0803**	-0.0830**	-0.138**	-0.00243	0.00933	0.0781*	-0.0823**	-0.0853**	-0.137**	-0.0162	-0.00863	0.0219	-0.0778**	-0.0807**	-0.125**	-0.0200	0.00187	0.0271	-0.0726**	-0.0749**	-0.110**	0.0373	0.0461	0.0649*	-0.0690**	-0.0703**	-0.0981**	-0.0364	-0.0271	-0.0284	-0.0664**	-0.0662**	-0.0881**
	(0.0387)	(0.0393)	(0.0456)	(0.00144)	(0.00145)	(0.00148)	(0.0284)	(0.0289)	(0.0343)	(0.00119)	(0.00119)	(0.00122)	(0.0244)	(0.0247)	(0.0277)	(0.00118)	(0.00119)	(0.00123)	(0.0243)	(0.0249)	(0.0271)	(0.00129)	(0.00129)	(0.00134)	(0.0249)	(0.0252)	(0.0270)	(0.00147)	(0.00147)	(0.00153)	(0.0250)	(0.0251)	(0.0263)	(0.00176)	(0.00177)	(0.00184)
educf_0	-0.844**	-0.912**		-0.753**	-0.801**		-0.841**	-0.913**		-0.764**	-0.816**		-0.845**	-0.918**		-0.514**	-0.545**		-0.870**	-0.956**		-0.673**	-0.720**		-0.946**	-1.024**		-0.885**	-0.955**		-0.915**	-0.990**		-0.650**	-0.694**	
	(0.0426)	(0.0451)		(0.00777)	(0.00767)		(0.0284)	(0.0304)		(0.00683)	(0.00677)		(0.0215)	(0.0228)		(0.00537)	(0.00536)		(0.0191)	(0.0202)		(0.00623)	(0.00620)		(0.0197)	(0.0202)		(0.0135)	(0.0135)		(0.0220)	(0.0220)		(0.00856)	(0.00854)	
educf_1_4	-0.544**	-0.594**		-0.469**	-0.503**		-0.541**	-0.595**		-0.477**	-0.516**		-0.542**	-0.598**		-0.221**	-0.237**		-0.579**	-0.645**		-0.389**	-0.421**		-0.650**	-0.711**		-0.603**	-0.658**		-0.631**	-0.692**		-0.370**	-0.400**	
	(0.0354)	(0.0373)		(0.00830)	(0.00826)		(0.0238)	(0.0252)		(0.00724)	(0.00722)		(0.0181)	(0.0191)		(0.00586)	(0.00588)		(0.0165)	(0.0173)		(0.00667)	(0.00668)		(0.0178)	(0.0181)		(0.0138)	(0.0138)		(0.0208)	(0.0208)		(0.00904)	(0.00906)	
educf_5_6	-0.292**	-0.322**		-0.244**	-0.264**		-0.297**	-0.330**		-0.258**	-0.281**		-0.305**	-0.341**					-0.339**	-0.382**		-0.160**	-0.174**		-0.403**	-0.444**		-0.374**	-0.411**		-0.409**	-0.451**		-0.152**	-0.165**	
	(0.0234)	(0.0245)		(0.00808)	(0.00808)		(0.0158)	(0.0167)		(0.00721)	(0.00722)		(0.0128)	(0.0134)					(0.0132)	(0.0136)		(0.00715)	(0.00719)		(0.0159)	(0.0161)		(0.0141)	(0.0142)		(0.0199)	(0.0200)		(0.00993)	(0.00998)	
educf_7_10	-0.117**	-0.132**		-0.0905**	-0.0997**		-0.119**	-0.135**		-0.0950**	-0.106**		-0.125**	-0.145**		0.170**	0.183**		-0.173**	-0.199**					-0.255**	-0.281**		-0.232**	-0.255**		-0.256**	-0.285**				
