	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.102	0.107	0.219	-0.0589**	-0.0602**	-0.138**	-0.0241	-0.0247	0.119	-0.0655**	-0.0674**	-0.146**	0.114	0.119	0.0924	-0.0665**	-0.0686**	-0.136**	-0.0214	0.0187	0.0335	-0.0599**	-0.0618**	-0.117**	-0.0435	-0.0337	-0.0344	-0.0598**	-0.0611**	-0.105**	-0.0604	-0.0956	-0.169	-0.0603**	-0.0610**	-0.0934**
	(0.0928)	(0.0940)	(0.133)	(0.00357)	(0.00358)	(0.00356)	(0.0763)	(0.0763)	(0.111)	(0.00308)	(0.00308)	(0.00311)	(0.0788)	(0.0798)	(0.0849)	(0.00327)	(0.00327)	(0.00335)	(0.112)	(0.117)	(0.132)	(0.00364)	(0.00365)	(0.00381)	(0.0594)	(0.0599)	(0.0648)	(0.00427)	(0.00429)	(0.00450)	(0.180)	(0.180)	(0.181)	(0.00531)	(0.00534)	(0.00559)
educf_0	-1.113**	-1.135**		-0.871**	-0.880**		-0.919**	-0.937**					-1.034**	-1.069**		-0.832**	-0.853**		-0.830**	-0.895**		-0.795**	-0.821**		-0.813**	-0.846**		-0.578**	-0.597**		-0.828**	-0.833**		-0.595**	-0.618**	
	(0.141)	(0.145)		(0.0210)	(0.0209)		(0.105)	(0.108)					(0.0906)	(0.0941)		(0.0185)	(0.0184)		(0.102)	(0.110)		(0.0224)	(0.0223)		(0.0535)	(0.0542)		(0.0216)	(0.0216)		(0.133)	(0.134)		(0.0274)	(0.0274)	
educf_1_4	-0.777**	-0.792**		-0.618**	-0.624**		-0.663**	-0.676**		0.237**	0.241**		-0.753**	-0.780**		-0.609**	-0.626**		-0.602**	-0.653**		-0.576**	-0.597**		-0.584**	-0.611**		-0.351**	-0.367**		-0.593**	-0.599**		-0.360**	-0.380**	
	(0.0929)	(0.0958)		(0.0153)	(0.0151)		(0.0706)	(0.0726)		(0.0151)	(0.0151)		(0.0648)	(0.0675)		(0.0161)	(0.0160)		(0.0781)	(0.0840)		(0.0209)	(0.0208)		(0.0456)	(0.0461)		(0.0202)	(0.0203)		(0.114)	(0.115)		(0.0264)	(0.0264)	
educf_5_6	-0.403**	-0.410**		-0.319**	-0.322**		-0.361**	-0.369**		0.522**	0.530**		-0.423**	-0.440**		-0.344**	-0.354**		-0.347**	-0.378**		-0.333**	-0.346**		-0.341**	-0.356**		-0.112**	-0.118**		-0.399**	-0.403**		-0.166**	-0.177**	
	(0.0501)	(0.0517)		(0.0133)	(0.0132)		(0.0390)	(0.0402)		(0.0148)	(0.0148)		(0.0385)	(0.0400)		(0.0157)	(0.0157)		(0.0479)	(0.0513)		(0.0209)	(0.0209)		(0.0361)	(0.0364)		(0.0209)	(0.0210)		(0.0812)	(0.0819)		(0.0275)	(0.0276)	
educf_7_10	-0.248**	-0.249**		-0.202**	-0.201**		-0.215**	-0.216**		0.659**	0.672**		-0.240**	-0.246**		-0.203**	-0.207**		-0.191**	-0.206**		-0.183**	-0.187**		-0.228**	-0.236**					-0.233**	-0.226**				
	(0.0299)	(0.0305)		(0.0130)	(0.0130)		(0.0229)	(0.0233)		(0.0162)	(0.0162)		(0.0236)	(0.0241)		(0.0164)	(0.0165)		(0.0331)	(0.0347)		(0.0221)	(0.0222)		(0.0356)	(0.0359)					(0.0857)	(0.0861)				
