	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0186	0.0197	0.0279	-0.0219**	-0.0226**	-0.0450**	-0.0193	-0.0168	0.00294	-0.0247**	-0.0255**	-0.0469**	0.00372	0.00461	0.0197	-0.0276**	-0.0284**	-0.0476**	0.00162	0.00842	0.0142	-0.0272**	-0.0281**	-0.0441**	0.0404	0.0417	0.0537*	-0.0264**	-0.0270**	-0.0401**	-0.0253	-0.0206	-0.0164	-0.0270**	-0.0272**	-0.0375**
	(0.0258)	(0.0260)	(0.0279)	(0.00130)	(0.00130)	(0.00129)	(0.0205)	(0.0206)	(0.0226)	(0.00113)	(0.00113)	(0.00113)	(0.0184)	(0.0186)	(0.0201)	(0.00121)	(0.00121)	(0.00123)	(0.0237)	(0.0241)	(0.0255)	(0.00139)	(0.00139)	(0.00142)	(0.0218)	(0.0220)	(0.0232)	(0.00166)	(0.00166)	(0.00170)	(0.0236)	(0.0237)	(0.0244)	(0.00201)	(0.00201)	(0.00206)
educf_0	-0.231**	-0.246**		-0.124**	-0.126**		-0.204**	-0.220**		-0.201**	-0.214**		-0.243**	-0.262**		-0.226**	-0.242**		-0.272**	-0.295**		-0.261**	-0.274**		-0.311**	-0.335**		-0.289**	-0.311**		-0.315**	-0.340**		-0.276**	-0.290**	
	(0.0225)	(0.0235)		(0.00518)	(0.00518)		(0.0152)	(0.0160)		(0.00484)	(0.00477)		(0.0118)	(0.0124)		(0.00601)	(0.00594)		(0.0133)	(0.0141)		(0.00576)	(0.00572)		(0.0143)	(0.0145)		(0.0122)	(0.0122)		(0.0182)	(0.0182)		(0.00878)	(0.00874)	
educf_1_4	-0.101**	-0.114**					-0.0830**	-0.0958**		-0.0799**	-0.0905**		-0.106**	-0.122**		-0.0925**	-0.106**		-0.133**	-0.151**		-0.124**	-0.133**		-0.172**	-0.191**		-0.158**	-0.175**		-0.187**	-0.207**		-0.148**	-0.157**	
	(0.0191)	(0.0200)					(0.0132)	(0.0138)		(0.00546)	(0.00542)		(0.0105)	(0.0110)		(0.00657)	(0.00653)		(0.0120)	(0.0125)		(0.00625)	(0.00623)		(0.0136)	(0.0137)		(0.0126)	(0.0126)		(0.0179)	(0.0179)		(0.00921)	(0.00921)	
educf_5_6	-0.0426**	-0.0496**		0.0490**	0.0535**		-0.0258**	-0.0332**		-0.0239**	-0.0300**		-0.0413**	-0.0504**		-0.0339**	-0.0420**		-0.0617**	-0.0731**		-0.0585**	-0.0623**		-0.0855**	-0.0985**		-0.0802**	-0.0922**		-0.112**	-0.127**		-0.0738**	-0.0774**	
	(0.0134)	(0.0139)		(0.00591)	(0.00590)		(0.00911)	(0.00944)		(0.00539)	(0.00538)		(0.00793)	(0.00813)		(0.00662)	(0.00662)		(0.00980)	(0.0100)		(0.00656)	(0.00656)		(0.0132)	(0.0132)		(0.0129)	(0.0129)		(0.0179)	(0.0179)		(0.00999)	(0.0100)	
educf_7_10	0.0105	0.00686		0.0919**	0.0990**		0.0258**	0.0219**		0.0267**	0.0236**		0.0215**	0.0161*		0.0247**	0.0199**		-0.000698	-0.00735					-0.0197	-0.0284*		-0.0175	-0.0256		-0.0383*	-0.0489**				
	(0.00778)	(0.00798)		(0.00570)	(0.00567)		(0.00634)	(0.00646)		(0.00520)	(0.00520)		(0.00698)	(0.00704)		(0.00669)	(0.00670)		(0.00944)	(0.00952)					(0.0135)	(0.0135)		(0.0133)	(0.0133)		(0.0183)	(0.0184)				
poor1	-0.141**	-0.147**		-0.129**	-0.134**		-0.139**	-0.146**		-0.137**	-0.143**		-0.147**	-0.154**		-0.138**	-0.144**		-0.145**	-0.154**		-0.137**	-0.144**		-0.148**	-0.156**		-0.133**	-0.140**		-0.128**	-0.136**		-0.128**	-0.135**	
	(0.00930)	(0.00966)		(0.00489)	(0.00488)		(0.00759)	(0.00789)		(0.00401)	(0.00400)		(0.00656)	(0.00678)		(0.00407)	(0.00406)		(0.00764)	(0.00794)		(0.00452)	(0.00451)		(0.00706)	(0.00716)		(0.00515)	(0.00514)		(0.00738)	(0.00742)		(0.00606)	(0.00605)	
height	0.00168**			0.00147**			0.00142**			0.00140**			0.00135**			0.00122**			0.00126**			0.00114**			0.000995**			0.000809**			0.000795*			0.000792*		
	(0.000286)			(0.000253)			(0.000235)			(0.000215)			(0.000240)			(0.000227)			(0.000274)			(0.000256)			(0.000308)			(0.000298)			(0.000352)			(0.000351)		
