	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	-0.0517	-0.0437	-0.0322	0.00949**	0.00913**	-0.00695**	0.0478*	0.0555*	0.0726**	0.00870**	0.00853**	-0.00473**	-0.0245	-0.0179	-0.01000	0.00371**	0.00399**	-0.00654**	-0.00208	0.00653	0.0167	0.00230	0.00317*	-0.00406**	0.0215	0.0247	0.0246	0.00181	0.00283	-0.00302	-0.0231	-0.0217	-0.0281	-0.00169	0.000206	-0.00481**
	(0.0319)	(0.0320)	(0.0337)	(0.00166)	(0.00167)	(0.00170)	(0.0227)	(0.0229)	(0.0245)	(0.00133)	(0.00134)	(0.00137)	(0.0193)	(0.0194)	(0.0203)	(0.00127)	(0.00128)	(0.00131)	(0.0176)	(0.0176)	(0.0183)	(0.00135)	(0.00136)	(0.00139)	(0.0206)	(0.0207)	(0.0212)	(0.00152)	(0.00153)	(0.00156)	(0.0204)	(0.0205)	(0.0208)	(0.00181)	(0.00182)	(0.00185)
educf_0	-0.270**	-0.329**		-0.263**	-0.280**		-0.362**	-0.424**		-0.241**	-0.259**		-0.301**	-0.364**		-0.320**	-0.379**		-0.309**	-0.367**		-0.234**	-0.251**		-0.326**	-0.370**		-0.230**	-0.246**		-0.314**	-0.358**		-0.220**	-0.236**	
	(0.0331)	(0.0335)		(0.00723)	(0.00722)		(0.0207)	(0.0209)		(0.00567)	(0.00566)		(0.0168)	(0.0166)		(0.0104)	(0.0103)		(0.0152)	(0.0148)		(0.00567)	(0.00567)		(0.0178)	(0.0175)		(0.00622)	(0.00622)		(0.0214)	(0.0212)		(0.00724)	(0.00724)	
educf_1_4	-0.0957**	-0.144**		-0.0797**	-0.0877**		-0.181**	-0.232**		-0.0654**	-0.0739**		-0.138**	-0.190**		-0.154**	-0.202**		-0.150**	-0.198**		-0.0741**	-0.0826**		-0.175**	-0.211**		-0.0805**	-0.0887**		-0.177**	-0.214**		-0.0818**	-0.0906**	
	(0.0291)	(0.0295)		(0.00794)	(0.00797)		(0.0181)	(0.0183)		(0.00623)	(0.00626)		(0.0152)	(0.0150)		(0.0106)	(0.0106)		(0.0145)	(0.0143)		(0.00621)	(0.00624)		(0.0173)	(0.0171)		(0.00682)	(0.00685)		(0.0211)	(0.0210)		(0.00791)	(0.00794)	
educf_5_6	-0.0269	-0.0662**					-0.109**	-0.150**					-0.0739**	-0.117**		-0.0857**	-0.126**		-0.0759**	-0.115**					-0.0924**	-0.120**					-0.0977**	-0.126**				
	(0.0241)	(0.0244)					(0.0154)	(0.0156)					(0.0136)	(0.0135)		(0.0110)	(0.0110)		(0.0140)	(0.0139)					(0.0168)	(0.0167)					(0.0211)	(0.0211)				
educf_7_10	-0.0249	-0.0529**		0.0174*	0.0268**		-0.0732**	-0.103**		0.0293**	0.0393**		-0.0531**	-0.0855**		-0.0611**	-0.0915**		-0.0563**	-0.0859**		0.0200**	0.0288**		-0.0805**	-0.101**		0.0114	0.0193*		-0.0731**	-0.0934**		0.0239*	0.0318**	
	(0.0170)	(0.0171)		(0.00805)	(0.00808)		(0.0123)	(0.0124)		(0.00649)	(0.00652)		(0.0119)	(0.0119)		(0.0106)	(0.0106)		(0.0132)	(0.0132)		(0.00686)	(0.00689)		(0.0165)	(0.0165)		(0.00776)	(0.00780)		(0.0212)	(0.0212)		(0.00930)	(0.00934)	
poor1	0.119**	0.121**		0.125**	0.126**		0.0747**	0.0776**		0.0730**	0.0755**		0.0824**	0.0868**		0.0834**	0.0876**		0.108**	0.114**		0.108**	0.113**		0.129**	0.135**		0.127**	0.133**		0.0744**	0.0832**		0.0773**	0.0860**	
	(0.0353)	(0.0353)		(0.0346)	(0.0348)		(0.0262)	(0.0265)		(0.0261)	(0.0262)		(0.0238)	(0.0239)		(0.0237)	(0.0239)		(0.0233)	(0.0234)		(0.0232)	(0.0234)		(0.0243)	(0.0244)		(0.0242)	(0.0243)		(0.0272)	(0.0273)		(0.0271)	(0.0272)	
height	0.00274**			0.00265**			0.00230**			0.00237**			0.00204**			0.00200**			0.00176**			0.00175**			0.00144**			0.00147**			0.00139**			0.00138**		
	(0.000342)			(0.000333)			(0.000264)			(0.000259)			(0.000246)			(0.000243)			(0.000249)			(0.000247)			(0.000268)			(0.000267)			(0.000303)			(0.000302)		
bmi	0.0119**			0.0122**			0.0131**			0.0130**			0.0136**			0.0135**			0.0135**			0.0134**			0.0128**			0.0130**			0.0131**			0.0128**		
