	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.00414	0.00563	0.0208	-0.00988**	-0.0102**	-0.0273**	-0.00609	-0.00704	0.0152	-0.0140**	-0.0143**	-0.0318**	-0.00523	-0.00213	-0.00889	-0.0142**	-0.0145**	-0.0300**	0.0517	0.0620	0.0693	-0.0170**	-0.0173**	-0.0304**	0.00401	0.00512	0.00453	-0.0165**	-0.0165**	-0.0274**	-0.126	-0.128	-0.138	-0.0168**	-0.0169**	-0.0242**
	(0.0411)	(0.0415)	(0.0480)	(0.00202)	(0.00201)	(0.00190)	(0.0356)	(0.0353)	(0.0416)	(0.00189)	(0.00188)	(0.00179)	(0.0371)	(0.0375)	(0.0370)	(0.00218)	(0.00218)	(0.00211)	(0.0645)	(0.0660)	(0.0696)	(0.00260)	(0.00260)	(0.00257)	(0.0355)	(0.0356)	(0.0362)	(0.00310)	(0.00310)	(0.00309)	(0.0817)	(0.0813)	(0.0782)	(0.00384)	(0.00384)	(0.00384)
educf_0	-0.200**	-0.205**		-0.182**	-0.0924**		-0.182**	-0.184**					-0.173**	-0.183**					-0.205**	-0.220**		-0.159**	-0.166**		-0.165**	-0.170**		-0.153**	-0.157**		-0.124*	-0.125*		-0.139**	-0.142**	
	(0.0522)	(0.0535)		(0.0101)	(0.00974)		(0.0396)	(0.0403)					(0.0337)	(0.0350)					(0.0452)	(0.0474)		(0.0139)	(0.0138)		(0.0281)	(0.0281)		(0.0188)	(0.0188)		(0.0526)	(0.0529)		(0.0173)	(0.0172)	
educf_1_4	-0.101**	-0.106**		-0.0903**			-0.0953**	-0.0978**		0.0835**	0.0839**		-0.103**	-0.111**		0.0677**	0.0684**		-0.127**	-0.140**		-0.0947**	-0.101**		-0.106**	-0.111**		-0.0971**	-0.101**		-0.0891*	-0.0908*		-0.0901**	-0.0926**	
	(0.0332)	(0.0342)		(0.00726)			(0.0261)	(0.0267)		(0.00779)	(0.00779)		(0.0232)	(0.0242)		(0.00777)	(0.00777)		(0.0332)	(0.0348)		(0.0130)	(0.0129)		(0.0239)	(0.0239)		(0.0182)	(0.0182)		(0.0437)	(0.0440)		(0.0167)	(0.0167)	
educf_5_6	-0.0406*	-0.0434*		-0.0343**	0.0569**		-0.0359*	-0.0378*		0.140**	0.142**		-0.0432**	-0.0478**		0.125**	0.128**		-0.0529*	-0.0605**		-0.0358**	-0.0399**		-0.0364	-0.0394		-0.0303	-0.0329		-0.0545	-0.0551		-0.0409*	-0.0416*	
