	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance
							
fert	-0.0178	-0.0118	0.0103	-0.0140***	-0.0153***	-0.0178	-0.0118
	(0.0364)	(0.0366)	(0.0392)	(0.00185)	(0.00185)	(0.0364)	(0.0366)
educf_0	-0.476***	-0.517***		-0.479***	-0.514***	-0.476***	-0.517***
	(0.0335)	(0.0348)		(0.00831)	(0.00817)	(0.0335)	(0.0348)
educf_1_4	-0.172***	-0.204***		-0.175***	-0.202***	-0.172***	-0.204***
	(0.0286)	(0.0295)		(0.00888)	(0.00881)	(0.0286)	(0.0295)
educf_5_6	-0.0599***	-0.0803***		-0.0618***	-0.0784***	-0.0599***	-0.0803***
	(0.0201)	(0.0207)		(0.00863)	(0.00861)	(0.0201)	(0.0207)
educf_7_10	0.00246	-0.00861		0.00145	-0.00764	0.00246	-0.00861
	(0.0126)	(0.0128)		(0.00803)	(0.00803)	(0.0126)	(0.0128)
poor1	-0.188***	-0.206***		-0.190***	-0.205***	-0.188***	-0.206***
	(0.0156)	(0.0160)		(0.00866)	(0.00866)	(0.0156)	(0.0160)
height	0.00374***			0.00375***		0.00374***	
	(0.000374)			(0.000363)		(0.000374)	
bmi	0.0110***			0.0111***		0.0110***	
	(0.000647)			(0.000546)		(0.000647)	
malec	0.0761***	0.0760***	0.0760***	0.0764***	0.0757***	0.0761***	0.0760***
	(0.00536)	(0.00537)	(0.00562)	(0.00433)	(0.00434)	(0.00536)	(0.00537)
agemay	0.00459***	0.00552***	0.0166***	0.00470***	0.00542***	0.00459***	0.00552***
	(0.00119)	(0.00121)	(0.00209)	(0.000623)	(0.000624)	(0.00119)	(0.00121)
Constant	1.165***	1.999***	1.698***	1.013	1.866	1.165***	1.999***
	(0.149)	(0.123)	(0.149)	(3,854)	(3,862)	(0.149)	(0.123)
							
Observations	117,508	117,508	117,508	117,508	117,508	117,508	117,508
R-squared	0.252	0.248	0.186	0.252	0.248	0.252	0.248
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
