	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	twind100	twind100	twind100	twind100	twind100	twind100	twind100	twind100	twind100
									
bord	0.544**		0.698**		0.462**		0.341**		0.698**
	(0.0128)		(0.0222)		(0.0175)		(0.0332)		(0.0222)
agemay	-0.0360**	-0.0438**	-0.0743**	-0.0849**	-0.0228**	-0.0299**	0.00783	-0.00250	-0.0743**
	(0.00415)	(0.00418)	(0.00733)	(0.00739)	(0.00574)	(0.00580)	(0.00996)	(0.0100)	(0.00733)
educf_0	-0.945**	-1.035**	-0.740**	-0.857**	-0.813**	-0.882**	-0.897**	-0.941**	
	(0.0651)	(0.0654)	(0.148)	(0.148)	(0.0851)	(0.0855)	(0.173)	(0.174)	
educf_1_4	-0.845**	-0.936**	-0.635**	-0.746**	-0.737**	-0.807**	-0.721**	-0.817**	0.105
	(0.0668)	(0.0673)	(0.152)	(0.152)	(0.0910)	(0.0915)	(0.140)	(0.142)	(0.0763)
educf_5_6	-0.666**	-0.752**	-0.622**	-0.727**	-0.494**	-0.563**	-0.544**	-0.644**	0.118
	(0.0674)	(0.0678)	(0.156)	(0.156)	(0.0942)	(0.0945)	(0.128)	(0.131)	(0.0878)
educf_7_10	-0.406**	-0.472**	-0.0729	-0.160	-0.377**	-0.426**	-0.479**	-0.557**	0.667**
	(0.0651)	(0.0653)	(0.152)	(0.152)	(0.0884)	(0.0885)	(0.126)	(0.128)	(0.0899)
height	0.0420**	0.0419**	0.0469**	0.0467**	0.0399**	0.0397**	0.0274**	0.0276**	0.0469**
	(0.00258)	(0.00258)	(0.00415)	(0.00415)	(0.00372)	(0.00372)	(0.00682)	(0.00682)	(0.00415)
bmi	0.0266**	0.0252**	0.0425**	0.0421**	0.0247**	0.0238**	0.00783	0.00415	0.0425**
	(0.00375)	(0.00375)	(0.00771)	(0.00770)	(0.00494)	(0.00494)	(0.00818)	(0.00819)	(0.00771)
poor1	-0.0878	-0.0901	2.720**	2.730**	-0.111	-0.110	-0.250*	-0.231*	2.720**
	(0.0511)	(0.0511)	(0.570)	(0.570)	(0.0577)	(0.0577)	(0.106)	(0.106)	(0.570)
educf_11plus									0.740**
									(0.148)
Constant	-5.742**	-4.875**	-5.517**	-4.444**	-6.526**	-6.033**	-4.648**	-4.030**	-6.257**
	(0.488)	(0.490)	(0.787)	(0.791)	(0.713)	(0.799)	(1.195)	(1.199)	(0.759)
									
Observations	1,111,204	1,111,204	447,350	447,350	523,133	523,133	140,721	140,721	447,350
R-squared	0.009	0.010	0.011	0.011	0.009	0.009	0.005	0.006	0.011
Robust standard errors in parentheses									
** p<0.01, * p<0.05									
